negatives
"('O95897', 'A2RRP1')"
"('Q9UBS5', 'Q9H2G2')"
"('Q92597', 'Q8TCG1')"
"('Q96AV8', 'A0AVK6')"
"('Q9Y297', 'Q13127')"
"('P49207', 'P46777')"
"('Q9NX02', 'P29466')"
"('Q99459', 'P57678')"
"('P27482', 'P11217')"
"('P40818', 'Q13107')"
"('P20226', 'P04637')"
"('P51512', 'P08123')"
"('Q07817', 'Q12983')"
"('O15162', 'Q9NRQ2')"
"('P22362', 'O00574')"
"('P16989', 'P69892')"
"('P22612', 'P16118')"
"('O75899', 'P62873')"
"('P35243', 'Q8WTQ7')"
"('Q8N668', 'Q9Y6G5')"
"('O14717', 'P09661')"
"('406886', 'P05231')"
"('P42771', 'Q9UET6')"
"('P46108', 'Q8IZP0')"
"('Q9Y5I7', 'O15551')"
"('P61073', 'Q86UP2')"
"('Q12933', 'Q8TEL6')"
"('Q6P996', 'O14908')"
"('Q13501', 'P19438')"
"('Q01081', 'Q8IYB3')"
"('O60934', 'O94762')"
"('Q9Y6K9', 'P52907')"
"('Q86VK4', '145781')"
"('Q12906', 'Q9UL18')"
"('Q15435', 'Q13522')"
"('A0AVK6', 'P14635')"
"('Q13315', 'Q15382')"
"('Q15788', 'P40763')"
"('Q15653', 'P62888')"
"('Q9Y4E8', 'Q9H173')"
"('P01106', 'Q5SY16')"
"('O43242', 'Q9P1U1')"
"('P42766', 'Q9Y3U8')"
"('P19419', 'P11831')"
"('Q9BUV8', 'Q9P035')"
"('O43639', 'Q9NYB9')"
"('O00329', 'Q9UN42')"
"('P62304', 'P14678')"
"('O43927', 'P51679')"
"('P63167', 'Q9Y2B9')"
"('Q9BYK8', 'P37231')"
"('P03372', 'Q12824')"
"('A6NHL2', 'P04350')"
"('P20929', 'Q8WZ42')"
"('Q9UMX1', 'Q15274')"
"('P09651', 'P39748')"
"('P55774', 'P49238')"
"('P54619', 'Q53ET0')"
"('P21266', 'Q9Y4K3')"
"('P22694', 'Q8IWT1')"
"('P13612', 'P08648')"
"('P36406', 'Q13114')"
"('Q9UBS4', 'O60496')"
"('Q01201', 'Q00653')"
"('Q12824', 'Q13573')"
"('P78509', 'P18564')"
"('Q9BUA3', 'P62258')"
"('Q9Y383', 'P61970')"
"('P40337', 'Q9Y266')"
"('O14775', 'P49736')"
"('Q9UNY4', 'P43243')"
"('P07947', 'Q13177')"
"('O60684', 'P12956')"
"('P16070', 'P21926')"
"('Q9Y478', 'P54840')"
"('Q13888', 'P51948')"
"('Q8N257', 'P0C0S5')"
"('Q9Y6K0', 'P01106')"
"('P16104', 'Q15554')"
"('P61981', 'P49761')"
"('Q14161', 'Q86VW2')"
"('P62993', 'P23975')"
"('Q06413', 'Q14934')"
"('Q9BST9', 'O60504')"
"('Q9P2S5', 'P11586')"
"('Q9Y6F9', 'Q9UP38')"
"('P10398', 'Q92985')"
"('P60484', 'P03950')"
"('Q13049', 'O75800')"
"('Q9UM82', 'Q12933')"
"('Q9Y5K5', 'P60900')"
"('P53355', 'Q9Y572')"
"('O00629', 'O95402')"
"('P35658', 'O75694')"
"('Q9Y3A5', 'P43360')"
"('Q9UN74', 'P51693')"
"('Q16795', 'Q9P0J0')"
"('Q15038', 'Q9UNA4')"
"('Q92963', 'Q5T3J3')"
"('Q96SB4', 'Q01130')"
"('P63104', 'Q04637')"
"('Q99062', 'P15336')"
"('P45983', 'Q13363')"
"('P07333', 'Q6S5L8')"
"('Q9Y3U8', 'P62750')"
"('Q99608', 'P62280')"
"('Q9NSC5', 'P42336')"
"('Q06455', 'P15923')"
"('P43307', 'P51681')"
"('P63279', 'Q8TAD8')"
"('Q86U86', 'P24522')"
"('P11387', 'P12956')"
"('Q14451', 'O14576')"
"('O14561', 'P03891')"
"('P61077', 'Q99496')"
"('O95872', 'Q8TCT9')"
"('P07359', 'P08311')"
"('O75116', 'Q12955')"
"('Q15047', 'P30519')"
"('P50224', 'Q16637')"
"('A1A4S6', 'Q96L33')"
"('Q8IY92', 'P21333')"
"('Q99741', 'Q7L590')"
"('Q14164', 'O14879')"
"('Q01081', 'Q14103')"
"('Q9HC29', 'P29728')"
"('P12034', 'P21802')"
"('Q9HB71', 'P25815')"
"('406911', 'P20749')"
"('Q92985', 'O00170')"
"('O00168', 'Q13733')"
"('P0C0L4', 'P01034')"
"('P42224', 'Q7Z434')"
"('P04629', 'Q8WU20')"
"('P21673', 'Q9NUT2')"
"('Q9BPX5', 'Q07889')"
"('Q9BYC9', 'Q92995')"
"('P20273', 'P27986')"
"('Q13418', 'O94832')"
"('P62805', 'Q9NWM8')"
"('Q99459', 'O95347')"
"('P22607', 'Q8WYR1')"
"('P20671', 'Q8N257')"
"('Q14498', 'P26368')"
"('Q08043', 'P05556')"
"('Q8WUM4', 'P30480')"
"('P35222', 'P07288')"
"('Q9BRV8', 'Q9UHD2')"
"('P02647', 'Q8N139')"
"('P17612', 'Q32MK0')"
"('Q9UBU8', 'Q9Y230')"
"('P51608', 'P09429')"
"('P22301', 'Q14627')"
"('Q01453', 'P40855')"
"('Q9UHX1', 'Q9H171')"
"('P61077', 'Q8IUQ4')"
"('P48736', 'O00329')"
"('Q8WYR1', 'P48736')"
"('Q99877', 'Q9P0U4')"
"('Q15306', 'P27824')"
"('P63165', 'Q13485')"
"('P14210', 'P09619')"
"('P78352', 'Q09470')"
"('P25788', 'P22392')"
"('P52797', 'P08581')"
"('P04406', 'O14939')"
"('Q13618', 'Q9H492')"
"('Q6QNY0', 'Q96EV8')"
"('P04637', 'Q99547')"
"('Q13424', 'P35499')"
"('Q9BX73', 'Q9UGN5')"
"('P62701', 'P35544')"
"('Q13347', 'P05198')"
"('O95400', 'P50053')"
"('Q71U36', 'P02766')"
"('P20936', 'P42858')"
"('Q9Y297', 'Q13616')"
"('P83731', 'P30050')"
"('P68366', 'O43237')"
"('P05013', 'P15260')"
"('P62495', 'P18146')"
"('P38159', 'P26599')"
"('P83731', 'Q92597')"
"('P31749', 'Q16656')"
"('Q15545', 'P53999')"
"('P52434', 'P25942')"
"('P62633', 'Q8TDN6')"
"('P01709', 'P01857')"
"('Q3T906', 'Q9UJJ9')"
"('P01574', 'Q01201')"
"('Q8IY92', 'P31274')"
"('Q03164', 'O14686')"
"('Q9NSE2', 'P19235')"
"('P07550', 'P08754')"
"('Q01081', 'P61978')"
"('O15379', 'Q96KK5')"
"('Q07021', 'P62891')"
"('P36873', 'Q9UBN1')"
"('Q00653', 'P11142')"
"('P32969', 'P16220')"
"('Q14315', 'P62993')"
"('Q9P2S5', 'P42704')"
"('Q9NRR5', 'P0CG06')"
"('Q01995', 'O14908')"
"('P19525', 'Q7L2E3')"
"('P16220', 'Q6SA08')"
"('P14866', 'Q8NG27')"
"('Q9UNK0', 'A4D1P6')"
"('Q6VMQ6', 'Q16363')"
"('P06400', 'Q02363')"
"('P46094', 'P63096')"
"('Q99259', 'P06241')"
"('O15105', 'Q9BT81')"
"('Q07866', 'Q9UPT6')"
"('Q15287', 'O75400')"
"('O95487', 'Q9NQW1')"
"('Q12824', 'P07333')"
"('Q9BRR9', 'O00212')"
"('P05141', 'Q9UL18')"
"('P30480', 'P55786')"
"('O75396', 'O14653')"
"('P30154', 'Q02641')"
"('Q96LR5', 'Q99942')"
"('P26367', 'Q92786')"
"('O95467', 'Q9HAV0')"
"('Q93008', 'Q96J02')"
"('P35626', 'Q8NH53')"
"('P29350', 'P10912')"
"('P25963', 'Q99570')"
"('Q01130', 'O43390')"
"('P28074', 'P08238')"
"('Q16663', 'O00574')"
"('Q9Y241', 'P14678')"
"('P51124', 'Q12931')"
"('Q99973', 'Q9BUR4')"
"('Q14392', 'P01137')"
"('P02649', 'P98164')"
"('Q15172', 'Q01105')"
"('Q401N2', 'O00410')"
"('P00519', 'Q15036')"
"('Q6P587', 'Q9NPD3')"
"('Q13233', 'P52564')"
"('Q9BUV8', 'Q96G23')"
"('Q9NRG4', 'Q2I0M4')"
"('P27986', 'O14827')"
"('P40337', 'P61604')"
"('P31942', 'P52597')"
"('P01891', 'P51571')"
"('P16220', 'P43146')"
"('Q86UQ8', 'P54105')"
"('P22694', 'Q92736')"
"('Q86TJ2', 'O94864')"
"('P02768', 'P04259')"
"('P12109', 'P18827')"
"('Q14566', 'Q9BWG6')"
"('Q00013', 'Q96RT1')"
"('P62979', 'P35998')"
"('Q92913', 'P11362')"
"('Q9GZR7', 'Q15287')"
"('Q15652', 'P04183')"
"('Q8N163', 'P33993')"
"('Q9NP98', 'O75112')"
"('P40227', 'P62714')"
"('P10153', 'P13489')"
"('Q15653', 'Q3ZCQ8')"
"('407028', 'O75610')"
"('O75569', 'Q9UI95')"
"('P02768', 'Q7Z392')"
"('P01567', 'Q6UXL0')"
"('Q14197', 'Q8IVS2')"
"('P54727', 'Q16531')"
"('P15880', 'P04183')"
"('Q13315', 'Q9NUW8')"
"('P04080', 'Q96BK5')"
"('Q04771', 'Q9UF11')"
"('Q9Y2D8', 'P55196')"
"('Q9C086', 'Q9ULG1')"
"('Q8IZJ0', 'Q6UXL0')"
"('A0JLT2', 'P24928')"
"('P10720', 'P46092')"
"('P43699', 'Q9Y261')"
"('O60496', 'O43561')"
"('P62324', 'P10828')"
"('O75937', 'Q13243')"
"('Q99624', 'Q15047')"
"('Q8WUM0', 'P57740')"
"('P06681', 'P48740')"
"('Q9BYX4', 'Q02556')"
"('O95084', 'Q9H0H5')"
"('P49327', 'O43617')"
"('Q9NR12', 'Q9BVV2')"
"('P36543', 'Q9H1Y0')"
"('P62826', 'O15264')"
"('Q12778', 'Q15848')"
"('O15360', 'O96019')"
"('Q6UXH1', 'Q16637')"
"('Q9NP79', 'Q9UN37')"
"('P42262', 'P07948')"
"('P05112', 'Q04206')"
"('P78537', 'Q9NS73')"
"('Q9Y3R0', 'Q14653')"
"('P63096', 'Q13585')"
"('P60763', 'P53779')"
"('Q9H0Q3', 'Q5RL73')"
"('Q9P2Y5', 'Q92622')"
"('Q13573', 'P68366')"
"('P22455', 'Q01970')"
"('Q6UXH1', 'P67870')"
"('Q15811', 'Q8TAQ2')"
"('Q15788', 'Q9UPX8')"
"('Q9ULM3', 'Q9NS73')"
"('O95622', 'P51817')"
"('P30153', 'O60359')"
"('O14640', 'Q96EB6')"
"('P62913', 'Q15843')"
"('P63244', 'Q92636')"
"('P43686', 'O00232')"
"('Q92830', 'P46531')"
"('Q13547', 'Q16576')"
"('O43707', 'P49023')"
"('P68371', 'P21673')"
"('Q8N1F7', 'Q9H173')"
"('Q9P1W9', 'P49841')"
"('Q9UMS4', 'Q14164')"
"('P56704', 'O00144')"
"('P48729', 'O14640')"
"('Q9UBL3', 'Q96ST3')"
"('O75554', 'Q00839')"
"('Q9Y3D9', 'P40337')"
"('P78527', 'O60583')"
"('Q03001', 'Q15287')"
"('P04629', 'Q9ULH0')"
"('P38159', 'Q14011')"
"('Q71DI3', 'Q09028')"
"('O14610', 'O95467')"
"('P21926', 'P13987')"
"('Q99879', 'Q15291')"
"('P18206', 'Q01081')"
"('Q9BWU1', 'P49336')"
"('Q9UL18', 'P51116')"
"('Q3B7T1', 'Q9BVJ7')"
"('P08620', 'P10721')"
"('O60674', 'Q12913')"
"('P10767', 'P21802')"
"('Q9Y3M8', 'Q01844')"
"('O00206', 'Q15399')"
"('P18146', 'P48145')"
"('Q9NRR5', 'P23284')"
"('P19438', 'Q15758')"
"('Q13555', 'Q8TD86')"
"('Q01955', 'Q9UKX5')"
"('P62993', 'P68366')"
"('Q13177', 'P27797')"
"('Q9GZQ8', 'Q9Y4P1')"
"('Q3ZCQ8', 'O14920')"
"('Q9BXW9', 'Q9H816')"
"('Q13501', 'Q13546')"
"('P13987', 'P46940')"
"('Q01201', 'Q92785')"
"('P25025', 'P55072')"
"('Q13418', 'Q9Y243')"
"('P42766', 'P61513')"
"('P45973', 'P22492')"
"('P01106', 'Q6ZTN6')"
"('P08047', 'Q14676')"
"('Q8WVX9', 'Q9BUV8')"
"('406991', 'P29966')"
"('Q99584', 'P01583')"
"('P15104', 'O75925')"
"('O00410', '28938')"
"('P10916', 'Q6UWE0')"
"('O00255', 'P08670')"
"('Q12851', 'P12956')"
"('P08708', 'P62979')"
"('406884', 'P01111')"
"('Q7L5N1', 'Q96SN7')"
"('P04626', 'Q96RT1')"
"('P35222', 'P00519')"
"('Q9Y230', 'Q9BVM2')"
"('Q9ULW2', 'Q00722')"
"('Q9HAU4', 'P84022')"
"('P41252', 'P63104')"
"('Q9Y575', 'Q93034')"
"('P55899', 'P08246')"
"('P62158', 'Q14164')"
"('Q16539', 'P49407')"
"('Q05516', 'Q9NP79')"
"('Q13625', 'P62136')"
"('P19338', 'Q9UQ80')"
"('Q6UXH1', 'P53350')"
"('Q92564', 'P52735')"
"('P28472', 'P60520')"
"('P20809', 'Q13651')"
"('P26599', 'Q08170')"
"('Q13573', 'Q9UBP9')"
"('Q13485', 'Q16625')"
"('Q9H981', 'P0C1Z6')"
"('Q9Y2Q3', 'Q9Y678')"
"('P06401', 'P42336')"
"('P62136', 'P60484')"
"('Q16514', 'Q92831')"
"('Q15717', 'Q14103')"
"('P21333', 'P63267')"
"('P11308', 'Q15910')"
"('Q15788', 'P19838')"
"('P35626', 'O95047')"
"('P40425', 'P37198')"
"('P11362', 'P46108')"
"('Q92597', 'P11021')"
"('Q86XI2', 'P01106')"
"('Q06187', 'O60239')"
"('Q9Y6G9', 'Q13257')"
"('P04083', 'O00213')"
"('P53041', 'P55060')"
"('Q12873', 'Q8WXI9')"
"('Q15628', 'P78527')"
"('Q9BVI4', 'Q8N6Y0')"
"('O43521', 'Q92843')"
"('P14866', 'Q9HC24')"
"('407009', 'O43240')"
"('P49755', 'P40337')"
"('Q99832', 'Q99759')"
"('P22415', 'P13010')"
"('P21815', 'P05106')"
"('P20809', 'P42701')"
"('P98171', 'P08134')"
"('O15085', 'P63000')"
"('P56705', 'O14904')"
"('Q96QK1', 'Q9H171')"
"('Q9Y5K5', 'Q96EZ8')"
"('O95985', 'Q9UBX5')"
"('Q9BVC4', 'O14920')"
"('Q99459', 'P23246')"
"('P49841', 'O00327')"
"('Q13573', 'Q13243')"
"('Q13315', 'Q5HYJ3')"
"('Q9UMX0', 'A6ZKI3')"
"('P08107', 'Q13217')"
"('P61981', 'P08069')"
"('Q15843', 'P83731')"
"('P46109', 'Q8WU20')"
"('O15530', 'Q04759')"
"('Q12888', 'Q96PY6')"
"('P05386', 'P62424')"
"('P11229', 'P50150')"
"('P63104', 'P60842')"
"('Q01780', 'Q9Y333')"
"('P62993', 'P98082')"
"('Q92835', 'O00459')"
"('Q9NRM7', 'P46937')"
"('O00291', 'P53680')"
"('O75528', 'P38398')"
"('Q13573', 'Q9HCS7')"
"('Q8TDN6', 'Q13573')"
"('P78362', 'Q86U06')"
"('P31946', 'Q99683')"
"('O15360', 'O95433')"
"('P29400', 'P31431')"
"('P78556', 'P49238')"
"('Q96B02', 'Q9UBC3')"
"('P05783', 'P05452')"
"('Q16643', 'Q13642')"
"('P61421', 'P23786')"
"('P13501', 'P32302')"
"('P01024', 'P17927')"
"('P00403', 'P00533')"
"('Q9UMN6', 'P46108')"
"('P05129', 'Q9HAV0')"
"('Q04206', 'P46695')"
"('O60885', 'P50750')"
"('P04439', 'P01732')"
"('Q05195', 'P0CG47')"
"('P19387', 'Q6PD62')"
"('Q15717', 'P61978')"
"('O14775', 'Q9HBW0')"
"('P62829', 'P62906')"
"('P52333', 'P31785')"
"('Q9GZR7', 'Q8IY92')"
"('P26639', 'P78545')"
"('P53350', 'Q13972')"
"('P01860', 'Q9Y6K9')"
"('Q96GM8', 'O43570')"
"('Q15691', 'Q14164')"
"('P05997', 'P16070')"
"('Q9Y2J2', 'Q9UPW8')"
"('Q9H2X0', 'P62993')"
"('P17844', 'P04637')"
"('Q07157', 'P08133')"
"('O15198', 'P07602')"
"('P21802', 'P22681')"
"('Q13033', 'P62714')"
"('Q969Q1', 'P20929')"
"('Q969V5', 'P0CG48')"
"('P31152', 'Q01196')"
"('Q9P0W0', 'Q9UHF4')"
"('Q12929', 'Q9GZQ8')"
"('Q15139', 'P04049')"
"('Q7Z2G1', 'Q8IUE6')"
"('Q8IUQ4', 'Q86UC2')"
"('P06756', 'Q07889')"
"('Q92956', 'P07237')"
"('P36507', 'P28482')"
"('Q7Z6J4', 'Q15287')"
"('Q13469', 'P18146')"
"('P63272', 'O00151')"
"('O43677', 'O95182')"
"('P06213', 'P36507')"
"('Q13573', 'Q9Y3U8')"
"('P56556', 'P03891')"
"('P36543', 'P61421')"
"('Q5VTD9', 'Q9UJV3')"
"('P63104', 'P21333')"
"('Q8IZ69', 'Q92569')"
"('P08729', 'P62316')"
"('P01566', 'Q01344')"
"('Q05397', 'O00148')"
"('Q8NCM8', 'Q9BQE3')"
"('Q9HCK5', 'P08238')"
"('Q96KG7', 'Q86YR7')"
"('O94829', 'P47813')"
"('Q07890', 'P16333')"
"('P06239', 'Q13761')"
"('Q8IY92', 'P00738')"
"('Q8NHR9', 'Q07890')"
"('Q9Y3U8', 'Q9UNX3')"
"('Q9BWT7', 'Q9Y6K9')"
"('P18146', 'P08910')"
"('O60216', 'Q9NTI5')"
"('O75925', 'P42229')"
"('P47992', 'O00574')"
"('P49639', 'Q9UKJ5')"
"('P62826', 'Q9H6Z4')"
"('P63104', 'P55072')"
"('Q9NYV7', 'A8MTJ3')"
"('A6NKT7', 'P55854')"
"('P51817', 'Q5MIZ7')"
"('P63104', 'Q96F86')"
"('P83436', 'Q96JB2')"
"('Q13253', 'P43026')"
"('Q7RTX0', 'Q5JWF2')"
"('O00267', 'P50750')"
"('P42224', 'P09913')"
"('P49790', 'Q92621')"
"('P32121', 'Q8NH79')"
"('O00422', 'P39656')"
"('Q71U36', 'Q99759')"
"('Q9P2H0', 'Q13352')"
"('Q16637', 'Q9HB58')"
"('Q9P0W2', 'Q15834')"
"('Q9Y4K3', 'Q5VZP5')"
"('Q9UK45', 'Q9Y4Y9')"
"('O60603', 'P14625')"
"('O15239', 'Q86Y39')"
"('P57775', 'Q13616')"
"('Q9Y264', 'P22455')"
"('Q2M1K9', 'Q93009')"
"('Q8NEM7', 'O94864')"
"('P04626', 'P52735')"
"('P62993', 'Q9Y3U8')"
"('Q9ULK5', 'P17252')"
"('P51692', 'Q13469')"
"('P20264', 'P51636')"
"('Q03164', 'P31273')"
"('P02452', 'Q9NPY3')"
"('P08476', 'P27037')"
"('P82675', 'Q9NY93')"
"('P21333', 'Q9BZW7')"
"('O75390', 'O75400')"
"('Q13485', 'P41221')"
"('Q07817', 'P13667')"
"('Q9NPI8', 'Q9HB96')"
"('Q7L5N1', 'P38936')"
"('P04275', 'P18084')"
"('Q7Z794', 'Q8WUW1')"
"('P30443', 'O15533')"
"('P52803', 'P17948')"
"('Q15834', 'Q9NTK1')"
"('Q6NUP7', 'P60510')"
"('O43676', 'O95178')"
"('Q969T4', 'Q06587')"
"('P01375', 'O94916')"
"('P02671', 'P05106')"
"('Q9H0R8', 'P78334')"
"('O60814', 'Q92769')"
"('Q16531', 'P02768')"
"('P62750', 'P35268')"
"('O00716', 'Q96KQ4')"
"('Q99935', 'P36915')"
"('P28702', 'Q15466')"
"('P13612', 'P07948')"
"('Q9Y5Z0', 'P05067')"
"('P20749', 'Q92905')"
"('Q9Y2J2', 'P27348')"
"('P18146', 'P33993')"
"('Q92901', 'P62917')"
"('Q96RT1', 'P04626')"
"('Q9BVA1', 'P20073')"
"('Q9HAW0', 'Q9UDX5')"
"('P67809', 'P52597')"
"('P11940', 'O15264')"
"('O76071', 'Q96A35')"
"('Q8NHQ1', 'Q9BUY5')"
"('Q08211', 'P52597')"
"('P24844', 'Q9P2M7')"
"('Q01094', 'O75461')"
"('Q9C086', 'P25490')"
"('P62993', 'Q9UBC5')"
"('P83731', 'O95777')"
"('P01024', 'P07954')"
"('Q9H1Y0', 'Q96AG4')"
"('Q9GZR7', 'Q13526')"
"('P63279', 'Q9UER7')"
"('O96019', 'Q9UBU8')"
"('Q3ZCQ8', 'Q13233')"
"('P35225', 'P78552')"
"('P05013', 'Q08334')"
"('P78330', 'Q9NVP2')"
"('Q7L5N1', 'Q9BXR0')"
"('P19174', 'O15085')"
"('P04628', 'P52951')"
"('Q5T0N5', 'Q9NT62')"
"('P25490', 'Q14209')"
"('P10144', 'P08670')"
"('Q13573', 'Q13492')"
"('Q00839', 'P35637')"
"('Q14CS0', 'P62195')"
"('Q96EZ8', 'Q99683')"
"('Q12933', 'Q9UBZ4')"
"('Q8IXH7', 'Q13573')"
"('P01241', 'Q14627')"
"('P49023', 'P08575')"
"('Q01081', 'Q13243')"
"('P49716', 'Q6X4U4')"
"('Q16665', 'Q8N122')"
"('P18084', 'P46109')"
"('P49792', 'Q9Y4K3')"
"('Q9UQ80', 'P05388')"
"('Q13188', 'Q7L9L4')"
"('Q07157', 'Q13813')"
"('P05107', 'P27348')"
"('O60907', 'Q16778')"
"('Q13705', 'P84022')"
"('Q9UET6', 'Q15185')"
"('P58743', 'P56696')"
"('P01106', 'Q5VTL8')"
"('P23763', 'Q9P0L0')"
"('P60228', 'O15198')"
"('P68400', 'Q9UNN5')"
"('Q15365', 'Q16629')"
"('Q8N8J6', 'Q96PY6')"
"('P51531', 'Q92922')"
"('P30153', 'P05771')"
"('Q99570', 'P46379')"
"('Q14031', 'P06756')"
"('Q9Y5J5', 'Q9H7H1')"
"('P46778', 'P62424')"
"('O75380', 'O43318')"
"('Q16539', 'Q07352')"
"('P61812', 'P84022')"
"('Q8IU54', 'Q99665')"
"('P84103', 'P55795')"
"('Q15560', 'P27694')"
"('P04150', 'Q71SY5')"
"('P18146', 'Q99674')"
"('Q15796', 'Q15052')"
"('P61077', 'Q6ZSG1')"
"('P78324', 'Q9C040')"
"('P63215', 'Q9UBY5')"
"('Q7Z392', 'Q7Z6L1')"
"('P61981', 'Q8N122')"
"('O95967', 'O43765')"
"('Q15788', 'Q92922')"
"('Q14978', 'P38432')"
"('P60520', 'Q96QK1')"
"('P13349', 'P41134')"
"('P00748', 'P03952')"
"('Q16760', 'Q92956')"
"('P17544', 'P15407')"
"('O95409', 'P10071')"
"('P22612', 'P10071')"
"('P01106', 'Q92974')"
"('P49763', 'P11362')"
"('O43353', 'Q15058')"
"('P02768', 'Q9P0X4')"
"('P02647', 'P09417')"
"('Q13485', 'Q8TEW0')"
"('Q99683', 'Q9UM73')"
"('Q07812', 'Q15388')"
"('Q9P1U1', 'Q96IZ7')"
"('Q9UJ70', 'Q7Z699')"
"('P22694', 'O60359')"
"('P11388', 'P11387')"
"('Q16637', 'Q8TEQ6')"
"('P21333', 'Q13683')"
"('O43900', 'O95433')"
"('P05106', 'P56945')"
"('Q9UGI9', 'Q05469')"
"('P15170', 'P62495')"
"('Q9NQU5', 'Q32MK0')"
"('Q13127', '407047')"
"('Q9UBN6', 'Q13158')"
"('P42773', 'Q00534')"
"('Q13642', 'P23508')"
"('Q9BWU1', 'Q13503')"
"('Q13309', 'Q00653')"
"('P67775', 'Q562F6')"
"('P27361', 'Q06546')"
"('P00519', 'Q9NYQ7')"
"('Q9Y3B2', 'Q12769')"
"('P13639', 'O15264')"
"('P07585', 'P61812')"
"('O14602', 'P60228')"
"('P58012', 'P10147')"
"('Q9Y6N6', 'P16070')"
"('Q6NUN9', 'O43318')"
"('Q53FD0', 'Q15834')"
"('Q9Y6X8', 'P54253')"
"('Q12846', 'P20338')"
"('P15248', 'Q9HBE5')"
"('P17252', 'Q9NYF0')"
"('P60709', 'Q9UKX2')"
"('Q9Y6I3', 'Q13571')"
"('Q92765', 'Q14181')"
"('Q9UHX1', 'Q96I34')"
"('Q13485', 'Q8IZD4')"
"('P07814', 'O00221')"
"('Q9P0P0', 'P51668')"
"('Q9H4M7', 'Q5UIP0')"
"('P63215', 'Q00975')"
"('P38936', 'Q7Z5J4')"
"('Q9H9Y6', 'Q15653')"
