negatives
"('Q14966', 'Q96ED9')"
"('P08621', 'Q99459')"
"('O96000', 'O14561')"
"('Q15811', 'P01112')"
"('Q99616', 'P51684')"
"('Q15323', 'Q92796')"
"('Q70EL1', 'O43633')"
"('P30153', 'P62955')"
"('Q15843', 'P61981')"
"('Q14011', 'Q9NX58')"
"('P25054', 'Q9Y2T1')"
"('Q14807', 'Q8IUQ4')"
"('P56199', 'P13612')"
"('P55157', 'P31273')"
"('P62753', 'P62851')"
"('Q9Y4K3', 'Q9UNM6')"
"('P25054', 'P36544')"
"('Q01201', 'P05387')"
"('Q03113', 'P16473')"
"('P30533', 'P55854')"
"('Q99614', 'Q9P0V3')"
"('P13232', 'P14784')"
"('P10145', 'Q16570')"
"('P61353', 'P27635')"
"('P13725', 'Q14626')"
"('O15479', 'Q13257')"
"('Q96KK5', 'Q96A08')"
"('Q01094', 'O95997')"
"('P40425', 'Q9UQB8')"
"('Q12906', 'Q15427')"
"('Q9BVJ7', 'Q9UBC3')"
"('Q9BXM0', 'P16333')"
"('Q9Y2Q3', 'P42224')"
"('Q02447', 'P11215')"
"('Q14242', 'P13611')"
"('P08700', 'Q01113')"
"('Q13191', 'P62316')"
"('O14640', 'P49815')"
"('P01106', 'Q9H7T9')"
"('Q15428', 'Q12972')"
"('P62942', 'P00374')"
"('Q9Y6W5', 'P06241')"
"('Q15257', 'P10415')"
"('Q9Y6I7', 'Q15370')"
"('P14625', 'P09874')"
"('Q9Y4K3', 'P83731')"
"('P21796', 'P56537')"
"('P16104', 'O60814')"
"('Q8WUW1', 'P59998')"
"('P62917', 'P84098')"
"('P02458', 'P05556')"
"('P23443', 'Q9BUZ4')"
"('P18564', 'Q9Y4G6')"
"('P30443', 'Q8N109')"
"('Q14938', 'P12755')"
"('P04004', 'Q13683')"
"('Q8TDF6', 'P01111')"
"('Q92569', 'P14415')"
"('Q9Y4K3', 'P16615')"
"('P17844', 'Q07666')"
"('P61086', 'Q6XUX3')"
"('O75154', 'Q9H0H5')"
"('Q9BT40', 'P11217')"
"('P47914', 'P05386')"
"('Q93074', 'P28702')"
"('O95466', 'O60861')"
"('P46527', 'P11142')"
"('P83881', 'P18124')"
"('O94776', 'Q14839')"
"('Q13454', 'P46977')"
"('Q9H9A7', 'P15927')"
"('O95602', 'Q9Y2S0')"
"('Q00839', 'O75554')"
"('Q99750', 'Q92692')"
"('Q9NZD8', 'Q9UI14')"
"('P07900', 'Q9Y243')"
"('P36406', 'Q9UJY4')"
"('P26368', 'Q9NVV9')"
"('Q01449', 'Q9P2M7')"
"('Q14094', 'Q96MT8')"
"('Q52LJ0', 'O00141')"
"('P22612', 'Q9UBI6')"
"('P23497', 'P55854')"
"('Q16566', 'Q8TEY5')"
"('P46782', 'P42677')"
"('P26678', 'Q93084')"
"('P04637', 'P17931')"
"('P30153', 'Q9H7D0')"
"('Q9NPH9', 'Q9UHF4')"
"('Q9HC36', 'O94817')"
"('O75419', 'P33992')"
"('P01106', 'P58107')"
"('Q86YV5', 'Q05086')"
"('P62241', 'P08865')"
"('P40763', 'O43293')"
"('P48039', 'P62879')"
"('Q13043', 'P98177')"
"('P06239', 'P43403')"
"('Q9UBX5', 'P05121')"
"('O00470', 'P16220')"
"('Q8IZI9', 'P08887')"
"('O00165', 'Q04206')"
"('P51685', 'P04899')"
"('Q9UK32', 'P61968')"
"('Q13315', 'Q9BXW9')"
"('P35398', 'Q15788')"
"('Q01201', 'Q969G3')"
"('Q9NYB9', 'Q9H013')"
"('Q13635', 'Q9Y2G2')"
"('Q9NPI1', 'P07196')"
"('P49682', 'P04899')"
"('P63261', 'Q01449')"
"('O75365', 'Q9H583')"
"('P11308', 'Q6P1J9')"
"('Q16778', 'O15047')"
"('Q9Y478', 'P30084')"
"('Q71U36', 'P68371')"
"('P27986', 'Q8IZD9')"
"('O60341', 'P02708')"
"('P54284', 'Q13936')"
"('P58012', 'P35354')"
"('Q13535', 'Q9UQE7')"
"('P15880', 'P20073')"
"('Q13315', 'Q8N5F7')"
"('Q15323', 'Q9NX58')"
"('O14933', 'Q9ULK6')"
"('Q16589', 'P63208')"
"('Q16254', 'Q16875')"
"('P31930', 'Q14197')"
"('Q96JB5', 'Q9NRI5')"
"('Q9BTT4', 'O60244')"
"('Q5JWF2', 'Q86XP0')"
"('Q99569', 'Q96RT1')"
"('Q9BS18', 'Q9UJX3')"
"('O43295', 'P61587')"
"('P01589', 'Q96RG2')"
"('P62987', 'Q712K3')"
"('Q13535', 'Q6IBW4')"
"('P51668', 'Q9BV68')"
"('Q13753', 'Q05397')"
"('Q9Y6J9', 'Q9UPT9')"
"('P49703', 'Q9HCE7')"
"('Q8NGL4', 'P38405')"
"('Q96EZ8', 'P67870')"
"('P00519', 'P08631')"
"('Q9Y286', 'P60520')"
"('P61289', 'P11021')"
"('P05155', 'P02745')"
"('P02458', 'P07585')"
"('Q8NBJ4', 'Q15528')"
"('Q04695', 'P63010')"
"('Q13151', 'Q13247')"
"('P49642', 'P38646')"
"('Q99728', 'Q9UKY1')"
"('Q96AD5', 'Q712K3')"
"('P18084', 'P02768')"
"('P55210', 'P49768')"
"('O14965', 'P53350')"
"('Q13315', 'Q9Y4R8')"
"('P23246', 'P62979')"
"('P19438', 'P62158')"
"('Q96G01', 'P49841')"
"('Q13501', 'Q16543')"
"('Q9Y6I3', 'P21802')"
"('Q01628', 'P42224')"
"('P07949', 'Q9Y6I3')"
"('Q13432', 'P17028')"
"('P01877', 'O60285')"
"('Q8NFH4', 'P52948')"
"('P62993', 'O15357')"
"('O95208', 'P42566')"
"('Q99496', 'Q5VVX9')"
"('407047', 'Q9UKL0')"
"('Q8WYK1', 'P49716')"
"('P62714', 'P17987')"
"('Q9BWW4', 'P17542')"
"('P05787', 'Q9H0H5')"
"('P54725', 'Q99460')"
"('Q99962', 'P10721')"
"('Q13191', 'P12931')"
"('P42574', 'O60551')"
"('Q6NZ67', 'Q96RT8')"
"('Q9Y3C7', 'Q9BTY7')"
"('P49716', 'Q9UDY8')"
"('P58753', 'Q14653')"
"('Q96BY6', 'Q9HBH0')"
"('Q9P107', 'P63000')"
"('P06899', 'Q13547')"
"('O75381', 'Q9UKY1')"
"('P52630', 'P19525')"
"('Q13489', 'Q6GPH4')"
"('P38484', 'Q96EY1')"
"('P61326', 'Q15287')"
"('P40763', 'Q9UBE8')"
"('Q8NEB9', 'Q6ZNE5')"
"('Q92597', 'P11021')"
"('O95376', 'Q16851')"
"('O14917', 'Q9NRR5')"
"('O75716', 'P41235')"
"('Q9H0U4', 'P01889')"
"('P04049', 'Q99683')"
"('Q96QU8', 'P07737')"
"('Q93070', 'Q9HAU5')"
"('P00519', 'P04629')"
"('Q9Y5N6', 'Q13415')"
"('P78406', 'Q14683')"
"('P30480', 'P31040')"
"('Q16828', 'P27361')"
"('P17706', 'P56199')"
"('Q9NPH3', 'O75400')"
"('Q9UK32', 'P48740')"
"('P32121', 'Q8NGK9')"
"('Q00839', 'Q8IWZ8')"
"('P18077', 'P61353')"
"('P01583', 'P05067')"
"('P08123', 'P06756')"
"('Q9Y4X5', 'P52735')"
"('Q96JH8', 'Q14CS0')"
"('O15265', 'O43186')"
"('Q02878', 'Q92901')"
"('P62158', 'P48436')"
"('O95167', 'O43678')"
"('O95782', 'P01106')"
"('Q99459', 'Q86WB0')"
"('P31751', 'Q92574')"
"('Q08379', 'Q99996')"
"('P06493', 'P19793')"
"('P01242', 'P78552')"
"('Q9C0K7', 'O43318')"
"('Q9NPH9', 'Q9HC73')"
"('Q9H492', 'Q13501')"
"('P36888', 'P48736')"
"('P04150', 'P09651')"
"('Q14155', 'P63000')"
"('Q86XI6', 'P62136')"
"('Q96GM5', 'Q8N6Y0')"
"('Q13077', 'O00459')"
"('P06239', 'O60880')"
"('P23025', 'P27694')"
"('Q9P2E9', 'Q8IY92')"
"('O14639', 'Q9Y3Q8')"
"('Q13111', 'P27986')"
"('P41586', 'P50151')"
"('406991', 'P35711')"
"('O95149', 'O14980')"
"('P32121', 'Q8NH61')"
"('Q08211', 'P07910')"
"('P16871', 'P07437')"
"('O43670', 'Q9BQA1')"
"('Q92611', 'Q7L1Q6')"
"('Q13480', 'P46108')"
"('P35626', 'Q8NGV5')"
"('Q9NQB0', 'Q9UER7')"
"('Q15906', 'P0C0S5')"
"('P03372', 'P36873')"
"('P55795', 'O60508')"
"('O75461', 'P35227')"
"('P46779', 'Q92901')"
"('P32969', 'P30050')"
"('P15692', 'P22607')"
"('Q9UK53', 'Q09472')"
"('Q6WCQ1', 'Q13158')"
"('P04626', 'P26045')"
"('P62258', 'P10071')"
"('Q9UQM7', 'Q14934')"
"('P16104', 'Q6NVY1')"
"('P48556', 'P62195')"
"('P0CG48', 'Q92547')"
"('Q9Y277', 'P12235')"
"('Q13748', 'Q13885')"
"('P60520', 'O60684')"
"('P50914', 'P62987')"
"('P31751', 'Q13370')"
"('P42677', 'P25054')"
"('Q13557', 'Q06432')"
"('P28749', 'Q06190')"
"('P42858', 'Q15119')"
"('P54646', 'O43524')"
"('P09769', 'P04626')"
"('P62158', 'Q13562')"
"('P41279', 'Q02750')"
"('O60674', 'P42226')"
"('Q6P1J9', 'P36954')"
"('Q8NGV6', 'P01871')"
"('P35222', 'Q13526')"
"('Q12933', 'Q8TAI7')"
"('Q8NBJ4', 'Q9Y6H6')"
"('Q9UK59', 'P12980')"
"('O00187', 'P48740')"
"('O94906', 'P63279')"
"('P62995', 'Q15428')"
"('Q9NSV4', 'Q13573')"
"('P29320', 'P00519')"
"('Q13315', 'Q6STE5')"
"('P61088', 'Q9BYM8')"
"('P43626', 'Q06124')"
"('P16333', 'O00329')"
"('P04637', 'Q86TM6')"
"('P10826', 'Q15788')"
"('P01106', 'Q86UD0')"
"('Q9NRH1', 'Q9P2H0')"
"('P21266', 'P04222')"
"('Q99877', 'Q9C005')"
"('Q14566', 'Q9Y4K3')"
"('Q15648', 'Q9NVC6')"
"('Q9ULH1', 'P00519')"
"('P49642', 'O95819')"
"('P29622', 'Q15750')"
"('P18146', 'Q07092')"
"('Q8TCT6', 'Q14CS0')"
"('P00533', 'P07332')"
"('P62306', 'Q9Y5J5')"
"('Q9Y620', 'P25786')"
"('P40425', 'P31269')"
"('Q13573', 'Q14562')"
"('Q9NVC6', 'Q9Y4A5')"
"('P05198', 'Q99613')"
"('P04083', 'P00533')"
"('P41182', 'Q9UPT6')"
"('P04745', 'Q9HC24')"
"('Q13796', 'P16333')"
"('P67870', 'P61956')"
"('Q99558', 'P11142')"
"('P30049', 'P56381')"
"('P61254', 'P84098')"
"('Q14031', 'P16144')"
"('O15169', 'Q9Y2T1')"
"('Q9GZM8', 'Q3V6T2')"
"('P41159', 'P20138')"
"('P08047', 'Q6VMQ6')"
"('Q8TBK6', 'Q9Y383')"
"('P50539', 'P78536')"
"('Q9HB75', 'Q99750')"
"('P05387', 'P46777')"
"('P81605', 'O60232')"
"('Q9Y5J1', 'Q9Y5Z7')"
"('P61981', 'O95685')"
"('P05783', 'Q6WCQ1')"
"('P28222', 'Q9P2W3')"
"('P62945', 'P46779')"
"('Q9H160', 'P01106')"
"('Q96NB3', 'O60306')"
"('P26927', 'O60235')"
"('P49005', 'Q9HCU8')"
"('Q06124', 'O43559')"
"('P78423', 'P46094')"
"('P56537', 'P53350')"
"('P00533', 'P49757')"
"('Q9UI09', 'P51970')"
"('P35626', 'P49682')"
"('Q16539', 'P12036')"
"('P05387', 'P05388')"
"('O00716', 'P42771')"
"('P62993', 'Q92947')"
"('P14784', 'P52333')"
"('P52907', 'Q13573')"
"('Q13315', 'Q96MT8')"
"('P08238', 'Q15750')"
"('P08648', 'P05106')"
"('Q13177', 'P53667')"
"('P05771', 'P26010')"
"('Q15047', 'Q96HS1')"
"('P48729', 'Q13469')"
"('P62750', 'Q13573')"
"('Q92616', 'Q6P0Q8')"
"('Q9Y4K3', 'P56192')"
"('Q12789', 'P53779')"
"('O95967', 'Q9H5Z6')"
"('P08172', 'P04899')"
"('P31947', 'O15151')"
"('Q9P104', 'O60238')"
"('P32121', 'P47887')"
"('Q08828', 'P22612')"
"('O76081', 'Q93045')"
"('P27824', 'P19438')"
"('Q09472', 'P01562')"
"('Q15428', 'Q15427')"
"('P16333', 'Q07912')"
"('O95793', 'Q13509')"
"('Q9H3P7', 'Q9HAU4')"
"('Q9HBW0', 'P50148')"
"('P35372', 'Q9UK08')"
"('P62136', 'Q13698')"
"('Q02790', 'Q15306')"
"('P13569', 'Q9NZN1')"
"('Q16621', 'O60675')"
"('P08670', 'P06132')"
"('347745', 'P36542')"
"('Q12904', 'Q9UET6')"
"('P03915', 'O43678')"
"('P49841', 'P52742')"
"('P27348', 'Q14678')"
"('P63173', 'P42766')"
"('O95201', 'Q12933')"
"('Q9HAU0', 'Q86UP2')"
"('P11230', 'Q7L5N1')"
"('P49790', 'P84022')"
"('Q9NX70', 'P62314')"
"('Q16254', 'P14635')"
"('P54619', 'Q9NQR9')"
"('O95467', 'Q68DD2')"
"('Q9UNM6', 'P61289')"
"('Q92793', 'P52630')"
"('Q13573', 'O94913')"
"('P10827', 'P60709')"
"('Q99459', 'Q8NE71')"
"('Q13573', 'A5YKK6')"
"('O95832', 'O75508')"
"('Q9BSF8', 'P62136')"
"('P07910', 'P14866')"
"('O43678', 'O00483')"
"('406959', 'P15311')"
"('P31946', 'P08069')"
"('P22314', 'Q9Y5U2')"
"('Q9NSB8', 'O00459')"
"('P60510', 'O14654')"
"('Q9NZD8', 'P60891')"
"('P01876', 'P25054')"
"('Q9HB90', 'Q9Y2Q5')"
"('P04637', 'P63151')"
"('Q16659', 'P40763')"
"('P98177', 'P04179')"
"('P25054', 'P11021')"
"('P23443', 'P55884')"
"('P51991', 'P52756')"
"('O15131', 'P04406')"
"('Q15386', 'O75365')"
"('P35222', 'P08238')"
"('P41271', 'P46379')"
"('Q02156', 'Q9Y4H2')"
"('Q92597', 'P49703')"
"('Q15714', 'Q8TDY2')"
"('P25963', 'Q96HA1')"
"('Q6DD88', 'P63104')"
"('Q6P2C8', 'P10827')"
"('P05013', 'P15260')"
"('Q12906', 'Q9HCS7')"
"('Q13555', 'Q13554')"
"('P07910', 'O75525')"
"('P61353', 'P05387')"
"('P31749', 'P30291')"
"('P22694', 'P36507')"
"('P29992', 'Q15147')"
"('Q9NQX5', 'Q9BQ66')"
"('P28566', 'Q9P2W3')"
"('P07339', 'P04278')"
"('O94972', 'Q15398')"
"('P68871', 'P00739')"
"('P62256', 'Q9NTX7')"
"('P14136', 'P49768')"
"('P99999', 'Q07817')"
"('Q71U36', 'Q9H4B7')"
"('Q52LW3', 'Q7L0Q8')"
"('Q12840', 'Q13625')"
"('Q14790', 'P60602')"
"('Q4LDE5', 'P84022')"
"('406901', 'P24864')"
"('O96000', 'Q92574')"
"('Q9H9B4', 'Q15714')"
"('P57740', 'P49454')"
"('P55072', 'P68543')"
"('Q9Y4K3', 'P00492')"
"('O60269', 'Q96FJ2')"
"('Q96B02', 'Q96GF1')"
"('P54762', 'Q8N806')"
"('P05198', 'Q9Y4K3')"
"('P19838', 'Q03169')"
"('Q01094', 'Q7L590')"
"('Q14181', 'P17936')"
"('Q16821', '5512')"
"('Q15759', 'P17535')"
"('O94972', 'Q9Y4K3')"
"('P47914', 'P46779')"
"('O75815', 'Q13200')"
"('P05771', 'Q9NR12')"
"('P62993', 'Q96RD6')"
"('P13611', 'P14151')"
"('P25116', 'P59768')"
"('O43516', 'P42768')"
"('P38432', 'Q9P2K6')"
"('Q96PG8', '28881')"
"('Q13573', 'O95149')"
"('P46779', 'Q13485')"
"('P63220', 'P62081')"
"('Q13247', 'O60508')"
"('P63104', 'Q02790')"
"('P98164', 'P98082')"
"('P62753', 'Q92900')"
"('Q14197', 'P82932')"
"('O94822', 'Q86WV6')"
"('P15884', 'Q9NR48')"
"('O95402', 'P42166')"
"('P60604', 'Q8WWF5')"
"('P01241', 'Q02413')"
"('P04637', 'Q9Y6D9')"
"('P11473', 'Q6P4E1')"
"('Q6P996', 'Q9H173')"
"('P37173', 'P49716')"
"('Q9NP95', 'P21802')"
"('P16220', 'P60568')"
"('O95989', 'Q9H0T7')"
"('P49458', 'Q9NX58')"
"('P20226', 'P13984')"
"('Q9UM73', 'Q12913')"
"('O15524', 'Q15370')"
"('Q9NTK5', 'P41182')"
"('406947', 'Q14164')"
"('O43290', 'O75554')"
"('P50570', 'P49418')"
"('Q15714', 'Q6P4I2')"
"('Q13315', 'Q9Y4B4')"
"('Q13761', 'Q99706')"
"('P42229', 'P42224')"
"('Q9H0H5', 'P52735')"
"('O43678', 'P51970')"
"('P02461', 'P08648')"
"('Q96A54', 'Q8N5S9')"
"('P19438', 'P01375')"
"('Q9BRX9', 'Q9BZL1')"
"('P63104', 'P62158')"
"('O00401', 'P08238')"
"('P15121', 'P23759')"
"('Q15834', 'O76064')"
"('O75822', 'Q04637')"
"('P20963', 'O76036')"
"('P21580', 'Q14457')"
"('Q9BTE0', 'Q15797')"
"('P51948', 'P10275')"
"('Q9Y490', 'P16383')"
"('Q9UNF0', 'P50570')"
"('Q16891', 'P33240')"
"('Q96B36', 'Q8N122')"
"('P01889', 'P40616')"
"('O43426', 'P49418')"
"('P35222', 'O94907')"
"('Q9UPY3', 'P19525')"
"('Q12851', 'Q13162')"
"('P62304', 'Q9Y3F4')"
"('Q14103', 'P18847')"
"('Q13952', 'Q99618')"
"('Q9Y4K3', 'P17980')"
"('P61247', 'P07900')"
"('Q15382', 'Q9UI14')"
"('P25963', 'P34931')"
"('P16035', 'P08254')"
"('P40227', 'P01106')"
"('Q9Y4X0', 'O15169')"
"('P01889', 'P51148')"
"('Q16570', 'P10145')"
"('Q92530', 'Q12933')"
"('Q9Y283', 'Q9NWT6')"
"('P16520', 'P51828')"
"('Q53TQ3', 'Q9ULG1')"
"('O00141', 'Q16543')"
"('Q9H201', 'Q15303')"
"('Q9Y262', 'Q14240')"
