negatives
"('Q06413', 'Q14135')"
"('P38936', 'P62979')"
"('Q96QZ7', 'Q9H251')"
"('P11047', 'P26012')"
"('O60383', 'Q9Y3A3')"
"('Q96Q15', 'Q9Y5S9')"
"('Q9UET6', 'P61254')"
"('Q6IEY1', 'P38405')"
"('P35626', 'Q8N0Y5')"
"('O43497', 'Q9NRR5')"
"('Q15714', 'Q9UBC3')"
"('P49023', 'Q9ULH1')"
"('P08047', 'P29459')"
"('P13569', 'P16615')"
"('Q9NX09', 'P49815')"
"('O00716', '406982')"
"('Q9NYH9', 'P41182')"
"('P04141', 'P16471')"
"('Q13315', 'Q9H816')"
"('P19793', 'P08684')"
"('P02452', 'P51888')"
"('Q9H6S1', 'Q13114')"
"('Q15027', 'P62993')"
"('Q8N7W2', 'P50402')"
"('O15350', 'Q96KQ4')"
"('Q96MT8', 'Q9UQE7')"
"('P10301', 'P27986')"
"('O43918', 'Q01130')"
"('O43313', 'O96017')"
"('O60216', 'Q8N3U4')"
"('Q9ULZ3', 'O95786')"
"('Q8NGU2', 'P38405')"
"('Q9NS68', 'Q13077')"
"('P13984', 'P20226')"
"('P10412', 'Q9UGN5')"
"('Q5VWP2', 'O00444')"
"('P35398', 'Q15648')"
"('P20671', 'Q9UKV0')"
"('P50990', 'Q13573')"
"('P01242', 'Q9HC73')"
"('P52735', 'Q7Z6E9')"
"('Q96HP0', 'P61586')"
"('P16403', 'Q86U86')"
"('O43164', 'Q9Y2X8')"
"('O00255', 'P68431')"
"('407018', 'Q12778')"
"('Q09472', 'Q70SY1')"
"('P13569', 'P51159')"
"('P61289', 'P23508')"
"('Q7Z3E2', 'Q9HAU0')"
"('Q02556', 'Q92793')"
"('P15880', 'P20073')"
"('O00591', 'Q9H0R8')"
"('Q9Y4K3', 'Q9BUF5')"
"('P67870', 'P49427')"
"('Q9Y2D1', 'P53567')"
"('O43301', 'Q92823')"
"('P45974', 'Q9UBN6')"
"('P15884', 'P41134')"
"('Q06124', 'P15498')"
"('P41595', 'Q13698')"
"('P10914', 'P17693')"
"('P35222', 'P68366')"
"('O75529', 'Q9H0E3')"
"('P11387', 'P09651')"
"('Q9UP83', 'P25054')"
"('P01106', 'Q8NDL9')"
"('P05230', 'P68400')"
"('Q9C035', 'P62837')"
"('P25788', 'P43354')"
"('P05386', 'Q6ZRI6')"
"('O15117', 'Q92974')"
"('Q15599', 'P46937')"
"('P62244', 'P62857')"
"('Q16586', 'P62993')"
"('406956', 'P35625')"
"('Q00653', 'P60900')"
"('Q9NRR4', 'Q92841')"
"('Q13751', 'Q14118')"
"('P60953', 'P50502')"
"('Q9NPC8', 'Q99502')"
"('P62258', 'Q04917')"
"('P20591', 'Q9Y210')"
"('O00590', 'P80075')"
"('P19793', 'O75448')"
"('Q99500', 'P63096')"
"('Q13315', 'Q9UKV3')"
"('P43246', 'P38936')"
"('O14513', 'P00519')"
"('Q99700', 'Q8NHU6')"
"('Q6FIF0', 'P50570')"
"('Q00610', 'P63010')"
"('Q09161', 'Q86V81')"
"('P05013', 'P31785')"
"('Q9UDV6', 'Q8TAU0')"
"('P84022', 'P26368')"
"('Q13247', 'Q08170')"
"('O75925', 'P63279')"
"('P21796', 'P16152')"
"('P63261', 'P26012')"
"('Q8WXC3', 'Q9ULZ3')"
"('Q8N257', 'Q9UKV0')"
"('406947', 'Q9NYJ8')"
"('P02792', 'P24522')"
"('P04792', 'Q13573')"
"('Q13480', 'Q07889')"
"('Q14204', 'P62330')"
"('P01857', 'P13647')"
"('Q13368', 'Q01101')"
"('P05019', 'P09619')"
"('Q5SW96', 'P05549')"
"('P02647', 'P02671')"
"('Q13683', 'Q07890')"
"('P01243', 'O75190')"
"('P24043', 'P08648')"
"('O14495', 'P41182')"
"('P98164', 'P09455')"
"('P26641', 'P24534')"
"('Q13151', 'P55795')"
"('P62304', 'P14678')"
"('P01889', 'Q9H773')"
"('P08631', 'P42338')"
"('P67809', 'O95819')"
"('O14980', 'Q09161')"
"('P23470', 'O15530')"
"('P32927', 'P63244')"
"('P61981', 'Q14155')"
"('Q16401', 'P62191')"
"('Q9UBN6', 'P35580')"
"('O75821', 'O15372')"
"('Q92905', 'Q13098')"
"('Q01105', 'P01889')"
"('P62993', 'P13797')"
"('O75865', 'P49639')"
"('P04275', 'P26010')"
"('P03901', 'P03891')"
"('O96019', 'Q6PI98')"
"('Q14164', 'Q9BVK6')"
"('Q15466', 'P10276')"
"('O60683', 'P40855')"
"('P22607', 'Q00722')"
"('P55795', 'Q14683')"
"('P62993', 'P05814')"
"('P56385', 'P05496')"
"('Q9UPR3', 'Q16537')"
"('P0CG48', 'Q9UK41')"
"('Q6UN15', 'O95639')"
"('Q96EQ0', 'P23284')"
"('Q8TEW0', 'P41743')"
"('P13232', 'P16471')"
"('Q14832', 'P25098')"
"('Q9UBN7', 'Q99878')"
"('P04183', 'P51693')"
"('Q5T5U3', 'Q9HBH0')"
"('P46736', 'Q6UWZ7')"
"('P51784', 'Q9Y4E8')"
"('O95685', 'Q16821')"
"('P40763', 'Q29980')"
"('Q01831', 'P51532')"
"('P23229', 'P49023')"
"('Q13547', 'P28749')"
"('P13861', 'P24588')"
"('O43709', 'Q9Y478')"
"('P22694', 'O60840')"
"('O00590', 'P13501')"
"('Q9ULX6', 'P01106')"
"('406906', 'Q9H334')"
"('O43318', 'Q04206')"
"('P17252', 'Q96B18')"
"('O75528', 'P11142')"
"('P51610', 'Q9NS73')"
"('P60953', 'P05814')"
"('P16619', 'P32302')"
"('Q96SB3', 'P31749')"
"('Q86YW9', 'Q9NPJ6')"
"('Q9UNH5', 'P12830')"
"('P17676', 'Q9HC16')"
"('P61981', '404734')"
"('P01112', 'P15056')"
"('Q9UHA4', 'Q9NQL2')"
"('P01106', 'P33991')"
"('Q96RY7', 'O60925')"
"('Q9Y466', 'P10070')"
"('P17544', 'O60675')"
"('P09874', 'Q9UGL1')"
"('P54257', 'P14867')"
"('Q13263', 'Q9Y4K3')"
"('P51681', 'Q15811')"
"('Q9BQ52', 'O00471')"
"('Q05397', 'Q9Y2X7')"
"('P10721', 'P29350')"
"('P34995', 'P30679')"
"('P78537', 'Q99624')"
"('Q13409', 'Q96QB1')"
"('P12111', 'Q13797')"
"('Q14194', 'O75582')"
"('Q9BRX9', 'P63244')"
"('P13667', 'Q07817')"
"('P85298', 'P15153')"
"('P22612', 'P51828')"
"('Q96DI7', 'Q9BQ67')"
"('P62829', 'P61513')"
"('P46108', 'P17600')"
"('Q6AI08', 'O75970')"
"('Q13573', 'Q6P3W7')"
"('P62714', 'Q7Z3S7')"
"('P27986', 'Q92835')"
"('Q9UN37', 'P13569')"
"('P10412', 'Q96EB6')"
"('Q7Z4S6', 'Q13573')"
"('Q5EB52', 'O95201')"
"('P19793', 'P04183')"
"('Q16537', 'Q8IZS8')"
"('O43684', 'Q13042')"
"('O75821', 'P41091')"
"('Q9Y243', 'Q9UBS0')"
"('P62993', 'P49815')"
"('P30968', 'P60880')"
"('P01106', 'Q13488')"
"('P54253', 'Q7Z6M4')"
"('P16220', 'Q9Y6K8')"
"('P51116', 'O60232')"
"('Q96B18', 'Q16512')"
"('Q99816', 'Q96H20')"
"('Q9ULK4', 'Q93074')"
"('P41743', 'Q9H0R8')"
"('Q13573', 'Q8NFH4')"
"('Q9H7B2', 'P49841')"
"('Q13111', 'P24941')"
"('P18146', 'Q9BX73')"
"('Q92985', 'P42224')"
"('P04406', 'Q96RI1')"
"('P49703', 'P18669')"
"('P03372', 'P20290')"
"('P05107', 'Q15762')"
"('P27797', 'P25942')"
"('P06241', 'P42166')"
"('Q9Y243', 'O14920')"
"('Q16254', 'P23921')"
"('Q9UM00', 'Q9HC24')"
"('Q14186', 'Q16254')"
"('Q9UGU5', 'P13805')"
"('O60291', 'P63279')"
"('Q14CB8', 'P62745')"
"('P35580', 'O14920')"
"('Q9UGN5', 'Q96B96')"
"('Q9H204', 'P14060')"
"('Q8WWM7', 'Q00005')"
"('P61353', 'P47914')"
"('Q00005', 'P10809')"
"('Q14764', 'P18146')"
"('O43889', 'Q68CJ9')"
"('P51817', 'P18846')"
"('P01243', 'P50395')"
"('Q15642', 'P48023')"
"('P62993', 'O60885')"
"('P78509', 'P13612')"
"('Q13309', 'P49918')"
"('P61981', 'Q8WUI4')"
"('P27361', 'P14415')"
"('P60484', 'Q04864')"
"('O95433', 'Q9BYB0')"
"('Q14164', 'P61106')"
"('Q13485', 'P08621')"
"('P34998', 'Q14344')"
"('P61513', 'P61313')"
"('O94776', 'P51587')"
"('Q13797', 'P23229')"
"('Q9P2M4', 'Q05086')"
"('O95793', 'Q15435')"
"('Q07020', 'P49207')"
"('Q15139', 'P27348')"
"('Q99558', 'P32969')"
"('P07355', 'P30480')"
"('Q9Y615', 'Q9UGI8')"
"('Q12933', 'P42345')"
"('P49321', 'O00141')"
"('Q00839', 'P38159')"
"('Q9UBB5', 'P01137')"
"('O43242', 'Q00653')"
"('P53779', 'P40763')"
"('P43686', 'O14730')"
"('Q6UXH1', 'Q9H7E9')"
"('O14976', 'P11142')"
"('Q09472', 'Q86X55')"
"('P61981', 'P62995')"
"('Q9P2A4', 'Q6ZU52')"
"('P33076', 'Q96KQ7')"
"('P62244', 'Q16543')"
"('Q9BQ52', 'O95182')"
"('P01889', 'P30086')"
"('P20226', 'Q9HAW0')"
"('Q96A23', 'O75340')"
"('P33992', 'O75419')"
"('Q9H0R8', 'Q13501')"
"('Q07890', 'Q8IXI1')"
"('P17931', 'P01009')"
"('Q9NYF0', 'O14641')"
"('Q9Y241', 'Q9P286')"
"('P05771', 'Q08828')"
"('Q6VMQ6', 'Q9UP95')"
"('O75385', 'Q9BSB4')"
"('P98170', 'O15304')"
"('Q16254', 'P30304')"
"('P78527', 'Q9Y572')"
"('P35249', 'P12004')"
"('Q9Y2B9', 'P35244')"
"('Q07157', 'O43491')"
"('O75529', 'Q9Y4A5')"
"('Q9UBV8', 'Q53G59')"
"('P46531', 'P10144')"
"('P18146', 'Q13207')"
"('Q9UBC3', 'Q96T88')"
"('P31644', 'P60520')"
"('P78317', 'P09874')"
"('P50052', 'Q13424')"
"('P18124', 'P40429')"
"('O76075', 'Q9UGN5')"
"('Q9H0Y0', 'P78371')"
"('O95696', 'Q8WYH8')"
"('O75365', 'Q96EK5')"
"('P00558', 'P16104')"
"('P28300', 'Q86SQ9')"
"('Q13123', 'Q8WYA6')"
"('P08047', 'P12931')"
"('Q96A37', 'Q9H832')"
"('Q9H173', 'P58107')"
"('Q68EM7', 'O00212')"
"('P07711', 'P02647')"
"('Q9Y6R4', 'P52564')"
"('Q8IZI9', 'P15509')"
"('Q13162', 'P22736')"
"('Q96DI7', 'Q13620')"
"('P15408', 'Q9Y5Q3')"
"('Q9UJU2', 'Q8N2W9')"
"('P24821', 'P08648')"
"('Q9Y3U8', 'P63173')"
"('Q9NPF7', 'Q6UXL0')"
"('O14576', 'P47736')"
"('P56556', 'O43676')"
"('407018', 'P35232')"
"('P11021', 'P25054')"
"('Q9GZQ8', 'Q13501')"
"('Q9BUF5', 'P68363')"
"('P55072', 'Q99759')"
"('P53420', 'P31431')"
"('Q6UVJ0', 'Q9BV73')"
"('P08631', 'Q96B97')"
"('Q96RD2', 'P38405')"
"('P30101', 'P56817')"
"('P31943', 'Q15637')"
"('P62906', 'Q13233')"
"('P30153', 'Q14164')"
"('Q04206', 'P25963')"
"('P19838', 'P01584')"
"('P30153', 'P22392')"
"('O43747', 'Q6VY07')"
"('Q14653', 'Q13568')"
"('P24390', 'Q7L1Q6')"
"('Q8TBB1', 'Q66K89')"
"('P19838', 'P05015')"
"('Q9NX58', 'P83881')"
"('P01106', 'P33993')"
"('Q00653', 'P43243')"
"('Q2NL82', 'Q96BK5')"
"('P05014', 'P42702')"
"('P98170', 'Q96LR5')"
"('Q8TAB5', 'Q96L14')"
"('P63104', 'Q96J92')"
"('P61619', 'P27824')"
"('P22694', 'P04899')"
"('Q9NRI5', 'O75962')"
"('Q9H492', 'P05771')"
"('P19838', 'Q13887')"
"('Q05086', 'P63104')"
"('P32121', 'O95371')"
"('P38398', 'P54727')"
"('Q9Y4K3', 'P26639')"
"('Q86UE8', 'Q92985')"
"('Q6NZ67', 'Q16543')"
"('P02538', 'Q15834')"
"('P63104', 'Q14432')"
"('O15551', 'O95471')"
"('Q9H0E9', 'Q99459')"
"('P10767', 'P06213')"
"('P51965', 'O75150')"
"('P55786', 'Q9Y4K3')"
"('Q15047', 'Q6NZ67')"
"('Q13535', 'Q9UQ84')"
"('O75084', 'O14641')"
"('Q6ZU52', 'Q9H257')"
"('P19447', 'P32780')"
"('Q00610', 'Q14164')"
"('O75964', 'P56134')"
"('Q9H1C4', 'Q8TCJ2')"
"('Q8IX12', 'Q9Y6K9')"
"('Q07955', 'Q86U42')"
"('P61981', 'Q08AD1')"
"('Q96DV4', 'Q12988')"
"('Q96EZ8', 'P0C1Z6')"
"('P60484', 'Q04206')"
"('O75832', 'Q06323')"
"('O60506', 'Q9H2B2')"
"('Q99963', 'O43426')"
"('P68431', 'P45973')"
"('Q5SW24', 'Q16513')"
"('Q05513', 'Q9NYF0')"
"('P14174', 'Q92956')"
"('P47813', 'P55884')"
"('P63261', 'P19438')"
"('P32881', 'Q9UHF4')"
"('Q13573', 'Q01082')"
"('Q92731', 'Q9NPJ4')"
"('Q9HD36', 'Q16611')"
"('Q13315', 'Q14517')"
"('Q92611', 'P43307')"
"('P02766', 'O95741')"
"('P35968', 'Q00722')"
"('Q16576', 'Q13330')"
"('Q5VVJ2', 'P07288')"
"('P67809', 'Q8NFH3')"
"('Q09472', 'P37231')"
"('P46527', 'P24864')"
"('Q9P227', 'Q7L0Q8')"
"('P55196', 'P35221')"
"('Q00610', 'Q9BXW4')"
"('Q14451', 'O95741')"
"('O60496', 'O95757')"
"('Q9Y4G6', 'P00519')"
"('Q9BTT6', 'Q9P2H0')"
"('Q3ZCQ8', 'Q13077')"
"('P36897', 'Q08881')"
"('P00533', 'Q99962')"
"('P31751', 'P55211')"
"('Q5VWG9', 'P84243')"
"('Q9BRR6', 'O75528')"
"('Q96RU7', 'O14733')"
"('O95257', 'P21246')"
"('P35580', 'O43353')"
"('Q15435', 'O96017')"
"('P49427', 'Q13309')"
"('Q9Y2T1', 'Q12834')"
"('Q13748', 'Q13233')"
"('P11926', 'O95190')"
"('Q9H0R8', 'P41145')"
"('P01579', 'P32927')"
"('P09661', 'P11387')"
"('P22694', 'P16220')"
"('P12814', 'Q9UBF9')"
"('P49747', 'P06756')"
"('P62841', 'P15880')"
"('P60953', 'Q13432')"
"('P46379', 'P05305')"
"('P49841', 'Q12840')"
"('Q13191', 'Q9Y5K6')"
"('O60493', 'P46108')"
"('Q13490', 'P63000')"
"('P18146', 'Q99674')"
"('Q9H9G7', 'P39656')"
"('P02686', 'Q86UE8')"
"('P43403', 'P20963')"
"('Q13555', 'O00305')"
"('O75419', 'Q7L590')"
"('Q9BUV8', 'O60477')"
"('Q9BV68', 'P53350')"
"('O75478', 'P41235')"
"('P22736', 'Q15596')"
"('P02775', 'Q86TA1')"
"('P16452', 'Q99684')"
"('Q12873', 'Q6I9Y2')"
"('P22612', 'P50150')"
"('P14625', 'P08107')"
"('P62745', 'Q6P3S6')"
"('P02730', 'Q06124')"
"('P49746', 'P13612')"
"('Q15173', 'Q86YF9')"
"('P14866', 'P38159')"
"('P02741', 'P41159')"
"('P43235', 'P09486')"
"('P12931', 'Q9HCU4')"
"('P56537', 'P53350')"
"('P35749', 'P62736')"
"('Q8NBZ0', 'Q96EZ8')"
"('P51116', 'Q99708')"
"('Q13480', 'P42338')"
"('P12931', 'Q92529')"
"('406988', 'Q02156')"
"('P02768', 'P18084')"
"('Q15370', 'P57737')"
"('Q02763', 'P62993')"
"('Q9H8Y8', 'P14174')"
"('Q9BVJ6', 'Q8N5U6')"
"('O43255', 'Q12933')"
"('Q9H816', 'Q96R06')"
"('Q13315', 'Q9UFW8')"
"('O43556', 'Q92629')"
"('O94806', 'P19883')"
"('P30480', 'O14737')"
"('574455', 'P00749')"
"('Q04206', 'Q00839')"
"('P08865', 'P62847')"
"('Q09472', 'Q14790')"
"('P15260', 'O60674')"
"('P61978', 'Q00005')"
"('Q13467', 'Q15147')"
"('P46527', 'O43463')"
"('Q9NR96', 'P16333')"
"('Q99459', 'Q9UPN3')"
"('Q96C10', 'Q9NXV6')"
"('P10720', 'P32302')"
"('P06213', 'Q9BX66')"
"('O14639', 'P08670')"
"('Q14197', 'Q9NYY8')"
"('Q9NPB6', 'Q04917')"
"('P02458', 'P13612')"
"('Q2TAY7', 'P55081')"
"('Q9H2F5', 'P25440')"
"('Q9HCM9', 'P61077')"
"('P0CAP1', 'P62424')"
"('P21281', 'P08311')"
"('P14174', 'P18206')"
"('O43900', 'P46108')"
"('P62280', 'P01241')"
"('P26715', 'Q13241')"
"('Q01538', 'P45983')"
"('Q96HP0', 'P61587')"
"('Q15369', 'Q15714')"
"('Q9H1A4', 'P06493')"
"('P62906', 'P62750')"
"('Q15008', 'P01889')"
"('P31483', 'Q9HBD1')"
"('Q6QNY0', 'Q8TDH9')"
"('P62993', 'Q14315')"
"('Q15363', 'Q92542')"
"('O95793', 'P50914')"
"('P62979', 'Q29983')"
"('P12643', 'P36894')"
"('P49662', 'Q9NSA3')"
"('Q8IY81', 'P19525')"
"('Q6P1J9', 'Q92541')"
"('Q05397', 'O43281')"
"('P42224', 'P29466')"
"('P62993', 'P98082')"
"('P01566', 'P38484')"
"('Q14209', 'Q14186')"
"('O14972', 'Q16659')"
"('Q9H7E9', 'O95785')"
"('Q969T4', 'Q8N5U6')"
"('O75569', 'Q15047')"
"('Q12967', 'P63000')"
"('Q9Y5J5', 'P48444')"
"('Q8IZJ0', 'P42701')"
"('O75164', 'Q99877')"
"('Q9NSI5', 'Q07157')"
"('O15111', 'P08107')"
"('P06493', 'Q6PGQ7')"
"('Q05516', 'Q15834')"
"('Q16586', 'Q16585')"
"('P22612', 'Q70SY1')"
"('P10636', 'P16885')"
"('Q96KP1', 'Q99459')"
"('Q13077', 'P25942')"
"('P62993', 'O43708')"
"('P19838', 'P30154')"
"('O94762', 'P53350')"
"('O75578', 'P21333')"
"('Q15648', 'Q9NX70')"
"('P01138', 'P35968')"
"('O75626', 'O14763')"
"('406947', 'Q99836')"
"('P0CG48', 'O95967')"
"('P68400', 'O14641')"
"('O43677', 'P03905')"
"('Q9C0J8', 'Q13573')"
"('Q15599', 'P23508')"
"('P00451', 'O14832')"
"('P11142', 'P27348')"
"('O75533', 'Q9UL18')"
"('Q9UJU2', 'Q13308')"
"('P14678', 'O75643')"
"('Q96CW1', 'O00291')"
"('P46734', 'P45983')"
"('P11215', 'P42336')"
"('Q96CG3', 'Q9Y4K3')"
"('Q96HA1', 'P12270')"
"('Q9Y6M9', 'O14561')"
"('P06400', 'Q14186')"
"('P62263', 'P39019')"
"('P62829', 'Q9UNX3')"
"('Q15459', 'O60861')"
"('O14610', 'O15264')"
"('Q9BTT4', 'Q9NVH6')"
"('P04406', 'O95819')"
"('Q01201', 'P19838')"
"('P53680', 'Q2TAY7')"
"('P42677', 'P62244')"
"('Q7L5N1', 'Q14790')"
"('O95639', 'Q6UXN9')"
"('P21580', 'O76080')"
"('Q9Y2H0', 'P12931')"
"('P02647', 'P10266')"
"('Q9GZT9', 'Q16665')"
"('Q6IA17', 'O00206')"
"('O75925', 'P42226')"
"('P49327', 'Q99759')"
"('Q8TAP4', 'Q8IXK0')"
"('Q86W42', 'Q96FV9')"
"('P10809', 'A0JLT2')"
"('P24534', 'P01243')"
"('O43353', 'Q9Y6K9')"
"('Q15047', 'Q8IYT8')"
"('Q6Y7W6', 'Q9NTZ6')"
"('P35542', 'P01857')"
"('Q9H9J2', 'P21246')"
"('P52735', 'P62993')"
"('P12109', 'P08514')"
"('Q07021', 'P05386')"
"('P63218', 'Q99677')"
"('O00422', 'P57721')"
"('P46952', 'P52565')"
"('O95049', 'Q9Y5I7')"
"('P42338', 'P42681')"
"('P10144', 'P55210')"
"('P29460', 'Q99062')"
"('O75815', 'P23526')"
"('Q9NZP5', 'P38405')"
"('P62714', 'Q9UBN1')"
"('Q9UKB1', 'P17181')"
"('P30046', 'Q6XUX3')"
"('Q15283', 'Q07890')"
"('P62330', 'P37108')"
"('P62241', 'P62249')"
"('Q9Y5V3', 'Q9ULX6')"
"('Q9BX66', 'Q13444')"
"('Q9NR99', 'O60739')"
"('P08670', 'P35900')"
"('Q01082', 'Q99459')"
"('406883', 'P01111')"
"('O14744', 'Q12874')"
"('P20702', 'Q00577')"
"('P53708', 'P08648')"
"('Q13490', 'P24864')"
"('P62633', 'O60506')"
"('P29692', 'Q9H1I8')"
"('P24539', 'Q14197')"
"('Q9Y2H8', 'P49716')"
"('Q9Y6I7', 'Q9H2X6')"
"('P01243', 'P61289')"
"('Q969T4', 'Q96PM9')"
"('Q06587', 'Q9BQ52')"
"('P10275', 'Q9P2W1')"
"('P61968', 'Q9UK32')"
"('Q9H0H5', 'O95084')"
"('Q01453', 'P40855')"
"('O75676', 'P68431')"
"('Q9HAZ2', 'P12755')"
"('Q92974', 'O00221')"
"('P17612', 'Q13698')"
"('P51659', 'P09917')"
"('Q13155', 'Q12873')"
"('Q86V81', 'Q9H1B4')"
"('P56975', 'P21675')"
"('Q8IY92', 'Q96NY9')"
"('O95983', 'Q9C0K0')"
"('O60602', 'P19838')"
"('Q14686', 'Q15291')"
"('P06748', 'P61956')"
"('P32519', 'P34810')"
"('P10412', 'P83916')"
"('P29692', 'Q14194')"
"('P22694', 'P49768')"
"('P31994', 'P29353')"
"('Q96T21', 'O15198')"
"('P01106', 'P00367')"
"('P06241', 'Q13111')"
"('P60953', 'Q5VT25')"
"('P47736', 'Q16659')"
"('P40692', 'P54277')"
"('P50613', 'Q07869')"
"('P41220', 'Q9Y5U9')"
"('P17948', 'Q00722')"
"('Q9H0H5', 'P58107')"
"('Q96A08', 'P51610')"
"('Q15797', 'Q9Y466')"
"('P62330', 'Q13263')"
"('P08621', 'Q96EY1')"
"('P53778', 'P07197')"
"('P62993', 'O75832')"
"('P49959', 'O60934')"
"('Q71U36', 'P49841')"
"('P12757', 'Q8N2W9')"
"('P29474', 'P23634')"
"('P11487', 'P10721')"
"('P17947', 'P02775')"
"('P35658', 'P78406')"
"('P46783', 'P62701')"
"('Q969H6', 'O95059')"
"('P08670', 'Q06323')"
"('Q03164', 'Q9P0U4')"
"('P49716', 'Q6X4U4')"
"('Q9NPH9', 'P24394')"
"('Q9BVJ6', 'P43307')"
"('P63104', 'P30291')"
"('A6NIT4', 'Q9HC73')"
"('O95400', 'Q9Y5V3')"
"('Q04206', 'Q9BWQ8')"
"('Q9HAT8', 'Q9Y4K3')"
"('P56556', 'P62380')"
"('P16871', 'P47756')"
"('P42226', 'P04216')"
"('Q15628', 'Q99558')"
"('O00255', 'P19838')"
"('P08754', 'P48544')"
"('O00273', 'P27348')"
"('Q13131', 'P13639')"
"('O95741', 'Q9UHA4')"
"('P15170', 'Q9NR09')"
"('Q16539', 'Q9UGU0')"
"('P32238', 'Q96SB3')"
"('Q99459', 'Q9BWF3')"
"('P24666', 'P40337')"
"('Q9UQB8', 'P61981')"
"('P56537', 'Q96EZ8')"
"('Q92665', 'Q8IY92')"
