negatives
"('Q9NRY4', 'P41182')"
"('Q16594', 'Q9H0E3')"
"('P50914', 'P39023')"
"('O75533', 'Q10586')"
"('Q13573', 'P61081')"
"('Q15560', 'Q9H7U1')"
"('Q7Z6G3', 'Q9HC98')"
"('Q13526', 'Q9UET6')"
"('Q9BUF5', 'P51149')"
"('Q15836', 'P18615')"
"('O00292', 'P10600')"
"('P01100', 'P15336')"
"('Q9UD71', '5512')"
"('Q14494', 'P18848')"
"('Q15428', 'Q9Y3B4')"
"('P25929', 'P08754')"
"('P50591', 'Q13546')"
"('Q01081', 'Q8IX12')"
"('O43676', 'Q9P0J0')"
"('O15379', 'Q99879')"
"('Q96JH8', 'P31946')"
"('Q8TD86', 'P01111')"
"('P10275', 'P03372')"
"('Q6P1X5', 'P20226')"
"('P01137', 'Q9HBG4')"
"('Q9P086', 'Q9NX70')"
"('O43323', 'Q13635')"
"('P35626', 'Q15619')"
"('Q9P2G9', 'P25787')"
"('Q9BYG5', 'Q15334')"
"('Q562F6', 'P67775')"
"('O43683', 'O43684')"
"('O43143', 'O75554')"
"('P02462', 'P18564')"
"('P42338', 'Q9UQC2')"
"('Q5VTD9', 'Q86UL3')"
"('Q15075', 'P51149')"
"('Q96RT1', 'P01112')"
"('Q00005', 'P26196')"
"('Q8IX12', 'Q9BYV6')"
"('Q16610', 'Q12805')"
"('P22612', 'P16118')"
"('P63010', 'P07550')"
"('Q07890', 'P26006')"
"('P60953', 'Q92558')"
"('Q09161', 'P52298')"
"('Q03111', 'Q9HC52')"
"('Q99460', 'Q16401')"
"('Q9Y4K3', 'P67812')"
"('Q9BQ66', 'Q03518')"
"('P31946', 'P08069')"
"('Q9NPF7', 'Q6UXL0')"
"('Q07666', 'O60861')"
"('P51991', 'P61978')"
"('O75528', 'O75478')"
"('Q8IYF3', 'Q9NZ42')"
"('Q03164', 'P31269')"
"('P30154', 'P54289')"
"('Q16594', 'Q7Z3B4')"
"('Q96BI3', 'P49768')"
"('P35227', 'Q99496')"
"('P13501', 'P01833')"
"('Q13191', 'P22607')"
"('O15455', 'Q99836')"
"('Q16659', 'Q99719')"
"('P32121', 'Q8NGG7')"
"('Q9Y4H2', 'P31946')"
"('P35268', 'Q9Y3U8')"
"('O43684', 'O75554')"
"('Q92988', 'P62993')"
"('Q96RS0', 'O14980')"
"('Q96G30', 'P41968')"
"('P01106', 'Q2KHR3')"
"('P14314', 'Q14164')"
"('Q15834', 'P38936')"
"('P42226', 'O14544')"
"('P05161', 'P09914')"
"('P54727', 'P07108')"
"('P36957', 'Q02218')"
"('P60953', 'Q9Y4D1')"
"('Q13535', 'Q92804')"
"('Q92616', 'Q99459')"
"('P05113', 'Q9UHF4')"
"('P63096', 'O43924')"
"('P25189', 'Q01453')"
"('P51991', 'P26368')"
"('O14718', 'P36897')"
"('Q712K3', 'P62987')"
"('Q9Y265', 'P49450')"
"('Q96LA8', 'P17096')"
"('P35442', 'P26006')"
"('P21854', 'P62993')"
"('P09693', 'P43405')"
"('P19174', 'P68104')"
"('Q14582', 'Q8TDR4')"
"('Q8TEX9', 'Q9Y5J5')"
"('Q9C026', 'Q9NV70')"
"('P50991', 'P63104')"
"('Q92574', 'P69905')"
"('P58546', 'P30480')"
"('Q13363', 'P35222')"
"('Q6PI98', 'P25490')"
"('P55209', 'Q14164')"
"('Q9NRJ3', 'O00574')"
"('Q9H0H5', 'P23258')"
"('Q13619', 'P04637')"
"('P27694', 'Q8TDY2')"
"('P26641', 'O95989')"
"('Q9Y490', 'P16383')"
"('Q9UGI9', 'Q92574')"
"('Q15427', 'Q8IWX8')"
"('P52292', 'Q9H213')"
"('Q9Y2Z4', 'Q14197')"
"('Q9NQT5', 'Q5RKV6')"
"('P38159', 'Q08170')"
"('Q13535', 'Q9NS91')"
"('Q92900', 'Q9Y5S9')"
"('P29692', 'P78545')"
"('Q9Y535', 'P52434')"
"('Q9Y580', 'Q7Z4H7')"
"('P49915', 'Q9Y478')"
"('P01889', 'O14737')"
"('P51946', 'P46527')"
"('Q16236', 'P14921')"
"('Q9P2G9', 'Q9Y4P3')"
"('P12429', 'Q96ID5')"
"('P51531', 'P62805')"
"('Q9BYG5', 'Q8N3R9')"
"('Q9BUL8', 'O00506')"
"('P15056', 'O43482')"
"('Q8IY92', 'Q9UKA4')"
"('P40225', 'P38484')"
"('Q5ST30', 'P19532')"
"('P31314', 'Q04724')"
"('P42229', 'P40763')"
"('P07359', 'P27348')"
"('Q9GZT8', 'P56715')"
"('P30450', 'P43626')"
"('Q9HAW0', 'Q93084')"
"('P17812', 'Q96BK5')"
"('P04350', 'Q13748')"
"('P13612', 'P06756')"
"('Q16629', 'Q13247')"
"('P28566', 'P08754')"
"('Q92995', 'Q13571')"
"('Q96RP9', 'Q9HAU4')"
"('P49137', 'P29353')"
"('P19012', 'Q15154')"
"('P45984', 'Q12968')"
"('Q9HC98', 'Q9UBC5')"
"('Q9NWF9', 'Q9Y3C5')"
"('P51948', 'Q92759')"
"('Q9P0W0', 'Q9HC73')"
"('O14818', 'P28072')"
"('P09884', 'P49643')"
"('P78344', 'A6NMX2')"
"('P01242', 'Q13651')"
"('P68104', 'Q9Y6G3')"
"('P08571', 'P16220')"
"('P63151', 'Q9Y243')"
"('Q13363', 'Q13422')"
"('O14686', 'O15198')"
"('P08670', 'P60709')"
"('P56880', 'P56750')"
"('P84022', 'Q15052')"
"('P21333', 'P60709')"
"('O15519', 'Q14790')"
"('Q13619', 'Q9UBF6')"
"('O15123', 'P10721')"
"('Q99750', 'O15015')"
"('P21246', 'P04745')"
"('P05000', 'Q01113')"
"('Q12913', 'P28482')"
"('P08754', 'Q00722')"
"('P62273', 'P62266')"
"('P03905', 'Q9Y6M9')"
"('Q8WVZ9', 'Q5T3J3')"
"('Q8NG27', 'Q9Y5V3')"
"('O94906', 'P14678')"
"('O75340', 'P50995')"
"('P61313', 'P63173')"
"('Q9GZP0', 'P08581')"
"('Q13761', 'P01730')"
"('P63098', 'Q9H1A4')"
"('Q99459', 'P26373')"
"('Q13625', 'P07942')"
"('Q9UKX5', 'O43707')"
"('Q9ULV8', 'P46108')"
"('P62917', 'Q99558')"
"('P46781', 'Q9Y4K3')"
"('P01106', 'Q9Y4W2')"
"('P22307', 'Q13185')"
"('Q16513', 'P05060')"
"('P55196', 'Q96NY8')"
"('P37059', 'P41235')"
"('Q5T4F7', 'P56703')"
"('Q92542', 'P46531')"
"('O00221', 'P07814')"
"('P23396', 'P62273')"
"('P01889', 'P15104')"
"('P20936', 'Q8TAM1')"
"('P62244', 'P62081')"
"('P25963', 'Q00610')"
"('P17252', 'Q99759')"
"('Q9NXG2', 'P25788')"
"('Q8ND25', 'Q15819')"
"('Q9NR30', 'P11387')"
"('Q06609', 'P63279')"
"('P08151', 'O95096')"
"('Q99459', 'Q8NE71')"
"('P62714', 'P78318')"
"('P43403', 'P15498')"
"('P04406', 'P07738')"
"('Q9H553', 'P50995')"
"('Q15796', 'Q14686')"
"('O75970', 'P32745')"
"('Q14152', 'P60228')"
"('Q9P104', 'P00533')"
"('P25789', 'P60900')"
"('P20810', 'P16333')"
"('P07437', 'Q01101')"
"('Q9NRX1', 'Q92765')"
"('Q9Y265', 'Q14164')"
"('Q9UK08', 'P27986')"
"('Q9BXA6', 'P08238')"
"('O43427', 'Q9Y6B7')"
"('Q969H4', 'P08134')"
"('P33981', 'Q13573')"
"('P21741', 'Q9NRR5')"
"('Q02363', 'P41970')"
"('Q9Y2Z0', 'P63208')"
"('Q92993', 'O14737')"
"('Q9BZM4', 'O43908')"
"('O75815', 'Q13263')"
"('O95047', 'P38405')"
"('P42262', 'O60282')"
"('Q8TAM1', 'Q9UBN7')"
"('P27482', 'P29973')"
"('P12980', 'Q9NYP7')"
"('P51817', 'Q9UF02')"
"('Q86UT6', 'Q9Y4K3')"
"('P24394', 'P43405')"
"('Q13315', 'Q99638')"
"('Q05193', 'Q9Y3C7')"
"('Q9NYA4', 'Q9H422')"
"('P24941', 'Q9H1Q7')"
"('O75558', 'O00161')"
"('P32121', 'A6NF89')"
"('P52564', 'Q9UL54')"
"('Q96HR3', 'O75448')"
"('Q9UI09', 'O95299')"
"('O00222', 'P09471')"
"('Q9Y237', 'Q13813')"
"('O00221', 'Q13748')"
"('P32121', 'Q9H2C5')"
"('Q99717', 'Q8WUA2')"
"('O95602', '100008587')"
"('P32456', 'Q15418')"
"('Q13158', 'Q92851')"
"('Q86WV6', 'P62987')"
"('O60925', 'P60709')"
"('O60496', 'Q96EK5')"
"('Q9BZD4', 'P18847')"
"('P34947', 'P32121')"
"('Q9Y6F9', 'O00144')"
"('Q14566', 'Q96HA7')"
"('P60900', 'O00141')"
"('P84022', 'O60315')"
"('Q9HCG8', 'P38919')"
"('P30622', 'P68366')"
"('P14416', 'P50151')"
"('P13693', 'P05386')"
"('Q9UKA9', 'Q96PU8')"
"('Q92985', 'P01574')"
"('P24941', 'P38398')"
"('Q9H4L7', 'Q13573')"
"('P83731', 'P35268')"
"('Q9NYJ8', 'P42677')"
"('Q9NXF1', 'Q8IZL8')"
"('Q13573', 'Q9BSJ2')"
"('P41220', 'Q6RFH5')"
"('Q9Y6D9', 'Q15233')"
"('Q8IWZ8', 'P22626')"
"('Q9GZX6', 'Q8IU57')"
"('P40197', 'P27986')"
"('P08631', 'Q13177')"
"('P13569', 'P78527')"
"('P35080', 'Q14789')"
"('Q8N1F7', 'O00422')"
"('Q14185', 'P17081')"
"('P35612', 'P06241')"
"('Q99436', 'P28065')"
"('P61981', 'Q00536')"
"('Q9BUP0', 'Q07283')"
"('Q15517', 'Q9NRR5')"
"('P54253', 'O43251')"
"('P08708', 'P62847')"
"('P31942', 'Q9UKR5')"
"('Q9UBD9', 'P10912')"
"('P19438', 'P12236')"
"('P51948', 'Q7L5N1')"
"('Q13315', 'Q8NB49')"
"('Q13315', 'Q96Q15')"
"('O14513', 'P25054')"
"('P60709', 'Q15717')"
"('O14802', 'P19388')"
"('Q01844', 'P21675')"
"('P35222', 'Q01826')"
"('P50151', 'P51828')"
"('P30050', 'P46776')"
"('Q8NEA9', 'Q4V326')"
"('P51513', 'O95059')"
"('P20963', 'P29353')"
"('P17612', 'P04049')"
"('P51817', 'Q16720')"
"('P63000', 'P60709')"
"('Q8IZV2', 'P00533')"
"('Q13557', 'Q96BA8')"
"('P30086', 'P30480')"
"('Q5VTD9', 'Q9P2E2')"
"('Q13309', 'O96020')"
"('P35080', 'Q9Y4K3')"
"('P62316', 'P46940')"
"('P35226', 'Q05516')"
"('Q9NSI5', 'O75970')"
"('Q9H190', 'Q15102')"
"('P42566', 'P04629')"
"('P00558', 'P08238')"
"('Q14457', 'Q86YD1')"
"('Q99418', 'P49407')"
"('Q9BPX7', 'Q9NYF0')"
"('P46782', 'P22090')"
"('P34903', 'O95166')"
"('P15153', 'P46734')"
"('Q9Y4K3', 'P0CG48')"
"('P60709', 'Q00005')"
"('Q9BUF5', 'Q13233')"
"('P84085', 'P98175')"
"('Q9Y2Q3', 'Q9UGP8')"
"('Q15393', 'Q10586')"
"('Q9UKE5', 'P19105')"
"('P14923', 'Q12913')"
"('P32238', 'O95837')"
"('P08253', 'P53420')"
"('Q8WXD5', 'P62318')"
"('P04049', 'Q13188')"
"('P60568', 'Q01344')"
"('P54253', 'Q6ZVL6')"
"('P34931', 'Q13233')"
"('Q96HA8', 'P00492')"
"('Q9UBF2', 'Q9Y5J5')"
"('Q9NYA4', 'P84022')"
"('Q92560', 'O14933')"
"('Q16623', 'Q9P253')"
"('P31785', 'P14784')"
"('Q9UJX4', 'Q9NYG5')"
"('Q6NUN9', 'O43318')"
"('Q9P0L2', 'Q04917')"
"('Q99750', 'P78381')"
"('Q00005', 'P68104')"
"('O00463', 'Q12933')"
"('P27986', 'Q8IWV1')"
"('Q13748', 'O43353')"
"('Q13976', 'P23634')"
"('Q86WN2', 'Q13651')"
"('P62993', 'Q9Y3U8')"
"('Q14807', 'O95433')"
"('P28482', 'O75582')"
"('Q9BUQ8', 'P83876')"
"('P45983', 'P18847')"
"('P21246', 'O43809')"
"('P20333', 'P07437')"
"('P53779', 'O15264')"
"('Q9UHX1', 'Q16851')"
"('Q5UIP0', 'Q9NY59')"
"('Q9HC29', 'Q9Y2Z0')"
"('Q08379', 'Q92542')"
"('Q9NR55', 'P49716')"
"('Q99558', 'P63261')"
"('P62993', 'Q8WUM4')"
"('O00237', 'Q96B02')"
"('P68543', 'Q9H814')"
"('P63173', 'P40429')"
"('406888', 'P05231')"
"('P24385', 'O15111')"
"('P56880', 'Q96B33')"
"('O43734', 'Q96F46')"
"('Q13547', 'Q15583')"
"('Q13976', 'P32418')"
"('Q15843', 'P62244')"
"('P15884', 'Q14526')"
"('Q6QNY1', 'Q8TC12')"
"('O15379', 'Q9UHL9')"
"('O14602', 'P55884')"
"('Q96AZ6', 'P19838')"
"('P22694', 'P04899')"
"('O95257', 'O60383')"
"('Q53HC9', 'Q9H8S9')"
"('P30480', 'P10768')"
"('Q3ZCQ8', 'Q9Y572')"
"('Q9NRD5', 'Q96RK0')"
"('P11802', 'P35249')"
"('P55055', 'Q9UNN5')"
"('P46013', 'Q9BYG3')"
"('P49792', 'Q8TEM1')"
"('Q9Y490', 'P35637')"
"('P63104', 'Q9H4A3')"
"('Q6VMQ6', 'Q9GZX5')"
"('Q05516', 'Q9H0E2')"
"('P51665', 'Q15008')"
"('Q92900', 'O15397')"
"('O14543', 'O14654')"
"('O75030', 'P26367')"
"('P51812', 'Q15121')"
"('O43353', 'Q13469')"
"('P68400', 'O14640')"
"('P52597', 'Q13247')"
"('P18509', 'P41586')"
"('P48059', 'Q13573')"
"('Q16619', 'P15260')"
"('P31947', 'Q9UBF8')"
"('Q9UHW5', 'Q9NWA0')"
"('Q96B02', 'Q6ZNA4')"
"('Q15029', 'Q9Y478')"
"('Q9Y478', 'P16118')"
"('P54253', 'Q9Y4B4')"
"('Q7Z6B7', 'P60763')"
"('P62993', 'Q13233')"
"('P40337', 'Q00005')"
"('P20333', 'P62269')"
"('P16871', 'P08590')"
"('P01889', 'O75390')"
"('P16220', 'Q96CJ1')"
"('P61966', 'Q9Y6Q5')"
"('Q13177', 'Q99759')"
"('Q96G75', 'P62837')"
"('O95831', 'Q9NX70')"
"('Q99684', 'P16452')"
"('Q99750', 'Q96SK3')"
"('O43293', 'Q02045')"
"('O14561', 'O75251')"
"('P19878', 'Q16539')"
"('P63261', 'O75582')"
"('P38936', 'O96020')"
"('P16220', 'Q16798')"
"('Q16566', 'O95622')"
"('Q08117', 'P09429')"
"('P20963', 'Q92608')"
"('Q9H7D0', 'Q99832')"
"('P62993', 'O95157')"
"('P05231', 'Q969J5')"
"('P21731', 'Q14344')"
"('Q9UHY7', 'O75925')"
"('Q9BTE3', 'Q9H0Y0')"
"('P43365', 'P42229')"
"('P10721', 'P27986')"
"('P63167', 'Q9C010')"
"('O43918', 'P33778')"
"('Q16621', 'Q92561')"
"('P35226', 'P63279')"
"('P08107', 'Q14164')"
"('P62136', 'Q92736')"
"('P48729', 'P17181')"
"('Q02094', 'P18146')"
"('P29508', 'Q15853')"
"('O95704', 'Q06481')"
"('P46776', 'P18621')"
"('P01106', 'P24752')"
"('P14316', 'P32455')"
"('P06400', 'O00257')"
"('P43686', 'P35998')"
"('P12956', 'P08107')"
"('P04626', 'O15524')"
"('O43432', 'P11940')"
"('O43147', 'Q9NRX1')"
"('Q16795', 'O95139')"
"('O15235', 'Q9UKR5')"
"('Q05086', 'P04150')"
"('Q9Y4K3', 'P29350')"
"('P19438', 'P43686')"
"('Q9HCU4', 'O95433')"
"('Q15714', 'Q9BZX2')"
"('O43823', 'O15379')"
"('P63279', 'P10242')"
"('Q969Q6', 'Q9Y698')"
"('P04350', 'Q96AH8')"
"('P55081', 'Q13123')"
"('P0CG48', 'Q13191')"
"('Q9UGJ0', 'O43741')"
"('Q6PD62', 'P36954')"
"('Q02543', 'Q07020')"
"('P12814', 'Q07157')"
"('P42830', 'P51679')"
"('P34897', 'P30480')"
"('P61981', 'P35580')"
"('P98095', 'P98160')"
"('Q14500', 'Q9Y4J8')"
"('P04049', 'O00329')"
"('P34741', 'O75056')"
"('Q9UBK2', 'P31749')"
"('Q9UBZ4', 'Q12933')"
"('P22460', 'Q96RT1')"
"('P30411', 'P63096')"
"('O95072', 'O60216')"
"('O75791', 'P61978')"
"('Q96KQ4', 'Q99459')"
"('P24522', 'O95257')"
"('P11473', 'P50613')"
"('Q8IU57', 'P23458')"
"('P52294', 'P25942')"
"('P27361', 'O43521')"
"('P35568', 'P48736')"
"('Q5SW79', 'P52735')"
"('Q9H8W4', 'O95197')"
"('Q6ZMN7', 'P02768')"
"('P02654', 'P01876')"
"('P62993', 'P43699')"
"('P22415', 'P61769')"
"('P35555', 'P07996')"
"('Q9Y2K7', 'P84022')"
"('O60869', 'O00482')"
"('Q13432', 'Q16363')"
"('Q8N6Y0', 'Q9H204')"
"('Q13347', 'P47813')"
"('Q9NYG5', 'P30260')"
"('O14770', 'P26367')"
"('O96017', 'Q99638')"
"('P58012', 'Q13285')"
"('O00257', 'Q9BSM1')"
"('Q06609', 'P43351')"
"('P17612', 'P48436')"
"('P49841', 'P21246')"
"('P84077', 'O60733')"
"('P38919', 'Q99459')"
"('Q9UDY8', 'Q12933')"
"('P63218', 'Q92569')"
"('Q13530', 'P45880')"
"('O95402', 'P36954')"
"('O14879', 'Q12933')"
"('P27930', 'Q9Y4K3')"
"('P34897', 'O15121')"
"('O75436', 'Q9NRG4')"
"('O94817', 'P07814')"
"('Q12955', 'Q14643')"
"('Q8WVM7', 'Q8NDV3')"
"('P20929', 'Q969Q1')"
"('Q9BY41', 'Q96KK5')"
"('Q9BRR9', 'Q16539')"
"('Q5T2W1', 'P25092')"
"('P48995', 'P20591')"
"('Q15024', 'Q8WVN8')"
"('O75419', 'P49736')"
"('Q9Y4H2', 'Q92569')"
"('P62701', 'P62263')"
"('P01857', 'P11362')"
"('Q969T4', 'Q86UW7')"
"('P62837', 'Q9NS56')"
"('P78406', 'Q96HA1')"
"('Q07021', 'P09429')"
"('Q15543', 'Q12962')"
"('Q05639', 'Q9Y6K9')"
"('P46778', 'P46776')"
"('Q12933', 'P27986')"
"('P16871', 'P30101')"
"('O75937', 'P52272')"
"('O60341', 'Q9H171')"
"('Q8NH56', 'P38405')"
"('Q9UL18', 'O60884')"
"('P63104', 'Q06830')"
"('P14625', 'P38646')"
"('P51148', 'Q14164')"
"('P50570', 'Q8IVF5')"
"('Q9Y6G9', 'P04350')"
"('Q9NQT4', 'Q5T5P2')"
"('Q9H0M0', 'Q9H469')"
"('P06756', 'Q15147')"
"('P61073', 'P10914')"
"('P14921', 'P63279')"
"('P51003', 'O95639')"
"('Q16594', 'Q9Y4A5')"
"('Q6FHJ7', 'Q9ULV1')"
"('P14136', 'O75791')"
"('Q9UK08', 'Q92633')"
"('P16333', 'P00519')"
"('Q9HAU4', 'O14640')"
"('Q14934', 'Q06413')"
"('Q8ND76', 'P61981')"
"('Q13247', 'O43390')"
"('Q13616', 'O00221')"
"('O95503', 'Q71DI3')"
"('P18146', 'Q16774')"
"('Q06330', 'P0C7T5')"
"('P63244', 'O43521')"
"('Q13885', 'Q9NRI5')"
"('O00329', 'P16885')"
"('P62191', 'O75832')"
"('P62993', 'O15371')"
"('P42768', 'Q9Y2R2')"
"('O00231', 'Q9Y5K5')"
"('O43752', 'Q9BV40')"
"('O00716', 'P14635')"
"('Q14134', 'P49773')"
"('P63146', 'Q9NS91')"
"('Q9UNM6', 'Q9H936')"
"('Q96EB6', 'P16402')"
"('P02462', 'Q13683')"
"('P25929', 'P63096')"
"('B1A4H9', 'Q969J5')"
"('Q15906', 'Q52LR7')"
"('Q9UKV8', 'P15880')"
"('P35268', 'P18077')"
"('P62316', 'Q15149')"
"('Q7Z6G3', 'Q96HA8')"
"('Q6DT37', 'P31947')"
"('Q92956', 'P14866')"
"('P14210', 'P06213')"
"('P25054', 'Q9BQ04')"
"('Q9UK45', 'P62310')"
"('Q14511', 'P51955')"
"('P01588', 'P08887')"
"('P00374', 'P04637')"
"('P84103', 'O75937')"
"('Q14653', 'Q92844')"
"('O43741', 'P49815')"
"('P49286', 'P62873')"
"('Q13153', 'Q7L0Q8')"
"('Q8WUW1', 'P63000')"
"('Q9P2G9', 'Q96FW1')"
"('P05413', 'P53350')"
"('O15069', 'Q9NRH1')"
"('Q14164', 'Q9Y5Q3')"
"('P45985', 'Q14315')"
"('P19838', 'Q9Y2T4')"
"('P28039', 'P01857')"
"('P62487', 'O95402')"
"('Q6WCQ1', 'Q16836')"
"('Q08170', 'Q9HCE7')"
"('Q92481', 'P63279')"
"('Q9Y6C5', 'O43323')"
"('Q99459', 'Q9BWT7')"
"('P45983', 'P29508')"
"('P01889', 'P35080')"
"('P62140', 'P42262')"
"('P35326', 'P46108')"
"('P33993', 'O14908')"
"('Q9BQE3', 'P51149')"
"('Q9UM54', 'P12830')"
"('P60953', 'Q9H8S9')"
"('O95168', 'Q9Y6M9')"
"('P23470', 'P22681')"
"('Q99593', 'P52952')"
"('O94806', 'P61224')"
"('O95140', 'Q7Z434')"
"('Q00653', 'P39019')"
"('PB_10', 'O60674')"
"('Q13315', 'P17029')"
"('Q14CS0', 'O60506')"
"('O95402', 'Q16637')"
"('O00273', 'Q9NWF9')"
"('O75182', 'Q92769')"
"('P28799', 'O95985')"
"('P28562', 'Q16659')"
"('P19438', 'Q7Z3U7')"
"('Q13315', 'O14757')"
"('Q9Y4J8', 'Q14500')"
"('P52756', 'Q8IWZ8')"
"('P41225', 'Q15583')"
"('P01282', 'Q9NRR5')"
"('P49716', 'Q6PKC3')"
"('P01106', 'Q5U5X0')"
"('Q9H2X0', 'P12644')"
"('P04150', 'P20226')"
"('P40337', 'P48739')"
"('O00308', 'P51168')"
"('Q9P0V3', 'Q02790')"
"('Q12849', 'Q9UET6')"
"('Q8N5U6', 'P63279')"
"('P12236', 'Q12873')"
"('P51116', 'P38159')"
"('P07948', 'P32927')"
"('P06241', 'Q02846')"
"('P61952', 'P48544')"
"('Q00987', 'P27695')"
"('O94776', 'Q14839')"
"('P61224', 'Q9HAU4')"
"('Q9Y5N6', 'O43929')"
"('Q04206', 'P33681')"
"('P47897', 'Q16637')"
"('P01106', 'Q8IV04')"
"('Q9Y243', 'Q13370')"
"('Q9UKV8', 'Q9UL18')"
"('P80098', 'P25025')"
"('Q13573', 'Q13547')"
"('O95267', 'P47712')"
"('Q16543', 'P10645')"
"('O75928', 'Q92547')"
"('P04049', 'P08238')"
"('Q8NHZ8', 'Q8WWL7')"
"('O95782', 'P49757')"
"('Q9Y266', 'Q13177')"
"('Q9BQ66', 'P15622')"
"('Q9P2H0', 'P62308')"
"('Q07890', 'Q96L33')"
"('Q8WXH5', 'Q13261')"
"('P35998', 'P62191')"
"('Q9ULL4', 'Q8IWT3')"
"('O14920', 'O75688')"
"('Q13887', 'P0CG48')"
"('Q9NV56', 'P0C0S5')"
"('Q99879', 'Q96QV6')"
"('P16333', 'P20810')"
"('P33993', 'P30480')"
"('Q9P0V3', 'P61981')"
"('Q9HCE7', 'P07949')"
"('O43921', 'P11362')"
"('P18206', 'Q13277')"
"('Q96AJ9', 'Q9UNK0')"
"('Q8NFH4', 'Q13573')"
"('P61956', 'O14715')"
"('Q13315', 'P27816')"
"('Q9NZN5', 'P52198')"
"('Q9BPX7', 'P51668')"
"('P28566', 'P63096')"
"('P04626', 'P35354')"
"('P46094', 'O60674')"
"('P07237', 'P04156')"
"('O43502', 'O43543')"
"('O96020', 'Q00526')"
"('Q15075', 'P11717')"
"('O15264', 'Q14765')"
"('P60673', 'P18206')"
"('Q9H492', 'Q13618')"
"('Q9NPF4', 'P29353')"
"('P28331', 'Q14197')"
"('P62917', 'P61353')"
"('P61106', 'Q6XUX3')"
"('Q01082', 'Q96KM6')"
"('P40337', '51639')"
"('Q15428', 'Q9Y2W2')"
"('A0JLT2', 'Q15648')"
"('P29353', 'Q9UJM3')"
"('Q96B97', 'Q99963')"
"('Q14695', 'P04843')"
"('P11171', 'Q13526')"
"('P08670', 'Q06323')"
"('Q9NZT1', 'Q08828')"
"('P30559', 'Q5JWF2')"
"('P63167', 'P62993')"
"('O14640', 'Q92837')"
"('Q8TBB1', 'Q8TC92')"
"('P18545', 'P51160')"
"('P33992', 'P53350')"
"('P84022', 'Q9NZH6')"
"('P18146', 'Q16587')"
"('P40763', 'Q9Y478')"
"('P23396', 'P10145')"
"('P62987', 'P62913')"
"('O00267', 'Q92561')"
"('Q14181', 'Q15910')"
"('P14866', 'P11387')"
"('P56856', 'O95832')"
