negatives
"('P52756', 'Q9HCE1')"
"('O15524', 'P06239')"
"('Q8NE01', 'P61978')"
"('Q9BV90', 'Q9NRD5')"
"('O14796', 'Q06830')"
"('P01111', 'Q8N6M6')"
"('O95988', 'Q9Y243')"
"('Q96BD6', 'Q13315')"
"('P10415', 'Q9P2Y5')"
"('Q08117', 'P25791')"
"('P47869', 'Q9NQX3')"
"('P03372', 'P06401')"
"('Q9Y6X2', 'P51692')"
"('Q9Y2I6', 'Q5VT06')"
"('P14866', 'P10276')"
"('O00329', 'P63244')"
"('Q9NRR5', 'P55198')"
"('P23528', 'P40123')"
"('P51692', 'P42224')"
"('O15111', 'Q13451')"
"('Q9UD71', 'O14965')"
"('P29590', 'P12755')"
"('Q9BU70', 'P60484')"
"('Q15475', 'Q8NES3')"
"('P35626', 'P07550')"
"('Q9Y2T1', 'P25054')"
"('Q8IXJ9', 'P31269')"
"('Q04917', 'Q5S007')"
"('Q6L8H1', 'Q9UL15')"
"('Q96M63', 'O14964')"
"('P07741', 'P19320')"
"('Q99558', 'O15519')"
"('O00222', 'P63211')"
"('O15198', 'P08621')"
"('Q9NSP4', 'Q96H22')"
"('P40763', 'P06213')"
"('Q8TEY7', 'Q96RU2')"
"('Q2M3C7', 'P81605')"
"('P06396', 'Q16643')"
"('O60906', 'Q05329')"
"('Q9P209', 'Q0VD86')"
"('P61956', 'Q15486')"
"('Q00653', 'P62191')"
"('P49863', 'P55072')"
"('Q99963', 'Q9C0J8')"
"('Q86UV5', 'Q7Z2W4')"
"('Q9UET6', 'P54577')"
"('Q14142', 'Q8IYI6')"
"('P28799', 'Q3LI76')"
"('O14617', 'Q9H267')"
"('Q8IYR0', 'Q9BRK4')"
"('Q96NY8', 'Q92692')"
"('Q13137', 'Q96T37')"
"('P53355', 'Q38SD2')"
"('Q6IBW4', 'Q9BPX3')"
"('Q12955', 'Q9UKN8')"
"('Q9H190', 'P32929')"
"('Q13616', 'Q7Z6M2')"
"('P50225', 'Q15654')"
"('Q15366', 'Q13148')"
"('P61006', 'P20339')"
"('Q96EY7', 'P39210')"
"('P60953', 'O14613')"
"('Q9UKV3', 'Q99496')"
"('Q9UBL3', 'Q9UJW3')"
"('Q5VYK3', 'Q03001')"
"('P10301', 'Q8WWA0')"
"('O00716', 'Q9Y3X0')"
"('Q13077', 'P08138')"
"('O00499', 'Q13426')"
"('P63279', 'Q12800')"
"('P83916', 'P38398')"
"('Q7L7L0', 'O75031')"
"('Q9BSJ2', 'P11021')"
"('Q8N0Z3', 'Q96DN5')"
"('Q9H4F8', 'Q15165')"
"('Q6ZNA1', 'Q9BTW9')"
"('P17661', 'Q8WWB5')"
"('P16070', 'P40763')"
"('Q8N653', 'O43513')"
"('Q96A08', 'P05412')"
"('P61916', 'P38398')"
"('Q9NP92', 'Q8IUR7')"
"('Q8TAV3', 'P34931')"
"('Q5T754', 'Q5T751')"
"('Q96T91', 'Q9BRT8')"
"('Q92934', 'Q92843')"
"('Q96MT8', 'Q9Y5B8')"
"('Q15637', 'P09661')"
"('Q9NU22', 'O94768')"
"('Q01518', 'P06753')"
"('Q9NXC5', 'P78406')"
"('Q12874', 'Q7Z2W7')"
"('Q8WU58', 'Q13643')"
"('P61088', 'P59998')"
"('Q5TA79', 'P60329')"
"('P15408', 'P50222')"
"('Q01726', 'P35240')"
"('Q14164', 'Q4VC31')"
"('Q8NHY5', 'Q99638')"
"('P56279', 'Q9H257')"
"('P51572', 'P07951')"
"('Q6P4F7', 'Q9NQW6')"
"('Q07627', 'Q8IYK8')"
"('Q9BYD6', 'Q9P015')"
"('Q9Y2M0', 'O15287')"
"('Q969U7', 'Q6PJQ5')"
"('Q13442', 'P02545')"
"('P61956', 'Q9Y6X2')"
"('P05067', 'P18850')"
"('O60481', 'Q9H9S0')"
"('P31321', 'Q99633')"
"('P0DMV9', 'O60603')"
"('Q9Y247', 'P35609')"
"('Q00796', 'P07195')"
"('Q9BQE3', 'P27694')"
"('Q9BR84', 'Q9BWT7')"
"('Q13155', 'P04629')"
"('O43734', 'Q9UHD2')"
"('Q8NA61', 'O95835')"
"('Q7Z6E9', 'Q03933')"
"('Q13573', 'Q15149')"
"('P40425', 'P31273')"
"('Q15717', 'Q9UKY7')"
"('P43405', 'P20333')"
"('Q9UMD9', 'P15924')"
"('Q6UXH1', 'Q6X784')"
"('P24941', 'Q9P287')"
"('Q92620', 'P52597')"
"('Q9UBI1', 'Q9P000')"
"('P13010', 'Q9NXH9')"
"('P25788', 'O15320')"
"('P08727', 'Q9HAU0')"
"('Q86UU0', 'P18146')"
"('Q8N9W4', 'Q01850')"
"('Q13439', 'Q6MZP7')"
"('Q9H4E7', 'Q15018')"
"('P17987', 'Q6ZW61')"
"('Q8IYB3', 'Q9BZI7')"
"('P43365', 'Q14CZ7')"
"('P05455', 'Q9BYG3')"
"('Q9Y5R4', 'Q16633')"
"('O60563', 'Q9HB65')"
"('O95198', 'Q53G59')"
"('O43852', 'P12004')"
"('Q7Z434', 'P62987')"
"('P04792', 'Q8NBP7')"
"('P51858', 'Q9NQT5')"
"('Q13153', 'Q13177')"
"('Q9Y3I0', 'P16989')"
"('Q2M3C7', 'Q8TBB1')"
"('P53041', 'P17812')"
"('Q13616', 'P05141')"
"('P27348', 'P10153')"
"('P19320', 'P16402')"
"('P15927', 'Q8IYD8')"
"('P07900', 'P08581')"
"('P30101', 'P62820')"
"('P27694', 'P49916')"
"('Q9NPF4', 'Q96BZ8')"
"('Q9NX04', 'Q8ND90')"
"('P36952', 'Q8IY92')"
"('Q99996', 'O60763')"
"('O60244', 'P62487')"
"('P05067', 'P61081')"
"('P07951', 'P12757')"
"('O75369', 'Q13509')"
"('Q9H4X1', 'Q9Y490')"
"('O43815', 'Q9HCH0')"
"('Q17R55', 'Q86Y07')"
"('P38606', 'O43504')"
"('Q9Y468', 'P35998')"
"('P34897', 'O15067')"
"('P43235', 'Q13489')"
"('Q8N5A5', 'Q8NHQ1')"
"('P47755', 'Q6F5E8')"
"('Q9UBI1', 'Q567U6')"
"('P54274', 'P14625')"
"('Q9Y574', 'Q9UJY1')"
"('Q8IWL3', 'Q9UMS0')"
"('P51991', 'Q15404')"
"('Q8TEW0', 'Q00722')"
"('P49716', 'Q9Y696')"
"('Q9HAV0', 'Q6UB98')"
"('Q13507', 'Q9UL62')"
"('P26045', 'Q9UN30')"
"('P21912', 'O43597')"
"('Q15276', 'O15516')"
"('Q15051', 'P68366')"
"('Q15714', 'P63173')"
"('Q3B7T1', 'Q9BQ15')"
"('Q16594', 'Q92597')"
"('Q8IUD2', 'Q9NPJ6')"
"('P36873', 'Q8IZS8')"
"('P05413', 'P53350')"
"('Q07021', 'P07602')"
"('Q06455', 'P18583')"
"('P49841', 'O43623')"
"('Q15628', 'Q07666')"
"('Q6UB99', 'Q08379')"
"('Q15654', 'Q15366')"
"('P62993', 'P53618')"
"('P38919', 'P49327')"
"('Q9C0F1', 'Q9BWG6')"
"('O43474', 'P61073')"
"('Q13155', 'Q92844')"
"('Q9UBB9', 'Q96GE4')"
"('Q96SB4', 'Q9Y2W1')"
"('P51617', 'Q13501')"
"('P68366', 'Q86VP6')"
"('P04637', 'P14625')"
"('Q96FV9', 'O75533')"
"('Q9ULV4', 'Q9HD43')"
"('Q149N8', 'Q70CQ1')"
"('Q9UER7', 'Q99683')"
"('P04406', 'Q14999')"
"('Q9BXW7', 'Q9Y3D2')"
"('Q9HAZ1', 'Q9BZL1')"
"('O00560', 'Q96GX9')"
"('O15547', 'O75953')"
"('P26599', 'Q9H0R8')"
"('Q93034', 'Q08J23')"
"('Q9BZV1', 'O95817')"
"('P55318', 'Q9BXK1')"
"('P63261', 'Q9UI47')"
"('Q9BTY2', 'P49639')"
"('Q14152', 'P24941')"
"('P56377', 'Q9P2D3')"
"('Q8N1B4', 'Q9Y247')"
"('Q4G0X9', 'Q9HBG6')"
"('Q96JC9', 'Q6PCB5')"
"('Q9H5H4', 'O95758')"
"('Q7Z7L7', 'Q6IN84')"
"('Q9BTK6', 'O14980')"
"('Q8WV44', 'O95995')"
"('P53602', 'P06493')"
"('Q13490', 'Q13114')"
"('P12931', 'Q06418')"
"('P05451', 'P05067')"
"('Q16531', 'O75446')"
"('Q06210', 'P43686')"
"('P04629', 'Q9UBE0')"
"('Q9NX09', 'P49815')"
"('P37837', 'P29401')"
"('O76064', 'Q92889')"
"('Q9BZS1', 'Q96I24')"
"('P18206', 'Q14118')"
"('O75925', 'P63279')"
"('P15692', 'P04629')"
"('Q92878', 'Q9NYB0')"
"('P62979', 'Q92522')"
"('Q9NPB6', 'Q6P1M3')"
"('Q69YQ0', 'Q15293')"
"('P29590', 'O15169')"
"('O96019', 'Q92785')"
"('O75394', 'Q9BYD6')"
"('Q86Y56', 'Q99689')"
"('Q9NYB9', 'P22061')"
"('Q8WZ42', 'Q14324')"
"('P08621', 'Q99590')"
"('Q9NUJ1', 'P63146')"
"('Q9NX04', 'P15884')"
"('P12318', 'O75022')"
"('Q13309', 'Q5MJ70')"
"('Q96AP0', 'O75821')"
"('P35222', 'P42166')"
"('P35625', 'P16104')"
"('Q9BPX3', 'Q9NTJ3')"
"('Q9NQL9', 'O15162')"
"('Q9NVX0', 'O14949')"
"('P07900', 'Q9UDY6')"
"('Q9UQ80', 'O75937')"
"('O95544', 'Q04917')"
"('Q14999', 'Q13185')"
"('P49746', 'Q8ND04')"
"('Q92583', 'P51677')"
"('O43915', 'P11362')"
"('Q9H9Y6', 'Q9H944')"
"('Q9BZV1', 'P10398')"
"('Q8N1B3', 'Q5JUW0')"
"('Q9Y6B2', 'Q5JVF3')"
"('Q99759', 'P04350')"
"('O95644', 'Q8N1G4')"
"('P62424', 'O60260')"
"('Q96MS0', 'P38159')"
"('P12931', 'Q13393')"
"('Q13492', 'Q93052')"
"('Q9UNL4', 'Q9UM07')"
"('Q8NGS8', 'Q9P2W3')"
"('P16860', 'P20594')"
"('Q9H3N1', 'Q8WVC6')"
"('P05067', 'Q9UEE9')"
"('P21953', 'P12694')"
"('P25106', 'P30049')"
"('P60410', 'Q9NXZ2')"
"('P06729', 'P01730')"
"('Q9BRV3', 'O00560')"
"('O95967', 'O15375')"
"('Q12788', 'P42331')"
"('P04629', 'Q9Y265')"
"('Q8TBZ3', 'P07900')"
"('P63172', 'P21796')"
"('P36406', 'O94941')"
"('Q7Z3Y8', 'P17482')"
"('Q15038', 'Q9NV39')"
"('Q8TD30', 'Q96T91')"
"('Q969G3', 'Q03112')"
"('O75368', 'P28066')"
"('P12830', 'Q13177')"
"('Q12933', 'P15941')"
"('P62899', 'P46783')"
"('Q9NRC8', 'Q9UHX1')"
"('P17028', 'P13994')"
"('P49720', 'Q96KQ7')"
"('O75915', 'Q9H0F7')"
"('Q9BXJ9', 'P04629')"
"('Q9P2F8', 'Q9Y463')"
"('Q4KMQ1', 'Q9NQW6')"
"('P38919', 'P14866')"
"('Q8WVP5', 'Q6NZI2')"
"('P12236', 'P01023')"
"('Q9BPZ7', 'P56524')"
"('P61981', 'A2RU30')"
"('P04155', 'Q9NRR5')"
"('Q9ULH1', 'O95433')"
"('O75604', 'Q9HCM9')"
"('Q15303', 'Q8N2W9')"
"('Q13322', 'P00519')"
"('P35226', 'Q13310')"
"('Q9Y5M8', 'Q9Y2U8')"
"('Q86UV5', 'P68431')"
"('Q969G5', 'Q9H9B4')"
"('P10275', 'O15164')"
"('P38398', 'P18887')"
"('P21860', 'P01892')"
"('P10644', 'Q13418')"
"('Q9NYB0', 'Q8IZQ1')"
"('P03372', 'P83881')"
"('Q15286', 'P61221')"
"('Q14203', 'Q9Y2Q3')"
"('P05155', 'P02745')"
"('Q9Y3I1', 'P10809')"
"('Q9NZL4', 'P38646')"
"('Q5T9L3', 'P56705')"
"('Q9P275', 'Q8NG27')"
"('O43290', 'Q9BUQ8')"
"('P02790', 'Q9UHI8')"
"('Q9Y606', 'Q09161')"
"('Q9HCE1', 'P46783')"
"('Q13569', 'P55854')"
"('P48431', 'O95373')"
"('Q9BYC8', 'Q969X5')"
"('Q15910', 'Q14258')"
"('Q06945', 'O75531')"
"('P35626', 'Q8NH64')"
"('P06756', 'P28482')"
"('P21917', 'P62879')"
"('P35637', 'Q99459')"
"('Q969H0', 'Q96SD1')"
"('Q13595', 'Q9BYN8')"
"('P42330', 'Q9UKV3')"
"('Q6P1J9', 'Q86VP6')"
"('Q7Z3B1', 'P61916')"
"('P62753', 'P26373')"
"('Q6ZNE5', 'Q15717')"
"('P42224', 'P21246')"
"('P16333', 'Q86SG6')"
"('Q9UBB9', 'Q9UK58')"
"('Q9NZ01', 'P03372')"
"('Q9BQY4', 'Q5VWP2')"
"('Q66K14', 'Q9GZQ8')"
"('O43482', 'P10606')"
"('Q9BYG3', 'Q13618')"
"('Q96E29', 'Q6RW13')"
"('P02746', 'P02745')"
"('Q9H334', 'Q01826')"
"('O75691', 'P35226')"
"('O96000', 'Q8IZH2')"
"('P0C853', 'Q9NRQ2')"
"('Q14839', 'O43623')"
"('P38398', 'P19838')"
"('Q96FV9', 'Q9BYV2')"
"('O14610', 'P48050')"
"('Q9UM11', 'Q8IZY5')"
"('Q32MK0', 'P16333')"
"('Q92878', 'Q9ULK4')"
"('P15976', 'Q14134')"
"('Q9NX04', 'Q5VTR2')"
"('P29597', 'P25105')"
"('P60410', 'Q8IYI8')"
"('Q9UHV7', 'Q6P2Q9')"
"('P67870', 'P35222')"
"('P21291', 'O14640')"
"('P29323', 'Q9UM73')"
"('P63211', 'Q9Y478')"
"('Q9NX70', 'Q96RN5')"
"('Q96GG9', 'P13645')"
"('O75131', 'Q6NUN9')"
"('Q8NEZ3', 'Q9P2L0')"
"('Q86W92', 'P61981')"
"('P62993', 'P22681')"
"('P18858', 'Q8NE28')"
"('Q71UI9', 'Q86VP6')"
"('Q9BTW9', 'O95352')"
"('A6NCV1', 'O60262')"
"('Q9BYR5', 'Q8TAU3')"
"('P13569', 'P32241')"
"('Q09472', 'P48551')"
"('O15066', 'O14782')"
"('Q14738', 'Q86YF9')"
"('Q07065', 'Q9P0L0')"
"('Q9Y5B8', 'Q96D03')"
"('P61088', 'Q86Y13')"
"('P62837', 'Q8NA92')"
"('P23381', 'Q969U7')"
"('P48730', 'P27707')"
"('Q9UKJ5', 'P60409')"
"('P56537', 'O00291')"
"('P12931', 'Q9UBY0')"
"('Q8WYQ9', 'A8MQ03')"
"('Q9Y297', 'P01375')"
"('Q9UKV3', 'Q99538')"
"('Q49AN0', 'P19338')"
"('Q9NR28', 'P61221')"
"('Q14004', 'Q6XUX3')"
"('Q9UBU9', 'P52907')"
"('Q12959', 'Q99569')"
"('O14640', 'Q8TAA9')"
"('P17861', 'P49286')"
"('O75582', 'P16220')"
"('Q9UGL1', 'A8MV65')"
"('O43251', 'Q99729')"
"('Q9Y6C9', 'P35232')"
"('Q13501', 'Q9UBU9')"
"('Q96MH2', 'O75528')"
"('Q9Y6G3', 'Q9BYN8')"
"('P08238', 'P0CI25')"
"('Q9UBS4', 'Q13418')"
"('Q6PEX3', 'Q9Y272')"
"('P61218', 'Q9Y2E8')"
"('Q6UWT4', 'O43765')"
"('P46199', 'Q5BKU9')"
"('P53384', 'Q9UEW8')"
"('P51449', 'P22794')"
"('P05023', 'Q15051')"
"('P43364', 'Q9Y237')"
"('P49736', 'Q96T23')"
"('P60409', 'Q8IZC7')"
"('P68366', 'Q9Y6G9')"
"('P17482', 'P59991')"
"('A9YTQ3', 'Q9UQL6')"
"('P23443', 'P05452')"
"('Q7Z7L7', 'Q13439')"
"('Q9NQL2', 'O43504')"
"('Q05639', 'Q00526')"
"('Q9UHY1', 'P04183')"
"('P29401', 'P49736')"
"('Q86VP1', 'Q14103')"
"('O95718', 'P15880')"
"('Q13247', 'Q13595')"
"('P35222', 'P34925')"
"('P55769', 'Q6NZI2')"
"('Q14814', 'Q9UBU9')"
"('Q9H0U4', 'Q08379')"
"('P27361', 'Q13409')"
"('P62847', 'P61313')"
"('Q8N1N5', 'Q6ZW49')"
"('Q9Y2A7', 'Q9NYB9')"
"('Q00653', 'P0DP25')"
"('Q9Y6P5', 'Q13131')"
"('Q09472', 'Q99081')"
"('P05067', 'Q15726')"
"('Q13084', 'Q9BYD3')"
"('P49773', 'A5PLL7')"
"('Q13617', 'P14625')"
"('P46781', 'P62266')"
"('Q96M89', 'Q68CZ1')"
"('P19338', 'Q9H0W5')"
"('Q9UBF1', 'P40426')"
"('Q5TCZ1', 'Q9BST9')"
"('Q9Y3A5', 'O60493')"
"('O15198', 'Q9Y2U8')"
"('Q99873', 'Q99961')"
"('Q99720', 'Q5EBL8')"
"('P43243', 'Q01844')"
"('O43633', 'Q9H444')"
"('P01106', 'Q96KQ7')"
"('P0DP25', 'Q7Z3V4')"
"('Q15404', 'Q01813')"
"('O14879', 'Q12906')"
"('Q96HA9', 'O96011')"
"('B2RUY7', 'P60410')"
"('Q9UPS6', 'Q5QNW6')"
"('Q9NRD1', 'P26641')"
"('Q15819', 'P12004')"
"('O95503', 'Q8IYT8')"
"('O60264', 'Q16576')"
"('P19338', 'P32121')"
"('Q16659', 'O60583')"
"('O14818', 'P25787')"
"('P57740', 'P53396')"
"('P07195', 'Q13177')"
"('Q12933', 'O75928')"
"('P63279', 'P19634')"
"('O75962', 'P84095')"
"('P38117', 'Q14CZ7')"
"('Q9Y2R0', 'Q7KZN9')"
"('P63279', 'Q9Y5K6')"
"('O15498', 'O95249')"
"('P68400', 'O43156')"
"('Q13435', 'O75940')"
"('P56524', 'Q9P0M6')"
"('P61927', 'Q07021')"
"('P13726', 'P51153')"
"('Q9HAV4', 'P43360')"
"('P84103', 'Q9Y490')"
"('Q9Y2G5', 'Q9H492')"
"('O75461', 'P03372')"
"('Q8WVX9', 'Q9H0W5')"
"('Q8WUY3', 'P62847')"
"('P29353', 'Q9UQC2')"
"('Q8N5N7', 'Q96I51')"
"('Q99814', 'P29274')"
"('Q16620', 'P52735')"
"('Q96EQ0', 'P10124')"
"('P04259', 'Q9Y375')"
"('Q7L0Q8', 'Q8WV99')"
"('Q14593', 'Q13547')"
"('Q9NYW8', 'Q5T619')"
"('P15407', 'Q02930')"
"('P05129', 'P50151')"
"('P09874', 'Q9H2X6')"
"('Q04206', 'Q13315')"
"('P10809', 'P60709')"
"('Q5VWN6', 'Q92569')"
"('O76024', 'Q86TM6')"
"('Q7L0X0', 'O15455')"
"('Q9HCE1', 'Q12965')"
"('Q05655', 'O14654')"
"('O60739', 'Q15819')"
"('P10599', 'P49773')"
"('O94776', 'Q8N3D4')"
"('Q13155', 'Q9Y237')"
"('Q5VY09', 'P67775')"
"('Q6UXM1', 'Q9NU53')"
"('Q9Y6M9', 'O00217')"
"('Q9H2G2', 'O94985')"
"('P62837', 'Q96NR8')"
"('Q86SZ2', 'Q8NBJ4')"
"('P61077', 'Q9NS56')"
"('P04637', 'Q9H160')"
"('Q12933', 'Q15306')"
"('Q13547', 'Q8N9N5')"
"('Q9NV31', 'Q9NZQ3')"
"('P49792', 'P01106')"
"('P63104', 'Q00839')"
"('P46379', 'O75436')"
"('O15155', 'P53618')"
"('P35228', 'Q92598')"
"('Q13535', 'O60716')"
"('Q9HCC0', 'O43169')"
"('Q7L0Y3', 'Q14197')"
"('Q96FW1', 'Q9BYV6')"
"('Q86V81', 'P49674')"
"('Q00839', 'Q9UBU8')"
"('Q96PU5', 'Q9H0G5')"
"('P02794', 'Q14194')"
"('Q86UD3', 'Q96LR5')"
"('P35226', 'P04843')"
"('Q03989', 'Q6ZRY4')"
"('P16070', 'Q9P1Y6')"
"('P20783', 'P11216')"
"('P67870', 'Q14999')"
"('Q8TEY7', 'Q13601')"
"('O75150', 'Q15554')"
"('P23467', 'Q13224')"
"('O15143', 'P61758')"
"('P57721', 'Q9Y3D0')"
"('Q99836', 'Q9HCE7')"
"('Q9UKV0', 'Q99880')"
"('Q6UXU6', 'Q9UKY4')"
"('Q13705', 'P12643')"
"('Q9H7Z7', 'O00483')"
"('O43776', 'O15116')"
"('P11142', 'P62068')"
"('Q9Y250', 'Q96IX9')"
"('O15120', 'P16402')"
"('Q92621', 'Q9C009')"
"('Q6NUN9', 'P56192')"
"('P58004', 'Q96S15')"
"('P60827', 'O75973')"
"('Q96PE7', 'Q96DZ9')"
"('Q8TF46', 'Q13868')"
"('Q96SB4', 'Q15424')"
"('Q96DT7', 'Q9UF56')"
"('Q9H9Y6', 'P61927')"
"('Q2KHM9', 'Q96GA3')"
"('Q8IX90', 'Q9NPJ6')"
"('P17936', 'P01344')"
"('P16278', 'Q9P0L0')"
"('P46779', 'P38398')"
"('P78310', 'O75376')"
"('P60866', 'P83731')"
"('Q9UBL3', 'Q9BRQ0')"
"('Q96GY3', 'Q9BYV2')"
"('P07900', 'Q58FF8')"
"('P57678', 'P51648')"
"('Q14498', 'P61326')"
"('P04629', 'Q9BXP5')"
"('Q15717', 'P33897')"
"('Q9NXG0', 'P56730')"
"('O75530', 'Q07955')"
"('Q9BZD4', 'Q9UNZ2')"
"('P30542', 'Q9Y4L5')"
"('P49716', 'Q3YBR2')"
"('P04629', 'Q86VM9')"
"('P05106', 'P56945')"
"('Q9UER7', 'P42771')"
"('Q3SYG4', 'Q5T7N2')"
"('Q15323', 'Q9NRY4')"
"('Q02083', 'Q16394')"
"('Q99759', 'P49368')"
"('Q969F2', 'Q969T4')"
"('P49736', 'Q7Z739')"
"('Q9Y223', 'Q9BQ66')"
"('P22694', 'Q9NQA5')"
"('Q8IW41', 'Q86X29')"
"('P32969', 'P62269')"
"('P62807', 'Q96BK5')"
"('Q15717', 'Q7Z5W3')"
"('P78364', 'P35227')"
"('P07288', 'P09874')"
"('O94913', 'Q8IYB3')"
"('O60814', 'Q96RL1')"
"('Q9Y5K8', 'Q9H0A8')"
"('P0DP25', 'Q13576')"
"('Q99447', 'O60260')"
"('Q8N8J7', 'Q96LD1')"
"('P08183', 'P41226')"
"('P62979', 'P49459')"
"('P62328', 'O76011')"
"('O75531', 'O75475')"
"('Q9Y2N7', 'P40337')"
"('Q7Z3T1', 'O60262')"
"('P63211', 'Q92806')"
"('P14625', 'O43852')"
"('Q99558', 'P05455')"
"('Q9NXG2', 'Q9BRP7')"
"('P78527', 'Q92858')"
"('P62987', 'Q9UK80')"
"('Q69YU3', 'Q5TCZ1')"
"('Q14943', 'P30443')"
"('O60307', 'Q13151')"
"('Q8IUH3', 'Q13618')"
"('Q04724', 'P55771')"
"('Q9UL18', 'P07900')"
"('Q96EP1', 'Q9C026')"
"('Q9NRD1', 'P07225')"
"('Q92925', 'Q13469')"
"('P20339', 'P07339')"
"('P12956', 'Q09028')"
"('P60880', 'Q15811')"
"('Q9Y3E0', 'Q9UJZ1')"
"('P07602', 'P07339')"
"('Q9H9Z2', 'Q13601')"
"('Q8WTV0', 'P54709')"
"('P61221', 'Q9ULV4')"
"('O14829', 'Q00325')"
"('Q9NRP2', 'O75208')"
"('Q8N6V9', 'Q8N0Z3')"
"('P62736', 'Q96EK4')"
"('P55081', 'Q9Y250')"
"('Q4G0F5', 'P04629')"
"('Q15269', 'Q9NRC8')"
"('P51532', 'O14802')"
"('Q2TBC4', 'Q8TAA9')"
"('Q9BQC3', 'Q9Y4P8')"
"('P27361', 'Q92908')"
"('Q9UNH7', 'Q96CV9')"
"('Q9P2B7', 'Q86VQ0')"
"('Q13618', 'P08238')"
"('Q12952', 'O60749')"
"('Q9Y275', 'O43508')"
"('Q9UPY8', 'Q96G42')"
"('Q8IY81', 'Q99733')"
"('P14373', 'Q96GM5')"
"('Q8TEP8', 'Q5BJF6')"
"('Q86VP6', 'P57078')"
"('P07900', 'Q08752')"
"('O76003', 'P04629')"
"('Q68D86', 'P25786')"
"('Q13490', 'P25942')"
"('Q14157', 'Q6ZVL6')"
"('Q15139', 'P48426')"
"('Q14566', 'P53396')"
