negatives
"('Q1KMD3', 'Q14240')"
"('Q14790', 'P27986')"
"('O95197', 'Q9Y5P4')"
"('Q8WVB3', 'P29692')"
"('P62847', 'P43146')"
"('Q9UJX4', 'Q9UM13')"
"('P39019', 'P62249')"
"('Q15800', 'Q15738')"
"('P06213', 'Q92569')"
"('P46108', 'P62993')"
"('P62140', 'P16220')"
"('Q9HCK5', 'P23588')"
"('P41091', 'P60228')"
"('P42684', 'Q8IZP0')"
"('P16871', 'Q71U36')"
"('Q7L590', 'Q96BR9')"
"('P36402', 'Q15562')"
"('Q93009', 'P84022')"
"('P98095', 'Q9HD26')"
"('P61088', 'O76050')"
"('Q8NGU2', 'P38405')"
"('O43809', 'P10074')"
"('P30405', 'P21796')"
"('P46379', 'Q9H293')"
"('P23297', 'P04271')"
"('Q9NVU0', 'P52434')"
"('Q96SN8', 'Q9NRP7')"
"('P16220', 'Q9UKF7')"
"('Q99731', 'P52630')"
"('Q68E01', 'Q13573')"
"('Q15654', 'P54259')"
"('Q13547', 'Q9P0M6')"
"('P0C1Z6', 'Q96JC9')"
"('Q9BRK4', 'Q9NWB1')"
"('Q15834', 'Q12929')"
"('O15198', 'Q7LFL8')"
"('Q8IXJ9', 'P16333')"
"('Q96B02', 'Q99942')"
"('O60244', 'Q9BUE0')"
"('Q96ST3', 'Q9UBL3')"
"('Q9Y2Q3', 'P35606')"
"('P24941', 'O15294')"
"('O00459', 'P14415')"
"('P21246', 'Q07817')"
"('P27105', 'P63165')"
"('P46108', 'Q9UBS5')"
"('O60244', 'Q96HR3')"
"('O75150', 'Q9UKY1')"
"('P01891', 'P51571')"
"('Q96B18', 'P05129')"
"('O60739', 'P30049')"
"('407035', 'Q9NPG1')"
"('Q13352', 'Q16659')"
"('Q9UM11', 'Q14511')"
"('O14908', 'P12814')"
"('Q92901', 'P61513')"
"('Q14653', 'Q9Y5Q3')"
"('Q9BXW7', 'P04278')"
"('P22681', 'Q8WYR1')"
"('P12814', 'Q07157')"
"('P38159', 'P31943')"
"('Q9UKB1', 'P56645')"
"('Q13885', 'Q16363')"
"('Q05513', 'P07900')"
"('Q8NEB9', 'P61981')"
"('Q99683', 'Q9UM73')"
"('Q14974', 'P63104')"
"('O95382', 'P62258')"
"('P49674', 'Q12778')"
"('P50458', 'P58304')"
"('Q01081', 'Q13573')"
"('Q99962', 'P50570')"
"('O00206', 'Q9NWZ3')"
"('Q9BRK4', 'Q93062')"
"('Q99801', 'P10275')"
"('P40123', 'P14317')"
"('P55735', 'P30480')"
"('Q8TF20', 'P49716')"
"('Q9BXR0', 'Q15819')"
"('Q16637', 'Q96EN9')"
"('P07358', 'P02748')"
"('Q7Z794', 'Q8WUW1')"
"('Q02556', 'Q9BT78')"
"('Q8NH53', 'P38405')"
"('Q15528', 'A0JLT2')"
"('O00257', 'Q93009')"
"('P51817', 'Q8NFM4')"
"('Q13546', 'O00220')"
"('P50281', 'P16070')"
"('Q5T9A4', 'Q9H9G7')"
"('Q16610', 'P54259')"
"('A0JLT2', 'Q9Y3C7')"
"('Q9NY65', 'O14576')"
"('P67870', 'P34896')"
"('Q99570', 'P42858')"
"('P36575', 'O00203')"
"('P19838', 'Q9NYJ8')"
"('P12931', 'Q08881')"
"('P62993', 'Q9P0K7')"
"('Q9BT78', 'Q92905')"
"('P08670', 'P17861')"
"('Q8TD31', 'P05129')"
"('Q12824', 'P04637')"
"('P15336', 'Q6UUV7')"
"('Q9Y2Z0', 'P34932')"
"('Q99459', 'P33992')"
"('P20963', 'P58753')"
"('P04626', 'P35354')"
"('Q7Z434', 'P46379')"
"('Q12913', 'Q99569')"
"('Q13131', 'Q9NP71')"
"('Q9BVJ6', 'O95257')"
"('P23508', 'Q04323')"
"('O75934', 'Q15637')"
"('P42681', 'P06241')"
"('P60520', 'Q04637')"
"('O14920', 'Q92574')"
"('Q5MNZ9', 'Q15181')"
"('P78396', 'P25205')"
"('Q9H9L3', 'P62993')"
"('P30504', 'Q63HN8')"
"('P12004', 'P24941')"
"('P19174', 'P12236')"
"('O14639', 'Q12772')"
"('P61218', 'Q9BTT4')"
"('P35555', 'O76061')"
"('P98095', 'P02751')"
"('Q9UJX2', 'Q9UM11')"
"('O43353', 'Q9BVA1')"
"('Q16531', 'O75530')"
"('O75528', 'Q09472')"
"('P08138', 'P48736')"
"('P46934', 'P13569')"
"('P30050', 'P18124')"
"('P60842', 'Q14240')"
"('P05423', 'P53803')"
"('P08069', 'P48357')"
"('P54819', 'Q9Y4K3')"
"('P08754', 'P45984')"
"('P54257', 'P34903')"
"('P27986', 'P16871')"
"('P00533', 'Q4KWH8')"
"('Q9Y239', 'P01583')"
"('P26641', 'O00193')"
"('P01106', 'Q8TEQ6')"
"('Q9Y5X4', 'Q09028')"
"('P61981', 'P14635')"
"('P61587', 'P31947')"
"('P48736', 'P60763')"
"('O94817', 'P51991')"
"('O14775', 'O00555')"
"('P40938', 'Q9Y5J5')"
"('407040', 'Q9Y2T1')"
"('Q9Y4H4', 'P22607')"
"('Q13530', 'P53985')"
"('O15131', 'P04040')"
"('P62834', 'O00522')"
"('P24864', 'Q969H0')"
"('P63244', 'P56537')"
"('Q14164', 'P63165')"
"('P32927', 'P30273')"
"('Q96G30', 'P41968')"
"('P46527', 'P12931')"
"('P17612', 'Q08462')"
"('P23528', 'Q15007')"
"('P16144', 'P48736')"
"('O75474', 'Q92997')"
"('Q9BYD3', 'Q9GZR7')"
"('Q8N7H5', 'Q92541')"
"('Q13145', 'Q13467')"
"('P62917', 'P62750')"
"('Q8WVD5', 'Q9HCE7')"
"('Q92904', 'Q15038')"
"('Q15910', 'P49918')"
"('P62195', 'P62333')"
"('P39656', 'O00264')"
"('Q92608', 'O15117')"
"('Q13535', 'Q7L014')"
"('P54257', 'Q16445')"
"('P06241', 'P13805')"
"('Q13315', 'Q92878')"
"('P37231', 'Q15596')"
"('P00748', 'P01024')"
"('O75821', 'P04183')"
"('P08123', 'P03956')"
"('Q15650', 'Q04206')"
"('P11229', 'P63218')"
"('Q9GZZ1', 'Q9Y4K3')"
"('O95298', 'O43674')"
"('Q86UL8', 'P24928')"
"('Q13164', 'Q15418')"
"('P26718', 'Q9UBK5')"
"('P04156', 'P05067')"
"('P50570', 'O14576')"
"('P13797', 'O60739')"
"('Q6P2Q9', 'Q15427')"
"('P12980', 'P47928')"
"('O60563', 'Q09472')"
"('Q9H6Z9', 'Q16665')"
"('P39019', 'P21730')"
"('P61254', 'P46776')"
"('O43491', 'P31946')"
"('P60709', 'Q14247')"
"('O95988', 'Q9Y243')"
"('P19838', 'P23246')"
"('P02647', 'Q7Z333')"
"('P30153', 'Q96Q15')"
"('Q9BZK7', 'O75376')"
"('P30837', 'P61421')"
"('Q92698', 'Q9Y383')"
"('Q9UNH7', 'Q9NRI5')"
"('P15923', 'P10275')"
"('P35659', 'Q9UER7')"
"('Q15744', 'Q05195')"
"('Q12933', 'Q13546')"
"('P12755', 'O14744')"
"('Q9UNY4', 'O15105')"
"('P17252', 'O00418')"
"('O95639', 'Q9C0J8')"
"('O75815', 'P55072')"
"('Q13485', 'Q09472')"
"('Q14181', 'Q9Y6H6')"
"('O75146', 'Q13573')"
"('Q9UBV2', 'Q9H1C4')"
"('P29353', 'P30519')"
"('Q8WWW0', 'P05107')"
"('Q15154', 'Q8WYH8')"
"('Q969T4', 'Q99496')"
"('O94921', 'Q04771')"
"('Q9ULV8', 'P32927')"
"('P49674', 'O60716')"
"('Q06609', 'Q6UWZ7')"
"('O76041', 'Q15942')"
"('Q5VTB9', 'O14933')"
"('O15259', 'Q9ULH1')"
"('O75494', 'P08621')"
"('P52272', 'Q13151')"
"('Q05209', 'P35222')"
"('P31946', 'Q96JH8')"
"('P28328', 'P63146')"
"('P22626', 'P62258')"
"('O75147', 'Q8WZ42')"
"('Q96RP9', 'Q8IY92')"
"('Q13472', 'P63165')"
"('Q15208', 'Q9H8S9')"
"('P52333', 'P29597')"
"('P08670', 'Q13573')"
"('P41236', 'Q9UD71')"
"('P60709', 'P06756')"
"('Q00653', 'P35579')"
"('Q9UHC7', 'Q96B02')"
"('Q02363', 'P13349')"
"('Q92734', 'Q9UKR5')"
"('Q9BUJ2', 'Q86V81')"
"('P13501', 'P13611')"
"('Q9NRI5', 'Q8TF05')"
"('Q9UM73', 'O75943')"
"('P25024', 'P08754')"
"('P62280', 'Q9NX58')"
"('P01857', 'Q13077')"
"('Q9BX63', 'Q92547')"
"('A8MT69', 'Q00597')"
"('Q13573', 'Q9HCS7')"
"('O75419', 'O76071')"
"('Q9HC24', 'Q13505')"
"('P07900', 'Q12809')"
"('P08047', 'P29474')"
"('P01106', 'Q13794')"
"('P16520', 'O14775')"
"('Q16548', 'Q00403')"
"('P62993', 'Q9BQ67')"
"('P31150', 'P36915')"
"('P13591', 'P32004')"
"('Q99558', 'Q15750')"
"('Q6FI13', 'Q99880')"
"('Q7Z3U7', 'Q9NZ52')"
"('Q08495', 'O43237')"
"('P22612', 'P04049')"
"('P30443', 'P01732')"
"('Q5T3J3', 'O43504')"
"('P14859', 'P07948')"
"('Q9BUB5', 'P78527')"
"('Q92752', 'P18564')"
"('P35626', 'Q8NH43')"
"('Q07157', 'P04350')"
"('Q9UBS8', 'Q9Y252')"
"('Q12873', 'Q06323')"
"('P12931', 'Q06124')"
"('P41134', 'P13349')"
"('Q00653', 'P55084')"
"('P62993', 'P35580')"
"('Q8WWQ0', 'Q13509')"
"('P52272', 'Q9BUV8')"
"('Q15599', 'P46937')"
"('P09471', 'Q8WYR1')"
"('P51677', 'P63096')"
"('P62993', 'O95872')"
"('O75909', 'Q7Z6G3')"
"('P56945', 'P18031')"
"('P56817', 'Q92542')"
"('O14543', 'Q9HBE5')"
"('P42766', 'P39023')"
"('P08069', 'O95467')"
"('P35232', 'P07355')"
"('O95166', 'Q13509')"
"('P55055', 'Q9Y600')"
"('Q96JC9', 'Q9Y230')"
"('O43741', 'Q15717')"
"('O00220', 'Q13158')"
"('P01138', 'P35968')"
"('Q99459', 'P62314')"
"('P37837', 'Q14164')"
"('Q14164', 'P20618')"
"('Q12986', 'P09651')"
"('Q15628', 'P31689')"
"('P07332', 'Q6NUN9')"
"('P36897', 'Q7Z3T8')"
"('Q9H8Y8', 'P16083')"
"('Q9BYV2', 'Q5VVX9')"
"('Q9GZX6', 'P26992')"
"('P11171', 'P10606')"
"('P19793', 'Q71SY5')"
"('Q9NVC6', 'P49336')"
"('O14908', 'Q03167')"
"('O14576', 'Q8NFZ8')"
"('P04049', 'P45984')"
"('O15169', 'Q9Y2T1')"
"('Q92793', 'O60934')"
"('P28221', 'P63096')"
"('Q14526', 'P51532')"
"('Q13601', 'Q9UL18')"
"('P28332', 'P20823')"
"('P62829', 'Q9Y572')"
"('P21580', 'Q9UDY8')"
"('P36578', 'P62750')"
"('Q66K89', 'Q13315')"
"('Q9UBD9', 'Q6UXL0')"
"('P17612', 'P19838')"
"('O14920', 'P60484')"
"('P01023', 'P62993')"
"('Q9H9S4', 'O43741')"
"('O75369', 'P16144')"
"('Q99459', 'O75533')"
"('P48169', 'O60296')"
"('P38398', 'P62136')"
"('Q9NWF9', 'Q8NFP9')"
"('P19105', 'Q9P2M7')"
"('Q96RR4', 'Q96MT8')"
"('P29320', 'P00519')"
"('O95870', 'P03901')"
"('P10451', 'P56199')"
"('P19174', 'P48454')"
"('O15551', 'Q96AP7')"
"('Q96S59', 'P09936')"
"('Q99417', 'Q7L5N1')"
"('P84095', 'P53779')"
"('Q96B18', 'P17252')"
"('P15336', 'Q9NR55')"
"('Q92844', 'Q9Y4K3')"
"('O00483', 'O95178')"
"('Q13243', 'Q08170')"
"('Q9UGN5', 'Q8WYH8')"
"('P52597', 'P50616')"
"('P09874', 'P16403')"
"('Q14197', 'P49748')"
"('Q13554', 'Q92736')"
"('Q9UMX0', 'P60174')"
"('P61077', 'Q96BH1')"
"('P35268', 'P61513')"
"('Q15056', 'Q14164')"
"('P30480', 'Q15631')"
"('O43390', 'Q13573')"
"('Q8WWR8', 'Q99750')"
"('Q9Y2X7', 'Q6P1K2')"
"('Q16827', 'P22681')"
"('P53999', 'P10914')"
"('Q9Y5J5', 'Q9BUV8')"
"('P01033', 'P08253')"
"('Q12929', 'O14936')"
"('Q13330', 'Q09028')"
"('Q04637', 'Q14164')"
"('Q9HBE5', 'P29597')"
"('P62258', 'Q04917')"
"('P24941', 'Q15714')"
"('P08246', 'P01023')"
"('P30260', 'P14635')"
"('P60022', 'Q12851')"
"('P35626', 'Q8NGG6')"
"('Q9H1K0', 'P20339')"
"('P38919', 'O15234')"
"('P54725', 'P0CG48')"
"('Q9C005', 'O60814')"
"('P49916', 'P18887')"
"('Q9BVP2', 'Q9UL18')"
"('P20333', 'P63261')"
"('Q9UNH5', 'Q8NHZ8')"
"('Q6UWE0', 'Q9Y385')"
"('Q12923', 'Q15654')"
"('Q9H3Q1', 'Q9NNW5')"
"('P05000', 'Q13261')"
"('Q15653', 'P17612')"
"('Q16584', 'P49840')"
"('P16234', 'P42336')"
"('Q15628', 'Q14974')"
"('Q6IN85', 'P60510')"
"('Q8TAB5', 'P62333')"
"('Q8N264', 'P21333')"
"('Q13315', 'P68104')"
"('P55318', 'P18146')"
"('Q9NYU2', 'P30457')"
"('Q9NPY3', 'O95433')"
"('P21266', 'Q13177')"
"('Q92797', 'P23508')"
"('A6NHL2', 'Q96AH8')"
"('Q9BUH8', 'Q9H4E7')"
"('P05412', 'P04141')"
"('Q96GX9', 'P08670')"
"('O00115', 'Q9Y230')"
"('P17861', 'P08670')"
"('Q9NPD8', 'Q9NX47')"
"('P04637', 'Q96ST3')"
"('P01569', 'Q99062')"
"('Q99750', 'Q9UKJ5')"
"('P52272', 'Q13242')"
"('Q13243', 'Q01130')"
"('P51784', 'Q4VCS5')"
"('O15111', 'P55957')"
"('O95751', 'Q9NVN8')"
"('P27797', 'P30101')"
"('Q13098', 'Q9HA65')"
"('Q9H1B4', 'Q13769')"
"('Q99873', 'Q9Y3C7')"
"('P49023', 'P20936')"
"('Q13573', 'P30260')"
"('P23508', 'P62750')"
"('P05112', 'P48551')"
"('Q92793', 'Q9Y265')"
"('P11171', 'P10599')"
"('P28340', 'Q9H2G2')"
"('Q9NZS9', 'P62837')"
"('P62993', 'Q15109')"
"('Q92685', 'Q96PM5')"
"('O43390', 'P31943')"
"('O95817', 'Q13501')"
"('Q9H237', 'Q9GZT5')"
"('Q86WN2', 'P08887')"
"('P05783', 'Q07889')"
"('Q9Y4A5', 'Q16531')"
"('Q14626', 'P52333')"
"('P04626', 'O95704')"
"('P13942', 'P31431')"
"('A8K6C2', 'Q6UXL0')"
"('P12814', 'Q9UGI8')"
"('P08195', 'Q92536')"
"('P62877', 'Q9NXK8')"
"('P04141', 'Q03060')"
"('P68032', 'P23528')"
"('Q99459', 'O75116')"
"('Q15796', 'Q13642')"
"('P61812', 'P35555')"
"('P39019', 'P62701')"
"('P10321', 'Q99706')"
"('P26368', 'Q16629')"
"('Q15583', 'O75716')"
"('P42229', 'P12931')"
"('P62263', 'P23508')"
"('Q15788', 'Q92731')"
"('Q96LZ3', 'Q8TD86')"
"('P61289', 'P84101')"
"('Q9BWF2', 'P06241')"
"('Q92747', 'Q9P035')"
"('P84098', 'P36578')"
"('Q6P2Q9', 'Q9UMS4')"
"('P08754', 'P59768')"
"('P62993', 'Q9UPX8')"
"('Q9UQC2', 'P10721')"
"('Q96MW5', 'Q9H9E3')"
"('P08754', 'P28482')"
"('5512', 'Q16821')"
"('Q92633', 'P04899')"
"('O43257', 'Q9Y230')"
"('Q16342', 'O95777')"
"('P35268', 'Q07020')"
"('O95182', 'P17568')"
"('Q13233', 'P26373')"
"('P45985', 'Q99459')"
"('O14561', 'P03915')"
"('P48740', 'P11226')"
"('P12004', 'Q8WZ19')"
"('Q9P283', 'O43809')"
"('P04629', 'O43559')"
"('Q92752', 'P16144')"
"('Q14832', 'P04899')"
"('P48382', 'Q99459')"
"('Q9BYH8', 'P80188')"
"('P16220', 'Q8TAP4')"
"('O75023', 'P12314')"
"('Q16611', 'P17655')"
"('P14866', 'P07910')"
"('P01876', 'P05546')"
"('P57735', 'P53680')"
"('C9JDP6', 'Q9Y5I7')"
"('Q99466', 'Q8N9I9')"
"('Q96RU7', 'P26641')"
"('Q8WUI4', 'Q05516')"
"('P82279', 'P02768')"
"('P09603', 'P00519')"
"('Q92925', 'P04637')"
"('Q13573', 'O75165')"
"('O43295', 'Q8IXI1')"
"('Q7L5N1', 'P07602')"
"('Q5QNW6', 'P20671')"
"('P04183', 'P49815')"
"('Q00005', 'Q14525')"
"('P51955', 'P62745')"
"('P14618', 'P18754')"
"('Q99961', 'P22607')"
"('Q96HF1', 'O14905')"
"('Q93074', 'P49336')"
"('P27348', 'Q8IV61')"
"('P83731', 'Q13177')"
"('Q6DT37', 'P60953')"
"('Q14203', 'P01106')"
"('P51948', 'Q13889')"
"('O60711', 'Q05397')"
"('O95819', 'O60641')"
"('O60814', 'Q96RL1')"
"('Q9UET6', 'P46781')"
"('P15880', 'P50570')"
"('O75674', 'P62993')"
"('P54198', 'Q9Y294')"
"('P48357', 'Q15831')"
"('P01024', 'P20702')"
"('Q16629', 'Q8WXA9')"
"('Q9H074', 'P60842')"
"('Q9Y5J5', 'Q9ULE0')"
"('Q9H0H5', 'P29353')"
"('P29350', 'Q03135')"
"('P12830', 'O15143')"
"('Q9BW27', 'Q96EE3')"
"('P06241', 'Q14289')"
"('P01857', 'P13645')"
"('Q9UQM7', 'P51828')"
"('Q14008', 'Q13573')"
"('Q13501', 'P60520')"
"('Q14194', 'P19404')"
"('Q9UNA1', 'P62745')"
"('P05787', 'P52735')"
"('O43524', 'P03372')"
"('P63098', 'Q9UJX3')"
"('Q92769', 'O00422')"
"('P09913', 'Q14653')"
"('P62993', 'P0CG48')"
"('O60244', 'Q02556')"
"('Q9Y2W7', 'Q8N6Q3')"
"('P51668', 'Q9BZY9')"
"('P62993', 'Q13557')"
"('P31431', 'P17252')"
"('O75293', 'Q15717')"
"('Q92985', 'P13674')"
"('O15360', 'Q13813')"
"('Q12983', 'Q07817')"
"('P15882', 'Q9HBH0')"
"('P04222', 'P24752')"
"('Q8N8V2', 'P61604')"
"('P32121', 'Q6IF63')"
"('Q6ZSI9', 'Q9H1Y0')"
"('P30480', 'P55735')"
"('Q03113', 'P47712')"
"('Q92988', 'Q9H2G2')"
"('P12829', 'P68032')"
"('O95433', 'Q13285')"
"('P41182', 'P17544')"
"('Q9NRR5', 'Q8WW38')"
"('Q8TCJ2', 'Q13454')"
"('Q9HAF1', 'Q9H8W4')"
"('Q14005', 'O14974')"
"('P16220', 'P56178')"
"('P50914', 'P39023')"
"('O43677', 'O00217')"
"('Q5T3J3', 'P09466')"
"('Q8WUI4', 'O15379')"
"('Q9UGI9', 'Q16877')"
"('Q99856', 'P41134')"
"('P38936', 'Q08209')"
"('P38398', 'P52701')"
"('P49770', 'P20042')"
"('Q13573', 'O94906')"
"('Q13315', 'Q8N3X1')"
"('Q9HBZ2', 'Q99814')"
"('O15534', 'Q99743')"
"('Q02078', 'P14672')"
"('P02462', 'P05556')"
"('P16220', 'O60869')"
"('P06213', 'Q15262')"
"('Q8N1F7', 'P01106')"
"('O00159', 'Q9GZS1')"
"('Q13077', 'Q14257')"
"('Q13315', 'Q14517')"
"('Q15750', 'P55212')"
"('P47813', 'O15371')"
"('P05386', 'O00193')"
"('Q99728', 'Q96D09')"
"('O00459', 'P61586')"
"('Q96DB2', 'Q9BTM1')"
"('P53779', 'Q9ULI4')"
"('O60269', 'Q9BQ66')"
"('Q6NUN9', 'Q9NYL2')"
"('Q92832', 'Q6UW56')"
"('P11171', 'P20618')"
"('Q12802', 'P31946')"
"('P18124', 'P62750')"
"('P01588', 'P23458')"
"('P36382', 'Q9Y312')"
"('Q16795', 'P03915')"
"('P06241', 'Q9Y3Q4')"
"('P36873', 'P30307')"
"('P63104', 'P30084')"
"('Q86Z14', 'P11362')"
"('Q9BUZ4', 'P43489')"
"('Q96BK5', 'Q9NR30')"
"('O60934', 'Q13472')"
"('Q14674', 'Q14683')"
"('P34130', 'Q16620')"
"('P13569', 'P46934')"
"('Q16627', 'P49407')"
"('P04626', 'O15524')"
"('P45984', 'Q12778')"
"('O75400', 'Q9Y4E5')"
"('Q92878', 'P43351')"
"('P06730', 'Q14240')"
