negatives
"('Q3B7T1', 'Q9H840')"
"('Q9NRR5', 'O00391')"
"('Q13153', 'Q13573')"
"('Q9UBC3', 'Q9NX76')"
"('P25685', 'Q14164')"
"('O43432', 'P60842')"
"('Q06587', 'P51668')"
"('P62942', 'Q9HCE7')"
"('Q14498', 'A0JLT2')"
"('Q14197', 'Q9BW92')"
"('P62993', 'Q9BWF2')"
"('O75400', 'Q9BUJ2')"
"('Q9BYV2', 'Q5VVX9')"
"('P30411', 'P04899')"
"('P51817', 'P60510')"
"('Q9BQ67', 'Q9H7D7')"
"('P00519', '9757')"
"('P12111', 'P26010')"
"('Q9Y6D6', 'P37198')"
"('Q15835', 'P07550')"
"('Q15435', 'Q15750')"
"('Q13555', 'O95644')"
"('Q5VTD9', 'Q5VU43')"
"('O95760', 'P55210')"
"('Q9HC96', 'Q9H1Y0')"
"('P13725', 'Q6UXL0')"
"('B1AH88', 'Q99426')"
"('Q9NTX7', 'P35080')"
"('Q96ID5', 'O00231')"
"('P23497', 'Q8TAD8')"
"('Q9HAU4', 'Q14653')"
"('Q15365', 'Q13151')"
"('P08047', 'Q08050')"
"('P15311', 'P13861')"
"('Q9Y4K3', 'O00303')"
"('P47224', 'Q6YP21')"
"('Q9UMX0', 'Q96DC7')"
"('P54646', 'O75385')"
"('Q9Y265', 'Q13315')"
"('Q12933', 'P26842')"
"('Q9Y297', 'P49427')"
"('P09467', 'Q9H1I8')"
"('Q99459', 'O75334')"
"('Q5M9N0', 'Q9NR46')"
"('P01584', 'P17947')"
"('O75604', 'Q00653')"
"('P62979', 'P25789')"
"('P63208', 'Q9H469')"
"('P35611', 'P67870')"
"('P15918', 'O95433')"
"('P27986', 'O14964')"
"('P27694', 'P46063')"
"('P51693', 'P17028')"
"('Q96FW1', 'P16104')"
"('O15530', 'P05771')"
"('Q9H213', 'O75528')"
"('O95810', 'Q6ZVK8')"
"('O15530', 'Q9Y243')"
"('P49768', 'Q8NFT8')"
"('Q09472', 'Q8WUF5')"
"('Q9BQ39', 'O75940')"
"('P63000', 'P48039')"
"('P51617', 'Q8IXI2')"
"('Q14204', 'Q9Y5V3')"
"('P51991', 'Q15366')"
"('P98177', 'Q92793')"
"('Q9Y6G3', 'P68104')"
"('P61073', 'P52333')"
"('Q9NR50', 'P20042')"
"('P51955', 'Q9Y2X7')"
"('O95433', 'Q13285')"
"('O43918', 'P62993')"
"('P63104', 'Q75N03')"
"('Q15287', 'P14866')"
"('Q9HCS4', 'P46937')"
"('P60228', 'P41220')"
"('P07355', 'P35555')"
"('Q9Y230', 'Q6ZRS2')"
"('O75874', 'Q9UKY1')"
"('Q9UBU9', 'Q9NPJ8')"
"('P33552', 'P51681')"
"('P98082', 'Q14689')"
"('O94805', 'P01106')"
"('P32927', 'P29353')"
"('Q92753', 'Q9NPJ4')"
"('P35221', 'Q5W0B1')"
"('Q93079', 'Q99878')"
"('Q9GZT5', 'Q13467')"
"('Q12986', 'P07910')"
"('Q96CS3', 'P55072')"
"('Q14683', 'P55795')"
"('Q9Y371', 'Q07812')"
"('Q6FI13', 'Q9UBN7')"
"('Q8WYB5', 'Q14566')"
"('P07766', 'O00459')"
"('Q9UBY5', 'Q5JWF2')"
"('Q9NRG9', 'P12270')"
"('Q13255', 'P30542')"
"('P45973', 'P20671')"
"('P42684', 'P16333')"
"('Q8IW41', 'P04792')"
"('Q9Y5J5', 'Q96QB1')"
"('P13639', 'Q09472')"
"('A8K6C2', 'P10912')"
"('Q06124', 'Q8WYR1')"
"('P29317', 'P62993')"
"('O60828', 'Q9Y2W2')"
"('P35251', 'P67870')"
"('Q92917', 'Q9Y2I6')"
"('O15269', 'O76081')"
"('Q96HA1', 'Q99567')"
"('P63098', 'P41594')"
"('Q9H2G2', 'P17844')"
"('P15056', 'Q9Y6X8')"
"('P35080', 'P68133')"
"('O60861', 'Q99612')"
"('Q8NGY6', 'P38405')"
"('Q06124', 'Q05397')"
"('O00194', 'Q03135')"
"('Q8NHW4', 'P41597')"
"('Q15366', 'Q8IWZ8')"
"('Q9Y333', 'P62312')"
"('P67870', 'P17677')"
"('Q9BRT8', 'P51571')"
"('P27986', 'Q6PIZ9')"
"('P08047', 'Q09472')"
"('O15372', 'P20042')"
"('P84022', 'P30260')"
"('Q9UKY1', 'P61604')"
"('P54253', 'O43306')"
"('P42226', 'Q8WXH5')"
"('Q96AE4', 'Q92879')"
"('P01589', 'P10914')"
"('P17676', 'P35354')"
"('P61956', 'P20827')"
"('P01106', 'P24666')"
"('P05556', 'P21333')"
"('P30084', 'Q13177')"
"('Q6VMQ6', 'P53804')"
"('Q15257', 'O14640')"
"('O43524', 'Q93009')"
"('P25398', 'P22090')"
"('P47992', 'P51686')"
"('Q9Y6H1', 'O00471')"
"('Q9Y4L1', 'P01891')"
"('Q96S59', 'Q9H832')"
"('Q04941', 'Q9Y478')"
"('Q9HC98', 'Q7Z6G3')"
"('P04275', 'P13612')"
"('Q04206', 'P29590')"
"('O60934', 'Q15554')"
"('Q92543', 'Q16849')"
"('Q15834', 'Q9Y3A3')"
"('Q9Y262', 'Q15796')"
"('Q9BY77', 'P38919')"
"('Q13535', 'P16220')"
"('Q15714', 'O43402')"
"('P18146', 'P63027')"
"('Q9UKW4', 'P27986')"
"('P12931', 'P49407')"
"('Q15366', 'Q13242')"
"('Q13233', 'P03372')"
"('P42166', 'O43765')"
"('Q05519', 'P51991')"
"('Q9P0L1', 'P57086')"
"('P56537', 'P27695')"
"('Q11206', 'P52565')"
"('P04271', 'P36871')"
"('Q16531', 'Q16594')"
"('P23508', 'Q9H9B4')"
"('Q01844', 'Q8IVA1')"
"('Q6P2C8', 'Q93074')"
"('Q86Y56', 'Q13418')"
"('Q9H2X0', 'P34820')"
"('Q9NX58', 'P61254')"
"('Q9Y6T7', 'Q9Y5E4')"
"('Q9NQR1', 'Q15672')"
"('O75380', 'Q13387')"
"('P35626', 'Q8NGD0')"
"('P55084', 'P18754')"
"('P04637', 'P20073')"
"('O96001', 'P62714')"
"('P37235', 'P54253')"
"('P41743', 'Q8TEW0')"
"('Q969G3', 'O94805')"
"('P61981', 'Q92905')"
"('Q14247', 'P43405')"
"('Q9P2W3', 'O60840')"
"('P25054', 'Q16531')"
"('P03923', 'P03886')"
"('Q99459', 'Q9UMY4')"
"('Q06455', 'O43439')"
"('Q99873', 'Q9C0J8')"
"('O94805', 'P24522')"
"('Q15796', 'P29590')"
"('P51955', 'Q96RY7')"
"('P17948', 'P35568')"
"('Q92769', 'Q9H160')"
"('Q9Y2H0', 'P55157')"
"('O95149', 'Q9BV68')"
"('P42229', 'P01236')"
"('P00533', 'P51813')"
"('Q13501', 'P00441')"
"('P15498', 'P16471')"
"('Q06323', 'O00232')"
"('P19174', 'O00254')"
"('P09913', 'P52630')"
"('Q16663', 'Q04206')"
"('Q92835', 'O43561')"
"('Q93074', 'Q96HR3')"
"('Q04206', 'Q99757')"
"('Q15759', 'O14543')"
"('Q9BUV8', 'O76031')"
"('P16471', 'O60674')"
"('Q14315', 'P35368')"
"('P60763', 'Q9NPB6')"
"('P11940', 'Q92900')"
"('P54253', 'Q86Y13')"
"('Q5SQH8', 'P67870')"
"('Q9P2F6', 'P61586')"
"('P31947', 'Q5EBL8')"
"('Q9H6Y7', 'O14832')"
"('Q9Y4K3', 'O43791')"
"('Q92540', 'Q9UPR3')"
"('P50539', 'P20333')"
"('P54132', 'P54274')"
"('P23229', 'P35609')"
"('Q99459', 'Q96KQ4')"
"('P50453', 'Q8N8V2')"
"('P11926', 'P67870')"
"('P04637', 'P25963')"
"('P07910', 'Q16629')"
"('O00522', 'O14713')"
"('Q99879', 'Q92769')"
"('P06241', 'Q96GP6')"
"('P05109', 'P38936')"
"('P42575', 'P19793')"
"('Q9NRF2', 'P00533')"
"('Q9Y333', 'P54105')"
"('Q96EV8', 'O00410')"
"('O43293', 'P04150')"
"('P62330', 'O75821')"
"('Q13535', 'Q9UJA5')"
"('Q93077', 'Q13547')"
"('Q9Y5B0', 'Q9BQA1')"
"('P0CG48', 'Q96S55')"
"('P62195', 'P11473')"
"('Q01469', 'Q14164')"
"('O75379', 'O00161')"
"('O43318', 'P38646')"
"('P42574', 'P29466')"
"('P24941', 'P51587')"
"('Q96KM6', 'Q15797')"
"('P30480', 'P00491')"
"('P01106', 'Q9UDR5')"
"('P62993', 'P26998')"
"('Q99759', 'Q92734')"
"('P12956', 'Q96SD1')"
"('O75554', 'Q9Y2W2')"
"('P20807', 'Q9H1Y0')"
"('P20671', 'Q9H160')"
"('Q6IE81', 'Q9UNL4')"
"('Q01469', 'Q8IY92')"
"('Q9NRI5', 'Q6VMQ6')"
"('P35568', 'P17252')"
"('O60493', 'P23508')"
"('Q9NRR5', 'O43497')"
"('P01889', 'Q15185')"
"('P08754', 'Q15147')"
"('P63208', 'P04217')"
"('Q9BTT4', 'P62875')"
"('P61421', 'Q7Z6J8')"
"('Q2NKX8', 'Q99459')"
"('Q14689', 'P08571')"
"('P05019', 'P35916')"
"('Q09472', 'P48443')"
"('O14757', 'Q13490')"
"('Q9UIS9', 'P63165')"
"('Q9BQ83', 'P22695')"
"('P51668', 'Q9BZR9')"
"('P04899', 'Q8WYR1')"
"('Q6NZY4', 'Q00005')"
"('Q9NR30', 'P23508')"
"('Q6ZRS2', 'Q9Y230')"
"('P56750', 'Q16625')"
"('Q9BY66', 'P68431')"
"('P62805', 'P33991')"
"('Q96CW5', 'P68366')"
"('Q4LE39', 'Q9HCU9')"
"('Q9Y6E0', 'P31942')"
"('Q05048', 'Q9P2I0')"
"('O14933', 'Q6Q0C0')"
"('Q9BRQ0', 'Q92830')"
"('P11940', 'P63167')"
"('O00459', 'Q8TCU6')"
"('Q9Y265', 'Q15906')"
"('P61073', 'Q13724')"
"('Q15648', 'Q92830')"
"('Q8N1F7', 'Q8WYP5')"
"('Q14669', 'O94985')"
"('Q13557', 'Q13255')"
"('O43524', 'P41182')"
"('Q9NX47', 'O43583')"
"('Q13573', 'O96013')"
"('P01588', 'Q99650')"
"('P08069', 'P31946')"
"('Q15465', 'Q4KMG0')"
"('Q08209', 'Q9UJX2')"
"('Q15714', 'Q8N1F7')"
"('P49915', 'Q9Y478')"
"('Q9Y3B2', 'Q9HAU5')"
"('P01042', 'P00748')"
"('O60229', 'P48023')"
"('Q9NRR5', 'Q13087')"
"('P06493', 'P06400')"
"('P01876', 'P07711')"
"('P13805', 'P08238')"
"('P43364', 'Q9BSJ1')"
"('Q86YC2', 'Q9UBU8')"
"('P68032', 'P35221')"
"('Q15329', 'Q99684')"
"('P78556', 'P07339')"
"('Q07666', 'Q99459')"
"('Q99877', 'Q9Y5B9')"
"('P01106', 'Q9NVR5')"
"('Q13546', 'Q5VWQ8')"
"('Q04864', 'Q15653')"
"('P62277', 'P62979')"
"('Q15746', 'Q02045')"
"('P53680', 'Q13191')"
"('Q13956', 'P18545')"
"('Q9UPT6', 'P62330')"
"('P04150', 'Q92793')"
"('P19419', 'Q02363')"
"('P22234', 'Q8TBB1')"
"('P58166', 'P27037')"
"('P49888', 'P68104')"
"('O60884', 'P62805')"
"('Q9Y4E8', 'O00273')"
"('Q92769', 'Q9HCU9')"
"('Q9NPG1', 'Q9NQ66')"
"('P10145', 'P51677')"
"('P31946', 'P17812')"
"('Q8N5A5', 'Q09028')"
"('P42167', 'P62993')"
"('O43541', 'P37173')"
"('P52948', 'P12270')"
"('Q14469', 'Q9NW38')"
"('P46108', 'P10912')"
"('P31947', 'Q14966')"
"('P08908', 'P62873')"
"('P58876', 'P20671')"
"('Q6ZU52', 'P31947')"
"('P67870', 'P35611')"
"('P32121', 'P45984')"
"('P55196', 'Q07157')"
"('O43186', 'Q8TC57')"
"('Q15393', 'O15519')"
"('Q9UBD9', 'P48551')"
"('Q92900', 'P11940')"
"('O75419', 'P42771')"
"('P46527', 'P61586')"
"('P38936', 'O75496')"
"('Q5T3J3', 'P61604')"
"('P01023', 'P01138')"
"('Q9H0Y0', 'O14929')"
"('P62877', 'Q9UK22')"
"('Q13683', 'Q07890')"
"('Q7Z2G1', 'O15379')"
"('Q15154', 'P63104')"
"('O75528', 'P51610')"
"('P06241', 'P40189')"
"('P31943', 'P17844')"
"('P33778', 'Q9UBN7')"
"('Q9Y6M9', 'O60383')"
"('Q9NRR4', 'P16333')"
"('Q16658', 'P30480')"
"('P42574', 'P28331')"
"('Q07890', 'P62070')"
"('O43809', 'Q92989')"
"('Q13485', 'Q13795')"
"('P40763', 'Q14469')"
"('Q08170', 'Q15428')"
"('O43318', 'Q9H8E8')"
"('P15822', 'P54253')"
"('P62834', 'P42338')"
"('P61088', 'Q8TEC5')"
"('Q6DN03', 'P61964')"
"('P05387', 'Q00005')"
"('Q9BRP4', 'Q13200')"
"('Q14232', 'P20042')"
"('P40337', 'Q13404')"
"('Q04206', 'P06748')"
"('Q14164', 'P07355')"
"('Q9Y5K5', 'P43686')"
"('P98161', 'P00519')"
"('Q15714', 'Q9UGU5')"
"('P84022', 'P36578')"
"('P27797', 'P02745')"
"('P58753', 'P40763')"
"('Q9NP79', 'P43364')"
"('P46783', 'P46782')"
"('Q15369', 'O75159')"
"('Q14451', 'P31947')"
"('Q9NX00', 'Q9H492')"
"('P52926', 'Q16548')"
"('P08069', 'P16885')"
"('Q13131', 'P05141')"
"('Q13404', 'Q13177')"
"('P28070', 'P01106')"
"('Q9BX84', 'P35580')"
"('406980', 'Q8WY64')"
"('A8MVU1', 'P60709')"
"('P36578', 'Q13573')"
"('O43395', 'Q92997')"
"('Q9NPH9', 'Q01344')"
"('P08047', 'P40763')"
"('O14764', 'Q9NRR5')"
"('P53350', 'P49736')"
"('Q13243', 'P67809')"
"('Q14790', 'P50591')"
"('P38159', 'P51116')"
"('Q71UM5', 'Q9UL18')"
"('Q9UJX2', 'P11802')"
"('P18146', 'O60282')"
"('P28074', 'P49721')"
"('P05783', 'P31946')"
"('P42345', 'O75385')"
"('P01106', 'Q92564')"
"('O76013', 'Q6IBS0')"
"('Q9BUH8', 'Q9NPA5')"
"('Q9UKV0', 'Q96QV6')"
"('Q9H2G2', 'P21333')"
"('P82664', 'Q9Y5J5')"
"('Q12933', 'O15519')"
"('Q05519', 'Q07955')"
"('P23763', 'Q16623')"
"('P04839', 'Q15080')"
"('P48454', 'P62158')"
"('P22455', 'Q07890')"
"('Q13114', 'P45983')"
"('P00540', 'P06241')"
"('Q6UWL2', 'Q6VMQ6')"
"('Q13137', 'Q8TCX5')"
"('Q15717', 'P27348')"
"('Q07820', 'Q13794')"
"('Q8N1F8', 'O00206')"
"('P22694', 'Q9NY47')"
"('O00303', 'O60739')"
"('Q96JN8', 'O76096')"
"('Q9NS23', 'Q9H5I1')"
"('Q8NFH3', 'P51116')"
"('O15524', 'Q92830')"
"('P98164', 'P01308')"
"('Q12933', 'Q70EK8')"
"('P42224', 'P51813')"
"('P36405', 'O75695')"
"('Q9NW61', 'Q8N4B1')"
"('P30556', 'P32121')"
"('P15172', 'Q13547')"
"('P63010', 'P05783')"
"('P10145', 'O14920')"
"('Q9BPY3', 'O60318')"
"('Q96DA0', 'Q9NRR5')"
"('Q6PI98', 'Q9H981')"
"('Q9UMX0', 'P08582')"
"('O15524', 'Q9HC73')"
"('Q9UKV8', 'P43243')"
"('P16220', 'Q9UHG2')"
"('Q86V81', 'Q00839')"
"('Q9H469', 'Q9P2P5')"
"('Q13191', 'P15509')"
"('O94782', 'P0CG47')"
"('Q96MX0', 'P28482')"
"('574455', 'P03372')"
"('O14497', 'Q92925')"
"('O15264', 'Q9HB71')"
"('P54725', 'P04843')"
"('P25054', 'P21333')"
"('P62191', 'Q9BRP4')"
"('P18146', 'Q9H0M4')"
"('P60660', 'P30480')"
"('O75815', 'P17812')"
"('P46013', 'Q16637')"
"('Q9ULV4', 'P62993')"
"('P19438', 'O14735')"
"('Q9H0E9', 'Q99459')"
"('P20333', 'O43592')"
"('P25021', 'P38405')"
"('P32927', 'Q06124')"
"('P14923', 'Q7Z6J6')"
"('Q99683', 'Q9Y3F4')"
"('P48443', 'P11473')"
"('P22612', 'P52565')"
"('Q15834', 'P48552')"
"('P43627', 'Q06124')"
"('Q92905', 'P42229')"
"('O95671', 'P48775')"
"('Q16649', 'P53567')"
"('Q8IY92', 'Q96IX5')"
"('O95777', 'P78347')"
"('Q99836', 'P51617')"
"('P05231', 'P40189')"
"('P55157', 'P51587')"
"('Q15111', 'O14764')"
"('Q6UXN9', 'Q9UJ70')"
"('P19525', 'Q9NUL3')"
"('Q9Y297', 'Q9UBF6')"
"('Q8IW50', 'O43597')"
"('P29034', 'P52292')"
"('Q14573', 'P14625')"
"('P38936', 'O14775')"
"('Q12933', 'O43566')"
"('Q04864', 'P01584')"
"('P00519', 'P50607')"
"('Q99828', 'P16949')"
"('P43405', 'P51452')"
"('P38936', 'P20248')"
"('Q12933', 'Q92905')"
"('Q92797', 'Q9NZC7')"
"('P40424', 'P00749')"
"('P51668', 'Q9BV68')"
"('Q5VUM1', 'Q8IUQ4')"
"('Q01094', 'Q9BW11')"
"('P21675', 'Q9NVP2')"
"('Q5S007', 'P46734')"
"('P68431', 'O95863')"
"('P25789', 'Q9BQ83')"
"('P01579', 'P05412')"
"('P28482', 'O75030')"
"('Q9NQU5', 'P45985')"
"('P36578', 'P62913')"
"('Q13315', 'Q13409')"
"('Q92845', 'Q9NRI5')"
"('P10412', 'P12544')"
"('P48556', 'Q06323')"
"('Q96L91', 'P0C0S5')"
"('Q53HC0', 'P05060')"
"('Q9BPX7', 'Q9NYF0')"
"('P11831', 'P78347')"
"('Q15717', 'P15692')"
"('P35544', 'P62241')"
"('P62826', 'O14980')"
"('Q9UKN7', 'Q9P202')"
"('Q15642', 'P07948')"
"('P62993', 'P49411')"
"('Q93070', 'Q9HAU5')"
"('Q9BXP5', 'Q15428')"
"('O76081', 'Q92504')"
"('P06493', 'P24385')"
"('Q9Y6K1', 'O14744')"
"('Q14674', 'O95072')"
"('Q08211', 'P19525')"
"('Q99750', 'O95201')"
"('O43390', 'P16104')"
"('P63098', 'P54578')"
"('P10914', 'P19878')"
"('Q9Y5X1', 'Q9H204')"
"('P10828', 'Q09472')"
"('Q7Z406', 'P19105')"
"('P63104', 'O95685')"
"('Q15393', 'Q15843')"
"('P63096', 'P48736')"
"('P50461', 'P12814')"
"('Q969T4', 'Q9P0P0')"
"('Q9NX58', 'Q9NR96')"
"('Q8IZD9', 'P16333')"
"('Q9GZT3', 'Q14197')"
"('P32239', 'P29992')"
"('Q9HCU9', 'P29374')"
"('Q8N5C8', 'Q9UHD2')"
"('P27695', 'P12956')"
"('O95251', 'O14576')"
"('P58876', 'Q9P0M6')"
"('Q13185', 'Q13472')"
"('O60674', 'Q92529')"
"('Q00610', 'Q99759')"
"('P30101', 'P01891')"
"('O15235', 'Q14194')"
"('Q12988', 'Q6X4W1')"
"('Q15466', 'Q00987')"
"('Q96BN2', 'O75528')"
"('Q969Q1', 'Q8IXM3')"
"('P36578', 'Q9UNX3')"
"('P42338', 'O15530')"
"('P10144', 'O00273')"
"('P63211', 'P43657')"
"('Q71UI9', 'Q8N257')"
"('Q8TE04', 'P63104')"
"('O75533', 'P62330')"
"('Q9P107', 'P60953')"
"('O43294', 'Q9Y2X7')"
"('Q9HAV0', 'P84996')"
"('Q9UBQ5', 'P60228')"
"('Q9HCE7', 'Q13501')"
"('Q13573', 'Q9Y230')"
"('P36897', 'Q13501')"
"('P04839', 'P14598')"
"('P04233', 'P01909')"
"('P78406', 'P16220')"
"('Q8WV24', 'Q99750')"
"('Q9UHV2', 'Q9P2K6')"
"('Q9H160', 'Q15797')"
"('P63173', 'P27635')"
"('P28331', 'P30480')"
"('Q15022', 'Q08999')"
"('Q9BXW9', 'Q92878')"
"('Q5T3J3', 'P36405')"
"('P07288', 'Q5VVJ2')"
"('Q969L4', 'P62310')"
"('P14625', 'Q00597')"
"('Q99569', 'O95166')"
"('Q96KK5', 'Q9UKV0')"
"('P30968', 'P16035')"
"('Q92569', 'P30530')"
"('P08107', 'P07900')"
"('P38646', 'Q9UKG9')"
"('Q13315', 'Q8IX07')"
"('P18846', 'O14867')"
"('Q99962', 'Q99961')"
"('O15123', 'Q02763')"
"('O43561', 'Q9UQC2')"
"('Q13501', 'Q13555')"
"('Q9NY59', 'Q7L5N1')"
"('P38919', 'Q9HCG8')"
"('P14859', 'Q14653')"
"('Q9Y5X3', 'O15360')"
"('Q9UII4', 'O14933')"
"('Q15906', 'Q9NXR8')"
"('Q96RT8', 'Q9BQE3')"
"('Q13315', 'Q8ND56')"
"('Q13094', 'P62834')"
"('Q9NYR8', 'O15131')"
"('P09471', 'Q00975')"
"('Q9NYF0', 'Q05513')"
"('Q16363', 'Q6VMQ6')"
"('O43900', 'P16333')"
"('P84098', 'P62424')"
"('P11215', 'O00329')"
"('O95751', 'Q5VWN6')"
"('P84095', 'Q13177')"
"('O14641', 'Q04721')"
"('P60866', 'P08865')"
"('Q16778', 'Q8WUI4')"
"('P62314', 'Q9UHI6')"
"('Q00013', 'Q16637')"
"('P56750', 'O00501')"
"('P12956', 'Q71F23')"
"('Q9Y4Z0', 'P62304')"
"('Q96JN2', 'Q9NRI5')"
"('P05109', 'Q9H0T7')"
"('Q9Y3I1', 'P63208')"
"('Q9H1C0', 'Q9HAV0')"
"('P28482', 'Q8WWQ8')"
"('P01889', 'P43626')"
"('Q8WVY7', 'Q13200')"
"('Q9NR97', 'P04637')"
"('Q9BXR5', 'P21333')"
"('O60610', 'O60861')"
"('O00238', 'O15105')"
"('Q15012', 'Q13509')"
"('Q13315', 'Q04837')"
"('O00141', 'P55072')"
"('P41743', 'P04406')"
"('P04637', 'P20226')"
"('P45983', 'P05412')"
"('P61313', 'P62899')"
"('O15111', 'Q8NI38')"
"('O75794', 'Q96KM6')"
"('P41252', 'Q15714')"
"('P03923', 'O95299')"
"('Q13094', 'P61224')"
"('A6NC98', 'P40425')"
"('P03886', 'Q9P0J0')"
"('P0CG47', 'Q15303')"
"('Q13283', 'Q7KZF4')"
"('Q13618', 'Q9H0R8')"
"('P05546', 'P01857')"
"('Q01860', 'P48431')"
"('P08107', 'P11021')"
"('O00237', 'O75800')"
"('Q9H173', 'Q92621')"
"('Q9UPY3', 'Q96C10')"
"('Q14197', 'P21796')"
"('P15880', 'P62266')"
"('Q99558', 'P46782')"
"('Q15172', 'P31751')"
"('O43353', 'O60603')"
"('P11021', 'P30040')"
"('Q9Y613', 'P63000')"
"('P53350', 'Q5VYV7')"
"('Q9UK32', 'Q06330')"
"('P49023', 'P63261')"
"('Q14847', 'Q99750')"
"('Q9NRD5', 'P78348')"
"('P30480', 'O15371')"
"('Q14192', 'Q13642')"
"('O95630', 'Q96CF2')"
"('O60477', 'O14920')"
"('Q13332', 'Q13885')"
"('P84085', 'Q13573')"
"('O43869', 'P38405')"
"('P16220', 'P78414')"
"('Q9UPN9', 'P81877')"
"('P39748', 'Q96FI4')"
"('Q12933', 'Q14790')"
"('O15514', 'P62875')"
"('P98170', 'Q9UHD2')"
"('Q13573', 'Q96CW5')"
"('P30480', 'P23526')"
"('P09668', 'P01040')"
"('P40763', 'P06239')"
"('Q13315', 'Q7Z5K2')"
"('Q99816', 'Q8IXH7')"
"('Q99459', 'P14625')"
"('O94805', 'Q92922')"
"('Q6NUK4', 'P31947')"
"('Q05513', 'P46527')"
"('Q9NR96', 'Q06187')"
"('P78371', 'P67775')"
"('Q9H0H5', 'Q16537')"
"('Q99523', 'P14672')"
"('O95631', 'P23229')"
"('P26640', 'Q9Y6K9')"
"('P38936', 'Q9BT40')"
"('P35226', 'Q03164')"
"('Q07955', 'Q99590')"
"('P61981', 'Q96B36')"
"('Q9P2I0', 'P51003')"
"('Q9H4D5', 'O15504')"
"('P13725', 'Q13651')"
"('Q8IUE6', 'P20823')"
"('Q8NB16', 'Q13573')"
"('Q9Y6K9', 'P01106')"
"('Q969G9', 'Q92997')"
"('P28702', 'P55055')"
"('P16104', 'Q99729')"
"('P08912', 'P29992')"
"('Q99879', 'P0C0S5')"
"('P15976', 'Q8WW38')"
"('P12814', 'Q9UQM7')"
"('A6NIT4', 'Q6UXL0')"
"('P68400', 'Q14005')"
"('P10415', 'Q8IVG9')"
"('P52597', 'O60508')"
"('Q9BYM8', 'P62253')"
"('Q13315', 'Q8IX21')"
"('407051', 'Q9UKL0')"
"('Q05516', 'P03372')"
"('P01023', 'Q16637')"
"('P60709', 'Q08945')"
"('O00238', 'P67775')"
"('Q5VVX9', 'Q8NG27')"
"('Q14576', 'Q96PU8')"
"('Q07889', 'P36542')"
"('P23759', 'Q9H2G2')"
"('P60842', 'Q9H074')"
"('Q13275', 'O14786')"
"('Q9H0E3', 'Q16594')"
"('Q9HD42', 'Q9C0E8')"
"('Q9BTA9', 'Q9NRR5')"
"('Q9P003', 'Q92956')"
"('P48740', 'P51812')"
"('P30281', 'Q9UBQ5')"
"('O14610', 'P40145')"
"('O94874', 'O75365')"
"('Q9NRR5', 'Q9UBS4')"
"('P98175', 'Q13123')"
"('P62249', 'Q99558')"
"('P13637', 'Q86UA1')"
"('P36578', 'P40425')"
"('P03886', 'Q16795')"
"('P49418', 'Q9UQ16')"
"('P51681', 'P09466')"
"('Q92905', 'Q13216')"
"('P62256', 'Q8N9I9')"
"('Q96NY9', 'Q9BQ83')"
"('P02462', 'Q13797')"
"('Q13247', 'P09651')"
"('Q16537', 'Q5FBB7')"
"('P48443', 'Q9UHV7')"
"('P62633', 'Q9UM73')"
"('Q14188', 'Q16254')"
"('P30457', 'Q07000')"
