negatives
"('Q9HCK5', 'Q04837')"
"('P61964', 'Q96ES7')"
"('P32121', 'Q8NH53')"
"('O43318', 'P34931')"
"('Q9Y478', 'Q16659')"
"('Q9P2J5', 'Q92844')"
"('P31749', 'Q00653')"
"('Q9UQB8', 'Q92558')"
"('P78560', 'P51681')"
"('P27448', 'Q9NPI8')"
"('O14980', 'O15392')"
"('O14640', 'Q8N4C8')"
"('O60927', 'P62140')"
"('P21860', 'P22681')"
"('P50552', 'O75578')"
"('P04217', 'Q14451')"
"('Q9NUJ1', 'P16104')"
"('P05000', 'P24394')"
"('P41235', 'P82980')"
"('Q04695', 'Q16695')"
"('P78364', 'P63279')"
"('P67809', 'Q7Z6M2')"
"('Q9NQ76', 'P00519')"
"('P32881', 'P16871')"
"('Q9HBW0', 'P63218')"
"('Q96B02', 'Q9NZS9')"
"('P54725', 'P29372')"
"('P09012', 'P31939')"
"('P51692', 'P16871')"
"('P16871', 'P30101')"
"('P20333', 'O43521')"
"('O75791', 'P62258')"
"('O43927', 'P51681')"
"('P26641', 'O43927')"
"('P46527', 'P18146')"
"('P10644', 'Q96EZ8')"
"('O14818', 'Q99436')"
"('P52630', 'P10914')"
"('Q9Y3B3', 'Q14653')"
"('P68133', 'Q15906')"
"('Q96CX2', 'Q9H1Y0')"
"('P21980', 'P42858')"
"('P04843', 'Q9NYS7')"
"('Q8IZD9', 'P61586')"
"('P07202', 'Q13651')"
"('P01127', 'P08069')"
"('P21675', 'P23527')"
"('P17612', 'O14775')"
"('Q13557', 'O60266')"
"('P38159', 'Q13243')"
"('P28482', 'O60733')"
"('P48729', 'P10071')"
"('P16144', 'P18054')"
"('O43586', 'P06729')"
"('P24941', 'Q01469')"
"('Q8WXF8', 'Q14790')"
"('Q13257', 'Q9UJX4')"
"('P98177', 'P35222')"
"('P18754', 'P06454')"
"('Q15436', 'Q5JRA6')"
"('P0CG47', 'Q9NYJ8')"
"('P48552', 'P10826')"
"('P63165', 'P06730')"
"('P34931', 'Q8TDR0')"
"('P21359', 'P14316')"
"('Q8TAQ2', 'Q9UIG0')"
"('Q14469', 'P49674')"
"('Q9NWB1', 'P54253')"
"('O43676', 'P03886')"
"('Q96QK1', 'Q15306')"
"('P13489', 'P10153')"
"('O60674', 'Q92529')"
"('P62913', 'P47914')"
"('Q6EEV6', 'P0DJD0')"
"('Q96RP9', 'Q8IY92')"
"('P60900', 'P28070')"
"('P28562', 'Q12906')"
"('Q13131', 'Q16526')"
"('Q9Y2S7', 'P12004')"
"('P09919', 'P49715')"
"('P60228', 'O75821')"
"('Q13283', 'P22392')"
"('P62333', 'O00487')"
"('O15530', 'Q9Y3F4')"
"('Q9Y5V3', 'P98170')"
"('Q9BW27', 'Q92621')"
"('O94905', 'Q14197')"
"('Q9NQB0', 'P14923')"
"('O75367', 'Q8N257')"
"('P53621', 'P53618')"
"('P40429', 'P62917')"
"('P53355', 'Q66LE6')"
"('P20823', 'Q9UHC9')"
"('Q6Y7W6', 'Q9NTZ6')"
"('P09104', 'P16871')"
"('Q9HCM4', 'Q9H8Y8')"
"('P62879', 'P11229')"
"('Q99750', 'Q24JQ0')"
"('Q9HC52', 'O95503')"
"('P55786', 'Q9Y478')"
"('P35626', 'Q8NGF9')"
"('Q9UKX5', 'P05556')"
"('Q9NZT1', 'P01111')"
"('Q9UGI9', 'Q05469')"
"('O00422', 'Q14498')"
"('P62714', 'P51617')"
"('P69905', 'P69892')"
"('Q15796', 'Q9HAU4')"
"('Q8TC44', 'Q13620')"
"('P17301', 'P08648')"
"('Q15942', 'P60709')"
"('Q9H6T3', 'Q96MX6')"
"('P16220', 'Q86V59')"
"('P51955', 'Q14511')"
"('P04350', 'Q01101')"
"('P12956', 'Q9BTW9')"
"('P01106', 'Q8TAA5')"
"('Q969M7', 'P42224')"
"('Q9NY61', 'Q8N474')"
"('Q96HY7', 'P16220')"
"('Q8N5C8', 'P53779')"
"('P00734', 'P07359')"
"('Q13177', 'P30086')"
"('P63104', 'Q8NHH9')"
"('P31749', 'Q07817')"
"('Q8IYB3', 'Q13243')"
"('Q8WWR8', 'Q9BQY4')"
"('Q96GM5', 'P01106')"
"('P47914', 'P61353')"
"('Q9GZV9', 'P00533')"
"('Q13315', 'Q86VM9')"
"('P36404', 'Q13432')"
"('Q15036', 'P00519')"
"('Q6P2C8', 'Q71F56')"
"('Q8TAA9', 'Q05655')"
"('P00519', 'Q92664')"
"('Q9UKW4', 'Q9Y6Q6')"
"('O95741', 'P20073')"
"('O95049', 'O14493')"
"('Q9ULG1', 'Q9H9F9')"
"('P61981', 'P07359')"
"('Q96SN8', 'Q14194')"
"('P01571', 'P16471')"
"('Q14832', 'P50151')"
"('P24588', 'P13861')"
"('Q09472', 'Q13952')"
"('Q9UQR1', 'P04637')"
"('Q9Y4K3', 'Q9Y3F4')"
"('Q14974', 'P49790')"
"('P55055', 'Q15466')"
"('P51784', 'Q13107')"
"('P32121', 'O76061')"
"('Q9BVA1', 'Q8TDR0')"
"('P02749', 'P62993')"
"('P46108', '9757')"
"('Q8IY92', 'P13797')"
"('P24394', 'P31785')"
"('P05556', 'P30101')"
"('P56524', 'P28482')"
"('O76071', 'Q9NRH3')"
"('Q13315', 'Q8N680')"
"('Q8IYF3', 'Q9H4K1')"
"('P14209', 'P62937')"
"('P57740', 'P49454')"
"('Q08211', 'Q05519')"
"('P25791', 'Q02556')"
"('P61247', 'P62993')"
"('P35998', 'P01243')"
"('Q09028', 'P67870')"
"('P04049', 'P08727')"
"('Q562F6', 'P35813')"
"('P22612', 'Q14432')"
"('P35030', 'Q96RI0')"
"('Q99878', 'Q969S8')"
"('O15264', 'Q13283')"
"('A6ZKI3', 'O60381')"
"('P0CG12', 'Q13541')"
"('P23467', 'P19235')"
"('Q9Y5K5', 'P48556')"
"('Q16576', 'Q7L2E3')"
"('P46783', 'Q01201')"
"('P56746', 'Q16625')"
"('P62256', 'Q96A37')"
"('P63215', 'Q9UBY5')"
"('Q15303', 'Q9Y6I3')"
"('Q9NP79', 'O60232')"
"('O15273', 'Q9NP98')"
"('Q9H422', 'Q9NYA4')"
"('O95163', 'P42858')"
"('P45983', 'Q12968')"
"('Q92837', 'Q92997')"
"('P10275', 'Q9UBS8')"
"('Q96DR7', 'P84095')"
"('P68366', 'Q9UBN7')"
"('Q13362', 'O95072')"
"('P27986', 'Q14289')"
"('P08238', 'Q13546')"
"('P61956', 'P10276')"
"('P12830', 'Q6IQ23')"
"('Q13573', 'P35268')"
"('P16220', 'Q9P2F5')"
"('P62280', 'P61247')"
"('Q13315', 'Q659A1')"
"('P21917', 'P08754')"
"('P37802', 'P30480')"
"('Q00005', 'Q8NDX1')"
"('Q86YC2', 'Q9UBU8')"
"('P20248', 'P24941')"
"('Q96I25', 'P21673')"
"('Q5JTZ9', 'Q96KG7')"
"('O00483', 'P03891')"
"('P46108', 'O43150')"
"('O60716', 'P61586')"
"('P84243', 'Q12888')"
"('P33240', 'Q16630')"
"('Q14532', 'Q00005')"
"('P01011', 'O75173')"
"('Q03060', 'Q6UUV9')"
"('O75376', 'P20393')"
"('Q13490', 'Q92844')"
"('P80098', 'Q99689')"
"('Q99706', 'P30273')"
"('Q01201', 'Q16630')"
"('P12931', 'O15360')"
"('O43390', 'P35637')"
"('Q9Y6K9', 'O14980')"
"('P35626', 'Q9UGF7')"
"('P07202', 'P26951')"
"('P35244', 'Q9H9A7')"
"('Q05193', 'Q99963')"
"('P33240', 'Q9UKR5')"
"('Q15038', 'Q9H0E2')"
"('P55884', 'P42345')"
"('Q7LBR1', 'Q9UQN3')"
"('P46781', 'Q9HCK5')"
"('Q9BY11', 'O60861')"
"('Q9UKG1', 'P31749')"
"('P31946', 'Q86X27')"
"('Q96FA3', 'Q9NWZ3')"
"('Q9NYF0', 'Q05655')"
"('P11217', 'Q99759')"
"('P07237', 'Q9H1Y0')"
"('Q9NWA0', 'P50991')"
"('P62306', 'P14678')"
"('O60262', 'P48544')"
"('P20749', 'P19793')"
"('Q13233', 'P61077')"
"('P21673', 'P68371')"
"('Q13509', 'Q9P1Y5')"
"('O94762', 'O95402')"
"('Q16665', 'Q9Y259')"
"('Q9BXP5', 'P08670')"
"('Q07955', 'P35637')"
"('Q9H1C4', 'P46977')"
"('Q9Y5S8', 'Q04206')"
"('P49006', 'O60603')"
"('P19174', 'O00254')"
"('P02766', 'P08670')"
"('O15169', 'P23258')"
"('P16333', 'O43390')"
"('P68032', 'P18206')"
"('O95182', 'P56556')"
"('P17844', 'Q14164')"
"('P62979', 'Q15796')"
"('P29965', 'Q04864')"
"('Q9NRD5', 'Q9ULK5')"
"('P63000', 'Q16539')"
"('Q12962', 'Q8NEM7')"
"('O60721', 'P62993')"
"('P52565', 'Q01844')"
"('O15212', 'P62714')"
"('O15151', 'P27348')"
"('P58546', 'Q9Y4K3')"
"('P02786', 'P61769')"
"('P67775', 'P23443')"
"('Q8WTW4', 'P20073')"
"('Q05086', 'P07602')"
"('P07910', 'Q15834')"
"('O95049', 'O95500')"
"('Q9Y3M8', 'O60241')"
"('Q14451', 'P62993')"
"('P43364', 'Q8N490')"
"('Q01658', 'Q13952')"
"('P24941', 'P40337')"
"('Q9Y508', 'P62256')"
"('Q14671', 'Q15797')"
"('Q96PU4', 'Q9Y2X8')"
"('O94875', 'Q8WX93')"
"('Q9NXR7', 'Q06609')"
"('Q15287', 'P57678')"
"('P61981', 'Q92538')"
"('O95257', 'P57060')"
"('Q16543', 'Q92956')"
"('P62258', 'P30305')"
"('O15056', 'Q96B97')"
"('O75925', 'P02778')"
"('Q9Y478', 'Q15029')"
"('P62508', 'P11474')"
"('Q16594', 'Q8NEM7')"
"('Q9Y4A5', 'Q92993')"
"('Q9GZV5', 'Q15561')"
"('Q7Z4H7', 'Q9BT25')"
"('P50991', 'Q15257')"
"('P55036', 'Q13200')"
"('P22607', 'Q9NQ66')"
"('Q86YT6', 'P53355')"
"('Q12982', 'O60238')"
"('P80075', 'P51685')"
"('Q9NZT1', 'Q15853')"
"('P09172', 'Q15811')"
"('Q7Z5Q5', 'Q9Y2S7')"
"('P05231', 'P48357')"
"('P10721', 'Q9H201')"
"('P13010', 'Q8IW19')"
"('P12107', 'O75578')"
"('P63104', 'P22626')"
"('O14920', 'P49407')"
"('P25490', 'Q9Y230')"
"('P25098', 'Q99835')"
"('Q53EL6', 'P23443')"
"('P63010', 'Q04695')"
"('P09603', 'P11362')"
"('O60739', 'P16152')"
"('P35268', 'Q13573')"
"('P61224', 'Q12967')"
"('Q13761', 'P15884')"
"('Q02543', 'P21741')"
"('P17509', 'P19012')"
"('P23634', 'P62158')"
"('P63279', 'P15104')"
"('Q9Y230', 'O96019')"
"('Q9Y463', 'P20823')"
"('Q8IZV2', 'P00533')"
"('P23588', 'Q9UM73')"
"('P12931', 'Q13905')"
"('P49768', 'Q9NQB0')"
"('P11021', 'P41279')"
"('Q9NR96', 'Q9NX58')"
"('P07900', 'Q9HCK5')"
"('P08238', 'P00533')"
"('P01375', 'Q07889')"
"('Q8N8H1', 'Q9UGN5')"
"('P38936', 'Q5VU43')"
"('O60674', 'Q13283')"
"('Q5TD97', 'O96015')"
"('P78509', 'P08514')"
"('Q01581', 'P18146')"
"('P16152', 'P01889')"
"('P18077', 'P05388')"
"('O95168', 'O95182')"
"('P06746', 'P12004')"
"('Q15047', 'P55957')"
"('P56524', 'P15336')"
"('P18084', 'P41231')"
"('P31946', 'Q9P2M7')"
"('P27348', 'P30304')"
"('Q9NRR4', 'P41182')"
"('Q9BST9', 'P08134')"
"('Q9P2H0', 'O95251')"
"('Q712K3', 'Q96AD5')"
"('P62993', 'O60493')"
"('P18146', 'Q00887')"
"('P30626', 'P50995')"
"('P50502', 'Q93033')"
"('P29474', 'P20020')"
"('P02766', 'Q7Z5J4')"
"('Q13555', 'P21333')"
"('P51817', 'P52565')"
"('P32418', 'P18146')"
"('Q99569', 'O15018')"
"('P14618', 'O95059')"
"('Q13416', 'Q9H211')"
"('P38159', 'P26368')"
"('O00212', 'Q04771')"
"('P49023', 'Q12800')"
"('Q9BYG5', 'P41743')"
"('O75618', 'Q13158')"
"('Q6IF42', 'P38405')"
"('O43791', 'O75367')"
"('P17693', 'O15533')"
"('Q9Y5P4', 'P78368')"
"('P40937', 'Q15714')"
"('P02671', 'P01876')"
"('Q99598', 'Q15631')"
"('Q96BK5', 'P42766')"
"('P51681', 'P63096')"
"('Q15714', 'P46781')"
"('P43657', 'O14610')"
"('Q9UBK2', 'P31749')"
"('P27986', 'P09564')"
"('P13866', 'P08107')"
"('P01583', 'P18146')"
"('P56747', 'Q8NI35')"
"('O15360', 'Q15788')"
"('P78423', 'P32302')"
"('P00533', 'O00522')"
"('Q9Y620', 'Q8N8B7')"
"('Q8IUQ4', 'P51668')"
"('Q15012', 'P04350')"
"('P32121', 'A6NM03')"
"('P49662', 'O75643')"
"('P62993', 'P15941')"
"('Q9Y2R2', 'P22681')"
"('Q15800', 'P54253')"
"('Q9H492', 'P24723')"
"('P62805', 'P84243')"
"('P12980', 'P13945')"
"('P07355', 'P07858')"
"('P36873', 'P19105')"
"('P31943', 'P17844')"
"('Q9HCC0', 'Q00005')"
"('P98161', 'P00519')"
"('Q9NRG4', 'P49841')"
"('P01889', 'Q9NR80')"
"('P50148', 'Q9NZK7')"
"('P31943', 'O43390')"
"('Q7Z699', 'Q9BPY3')"
"('P84095', 'O00401')"
"('P49354', 'O75365')"
"('Q16637', 'P62308')"
"('Q99706', 'P14921')"
"('Q00005', 'Q7Z2W4')"
"('Q9NX08', 'Q9UBI1')"
"('P48039', 'P16520')"
"('O60496', 'Q96EK5')"
"('P62140', 'Q93100')"
"('P29460', 'P17181')"
"('P21281', 'P12532')"
"('Q9BUV8', 'Q9UIA9')"
"('P63010', 'P09497')"
"('O95398', 'Q16539')"
"('P01225', 'Q01718')"
"('P62910', 'P46779')"
"('P62847', 'P46783')"
"('Q9Y6M1', 'Q14197')"
"('P11413', 'P04792')"
"('O75928', 'P52630')"
"('P52735', 'P00533')"
"('Q9Y371', 'Q96B97')"
"('O75530', 'O43809')"
"('Q99460', 'P01889')"
"('Q92569', 'Q8IZP0')"
"('P78543', 'P24385')"
"('Q9UGI9', 'P54646')"
"('Q8IWY9', 'Q7Z2E3')"
"('Q13303', 'Q9H1K1')"
"('P07355', 'P30480')"
"('P05412', 'P67775')"
"('P18848', 'Q96RU7')"
"('P27361', 'P27708')"
"('O95619', 'P04637')"
"('P25940', 'Q05397')"
"('P61353', 'P62750')"
"('Q9UIF9', 'Q9UPN9')"
"('Q15047', '28620')"
"('P02768', 'P02787')"
"('Q00688', 'Q9UKE5')"
"('P62993', 'Q05193')"
"('Q96A65', 'P01106')"
"('P62158', 'Q15746')"
"('Q15834', 'Q96CN9')"
"('P41091', 'Q14164')"
"('Q5UIP0', 'P61604')"
"('Q04864', 'P01574')"
"('Q9Y613', 'P49792')"
"('P41227', 'Q9P0T4')"
"('Q12972', 'P31749')"
"('Q9UPR3', 'Q15172')"
"('O60462', 'P54259')"
"('P39023', 'P98175')"
"('Q99755', 'Q9ULU8')"
"('P11487', 'P21802')"
"('P07858', 'P20073')"
"('P18031', 'P05129')"
"('O43264', 'O14576')"
"('Q9GZS3', 'P63146')"
"('Q15717', 'P20248')"
"('P42331', 'Q96L33')"
"('Q9UKA1', 'P63208')"
"('Q92915', 'P35916')"
"('Q9NYG5', 'Q9UJX5')"
"('P60520', 'P54577')"
"('Q13077', 'P12931')"
"('Q9Y3U8', 'P62913')"
"('O95169', 'Q9UI09')"
"('P30291', 'Q8WZA2')"
"('O15105', 'O95625')"
"('Q9NPB9', 'P80075')"
"('P58753', 'Q8IWV8')"
"('P27986', 'O95455')"
"('P78527', 'P01106')"
"('P53803', '100008587')"
"('P04275', 'P13612')"
"('Q14164', 'P09960')"
"('O75643', 'P40337')"
"('P01871', 'Q7Z6A9')"
"('P06241', 'O76039')"
"('P01106', 'O00329')"
"('P01106', 'Q9NVR2')"
"('Q02543', 'Q9UL18')"
"('Q9P0V3', 'P17987')"
"('P15153', 'Q9BYG5')"
"('P58876', 'Q9BY41')"
"('P11474', 'P62508')"
"('O00422', 'Q9UL03')"
"('P53708', 'Q9NVD7')"
"('Q9HCK4', 'O43295')"
"('Q92730', 'Q13153')"
"('Q04637', 'Q9BZI7')"
"('P16885', 'Q9UQC2')"
"('Q2M3C7', 'P58107')"
"('Q13952', 'Q03001')"
"('P30154', 'Q13936')"
"('P13805', 'Q16891')"
"('Q8WVZ9', 'Q9GZQ8')"
"('Q15654', 'Q12906')"
"('P63104', 'Q9P0L2')"
"('O75832', 'P62333')"
"('O15111', 'P04637')"
"('P78527', 'Q9BUB5')"
"('Q05209', 'P06753')"
"('Q6UXH1', 'Q9NX14')"
"('Q13469', 'Q04206')"
"('P62158', 'P11233')"
"('Q16611', 'O00273')"
"('Q9NVD7', 'P05106')"
"('Q9UJX6', 'O95997')"
"('P27694', 'Q8TDY2')"
"('Q15544', 'Q15543')"
"('P52757', 'P62745')"
"('Q13485', 'Q9UI36')"
"('P04626', 'Q9UQQ2')"
"('P16278', 'P16104')"
"('Q13315', 'O94916')"
"('Q16774', 'Q9H832')"
"('P33681', 'P16410')"
"('Q15257', 'P16104')"
"('Q9Y2S0', 'Q53T94')"
"('P26599', 'Q8IU81')"
"('P19544', 'Q92793')"
"('Q9UKB1', 'Q15653')"
"('P26447', 'P84022')"
"('Q15291', 'P06899')"
"('O95782', 'Q9H0H5')"
"('P35443', 'P08514')"
"('Q9Y3C7', 'Q86U06')"
"('Q96ST3', 'Q06455')"
"('Q9Y2X7', 'Q9H0I3')"
"('P62906', 'P18621')"
"('406911', 'Q15306')"
"('O60739', 'Q99436')"
"('Q14790', 'P08670')"
"('P04141', 'Q12824')"
"('P62837', 'Q14139')"
"('P21580', 'Q9Y3C5')"
"('Q96Q15', 'Q969Q6')"
"('P49674', 'Q16625')"
"('Q99750', 'Q14847')"
"('Q9UBD5', 'O43913')"
"('P04637', 'P60953')"
"('Q9UPT6', 'Q9NPQ8')"
"('P63173', 'P19532')"
"('O96006', 'Q9Y221')"
"('P49662', 'Q04323')"
"('P03915', 'Q86Y39')"
"('Q16630', 'Q53G59')"
"('P62714', 'P45983')"
"('P13010', 'O60684')"
"('P32246', 'O43889')"
"('O60477', 'Q99759')"
"('Q8N2W9', 'O95257')"
"('O75365', 'P43246')"
"('Q9UHD9', 'O75400')"
"('P38936', 'Q8IYF3')"
"('Q96QV1', 'Q96BK5')"
"('Q9Y3L3', 'P00519')"
"('P62310', 'Q969L4')"
"('P14625', 'P10275')"
"('P04637', 'P31947')"
"('Q9BS18', 'O95997')"
"('P62829', 'P84098')"
"('O95751', 'Q9Y247')"
"('P01106', 'Q92731')"
"('P48729', 'P62745')"
"('P42773', 'Q5UIP0')"
"('P61981', 'O43524')"
"('P21860', 'P27986')"
"('P04637', 'P58005')"
"('Q8N149', 'P12318')"
"('O60477', 'Q9Y5V3')"
"('Q969M7', 'Q969K3')"
"('O15525', 'Q16665')"
"('P20333', 'P0CG48')"
"('P06737', 'Q9Y572')"
"('Q15653', 'P08107')"
"('Q13387', 'P04626')"
"('P08637', 'Q8IYS5')"
"('Q9Y5X1', 'Q99547')"
"('P15311', 'P63104')"
"('Q7Z614', 'P43364')"
"('P31942', 'Q8IWX8')"
"('O15371', 'P41091')"
"('P33991', 'Q15843')"
"('P62837', 'Q96PM9')"
"('Q15714', 'P82279')"
"('Q16718', 'O75306')"
"('Q9NSE2', 'Q14765')"
"('Q9H257', 'Q9UDY8')"
"('Q12913', 'P22681')"
"('P80098', 'P32302')"
"('P62993', 'Q96D71')"
"('P07437', 'P17844')"
"('Q99459', 'Q5VU43')"
"('P05141', 'P20333')"
"('P67809', 'Q13242')"
"('P63098', 'Q99683')"
"('Q5JY77', 'O43504')"
"('Q13247', 'P67809')"
"('Q9HCE1', 'Q14197')"
"('P63279', 'Q9BUZ4')"
"('Q86Y39', 'O43676')"
"('Q13315', 'Q96R06')"
"('P18146', 'Q14585')"
"('Q10586', 'Q9Y5B9')"
"('P13535', 'P24941')"
"('Q0ZGT2', 'P62993')"
"('P05026', 'Q9UMN6')"
"('Q9BUH8', 'Q9H4K1')"
"('Q12926', 'P98175')"
"('P04150', 'P18510')"
"('P13631', 'Q2M1K9')"
"('Q96NE9', 'Q9H175')"
"('Q96AH8', 'Q6PEY2')"
"('P54253', 'Q6ZVL6')"
"('P51617', 'P63165')"
"('P01562', 'P38484')"
"('P35372', 'P61952')"
"('P10275', 'P08047')"
"('Q99683', 'P52564')"
"('Q9BQP7', 'P43364')"
"('P19438', 'O14920')"
"('Q9UJM3', 'Q13191')"
"('Q13163', 'P31152')"
"('P17542', 'P19838')"
"('Q6IE81', 'Q05086')"
"('O14737', 'Q5T3J3')"
"('P00736', 'P0C0L5')"
"('Q6VMQ6', 'Q9HCE0')"
"('O43261', 'Q92993')"
"('Q13151', 'Q00839')"
"('P61764', 'Q13393')"
"('Q9NRA1', 'P08138')"
"('Q04917', 'Q13105')"
"('Q05397', 'Q06124')"
"('Q9H2G4', 'Q16650')"
"('Q99759', 'P46734')"
"('Q15303', 'Q16665')"
"('Q9UIS9', 'P42224')"
"('P00492', 'P23508')"
"('P32298', 'P25025')"
"('P05388', 'P62750')"
"('Q13315', 'O96028')"
"('Q9H0E3', 'P01106')"
"('P62917', 'Q11203')"
"('P04637', 'P53350')"
"('Q96J01', 'P04183')"
"('Q7Z3T8', 'Q13485')"
"('Q13255', 'P48995')"
"('O95571', 'Q5T3J3')"
"('P18146', 'Q9Y2D8')"
"('P42226', 'O14544')"
"('O15360', 'P62993')"
"('P08047', 'P29590')"
"('P06239', 'Q15262')"
"('P0C0S5', 'Q9UQL6')"
"('O75940', 'O75533')"
"('Q8TAI7', 'Q04771')"
