negatives
"('Q9HD36', 'Q07812')"
"('P58876', 'O95999')"
"('P01308', 'P08138')"
"('P11021', 'Q99759')"
"('Q9Y5P8', 'Q7Z3S7')"
"('Q16663', 'O00574')"
"('O43809', 'O43711')"
"('P06746', 'Q96FI4')"
"('O94805', 'P06400')"
"('P68371', 'Q9NRI5')"
"('O76071', 'Q9Y3D0')"
"('Q8NGG4', 'P41182')"
"('Q9NS73', 'Q9H8E8')"
"('Q99683', 'P53778')"
"('Q9NP92', 'P18146')"
"('O43586', 'Q9BVP2')"
"('O15084', 'P53350')"
"('Q92793', 'P12931')"
"('O94856', 'P06241')"
"('P60953', 'P16070')"
"('O60936', 'Q9NVF9')"
"('P99999', 'P30480')"
"('P10599', 'P32119')"
"('Q8IXH7', 'P07814')"
"('Q9UK08', 'P48051')"
"('P01106', 'Q13105')"
"('Q66LE6', 'O60359')"
"('Q8IYB3', 'Q01081')"
"('P23471', 'P21741')"
"('P62847', 'P63220')"
"('O95793', 'P31749')"
"('Q00987', 'P08581')"
"('P25205', 'Q96T60')"
"('Q86UD4', 'P84022')"
"('P16220', 'Q96AQ7')"
"('Q13671', 'P42684')"
"('O43516', 'O60861')"
"('Q9Y675', 'O14933')"
"('Q12778', 'Q13627')"
"('Q8IWZ8', 'Q01081')"
"('P31749', 'Q9Y534')"
"('P21802', 'Q13191')"
"('P31942', 'Q13151')"
"('Q01201', 'P10145')"
"('Q5JR59', 'Q99661')"
"('P29350', 'P26358')"
"('Q16445', 'O95166')"
"('Q96FK6', 'Q92561')"
"('P17947', 'P33076')"
"('Q13191', 'P23458')"
"('Q16778', 'Q9BZK7')"
"('O75947', 'O75964')"
"('Q09028', 'Q02539')"
"('Q9H4B7', 'P51149')"
"('Q14832', 'O14775')"
"('O43318', 'Q9Y4D1')"
"('P12821', 'Q16665')"
"('Q9NS91', 'Q96S55')"
"('Q9HCD5', 'Q15714')"
"('O75400', 'P18206')"
"('P18084', 'P13612')"
"('P52292', 'Q01201')"
"('O76021', 'Q9NX58')"
"('P62750', 'P46777')"
"('Q86WB0', 'Q13616')"
"('P84103', 'Q13247')"
"('Q05655', 'P31749')"
"('P04406', 'P63104')"
"('P61981', '404734')"
"('Q15306', 'Q86X55')"
"('P50148', 'Q3MJ16')"
"('Q9BPX5', 'Q9P1U1')"
"('Q13242', 'O60508')"
"('O95832', 'Q9Y5I7')"
"('Q15334', 'Q15700')"
"('O43505', 'O95461')"
"('O95178', 'O95168')"
"('Q8N148', 'P38405')"
"('P01106', 'Q9Y5Q9')"
"('P19438', 'Q9Y572')"
"('Q13363', 'Q06330')"
"('Q9Y5H5', 'O95433')"
"('P31751', 'Q15047')"
"('Q8NI35', 'P17252')"
"('Q00987', 'P49407')"
"('Q9Y2M5', 'Q13618')"
"('Q15256', 'P53779')"
"('Q9UM54', 'P0CG47')"
"('P10412', 'Q99558')"
"('P23246', 'O00221')"
"('Q86YW0', 'O94806')"
"('Q13315', 'Q15424')"
"('P01243', 'Q99471')"
"('P42680', 'Q99704')"
"('Q15672', 'P67809')"
"('Q9UKB1', 'Q14644')"
"('Q9UQM7', 'P42262')"
"('Q13422', 'P63279')"
"('Q96AE4', 'Q92830')"
"('Q08170', 'P52272')"
"('P08047', 'O00571')"
"('P13569', 'Q5SW79')"
"('Q9BTT4', 'Q9UHB7')"
"('P62841', 'P62854')"
"('P05198', 'O15372')"
"('P61587', 'O75914')"
"('Q9UI09', 'O95299')"
"('P22694', 'P54284')"
"('Q9Y6G9', 'P68366')"
"('Q15572', 'P04183')"
"('Q9BTT4', 'P30086')"
"('P30480', 'P33993')"
"('Q9UNX3', 'Q02543')"
"('Q9BTE0', 'P49841')"
"('P10242', 'P09496')"
"('P25098', 'Q13371')"
"('Q8IZC6', 'O75578')"
"('O00257', 'P29590')"
"('P25391', 'P06756')"
"('P46934', 'O14964')"
"('Q93045', 'Q96AW1')"
"('Q01955', 'P16070')"
"('Q13976', 'Q14643')"
"('P52294', 'Q13255')"
"('O60934', 'Q96EB6')"
"('P01106', 'P24666')"
"('P45880', 'P05141')"
"('Q9NPF7', 'Q01113')"
"('Q92831', 'P28702')"
"('P35590', 'P23470')"
"('P27448', 'P63104')"
"('Q9NYL2', 'P61981')"
"('O15357', 'P29353')"
"('Q8TB96', 'Q6P1J9')"
"('P14373', 'Q9UHD2')"
"('P18146', 'P48145')"
"('Q9ULW2', 'P35222')"
"('P05412', 'P35222')"
"('P38936', 'Q96N67')"
"('P18621', 'P46779')"
"('Q96BK5', 'Q14684')"
"('Q9HC38', 'P22736')"
"('P34820', 'P36894')"
"('P18146', 'P04637')"
"('P62807', 'Q96KK5')"
"('P32298', 'P46094')"
"('P04439', 'Q8NHL6')"
"('P27635', 'P62888')"
"('Q9H2G2', 'P98082')"
"('Q12955', 'Q15796')"
"('Q9UPY6', 'P59998')"
"('P15498', 'P60953')"
"('Q9NSB8', 'Q86YM7')"
"('P21333', 'Q99759')"
"('Q16828', 'P45984')"
"('P28749', 'Q9Y468')"
"('Q86UR5', 'Q38SD2')"
"('Q8IYH5', 'O43318')"
"('Q6WCQ1', 'Q9Y230')"
"('Q13748', 'Q96NA2')"
"('P61962', 'P08246')"
"('Q5T0N5', 'O43147')"
"('A6NIT4', 'Q99665')"
"('Q9UL18', 'P0CG48')"
"('O14936', 'Q9UHC6')"
"('P42677', 'Q15628')"
"('Q9Y2X8', 'Q9P0P0')"
"('P62906', 'Q9Y3U8')"
"('Q9UPX8', 'P27986')"
"('Q9Y2X7', 'Q13352')"
"('P20023', 'P15391')"
"('Q96BD8', 'Q8NCU1')"
"('P37173', 'P25208')"
"('P62249', 'Q9Y6K9')"
"('O95793', 'P50914')"
"('P24864', 'Q9UJX3')"
"('Q99613', 'O15371')"
"('O76071', 'Q8NBJ4')"
"('P60953', 'A7KAX9')"
"('Q99598', 'Q13901')"
"('Q9HAV4', 'Q9HC98')"
"('Q99878', 'Q7Z2G1')"
"('Q99459', 'Q01844')"
"('Q8N5Z0', 'P49792')"
"('Q9NVC6', 'Q92731')"
"('P08571', 'O15455')"
"('P49736', 'Q92794')"
"('P62310', 'Q16637')"
"('P04637', 'O00767')"
"('O00294', 'P62993')"
"('P46108', 'P42229')"
"('P46108', 'P23759')"
"('Q13555', 'Q8TD86')"
"('Q9HAU5', 'Q9GZQ8')"
"('O95251', 'Q9UNL4')"
"('Q7Z3C6', 'Q16539')"
"('Q16630', 'O60925')"
"('Q16795', 'O96000')"
"('Q8IY37', 'Q9NY93')"
"('P43405', 'Q5TFQ8')"
"('O14640', 'Q15334')"
"('P07437', 'Q01201')"
"('Q92956', 'P01023')"
"('O60506', 'Q15428')"
"('P63104', 'P04049')"
"('P06213', 'P27361')"
"('Q13546', 'P05141')"
"('P15882', 'Q9HBH0')"
"('Q14315', 'P35348')"
"('Q01469', 'P01241')"
"('P51149', 'Q96NA2')"
"('O43257', 'Q6ZRS2')"
"('Q14240', 'Q9Y262')"
"('P00519', 'P11230')"
"('P32927', 'P63244')"
"('Q9NQC3', 'P00519')"
"('P49207', 'P46778')"
"('Q9H0E3', 'Q16514')"
"('Q9BSU3', 'Q9BXJ9')"
"('P06756', 'O14495')"
"('O00231', 'Q16401')"
"('P46109', 'O00459')"
"('Q7Z434', 'Q07021')"
"('A8K6C2', 'Q99650')"
"('P42773', 'Q7L5N1')"
"('P18146', 'Q9Y271')"
"('Q13535', 'P25205')"
"('P10599', 'P08047')"
"('P07437', 'P17302')"
"('P05423', 'P53803')"
"('Q96GD4', 'Q15691')"
"('Q9NPP4', 'P01584')"
"('O14641', 'Q9BXS5')"
"('Q96L14', 'Q9BU64')"
"('Q9Y6W6', 'P53778')"
"('A6NMX2', 'P78344')"
"('P16298', 'Q12834')"
"('P35626', 'P34998')"
"('O43242', 'O00233')"
"('Q15648', 'P24863')"
"('Q13233', 'Q07020')"
"('P49023', 'Q05209')"
"('P25786', 'Q9Y3Q8')"
"('Q13480', 'P43378')"
"('P60228', 'Q13347')"
"('P62888', 'Q00653')"
"('P57088', 'Q9UL18')"
"('Q00005', 'Q14974')"
"('P14866', 'O75937')"
"('P51116', 'Q15041')"
"('Q13432', 'P50453')"
"('Q13432', 'Q9UIM3')"
"('Q09472', 'Q71DI3')"
"('Q16787', 'P05556')"
"('P49841', 'Q6NUN9')"
"('P46778', 'P61513')"
"('P68366', 'Q99459')"
"('O60721', 'P00519')"
"('Q9UK08', 'P27361')"
"('Q8NH90', 'P38405')"
"('O00422', 'O75446')"
"('Q9HCE7', 'Q96D21')"
"('Q9H2U1', 'Q9UL18')"
"('Q14566', 'Q9UNS1')"
"('Q01955', 'P18827')"
"('P06239', 'O43914')"
"('Q9Y3A5', 'P30480')"
"('P11413', 'P04792')"
"('Q8TB22', 'Q8IZH2')"
"('P22681', 'Q07666')"
"('Q8NHL6', 'P08637')"
"('Q9Y5K6', 'P08631')"
"('P08754', 'Q9Y4K3')"
"('Q9BRA2', 'P11171')"
"('Q99731', 'O00590')"
"('O43187', 'Q16543')"
"('P17252', 'Q15361')"
"('P10809', 'P08107')"
"('Q9Y466', 'Q15797')"
"('P45983', 'P31947')"
"('O14777', 'Q9Y6D9')"
"('P49366', 'O60684')"
"('P60903', 'Q92934')"
"('P62750', 'P32969')"
"('P22736', 'P18146')"
"('Q9NY61', 'P06400')"
"('Q12873', 'P12757')"
"('Q02156', 'Q8TAA9')"
"('P63000', 'O96013')"
"('Q15843', 'P62917')"
"('P04629', 'P18031')"
"('P14902', 'Q9GZR7')"
"('P52434', 'A0JLT2')"
"('Q96B97', 'P12931')"
"('P02647', 'P02745')"
"('Q9NX47', 'P0CG48')"
"('Q14164', 'P61599')"
"('P05783', 'Q06124')"
"('Q15120', 'Q14197')"
"('P15172', 'P41134')"
"('Q9NPI6', 'Q8IZD4')"
"('Q7Z6B7', 'P62745')"
"('P40337', 'Q15185')"
"('Q5UIP0', 'Q92963')"
"('P09038', 'P10721')"
"('Q9HA65', 'Q7Z478')"
"('P04406', 'Q6DRA6')"
"('O00308', 'P84022')"
"('P00519', 'O00213')"
"('P18146', 'Q99661')"
"('P22612', 'Q9UGI9')"
"('Q13838', 'Q9NRL3')"
"('P35749', 'P63261')"
"('P51654', 'P56703')"
"('Q13501', 'Q14145')"
"('Q96KM6', 'Q9NQ87')"
"('P35637', 'P22626')"
"('Q00987', 'Q7LG56')"
"('Q99873', 'P32455')"
"('O60512', 'P21673')"
"('Q14203', 'P42575')"
"('P15884', 'Q9NR48')"
"('P19105', 'Q9UKE5')"
"('P62873', 'P45984')"
"('O76024', 'P13569')"
"('Q9UBY5', 'O14610')"
"('P61964', 'Q9HCK8')"
"('Q13568', 'P01570')"
"('P63167', 'P01889')"
"('P07910', 'Q14683')"
"('P67870', 'Q8IV63')"
"('Q15382', 'Q12933')"
"('Q00975', 'Q96HC4')"
"('Q149N8', 'P37268')"
"('Q9UBQ5', 'Q13347')"
"('O95163', 'Q6IA86')"
"('Q9ULC4', 'Q9BSL1')"
"('P62714', 'P57087')"
"('Q93079', 'P56524')"
"('P17676', 'P10914')"
"('P22612', 'P49841')"
"('P27986', 'P15509')"
"('Q03518', 'P30511')"
"('Q92917', 'Q9BRD0')"
"('Q8TBK6', 'Q70Z53')"
"('P18146', 'P35713')"
"('Q15109', 'Q9NWZ3')"
"('Q08881', 'P36897')"
"('P63000', 'P0CG48')"
"('O14744', 'Q9H9G7')"
"('O00488', 'O43318')"
"('P40337', 'Q04941')"
"('P62873', 'Q15147')"
"('P09874', 'Q9Y5B9')"
"('Q15843', 'Q9UET6')"
"('P56134', 'O60341')"
"('Q9H1I8', 'P00966')"
"('O75800', 'Q13049')"
"('Q15399', 'P10809')"
"('P13569', 'P51159')"
"('P42261', 'Q12959')"
"('Q70Z53', 'Q13123')"
"('P12956', 'Q9Y6B2')"
"('P47914', 'O15479')"
"('Q92608', 'Q9HBH0')"
"('406906', 'P51959')"
"('P25054', 'Q8TB52')"
"('P12931', 'P46013')"
"('P10644', 'Q15750')"
"('Q9UI95', 'Q9UM13')"
"('P83731', 'P62633')"
"('P01562', 'Q09472')"
"('O00628', 'O14832')"
"('P16220', 'P78406')"
"('P33552', 'Q02224')"
"('Q09472', 'P12757')"
"('Q13107', 'P40818')"
"('Q13554', 'P54284')"
"('P62258', 'Q92934')"
"('Q15276', 'P27348')"
"('P62979', 'P28562')"
"('Q6PCD5', 'P35244')"
"('Q8IYT8', 'Q15047')"
"('P27658', 'P18206')"
"('O14625', 'P41597')"
"('P43246', 'P38936')"
"('P24539', 'P56134')"
"('Q9Y2R2', 'P19022')"
"('Q92793', 'Q9Y6Q9')"
"('Q96S55', 'Q15054')"
"('P18146', 'Q5JXC2')"
"('Q13347', 'O15372')"
"('P35222', 'Q9BRK4')"
"('Q9Y463', 'P28482')"
"('O43318', 'Q6NUN9')"
"('P37840', 'P08107')"
"('Q9NW61', 'P02775')"
"('P63211', 'Q9HBW0')"
"('P01106', 'Q9UNF1')"
"('P18510', 'P27930')"
"('P31947', 'P61962')"
"('Q9UPY3', 'P19525')"
"('P21860', 'Q99961')"
"('O95299', 'O75438')"
"('P08729', 'P05783')"
"('Q9UPS6', 'Q6UXN9')"
"('P54619', 'P13569')"
"('P23470', 'P42680')"
"('O00571', 'P60709')"
"('Q9NPD3', 'Q7L1W4')"
"('Q9Y572', 'Q06830')"
"('Q7Z7K6', 'P63165')"
"('P01569', 'Q13261')"
"('Q92830', 'P01106')"
"('Q9P2M7', 'P12883')"
"('Q13233', 'Q9Y230')"
"('P62070', 'P84022')"
"('P10301', 'O00329')"
"('P02461', 'P21781')"
"('P61254', 'Q9UKV8')"
"('P56856', 'Q16625')"
"('Q14BN4', 'Q9Y6E0')"
"('P17252', 'P50150')"
"('Q9UGI9', 'O43524')"
"('P84098', 'P83731')"
"('A6NI73', 'P31994')"
"('Q9Y618', 'Q13227')"
"('Q9UKR5', 'Q5SZQ8')"
"('Q10586', 'Q969G3')"
"('Q13242', 'Q5JVS0')"
"('Q8IUQ4', 'P99999')"
"('P06729', 'P20963')"
"('Q8NFW9', 'P16220')"
"('Q99750', 'Q9P2T0')"
"('P14618', 'P16104')"
"('P51160', 'P16499')"
"('Q9HCK8', 'P61964')"
"('P22694', 'P16118')"
"('P29317', 'P00533')"
"('Q08493', 'Q09472')"
"('P49841', 'P36873')"
"('Q9P258', 'P40337')"
"('P10809', 'Q13573')"
"('Q14669', 'Q13573')"
"('Q02878', 'P18124')"
"('P30480', 'Q7KZF4')"
"('O60739', 'P46781')"
"('Q9Y4Y9', 'Q9Y4Z0')"
"('P01889', 'P38606')"
"('P56537', 'Q5T3J3')"
"('Q5JSL3', 'P63000')"
"('P24864', 'Q9UJX5')"
"('O75899', 'P50150')"
"('Q2I0M4', 'Q8TDR0')"
"('Q13402', 'P58418')"
"('Q13794', 'Q07820')"
"('O00212', 'Q9UIW2')"
"('P62805', 'P25067')"
"('P62993', 'P16885')"
"('P29590', 'P46937')"
"('Q96PV6', 'P54259')"
"('Q9Y5J5', 'Q96ER3')"
"('P61981', 'P30291')"
"('P26010', 'O75530')"
"('Q13098', 'Q9UBW8')"
"('P63104', 'O14757')"
"('Q99616', 'P31942')"
"('P63104', 'Q9UKX2')"
"('Q16827', 'P04629')"
"('Q9UJX3', 'Q9UJX5')"
"('Q9NPJ4', 'P03372')"
"('P11177', 'P18754')"
"('P48454', 'P62158')"
"('Q06481', 'Q96KM6')"
"('P55036', 'O75832')"
"('O95918', 'P38405')"
"('Q13573', 'Q7Z333')"
"('Q12906', 'P43364')"
"('P62263', 'Q9NX58')"
"('P38646', 'P13569')"
"('O00626', 'Q04206')"
"('P17568', 'P03915')"
"('P54253', 'Q5JSZ5')"
"('P15927', 'Q15011')"
"('Q9UKV0', 'P62258')"
"('Q15835', 'P49682')"
"('P06213', 'Q9ULV8')"
"('Q86YS3', 'Q15907')"
"('P62633', 'P49207')"
"('Q969T4', 'Q7Z6Z7')"
"('Q8NBJ4', 'O95424')"
"('Q05682', 'P62993')"
"('P30519', 'Q9Y2X7')"
"('Q06124', 'Q08345')"
"('P22612', 'Q86W47')"
"('P59666', 'O60925')"
"('P60983', 'Q14164')"
"('Q9NR30', 'Q08945')"
"('P05771', 'P50281')"
"('P52272', 'P38159')"
"('O15111', 'Q8WXC3')"
"('Q9UHY7', 'P07305')"
"('P50991', 'Q9Y2T4')"
"('Q9Y5K5', 'P20618')"
"('Q9Y624', 'Q9NSI5')"
"('Q9Y4J8', 'P11532')"
"('P28566', 'P59768')"
"('Q9NWF9', 'Q8NFP9')"
"('Q9BY41', 'P20671')"
"('Q9UQM7', 'P01111')"
"('P02768', 'Q13129')"
"('P35222', 'Q08211')"
"('Q9H0J9', 'P41182')"
"('O95400', 'P26599')"
"('P41235', 'P01019')"
"('O60762', 'Q13418')"
"('P33176', 'Q9Y4G8')"
"('Q9NWF9', 'P02775')"
"('Q9NY65', 'Q9BVA1')"
"('Q9H4K1', 'Q9Y272')"
"('O60264', '100008587')"
"('Q8TDY2', 'P49750')"
"('Q12996', 'P11802')"
"('Q9NPD8', 'Q8N448')"
"('Q03135', 'P00533')"
"('P42345', 'Q8IYT8')"
"('Q12965', 'P50570')"
"('O60684', 'Q96CN9')"
"('P27348', 'Q5PRF9')"
"('Q13002', 'Q8NBJ4')"
"('Q9H0H5', 'Q2TAY7')"
"('P17980', 'P62191')"
"('O95990', 'P81605')"
"('O00585', 'P32248')"
"('O95832', 'P78369')"
"('Q15700', 'Q9GZV5')"
"('Q13404', 'O75800')"
"('Q14344', 'O15492')"
"('P51665', 'Q9UNM6')"
"('Q9NR46', 'Q15303')"
"('Q9HAU5', 'P62841')"
"('P04150', 'P02794')"
"('Q8IWF2', 'Q8IXB1')"
"('P63104', 'P68431')"
"('P46531', 'Q6ZQN5')"
"('P06493', 'Q13573')"
"('Q9NX58', 'Q9NQ55')"
"('P10275', 'P48552')"
"('P31994', 'O75023')"
"('P98170', 'O14933')"
"('O43313', 'Q13315')"
"('P62745', 'P16083')"
"('Q9UII5', 'O15105')"
"('P33993', 'P25205')"
"('P26012', 'Q9NVD7')"
"('Q14738', 'Q13698')"
"('P06865', 'P16104')"
"('A4UGR9', 'Q9UET6')"
"('P15502', 'P02751')"
"('Q6UY14', 'O76003')"
"('P58876', 'O94817')"
"('Q92993', 'Q9H2F5')"
"('P61769', 'P18206')"
"('Q9C000', 'P55211')"
"('P23769', 'Q92793')"
"('P22612', 'O14775')"
"('Q07889', 'P22681')"
"('Q6UWE0', 'P54253')"
"('P24941', 'P11171')"
"('C9J798', 'O14807')"
"('O14980', 'Q9UPY3')"
"('Q9BSM1', 'Q8NHM5')"
"('P30450', 'P26715')"
"('Q9ULW5', 'P30793')"
"('P46527', 'O00505')"
"('Q15365', 'Q9Y2W2')"
"('Q8WVC0', 'P04406')"
"('Q7Z3G6', 'Q8TAA9')"
"('Q92569', 'Q9Y383')"
"('Q86TI0', 'P61026')"
"('Q969S3', 'P10244')"
"('Q99459', 'Q9H1A4')"
"('O95166', 'Q02790')"
"('Q9Y4K3', 'Q9HAT8')"
"('Q9Y2S7', 'P49005')"
"('P80404', 'O95433')"
"('P18754', 'O95785')"
"('Q05639', 'P08173')"
"('Q13418', 'Q9Y243')"
"('Q15834', 'Q8IYI6')"
"('Q7Z434', 'Q15628')"
"('Q13573', 'P13805')"
"('O75190', 'Q9Y5J5')"
"('P52756', 'Q13151')"
"('Q8WVB3', 'P04350')"
"('Q99969', 'P43235')"
"('P40259', 'P01871')"
"('P17693', 'Q03519')"
"('Q16531', 'Q16514')"
"('407026', 'P39059')"
"('P11274', 'P62993')"
"('Q9Y2X7', 'P49641')"
"('O75146', 'Q99459')"
"('Q6STE5', 'P24522')"
"('P13232', 'P19235')"
"('O75469', 'P28702')"
"('P07900', 'Q15785')"
"('P38159', 'Q13151')"
"('O95059', 'Q9BUL9')"
"('O43237', 'Q9BVA1')"
"('P60484', 'Q04864')"
"('P02768', 'P07477')"
"('P51681', 'P04899')"
"('Q9H8T0', 'Q14181')"
"('Q9HAV0', 'Q92633')"
"('P46937', 'Q9H3D4')"
"('Q00839', 'Q92844')"
"('Q6ZNA4', 'P51668')"
"('P04899', 'O60840')"
"('O60930', 'Q5VYV7')"
"('P23246', 'P09012')"
"('P23511', 'P00374')"
"('Q13444', 'Q15052')"
"('P15880', 'P49841')"
"('P06241', 'Q05655')"
"('P04004', 'P53708')"
"('Q52LR7', 'Q9Y230')"
"('Q8N3C0', 'P12757')"
"('O60493', 'P30480')"
"('P00519', 'P23760')"
"('P16871', 'P08590')"
"('O14807', 'P27986')"
"('Q03113', 'Q9NZN5')"
"('P41235', 'Q92786')"
"('Q9Y5Z7', 'P61964')"
"('Q12834', 'Q9UJX2')"
"('Q99816', 'O14964')"
"('P26373', 'O95819')"
"('Q6ZT07', 'Q92560')"
"('P20936', 'Q99704')"
"('P21333', 'Q9Y6K9')"
"('Q96H20', 'P24928')"
"('Q13952', 'P08183')"
"('Q92993', 'Q8N5W9')"
