negatives
"('Q8IZE3', 'Q86X19')"
"('Q9Y3I0', 'Q86VP6')"
"('P42681', 'Q9NYW8')"
"('P60328', 'Q8IVT2')"
"('Q6ZUT1', 'Q8N9Q2')"
"('Q9UNF1', 'P68366')"
"('P04264', 'Q00597')"
"('Q13064', 'Q9BZY9')"
"('O75888', 'Q92956')"
"('Q9Y468', 'Q15008')"
"('Q9HB71', 'Q2WGJ6')"
"('Q00613', 'Q9NRF8')"
"('Q8IYT4', 'Q6PEY2')"
"('P49407', 'Q8NGG3')"
"('Q00536', 'O75044')"
"('Q16659', 'Q99797')"
"('P62191', 'P54278')"
"('Q9Y2K1', 'Q00987')"
"('O14530', 'Q12873')"
"('P08151', 'Q13526')"
"('Q13535', 'P17020')"
"('P16615', 'Q6NUN9')"
"('P52333', 'P06239')"
"('P08574', 'Q9UI09')"
"('P50570', 'Q7L2J0')"
"('O15519', 'P14866')"
"('P01857', 'Q9UL42')"
"('P12980', 'Q9UK59')"
"('O14974', 'Q96A32')"
"('O14757', 'P49761')"
"('Q13177', 'Q96J01')"
"('Q96KR7', 'P68032')"
"('P62136', 'O94763')"
"('Q7Z392', 'Q9Y296')"
"('P31943', 'Q14999')"
"('P18583', 'Q9UKV3')"
"('Q00610', 'Q9HD42')"
"('P61952', 'Q13936')"
"('P01137', 'O60711')"
"('O15294', 'Q9P035')"
"('Q9UPQ3', 'Q9P0V3')"
"('P28799', 'P60410')"
"('P62249', 'P63173')"
"('P20749', 'O95816')"
"('P52435', 'Q8N7H5')"
"('Q13084', 'P04792')"
"('Q9BT78', 'Q0VDD7')"
"('O43464', 'Q04637')"
"('P78344', 'Q9BUB5')"
"('Q9BTC0', 'Q9P2P5')"
"('P49770', 'Q9H1Y3')"
"('Q15050', 'P42285')"
"('O00471', 'Q9UPT5')"
"('P56278', 'P05067')"
"('P25942', 'Q16548')"
"('P04264', 'Q9Y5K5')"
"('Q03164', 'Q01844')"
"('P32969', 'O94875')"
"('P03372', 'P46940')"
"('P36404', 'Q9BZK7')"
"('P26599', 'P09012')"
"('P86480', 'Q16543')"
"('Q14498', 'P61326')"
"('P62873', 'Q9P2W3')"
"('P41252', 'Q16526')"
"('P04439', 'Q401N2')"
"('Q04837', 'Q03468')"
"('P61956', 'Q96HD1')"
"('Q9GZQ8', 'P62750')"
"('O00159', 'Q6P4F7')"
"('P84103', 'P02751')"
"('Q96CW1', 'Q13422')"
"('P49368', 'O96019')"
"('Q9H3K2', 'Q9C0B0')"
"('O14965', 'O75604')"
"('P55196', 'O75147')"
"('Q9Y619', 'Q99741')"
"('O15020', 'P12830')"
"('P11137', 'O00425')"
"('P17858', 'Q9UBN7')"
"('P22626', 'Q08211')"
"('P01588', 'O60496')"
"('P19022', 'Q9UQB3')"
"('P43355', 'Q96D98')"
"('Q96IG2', 'P54727')"
"('P34931', 'O43318')"
"('O00560', 'Q8NAV1')"
"('A0AVT1', 'P11216')"
"('O43236', 'O15392')"
"('Q9H7D7', 'P62699')"
"('Q13118', 'Q8N1F1')"
"('Q13131', 'O60307')"
"('P34897', 'Q9UL58')"
"('P28070', 'P67809')"
"('P04222', 'Q15691')"
"('Q12772', 'O75928')"
"('Q86TM6', 'Q9Y5J3')"
"('Q13438', 'Q9HAW8')"
"('P23434', 'O43592')"
"('Q9ULR0', 'Q9BQ65')"
"('Q9NU19', 'A6NC98')"
"('Q6W2J9', 'Q9Y6G9')"
"('Q9UBS4', 'P62993')"
"('P49674', 'P08238')"
"('P43307', 'O60832')"
"('Q9UBK9', 'P62136')"
"('P20807', 'Q9Y2Z4')"
"('Q8N8L2', 'Q9BYR9')"
"('P27694', 'Q14191')"
"('P43034', 'Q07343')"
"('Q9BSW7', 'Q9GZT8')"
"('Q9H5Z6', 'Q6UY14')"
"('P50222', 'Q9NPE3')"
"('Q96KN1', 'Q86YC2')"
"('E9PAV3', 'Q6P2Q9')"
"('Q04917', 'Q92974')"
"('Q9HC36', 'Q6ZW49')"
"('P57740', 'P04049')"
"('P04629', 'Q9Y263')"
"('P42574', 'P35754')"
"('P55072', 'P46781')"
"('P60510', 'Q5MIZ7')"
"('Q96JH8', 'Q8TAP6')"
"('P27361', 'Q92974')"
"('Q9Y297', 'P01112')"
"('Q9H0U6', 'Q92796')"
"('P51148', 'Q8NHQ8')"
"('P50222', 'P78385')"
"('Q9NWS0', 'Q03164')"
"('Q8WYQ3', 'Q9BUP0')"
"('P01566', 'P10912')"
"('Q9Y2T2', 'Q14194')"
"('Q16659', 'Q99418')"
"('Q13315', 'Q9HCJ3')"
"('P53803', 'O14980')"
"('Q13547', 'P36508')"
"('P19525', 'Q9BY44')"
"('Q96FJ2', 'Q9ULV3')"
"('Q14315', 'Q9Y6D5')"
"('Q9UL33', 'P15884')"
"('P38919', 'Q8TAD8')"
"('Q02750', 'P15498')"
"('Q66GS9', 'Q9BRX9')"
"('P67809', 'P28074')"
"('Q6NYC8', 'P06396')"
"('P15336', 'P50991')"
"('Q8TAI7', 'Q9UKG1')"
"('Q92731', 'Q16531')"
"('P04629', 'P29317')"
"('P11586', 'Q9UMX0')"
"('Q13043', 'P98177')"
"('Q8N6T7', 'Q15006')"
"('O00548', 'P46531')"
"('Q14055', 'P17301')"
"('Q7Z6Z7', 'Q9NTK5')"
"('Q5JTW2', 'O15403')"
"('Q9UNS1', 'P33993')"
"('Q00653', 'P24385')"
"('Q8N490', 'Q9UI10')"
"('Q9NZL4', 'P61160')"
"('Q13144', 'Q9H4I9')"
"('O43541', 'Q96J02')"
"('P43115', 'P08754')"
"('P42224', 'P05231')"
"('Q8NF91', 'Q96S44')"
"('A6NKF1', 'O95801')"
"('P35613', 'Q9NUQ2')"
"('P12004', 'P30480')"
"('P29320', 'Q8N726')"
"('Q9UPQ9', 'Q9HC77')"
"('Q9NPJ6', 'O75947')"
"('A8MQ03', 'Q8WWX9')"
"('P35580', 'Q9UM73')"
"('Q9NP73', 'P0C7T5')"
"('O60841', 'O14980')"
"('Q9BXL5', 'P17030')"
"('Q9Y4K3', 'Q86SQ7')"
"('P15923', 'P12273')"
"('P68400', 'O43852')"
"('Q16827', 'O15031')"
"('Q96K75', 'Q96SB4')"
"('P63261', 'P51572')"
"('Q5MJ09', 'Q9UKT8')"
"('Q96RI1', 'O75376')"
"('Q9Y679', 'Q86X19')"
"('P03372', 'P04279')"
"('P11166', 'P27824')"
"('Q14192', 'Q9NQ94')"
"('Q9NPI1', 'O96019')"
"('Q16659', 'Q71UM5')"
"('P04629', 'Q06203')"
"('O14939', 'O00499')"
"('O43291', 'Q93084')"
"('O95166', 'Q9NX00')"
"('O43390', 'P27694')"
"('Q9Y4C1', 'Q8IZQ8')"
"('O60573', 'O75420')"
"('P62987', 'P62945')"
"('O60337', 'Q15717')"
"('Q9NRG0', 'O60888')"
"('Q92794', 'Q09472')"
"('P04040', 'Q06124')"
"('Q15436', 'P50570')"
"('P34932', 'Q99615')"
"('P63279', 'Q9UI36')"
"('Q71RC9', 'Q08426')"
"('P78347', 'P78527')"
"('P17844', 'Q6P2E9')"
"('Q15198', 'Q12797')"
"('Q14566', 'Q96A08')"
"('Q24JP5', 'Q9H2D6')"
"('P06454', 'P35232')"
"('Q9GZV7', 'Q9BYQ4')"
"('O75364', 'P01859')"
"('Q9BUN5', 'Q8WXE1')"
"('Q9Y6I3', 'Q9Y3C5')"
"('Q8N2M8', 'Q15038')"
"('P00533', 'P01860')"
"('Q99750', 'Q9P2T0')"
"('P19338', 'P19320')"
"('P31274', 'Q6NVU6')"
"('P17542', 'Q9Y4A5')"
"('Q86WJ1', 'O60814')"
"('P55809', 'Q9P0T7')"
"('P63165', 'Q99666')"
"('Q96P48', 'Q96CX2')"
"('Q14524', 'P02511')"
"('P31995', 'P62993')"
"('O00625', 'Q14938')"
"('P08236', 'Q8IWL3')"
"('P55008', 'Q96LI6')"
"('Q86SE9', 'Q99661')"
"('Q13315', 'Q7Z6I8')"
"('Q9Y3E0', 'Q86T03')"
"('Q0VDD7', 'P60900')"
"('P16871', 'P04179')"
"('P04179', 'P09972')"
"('Q14247', 'O60716')"
"('Q9NYY1', 'Q8IU57')"
"('Q9UHB6', 'Q9UKS6')"
"('O43765', 'P10451')"
"('O95409', 'Q01860')"
"('P01225', 'P29274')"
"('Q92841', 'O15116')"
"('P43307', 'P07602')"
"('Q9UBK2', 'Q9P2K5')"
"('O94817', 'P62273')"
"('Q6UXG3', 'P60369')"
"('Q5JRA6', 'Q9P253')"
"('P42166', 'Q9NRD1')"
"('Q9UGJ1', 'P0DMV8')"
"('Q9Y6W6', 'O75626')"
"('Q9Y4A8', 'Q9ULX9')"
"('Q13233', 'O14980')"
"('P28482', 'Q02548')"
"('O15118', 'O00214')"
"('Q9Y371', 'Q96S82')"
"('O95831', 'P29353')"
"('Q99759', 'Q8N163')"
"('Q9UBC5', 'Q8TCJ0')"
"('O95817', 'Q14008')"
"('P41743', 'P60520')"
"('O60271', 'Q9UKN8')"
"('P09958', 'Q6VY07')"
"('O95433', 'Q92784')"
"('O60260', 'P20700')"
"('Q8N7W2', 'P50402')"
"('O43914', 'P43631')"
"('Q9BTL4', 'Q15717')"
"('Q9BRX9', 'Q15366')"
"('Q9NPF5', 'Q05BQ5')"
"('Q6ZMJ4', 'Q5T754')"
"('Q8N1B4', 'Q8N5R6')"
"('A6NC98', 'P78362')"
"('P56556', 'O75306')"
"('Q9BS40', 'Q9HCM9')"
"('Q53GL7', 'Q14790')"
"('P07510', 'O94805')"
"('Q9H8E8', 'O75528')"
"('Q15788', 'P27348')"
"('P07900', 'Q9Y266')"
"('Q5BVD1', 'Q8N205')"
"('Q9Y576', 'Q93034')"
"('Q9BW61', 'Q8NHY2')"
"('O60894', 'O95467')"
"('P20618', 'P20749')"
"('O75934', 'Q9UMS4')"
"('P62750', 'Q8NDD1')"
"('O14503', 'Q9Y297')"
"('P28347', 'Q9NQB0')"
"('Q9UN37', 'Q9NRD1')"
"('O95864', 'Q13485')"
"('Q7Z3Y8', 'Q92805')"
"('Q96CW5', 'Q96RT7')"
"('P60331', 'Q9HBT8')"
"('P22415', 'P33076')"
"('Q13247', 'O75530')"
"('Q96CN7', 'P42785')"
"('Q09028', 'P68400')"
"('Q9UM54', 'P61160')"
"('Q9UBT2', 'P25789')"
"('P33992', 'Q7L7L0')"
"('P67870', 'Q9GZL7')"
"('O75365', 'Q9UNL2')"
"('Q9UJX3', 'P19338')"
"('P04181', 'Q96CS3')"
"('P16104', 'P30041')"
"('O43561', 'O75955')"
"('O14980', 'Q9NUU7')"
"('P62913', 'P52815')"
"('Q01813', 'Q9BSI4')"
"('P07900', 'P51571')"
"('O00237', 'P55072')"
"('P02545', 'Q5VV42')"
"('Q8IWL3', 'Q9UG63')"
"('Q9H078', 'Q9H8M1')"
"('Q96KQ7', 'Q6IN85')"
"('P55157', 'Q9H1R2')"
"('P19320', 'P06730')"
"('Q9BW62', 'Q9NSV4')"
"('P07900', 'Q6WCQ1')"
"('P26368', 'O43660')"
"('Q01415', 'A6ND91')"
"('P63279', 'P14373')"
"('P23458', 'Q92835')"
"('P02787', 'Q14CN4')"
"('P33991', 'P19320')"
"('Q9Y265', 'Q96JC9')"
"('Q08211', 'P61020')"
"('Q04206', 'O43513')"
"('Q13415', 'P25205')"
"('Q7KZF4', 'Q9UNL2')"
"('Q96CW1', 'O43426')"
"('Q13618', 'P30837')"
"('Q9HC52', 'P36406')"
"('Q8NA61', 'Q96EY8')"
"('P82279', 'Q93063')"
"('Q9HC36', 'Q9HD33')"
"('P34932', 'P40337')"
"('Q14449', 'P06213')"
"('Q5SW79', 'Q6ZMI0')"
"('P41223', 'Q13573')"
"('P46779', 'O95166')"
"('P46939', 'O43818')"
"('P56750', 'Q8N6F1')"
"('Q99459', 'Q9GZZ9')"
"('P07550', 'Q9UJS0')"
"('Q00653', 'P01566')"
"('Q9NU02', 'Q9NWT6')"
"('A6NCF5', 'Q8IVD9')"
"('Q96I34', 'P53611')"
"('Q7Z3S9', 'Q8NCG7')"
"('O75306', 'Q71F23')"
"('P07195', 'Q99496')"
"('Q15819', 'Q8IUQ4')"
"('P13591', 'P19174')"
"('Q96CV9', 'Q9NTZ6')"
"('Q16854', 'P60880')"
"('Q9HAC8', 'Q504Q3')"
"('O60506', 'P98175')"
"('P38936', 'O95865')"
"('P04899', 'Q15147')"
"('O15400', 'Q5SQN1')"
"('P18031', 'P42566')"
"('Q9BZE1', 'Q8IYS1')"
"('Q01844', 'P39019')"
"('Q9BXS5', 'Q9BXS4')"
"('P35226', 'P52292')"
"('P51681', 'P17676')"
"('Q969G9', 'Q9BYQ0')"
"('O60907', 'O75376')"
"('Q9HCI7', 'Q6FI13')"
"('P62857', 'Q15717')"
"('Q08AD1', 'Q99986')"
"('P40337', 'Q9GZX5')"
"('P48023', 'P02549')"
"('P13500', 'P42224')"
"('P37198', 'Q7Z3B3')"
"('P30049', 'P60410')"
"('Q08830', 'Q8N4Q0')"
"('Q13882', 'Q8N9I9')"
"('Q68DC2', 'P62072')"
"('Q8IYR6', 'Q15842')"
"('Q01813', 'P13612')"
"('Q9BQE5', 'Q6NUS6')"
"('Q9H6R7', 'Q9UBE8')"
"('O14964', 'Q96B97')"
"('Q9HC98', 'Q01201')"
"('Q96DB2', 'Q14257')"
"('Q13428', 'P55809')"
"('P41180', 'P05129')"
"('Q13573', 'Q96KP1')"
"('P51451', 'P56381')"
"('O15111', 'Q9BXL7')"
"('P68363', 'Q5S007')"
"('O75592', 'P0C2W1')"
"('Q8IW35', 'Q15154')"
"('Q86T82', 'Q8N3U4')"
"('Q9NS75', 'Q8TBB1')"
"('Q9BWJ5', 'Q9BSE5')"
"('Q86WV6', 'Q9UHD2')"
"('O60880', 'O43699')"
"('Q9UBT2', 'Q9UBE0')"
"('Q9H2K0', 'Q6ZW49')"
"('Q9UNL2', 'Q9Y5J5')"
"('Q15084', 'Q96FW1')"
"('P42677', 'Q9Y6K9')"
"('O15389', 'Q06124')"
"('Q15738', 'P53701')"
"('Q9P287', 'P56545')"
"('Q99877', 'Q93077')"
"('O60583', 'Q15717')"
"('O00483', 'Q8NBU5')"
"('P62380', 'O00268')"
"('P08962', 'Q9P2B2')"
"('P18621', 'Q15046')"
"('P39019', 'P05388')"
"('P04792', 'Q9NXX6')"
"('Q00005', 'Q9NUC0')"
"('P07947', 'Q8N9I9')"
"('P35916', 'P05556')"
"('P62906', 'P62987')"
"('Q13275', 'P22314')"
"('Q9BSJ2', 'O75494')"
"('Q15788', 'Q8TEW0')"
"('Q9HBL0', 'Q9NPF4')"
"('Q9NPF7', 'P31785')"
"('Q9H6U6', 'Q8IUH5')"
"('Q99873', 'P41235')"
"('Q01453', 'Q9H2H9')"
"('O14633', 'O43610')"
"('P22061', 'Q96DM3')"
"('O95182', 'Q96HC4')"
"('Q9UJM3', 'Q99727')"
"('Q13077', 'Q5T5P2')"
"('P68431', 'P47914')"
"('Q9Y5T4', 'Q15717')"
"('P0DP24', 'Q9BYC9')"
"('Q9Y2D5', 'P21333')"
"('Q09472', 'P10275')"
"('P49720', 'P28072')"
"('O75807', 'P61218')"
"('Q9Y4E1', 'Q5T1M5')"
"('Q02218', 'P09622')"
"('Q9HCY8', 'Q99584')"
"('O75970', 'Q9NUP9')"
"('Q13283', 'P53634')"
"('Q9UIA9', 'P49589')"
"('Q99707', 'Q07002')"
"('P22459', 'P12931')"
"('Q99613', 'Q99733')"
"('P45974', 'Q9Y4K3')"
"('P30566', 'Q8N137')"
"('Q99972', 'O00299')"
"('Q9BX66', 'Q07889')"
"('Q07325', 'P51685')"
"('Q15118', 'Q8N122')"
"('Q9HBH9', 'O43809')"
"('Q96NZ8', 'Q92624')"
"('Q9H9J4', 'Q16778')"
"('Q86VQ0', 'Q96AJ1')"
"('Q9NR09', 'Q8WUA7')"
"('Q9Y5B8', 'Q9BSJ2')"
"('Q8TBB1', 'Q8N720')"
"('P68106', 'Q15323')"
"('Q6P1J9', 'P08708')"
"('Q14318', 'Q96GX1')"
"('Q13526', 'Q52MB2')"
"('Q04759', 'Q5SW24')"
"('Q9UM82', 'P33316')"
"('Q16254', 'Q13263')"
"('O94979', 'P13612')"
"('Q14676', 'P63244')"
"('Q5T700', 'Q12982')"
"('O95487', 'Q15554')"
"('Q9NRR4', 'Q9Y2W1')"
"('Q9C040', 'Q96B02')"
"('Q13009', 'P05129')"
"('P29597', 'P40763')"
"('Q8NC44', 'Q9GZQ8')"
"('O00716', 'P10244')"
"('Q00653', 'Q3ZCQ8')"
"('P05067', 'Q9BTW9')"
"('P01106', 'Q9H6H4')"
"('Q9UM54', 'Q9NYZ3')"
"('Q9BWG6', 'P60370')"
"('P13569', 'O95425')"
"('Q8TAP6', 'Q9Y3D3')"
"('O75306', 'Q99643')"
"('Q8IXF0', 'P04637')"
"('Q8NBT2', 'O75665')"
"('Q6NXE6', 'P43360')"
"('O14974', 'P51553')"
"('Q9BSG1', 'P30281')"
"('Q9P260', 'P14625')"
"('Q96KQ4', 'P04637')"
"('Q96S44', 'P61158')"
"('P27694', 'O75533')"
"('P52272', 'Q9Y3A4')"
"('P60371', 'Q5TA82')"
"('Q92624', 'Q13426')"
"('Q86SQ0', 'Q7Z460')"
"('Q9Y2T5', 'O43760')"
"('Q14165', 'P62249')"
"('Q9BUF5', 'Q9Y6G9')"
"('P68371', 'Q8TAP6')"
"('P13798', 'P08237')"
"('O75385', 'A8MW95')"
"('Q96PM5', 'P09017')"
"('P85037', 'P09619')"
"('Q8N6T7', 'Q9UNN5')"
"('P01009', 'P30084')"
"('Q6W2J9', 'P03372')"
"('P54707', 'Q86VR2')"
"('P36952', 'Q6K0P9')"
"('P62158', 'Q13936')"
"('Q13501', 'Q9Y4P1')"
"('O75081', 'Q13547')"
"('P04745', 'P43631')"
"('P16455', 'Q92793')"
"('Q14166', 'Q9NQG5')"
"('P51610', 'P35244')"
"('P39880', 'Q9UK17')"
"('Q92731', 'P81605')"
"('Q8TEW0', 'Q9P0L0')"
"('Q96DZ9', 'Q9ULP0')"
"('Q8N1G0', 'Q86YP4')"
"('Q96FW1', 'O95831')"
"('Q9UHD9', 'P55291')"
"('P05067', 'Q9BW04')"
"('Q96GS6', 'O60760')"
"('P52655', 'Q13867')"
"('O14967', 'Q9HDC9')"
"('P28838', 'Q9NP64')"
"('Q96DH6', 'Q00987')"
"('Q9H765', 'Q9NWT6')"
"('P0C0S8', 'Q92734')"
"('P21266', 'Q9UBU9')"
"('Q9Y2K6', 'Q92813')"
"('P25787', 'Q9C0C7')"
"('P05412', 'Q9HCM4')"
"('P00519', 'Q8TF42')"
"('Q99615', 'P78527')"
"('Q8NFW8', 'Q9BXJ9')"
"('P63096', 'P48736')"
"('Q9BYE7', 'Q6R327')"
"('Q8TBZ8', 'Q96KN7')"
"('P61020', 'Q96HU1')"
"('Q15836', 'Q96AJ9')"
"('Q14164', 'Q12933')"
"('P31948', 'P13797')"
"('Q00872', 'P0C862')"
"('Q16670', 'Q92552')"
"('P31946', 'Q15029')"
"('P17931', 'Q86UN3')"
"('Q9HCE7', 'P21333')"
"('P49736', 'Q15560')"
"('Q9BYJ9', 'P05412')"
"('Q13573', 'Q9P2D1')"
"('Q96PM9', 'P51965')"
"('P05067', 'Q13242')"
"('P49286', 'Q9UPN3')"
"('Q8N4H0', 'Q08378')"
"('O43353', 'P22061')"
"('Q9P2P5', 'P18085')"
"('P35626', 'Q6IEV9')"
"('Q6FI13', 'P33778')"
"('P15391', 'Q9H8M7')"
"('Q6ZW49', 'P35250')"
"('Q15717', 'Q9Y4F3')"
"('Q13371', 'P57775')"
"('Q96C12', 'P0CG20')"
"('P43220', 'Q8N3C7')"
"('P07384', 'O75179')"
"('O43166', 'Q9UK80')"
"('Q68D86', 'Q9Y586')"
"('Q9UBL3', 'Q00872')"
"('Q8NGW6', 'P38405')"
"('Q9C029', 'P07900')"
"('P49736', 'P26639')"
"('Q9Y297', 'Q9HAU4')"
"('P02751', 'P07288')"
"('Q9NXE8', 'Q7L5N1')"
"('Q7L2J0', 'Q53GS9')"
"('P28356', 'O00470')"
"('Q8NFH5', 'Q7Z434')"
"('P25054', 'Q9H4B6')"
"('P61088', 'Q96FA3')"
"('Q5T8A7', 'P06400')"
"('P05109', 'Q92905')"
"('P28070', 'O43242')"
"('Q13501', 'Q14596')"
"('P30450', 'Q86TM6')"
"('Q9BWV3', 'Q8NEL9')"
"('O14980', 'Q16236')"
"('Q53TQ3', 'Q9Y265')"
"('P28290', 'Q14314')"
"('Q13547', 'Q9NRZ9')"
"('P62993', 'P38919')"
"('P28300', 'Q9UBX5')"
"('Q8TC57', 'O43186')"
"('P59990', 'Q5T751')"
"('Q96T17', 'Q5TB80')"
"('Q9ULX6', 'Q8WW24')"
"('Q96RN5', 'Q12772')"
"('P48431', 'Q9BZK7')"
"('O60260', 'Q86VP1')"
"('Q9H8V3', 'Q6SPF0')"
"('P49736', 'P28074')"
"('Q9Y3A3', 'Q14194')"
"('E5RJM6', 'Q9P2P5')"
"('Q8TBC4', 'O14980')"
"('Q7L4P6', 'Q5VTD9')"
"('Q86UA6', 'P31689')"
"('O75947', 'A1L188')"
"('P17612', 'Q9NYF0')"
"('Q92994', 'Q9Y5Q9')"
"('Q9UGU0', 'O94880')"
"('Q8IX15', 'P62993')"
"('Q9ULU4', 'Q9Y613')"
"('Q6ZV73', 'P04062')"
"('P07237', 'Q6IQ23')"
"('P47813', 'Q9BSW2')"
"('Q9H8Y8', 'P55273')"
"('P06396', 'P04637')"
"('P13010', 'Q14204')"
"('Q6P050', 'P63208')"
"('O94864', 'P21246')"
"('Q6UWR7', 'Q01968')"
"('Q96H55', 'P62879')"
"('P10644', 'O75969')"
"('Q12884', 'Q7Z6Z7')"
"('Q9UL15', 'Q9BXM7')"
"('P26640', 'Q13573')"
"('Q15517', 'Q96ER9')"
"('Q969G2', 'Q00526')"
"('P84098', 'P05362')"
"('P49821', 'P28331')"
"('Q86Z02', 'P01023')"
"('Q9Y6X1', 'Q07011')"
"('Q92820', 'P15313')"
"('P36873', 'P34932')"
"('Q16670', 'P42345')"
"('P86480', 'P54253')"
"('P17252', 'P17302')"
"('O00560', 'P19320')"
"('Q99961', 'P61158')"
"('Q86U44', 'P01106')"
"('P52701', 'P54278')"
"('Q9H3F6', 'Q8WZ19')"
"('Q96HY6', 'Q9Y3C8')"
"('P04141', 'Q14626')"
"('P24534', 'Q05639')"
"('P17612', 'Q8TEY5')"
"('Q9UD71', 'O14965')"
"('O15047', 'Q99877')"
"('Q14839', 'Q5VZL5')"
"('Q16082', 'Q9HAW0')"
"('Q9NS73', 'Q8N3L3')"
"('Q9Y561', 'O43291')"
"('P63172', 'Q5VUA4')"
"('P11441', 'Q13310')"
"('Q8NDN9', 'O95758')"
"('Q9H553', 'P30626')"
"('P35241', 'Q15293')"
"('O60308', 'O43303')"
"('Q14197', 'Q96EH3')"
"('Q2QGD7', 'P04183')"
"('Q9H0R8', 'P11310')"
"('Q13243', 'P26599')"
"('Q13237', 'P08581')"
"('Q96EQ0', 'P09958')"
"('P22736', 'O43236')"
"('Q13315', 'O76064')"
"('P13797', 'Q15181')"
"('P68431', 'P46776')"
"('O95817', 'Q04917')"
"('P40259', 'P01871')"
"('Q9Y3T9', 'Q99853')"
"('Q14680', 'Q99459')"
"('P08779', 'P02647')"
"('Q92905', 'P60709')"
"('O75147', 'P38432')"
"('Q96DG6', 'P31939')"
"('P12110', 'P49765')"
"('O75461', 'Q92569')"
"('Q9NRD5', 'Q6NX45')"
"('Q99459', 'P62304')"
"('Q99459', 'P30050')"
"('Q14012', 'P29350')"
"('Q9BST9', 'Q9UJF2')"
"('Q9H7D7', 'Q13469')"
"('O43402', 'Q5J8M3')"
"('O43681', 'P04629')"
"('P40227', 'Q15120')"
"('Q8N5C6', 'Q9UBU9')"
"('P62736', 'Q01968')"
"('P49959', 'Q9Y6A5')"
"('Q92905', 'P49918')"
"('P67870', 'Q14872')"
"('Q92805', 'P46379')"
"('P47985', 'O14949')"
"('P62841', 'Q96A35')"
"('P37231', 'O75925')"
"('Q12933', 'Q8TBB1')"
"('P04637', 'Q92523')"
"('Q99684', 'Q15365')"
"('P08670', 'Q5S007')"
"('O95816', 'P14868')"
"('Q06124', 'P53680')"
"('Q9Y240', 'Q9H4B6')"
"('O76003', 'Q96S44')"
"('Q92905', 'Q92918')"
"('Q9GZR7', 'P05387')"
"('P42858', 'O14773')"
"('Q92878', 'Q9NYB0')"
"('P30405', 'Q9H0C2')"
"('P43631', 'P09228')"
"('Q9C0C7', 'P00748')"
"('Q13099', 'P06733')"
"('Q7Z7A1', 'Q8TDM6')"
"('Q01201', 'P52294')"
"('O95166', 'P11021')"
"('O60519', 'Q8IUR6')"
"('P55198', 'P05067')"
"('Q14566', 'P33993')"
"('Q96E93', 'P26715')"
"('Q14814', 'P50553')"
