negatives
"('P42345', 'Q07817')"
"('Q96T60', 'P43364')"
"('P49593', 'Q13177')"
"('O15056', 'P62993')"
"('P29322', 'P06241')"
"('Q92900', 'Q5VT52')"
"('P19105', 'Q9Y6K9')"
"('Q99459', 'P50991')"
"('Q92793', 'P27540')"
"('Q7Z6A9', 'P01871')"
"('O60762', 'Q15714')"
"('P35626', 'O43869')"
"('P16333', 'Q13444')"
"('Q92730', 'Q9P286')"
"('Q9Y239', 'P55957')"
"('Q07955', 'P35637')"
"('Q6UN15', 'Q9C0J8')"
"('P63215', 'Q15147')"
"('Q9H1C4', 'O14735')"
"('Q8IWF7', 'Q05193')"
"('Q9UL18', 'P62269')"
"('O95298', 'O15239')"
"('Q00653', 'P05015')"
"('Q6ZVL6', 'P54253')"
"('P14598', 'Q9Y2W2')"
"('Q9UBK9', 'Q9HAU4')"
"('P06241', 'Q92664')"
"('Q13547', 'Q9UKL0')"
"('Q8WXI7', 'P17931')"
"('Q9NQB0', 'P09237')"
"('Q13352', 'Q06323')"
"('Q9UBU8', 'P25440')"
"('P28482', 'P15309')"
"('Q13573', 'P17980')"
"('Q96EP5', 'Q4VXU2')"
"('O60341', 'P68431')"
"('P06493', 'Q5MJ70')"
"('Q9HC52', 'Q03111')"
"('Q13573', 'Q8IZL8')"
"('Q13501', 'Q13485')"
"('O00175', 'P32248')"
"('P62424', 'P46777')"
"('Q9H0M0', 'Q9Y3C5')"
"('Q8WVC0', 'P52435')"
"('P55085', 'P50148')"
"('Q92547', 'O60343')"
"('P33076', 'O75626')"
"('O95166', 'Q8N1C3')"
"('P12004', 'P30307')"
"('Q9UM11', 'Q9UJX4')"
"('Q9UBN7', 'Q9H2G2')"
"('P19838', 'P01584')"
"('P50281', 'P16070')"
"('Q9H2X3', 'P61586')"
"('O95139', 'P03901')"
"('Q9Y6J9', 'O75486')"
"('P63208', 'Q8IYD8')"
"('P49765', 'P08581')"
"('Q9Y6I3', 'P22607')"
"('P08581', 'P12830')"
"('Q9UKK6', 'Q9GZY0')"
"('406991', 'Q9Y281')"
"('O00716', 'P30281')"
"('O60262', 'Q9HBW0')"
"('P51784', 'P35227')"
"('Q15365', 'Q9UKM9')"
"('Q9UKV8', 'P62701')"
"('P16333', 'Q99572')"
"('Q9H0M0', 'Q16630')"
"('P28335', 'P30679')"
"('P35579', 'P19438')"
"('Q9NYS7', 'P04843')"
"('P98082', 'O43318')"
"('P61952', 'P48544')"
"('P22736', 'P19793')"
"('Q00266', 'P38398')"
"('P52657', 'P62380')"
"('P25942', 'O75449')"
"('P04637', 'O14514')"
"('Q8IUE6', 'Q8N257')"
"('P60510', 'P04183')"
"('P04198', 'P25205')"
"('Q99619', 'Q15370')"
"('Q8IYB3', 'Q86V81')"
"('O76014', 'P61981')"
"('Q15569', 'Q9C004')"
"('O15117', 'P00519')"
"('P62910', 'P61513')"
"('P02768', 'P47893')"
"('Q9UHN1', 'P54098')"
"('Q13976', 'Q9NPA1')"
"('O00329', 'P42338')"
"('Q9Y5J5', 'Q8N163')"
"('Q9UET6', 'P49720')"
"('Q9Y2H0', 'Q9NYY3')"
"('O94762', 'P19387')"
"('P63104', 'P26358')"
"('Q96R47', 'P38405')"
"('Q14061', 'Q5UIP0')"
"('P00519', 'P04626')"
"('Q15650', 'P19793')"
"('Q96MT8', 'Q9NS73')"
"('Q9NYY1', 'P16471')"
"('P80404', 'P46108')"
"('P38936', 'P49005')"
"('P04222', 'P12268')"
"('Q13616', 'P35354')"
"('Q9Y297', 'O14965')"
"('P20719', 'Q15672')"
"('Q7Z7J5', 'Q7L590')"
"('P03886', 'O95178')"
"('Q14781', 'Q93009')"
"('P49768', 'P21333')"
"('Q96CV9', 'P61981')"
"('P53618', 'P48444')"
"('O15335', 'Q05397')"
"('Q9UBU3', 'P30872')"
"('P16383', 'O95433')"
"('Q13748', 'Q15653')"
"('P31371', 'P09619')"
"('Q9UJX2', 'Q86U86')"
"('Q96RN5', 'Q15648')"
"('P19174', 'P22681')"
"('P63261', 'Q86UA6')"
"('P51522', 'Q13153')"
"('P01833', 'P13501')"
"('Q9Y512', 'P50222')"
"('Q9NYZ3', 'P23258')"
"('P61968', 'Q13952')"
"('P30281', 'Q9H063')"
"('Q06187', 'Q99836')"
"('P04629', 'P01111')"
"('Q13873', 'Q99717')"
"('Q9UL17', 'Q14765')"
"('P49642', 'P60900')"
"('Q53GL0', 'P31749')"
"('Q6VMQ6', 'Q96CS7')"
"('Q08117', 'P10275')"
"('Q04917', 'Q8NHQ8')"
"('P05787', 'O75190')"
"('Q9GZS1', 'Q8TDY2')"
"('P04899', 'P45983')"
"('Q9HC77', 'Q9NYY3')"
"('P53350', 'Q9UKA1')"
"('P01137', 'P45983')"
"('Q9UKE5', 'Q9Y266')"
"('Q8TBK2', 'Q04206')"
"('Q08380', 'P02751')"
"('Q9BXP5', 'Q9Y2X7')"
"('Q8WUM0', 'P21675')"
"('O75376', 'Q8WXU2')"
"('P11473', 'P19793')"
"('Q8IXL6', 'Q16637')"
"('P17813', 'P18075')"
"('Q16891', 'P62330')"
"('P16104', 'Q06609')"
"('Q9Y2X8', 'Q6UWE0')"
"('P61978', 'Q14683')"
"('Q9H4L7', 'Q99459')"
"('Q14444', 'P30480')"
"('P61106', 'P11142')"
"('Q92985', 'Q96A33')"
"('O75486', 'O75478')"
"('O14544', 'P16871')"
"('P27635', 'P12931')"
"('P01106', 'Q96HQ2')"
"('O14640', 'Q9P219')"
"('P34932', 'O95831')"
"('P33993', 'P49736')"
"('Q9UKV0', 'P23527')"
"('P27361', 'P15923')"
"('Q92922', 'Q8TAQ2')"
"('P60709', 'Q9Y4K3')"
"('O75955', 'P06239')"
"('P54253', 'Q86UW1')"
"('Q92793', 'Q15796')"
"('Q9HBG4', 'P30101')"
"('Q13200', 'P51665')"
"('Q13368', 'Q9NVX7')"
"('Q9H9G7', 'P19474')"
"('P53355', 'O43293')"
"('P04637', 'Q9BXH1')"
"('P62820', 'P15822')"
"('B1A4H9', 'P26951')"
"('P42574', 'P45983')"
"('P62979', 'Q00653')"
"('P19474', 'Q13616')"
"('O95271', 'Q96RU3')"
"('P01135', 'P16234')"
"('P63211', 'P42336')"
"('Q13426', 'Q9NP87')"
"('Q14527', 'P61088')"
"('Q13237', 'Q13733')"
"('Q9P2H0', 'O43261')"
"('P46777', 'P18621')"
"('P78527', 'P12956')"
"('O43182', 'P15153')"
"('P62993', 'P43405')"
"('Q9BVI4', 'P08670')"
"('P60520', 'O95166')"
"('O60503', 'P17612')"
"('P0CG47', 'Q96PM5')"
"('Q9UJU2', 'P63165')"
"('Q63ZY3', 'Q15788')"
"('Q401N2', 'O00410')"
"('Q99650', 'P29597')"
"('P06239', 'Q06124')"
"('P84103', 'P14866')"
"('P36956', 'P52789')"
"('Q07890', 'P16885')"
"('Q01344', 'O00560')"
"('Q05516', 'Q99759')"
"('Q15369', 'Q96BK5')"
"('Q15835', 'P51685')"
"('Q14738', 'Q96Q15')"
"('Q13867', 'P05067')"
"('P29460', 'Q99665')"
"('P10914', 'O14625')"
"('P51587', 'Q14565')"
"('P62993', 'Q13087')"
"('Q9NX47', 'P0CG48')"
"('Q9H1H9', 'P16333')"
"('P46379', 'P07858')"
"('Q9UBS0', 'Q13387')"
"('O95257', 'Q8IZ69')"
"('P36406', 'Q5VVX9')"
"('Q96G03', 'P18146')"
"('Q14683', 'Q12986')"
"('O75865', 'P49639')"
"('Q8IXJ6', 'Q9H173')"
"('O60739', 'Q96FW1')"
"('P11473', 'P50613')"
"('P12544', 'P61978')"
"('P51668', 'Q9NZQ3')"
"('P27482', 'P01111')"
"('A0JLT2', 'Q9Y2X0')"
"('Q8NB91', 'Q9HB96')"
"('Q9BQ87', 'Q9BZK7')"
"('Q9BY41', 'P0C5Z0')"
"('P78347', 'Q96DC9')"
"('P41597', 'O60674')"
"('Q99504', 'P67870')"
"('P53355', 'Q66LE6')"
"('Q9Y6M1', 'P01106')"
"('Q96CX2', 'O60739')"
"('O14508', 'Q99665')"
"('P32121', 'Q8NH18')"
"('Q15637', 'P26368')"
"('O15455', 'Q9Y4K3')"
"('O96013', 'Q86YP4')"
"('Q99623', 'Q14204')"
"('P51970', 'Q9NX14')"
"('O95178', 'O75251')"
"('P49716', 'Q8N9C0')"
"('P51692', 'P46109')"
"('P11215', 'P27986')"
"('Q13976', 'Q68CJ9')"
"('Q13409', 'P68363')"
"('Q9Y616', 'Q99558')"
"('P98170', 'P55210')"
"('Q9UI09', 'P03886')"
"('Q9UBN7', 'P0C5Y9')"
"('O43586', 'P62750')"
"('P10721', 'Q99961')"
"('Q9UBA6', 'P13569')"
"('P10145', 'P32302')"
"('Q92765', 'Q9NZC4')"
"('Q9NR30', 'Q96JQ0')"
"('Q9HCD5', 'P14324')"
"('P62888', 'Q9Y3U8')"
"('P36873', 'Q8TCU5')"
"('Q12959', 'P98164')"
"('O43541', 'Q9HAU4')"
"('114614', 'Q13158')"
"('P16333', 'Q9UHI7')"
"('P22612', 'Q13522')"
"('O14543', 'P15260')"
"('P17931', 'P05556')"
"('O75843', 'Q9H832')"
"('Q8IZW8', 'P31947')"
"('Q70SY1', 'Q09472')"
"('A0JLT2', 'P42166')"
"('P10074', 'O43809')"
"('Q9UFN0', 'P54257')"
"('Q9NSC5', 'Q14643')"
"('P82921', 'Q14197')"
"('Q9NPD8', 'Q9BXW9')"
"('O14777', 'Q9HBM1')"
"('Q9Y6K9', 'Q9BYH8')"
"('Q92889', 'Q15843')"
"('P35568', 'Q92569')"
"('Q9BT78', 'Q9Y4E8')"
"('P13688', 'P49023')"
"('O94832', 'Q13418')"
"('P34947', 'P61073')"
"('Q9Y343', 'Q99963')"
"('O14776', 'Q99728')"
"('P62140', 'Q99941')"
"('P62249', 'P62857')"
"('P46783', 'P62857')"
"('Q7LBR1', 'O75351')"
"('P28340', 'P06400')"
"('P13533', 'Q9P2M7')"
"('P62701', 'P39019')"
"('Q96B97', 'Q15303')"
"('Q9Y2U8', 'Q15796')"
"('Q8WV24', 'O15371')"
"('P49715', 'P49279')"
"('P05386', 'P13693')"
"('O14744', 'Q9BQA1')"
"('Q13363', 'Q9H2S9')"
"('P19012', 'Q96ES7')"
"('P13569', 'P20823')"
"('P55157', 'Q86SG6')"
"('O15230', 'Q6VMQ6')"
"('P61927', 'Q07021')"
"('Q06124', 'P15498')"
"('P56748', 'Q8N7P3')"
"('P28482', 'Q9UK32')"
"('Q00978', 'Q5VTD9')"
"('Q13576', 'Q15653')"
"('P62136', 'Q8IZS8')"
"('Q13753', 'P18084')"
"('P51636', 'Q92993')"
"('O00505', 'P13010')"
"('P25786', 'Q9GZN1')"
"('Q13309', 'P24941')"
"('Q96HD1', 'O60383')"
"('Q9UKR5', 'Q9UQB8')"
"('Q13233', 'Q96P11')"
"('Q9BRP4', 'P48556')"
"('O95886', 'P06241')"
"('Q92620', 'O60231')"
"('Q9BQ52', 'Q15796')"
"('Q15038', 'Q9BVI4')"
"('Q15672', 'P15923')"
"('Q02543', 'P62987')"
"('P55735', 'Q96JE7')"
"('P34130', 'Q16620')"
"('P28221', 'P08908')"
"('P35625', 'Q13444')"
"('P62917', 'P62987')"
"('P60709', 'Q13573')"
"('P12931', 'P15941')"
"('O43390', 'Q12986')"
"('P35354', 'Q9UNS2')"
"('Q9H8Y8', 'P08910')"
"('Q13077', 'Q5VTD9')"
"('P62633', 'Q13948')"
"('P38159', 'Q14011')"
"('P19793', 'O95257')"
"('Q8N5F7', 'O43684')"
"('Q01970', 'P15311')"
"('P23508', 'P52701')"
"('O95834', 'Q14164')"
"('Q14653', 'P01562')"
"('P35626', 'Q8NGQ4')"
"('Q9Y616', 'O43187')"
"('Q03518', 'P28062')"
"('P69905', 'P29350')"
"('P62328', 'P68104')"
"('P08243', 'P54253')"
"('Q9BRD0', 'Q9Y388')"
"('Q7Z406', 'Q96A32')"
"('Q96A08', 'O15379')"
"('Q9C040', 'Q969T4')"
"('P21796', 'P19367')"
"('Q14164', 'O60783')"
"('Q9NPD8', 'Q0VG06')"
"('Q9NPB9', 'P80075')"
"('O14543', 'P42226')"
"('Q96LR2', 'Q9UL45')"
"('P26641', 'Q9HAU4')"
"('P04626', 'Q7KZ85')"
"('O00459', 'Q13480')"
"('P17252', 'Q13233')"
"('Q86SE5', 'Q9H9D4')"
"('Q8NEM7', 'Q7Z3C6')"
"('P09874', 'P11387')"
"('P10721', 'P29350')"
"('Q15700', 'Q6P1M3')"
"('Q70YC4', 'Q9NXR1')"
"('P01106', 'P52597')"
"('Q9UGJ1', 'P68366')"
"('P32969', 'P46776')"
"('P42768', 'Q05209')"
"('Q9H0E2', 'P14778')"
"('Q9NX70', 'Q14498')"
"('Q12872', 'Q15287')"
"('Q9UL45', 'Q96EV8')"
"('O15235', 'Q9UKR5')"
"('Q99558', 'P60709')"
"('P18146', 'O95644')"
"('P63208', 'Q86XK2')"
"('O96007', 'O95396')"
"('Q13619', 'P38936')"
"('P28702', 'O43791')"
"('Q9UKR5', 'Q99547')"
"('P40424', 'P40425')"
"('P38398', 'Q9NWV8')"
"('P62491', 'P13569')"
"('P25963', 'O60658')"
"('Q9H9G7', 'Q71U36')"
"('P62879', 'O00459')"
"('P30084', 'Q9UET6')"
"('P04114', 'O00182')"
"('O96020', 'Q13042')"
"('P26010', 'Q14315')"
"('Q9NYG5', 'P06493')"
"('Q96HP0', 'P60763')"
"('Q9NPF7', 'Q969J5')"
"('Q15797', 'P56915')"
"('P22736', 'Q16548')"
"('Q12873', 'O75400')"
"('O95990', 'Q9Y4E8')"
"('Q8NBJ4', 'Q15528')"
"('Q8WZA2', 'Q9H446')"
"('Q05397', 'P48736')"
"('O95785', 'Q16637')"
"('Q6FHJ7', 'Q9Y6F9')"
"('Q9P0T4', 'O15162')"
"('Q9HAP6', 'P48050')"
"('P63211', 'P48549')"
"('Q16665', 'Q92793')"
"('Q07889', 'Q13797')"
"('Q9NPJ6', 'Q9UHV7')"
"('P26368', 'P61978')"
"('Q93074', 'P19793')"
"('Q04206', 'Q13469')"
"('Q9GZQ8', 'P35611')"
"('Q8N668', 'Q13617')"
"('Q7L2H7', 'O00303')"
"('P10599', 'P03372')"
"('P32927', 'Q9Y4K3')"
"('P30519', 'Q8TB96')"
"('O76061', 'O95831')"
"('P35580', 'Q01449')"
"('P04156', 'P20916')"
"('P0CG47', 'Q01201')"
"('P62993', 'Q8WWI1')"
"('P16870', 'Q5UIP0')"
"('P62330', 'P08195')"
"('Q93077', 'Q7Z2G1')"
"('Q92956', 'P63167')"
"('442894', 'P30279')"
"('Q99683', 'Q8TEQ6')"
"('Q15078', 'P12814')"
"('P42166', 'P49023')"
"('Q14691', 'Q9BVW5')"
"('Q14103', 'Q9UKM9')"
"('O95793', 'P62753')"
"('Q5UIP0', 'P55769')"
"('Q01892', 'P45983')"
"('P49765', 'P16234')"
"('Q9UDY8', 'P60604')"
"('P51636', 'Q14789')"
"('Q14185', 'Q9H2G2')"
"('P32004', 'P04156')"
"('P19338', 'P31949')"
"('P28482', 'P10275')"
"('Q9Y619', 'P55157')"
"('P30086', 'P28482')"
"('O75712', 'P29033')"
"('P08107', 'O15111')"
"('P0CAP2', 'P35998')"
"('P49736', 'Q92796')"
"('P05129', 'Q3MJ16')"
"('P62330', 'Q92922')"
"('O43541', 'P36897')"
"('P61088', 'Q13404')"
"('Q11203', 'P02766')"
"('P02751', 'P08648')"
"('P17066', 'Q99459')"
"('Q00839', 'P61978')"
"('Q14686', 'Q9UMN6')"
"('P35251', 'Q9UJX2')"
"('P62993', 'O43293')"
"('Q02156', 'P21796')"
"('Q02156', 'Q9NYF0')"
"('Q9P2H0', 'Q99728')"
"('P49642', 'Q3ZCQ8')"
"('P56705', 'Q13467')"
"('P20827', 'P26641')"
"('O15198', 'Q96FW1')"
"('Q13118', 'Q92535')"
"('P29317', 'P29353')"
"('Q92793', 'Q01094')"
"('Q03405', 'P09769')"
"('P23508', 'P42704')"
"('P42830', 'P01833')"
"('P34741', 'O14936')"
"('P56524', 'Q93077')"
"('P27348', 'P42345')"
"('O15111', 'Q86VP1')"
"('O15121', 'O43809')"
"('Q9NYB0', 'P63010')"
"('Q8IY92', 'Q92889')"
"('O75694', 'P40337')"
"('Q16537', 'P67775')"
"('P35609', 'P28062')"
"('Q6W2J9', 'Q96FN4')"
"('P61964', 'O00255')"
"('Q96JH8', 'O75771')"
"('P61254', 'P40429')"
"('Q9UQC2', 'P10721')"
"('Q9Y6B7', 'O43683')"
"('P78537', 'O43318')"
"('P42574', 'O75822')"
"('P31152', 'Q15418')"
"('P48023', 'Q9NZM3')"
"('P49841', 'O60282')"
"('Q86U86', 'O00716')"
"('Q9H3D4', 'P25445')"
"('Q9NX18', 'Q9GZT6')"
"('Q8WVJ2', 'O60739')"
"('Q8WXC3', 'O14920')"
"('P22234', 'Q9GZT8')"
"('Q96DE5', 'Q9NYG5')"
"('P16220', 'Q9GZX7')"
"('P61981', 'Q8TEW0')"
"('P17252', 'P10398')"
"('P62826', 'P52298')"
"('P67775', 'P41743')"
"('Q9BRX9', 'Q15637')"
"('Q96JQ0', 'Q16611')"
"('O75934', 'Q99459')"
"('Q9Y6K9', 'P0CG48')"
"('Q99706', 'Q13761')"
"('P09874', 'O94916')"
"('P47985', 'P40337')"
"('P63104', 'Q9HCI7')"
"('Q16254', 'O75385')"
"('P40225', 'P01589')"
"('P25791', 'Q99708')"
"('P46934', 'O14964')"
"('Q15717', 'P11387')"
"('Q562F6', 'Q15172')"
"('Q9H9H4', 'Q53EZ4')"
"('P14618', 'P04183')"
"('P05386', 'P62888')"
"('P35626', 'Q8NGC6')"
"('P49716', 'P50591')"
"('O95985', 'P54132')"
"('P16220', 'P42858')"
"('Q75N90', 'P04844')"
"('Q99469', 'Q9UGN5')"
"('P15498', 'P16333')"
"('P13498', 'Q16539')"
"('Q6IBS0', 'P47755')"
"('P53708', 'P56199')"
"('P00533', 'P61978')"
"('Q86WN2', 'P08887')"
"('P18206', 'P26368')"
"('Q14781', 'Q8IXK0')"
"('P78362', 'Q86U06')"
"('P20366', 'P12956')"
"('P28062', 'P25787')"
"('P46776', 'P05388')"
"('P48047', 'P40337')"
"('Q14164', 'P63165')"
"('P25787', 'P17980')"
"('P35268', 'Q9HC24')"
"('P31946', 'Q92934')"
"('P46527', 'P61981')"
"('P38936', 'O95257')"
"('Q15147', 'P00533')"
"('Q13424', 'P41595')"
"('P55075', 'P10721')"
"('Q8N163', 'Q9BUV8')"
"('P62424', 'P62829')"
"('Q99961', 'P07949')"
"('P22001', 'Q12959')"
"('P18848', 'Q96EY7')"
"('P13598', 'P05107')"
"('P68133', 'Q9NXR8')"
"('P06493', 'P25205')"
"('A0JLT2', 'P26599')"
"('P16870', 'Q9HCK4')"
"('P82979', 'P67870')"
"('P46019', 'P06737')"
"('Q92597', 'Q15436')"
"('Q00005', 'P17987')"
"('Q92901', 'P83731')"
"('O95251', 'P49674')"
"('P36406', 'Q9Y6K9')"
"('Q6UVK1', 'P62837')"
"('O60506', 'Q8NFH3')"
"('P0CG48', 'Q9NS91')"
"('Q9Y4K3', 'P42704')"
"('P42224', 'Q14258')"
"('O60244', 'P52630')"
"('Q09013', 'O14974')"
"('P62258', 'P22626')"
"('O00257', 'Q13642')"
"('P19438', 'Q9UBV2')"
"('O15514', 'P62487')"
"('P21673', 'Q9UKR5')"
"('P63027', 'O00161')"
"('Q96MT8', 'Q8N6Y0')"
"('P49137', 'P49815')"
"('Q4KWH8', 'Q05655')"
"('P16871', 'P04632')"
"('Q96QB1', 'P60953')"
"('P41235', 'Q09472')"
"('Q9HB96', 'A8MT69')"
"('Q92793', 'Q09028')"
"('O14656', 'Q9UBM7')"
"('P35348', 'Q9UGI9')"
"('Q9H160', 'P04637')"
"('P00533', 'P58876')"
"('P36897', 'P48454')"
"('Q13315', 'Q8WUA4')"
"('O75807', 'P56945')"
"('P07332', 'P00533')"
"('Q9NX02', 'Q9UNN5')"
"('O75832', 'Q9UL46')"
"('P57730', 'Q9Y2G2')"
"('Q08211', 'Q9NR30')"
"('Q8ND90', 'Q7Z2V1')"
"('P53708', 'P26010')"
"('Q8N474', 'Q93097')"
"('P25205', 'O75419')"
"('P50402', 'P35579')"
"('P32780', 'P50613')"
"('Q9UMX1', 'P17931')"
"('Q9HAU4', 'Q15797')"
"('P21579', 'Q8NBJ4')"
"('Q9UKE5', 'Q9UBM7')"
"('Q9UK08', 'Q15147')"
"('O60443', 'Q99459')"
"('Q99877', 'Q9P0M6')"
"('Q6QNY1', 'Q6QNY0')"
"('P16870', 'Q12789')"
"('P05112', 'P48551')"
"('P16298', 'P27482')"
"('P28702', 'Q9NVC6')"
"('P01106', 'Q13239')"
"('Q86UA6', 'P63261')"
"('Q96AP7', 'Q16625')"
"('Q96B97', 'Q99963')"
"('P21675', 'Q9NVP2')"
"('P53778', 'P19838')"
"('Q14671', 'Q9UFF9')"
"('Q8IX12', 'Q8IYB3')"
"('Q14790', 'Q9Y572')"
"('P13727', 'P17676')"
"('P63010', 'O75348')"
"('P09104', 'O95873')"
"('P23508', '51639')"
"('P30480', 'P17174')"
"('Q8NFF5', 'Q9NRG1')"
"('Q9UQP3', 'P26012')"
"('P35240', 'P49716')"
"('A6NM45', 'O95484')"
"('P18074', 'Q92759')"
"('Q16637', 'Q9BV38')"
"('O00410', 'P60520')"
"('P31151', 'Q9P286')"
"('P02511', 'P05813')"
"('Q9BY27', 'O60858')"
"('Q05707', 'P16070')"
"('O60258', 'P22607')"
"('Q9Y2D1', 'Q96RU7')"
"('P24666', 'Q14164')"
"('Q14116', 'O95256')"
