negatives
"frozenset({'Q9H6L4', 'TSH', 'Q5VWN6'})"
"frozenset({'O75379', 'TSH', 'Q96JG6'})"
"frozenset({'TSH', 'P61457', 'P24278'})"
"frozenset({'TSH', 'A6ZKI3', 'P00519'})"
"frozenset({'Q92845', 'TSH', 'O43172'})"
"frozenset({'Q5HY92', 'TSH', 'Q8IWX8'})"
"frozenset({'TSH', 'Q9BVV2', 'Q86WP2'})"
"frozenset({'P52597', 'TSH', 'Q01130'})"
"frozenset({'TSH', 'P25788', 'O94910'})"
"frozenset({'P32249', 'TSH', 'Q6PL24'})"
"frozenset({'TSH', 'P12931', 'Q9H3M7'})"
"frozenset({'O95182', 'TSH', 'Q8IWZ8'})"
"frozenset({'TSH', 'P43363', 'Q9UPW6'})"
"frozenset({'P40337', 'P19105', 'TSH'})"
"frozenset({'P19838', 'TSH', 'Q9BVA1'})"
"frozenset({'TSH', 'P35520', 'P10644'})"
"frozenset({'TSH', 'O14933', 'Q13233'})"
"frozenset({'P04035', 'TSH', 'Q8WU17'})"
"frozenset({'TSH', 'Q8N8B7', 'Q6NT76'})"
"frozenset({'Q9BQ83', 'Q9Y6W6', 'TSH'})"
"frozenset({'TSH', 'Q9BUF5', 'P68366'})"
"frozenset({'TSH', 'Q8NHW4', 'Q96BA8'})"
"frozenset({'P32881', 'TSH', 'P31785'})"
"frozenset({'P62158', 'TSH', 'P42858'})"
"frozenset({'TSH', 'O14775', 'P45984'})"
"frozenset({'TSH', 'O75934', 'P62314'})"
"frozenset({'TSH', 'Q96KK5', 'Q96DB2'})"
"frozenset({'Q96JA1', 'TSH', 'Q6AZY7'})"
"frozenset({'Q92841', 'TSH', 'Q9NPI6'})"
"frozenset({'TSH', 'Q9NSE4', 'Q12906'})"
"frozenset({'TSH', 'Q04864', 'Q96Q77'})"
"frozenset({'Q401N2', 'TSH', 'O94901'})"
"frozenset({'TSH', 'Q9NWV8', 'O75351'})"
"frozenset({'O95865', 'P68106', 'TSH'})"
"frozenset({'TSH', 'O15350', 'Q13257'})"
"frozenset({'TSH', 'Q8NDH3', 'Q9BTE3'})"
"frozenset({'TSH', 'Q01826', 'P17542'})"
"frozenset({'TSH', 'Q13573', 'Q14204'})"
"frozenset({'TSH', 'Q07666', 'Q96T37'})"
"frozenset({'TSH', 'P61326', 'Q9Y2W1'})"
"frozenset({'Q8NGZ6', 'TSH', 'Q9P2W3'})"
"frozenset({'P07900', 'TSH', 'P13639'})"
"frozenset({'TSH', 'Q14008', 'Q9NRD1'})"
"frozenset({'P24394', 'Q9NYY1', 'TSH'})"
"frozenset({'TSH', 'Q9H2X6', 'P57682'})"
"frozenset({'Q15527', 'TSH', 'Q9Y570'})"
"frozenset({'TSH', 'Q969H0', 'Q15014'})"
"frozenset({'Q9NNW5', 'TSH', 'Q9P0N5'})"
"frozenset({'Q96N67', 'TSH', 'Q9H492'})"
"frozenset({'P38405', 'TSH', 'Q8NGH5'})"
"frozenset({'TSH', 'P61978', 'Q8IWZ8'})"
"frozenset({'Q0VD86', 'TSH', 'Q9UBV8'})"
"frozenset({'TSH', 'Q05519', 'Q5T013'})"
"frozenset({'Q13936', 'TSH', 'P62140'})"
"frozenset({'TSH', 'Q9BS91', 'O95271'})"
"frozenset({'TSH', 'Q9UMX1', 'Q9Y466'})"
"frozenset({'TSH', 'Q9BQ69', 'Q8IUD2'})"
"frozenset({'TSH', 'O00257', 'Q3KNV8'})"
"frozenset({'TSH', 'P46940', 'P23528'})"
"frozenset({'Q96PM5', 'TSH', 'P0DP24'})"
"frozenset({'TSH', 'O60828', 'Q8IWZ8'})"
"frozenset({'TSH', 'P13725', 'Q9HBE5'})"
"frozenset({'O60610', 'TSH', 'Q96QU8'})"
"frozenset({'P49790', 'TSH', 'P01106'})"
"frozenset({'O14732', 'TSH', 'P10599'})"
"frozenset({'TSH', 'O14503', 'Q96EZ8'})"
"frozenset({'TSH', 'Q14832', 'Q9Y3R0'})"
"frozenset({'TSH', 'Q9HCK5', 'P07910'})"
"frozenset({'TSH', 'Q9BXY8', 'Q8NHQ1'})"
"frozenset({'TSH', 'Q01344', 'P08700'})"
"frozenset({'TSH', 'P54577', 'O43847'})"
"frozenset({'TSH', 'Q92917', 'O60231'})"
"frozenset({'P09972', 'TSH', 'P04179'})"
"frozenset({'TSH', 'Q99878', 'Q92905'})"
"frozenset({'TSH', 'P63092', 'P41594'})"
"frozenset({'TSH', 'O14640', 'O14986'})"
"frozenset({'TSH', 'Q9H2H9', 'Q9NY65'})"
"frozenset({'Q99595', 'TSH', 'Q71U36'})"
"frozenset({'TSH', 'Q9BYZ2', 'P11021'})"
"frozenset({'TSH', 'P56524', 'Q8TC76'})"
"frozenset({'TSH', 'Q8N9I5', 'A8MQ03'})"
"frozenset({'Q13164', 'TSH', 'P01225'})"
"frozenset({'TSH', 'O75534', 'P13010'})"
"frozenset({'P52597', 'O75400', 'TSH'})"
"frozenset({'TSH', 'O95429', 'Q13619'})"
"frozenset({'O75582', 'TSH', 'Q9HCK4'})"
"frozenset({'TSH', 'O75899', 'P62873'})"
"frozenset({'P19174', 'TSH', 'Q15078'})"
"frozenset({'Q9UKR5', 'TSH', 'P60953'})"
"frozenset({'TSH', 'P04156', 'Q96A00'})"
"frozenset({'TSH', 'P78362', 'P43243'})"
"frozenset({'P17612', 'P47881', 'TSH'})"
"frozenset({'P50542', 'TSH', 'Q9NUI1'})"
"frozenset({'Q8NE35', 'P53350', 'TSH'})"
"frozenset({'TSH', 'P29350', 'Q01344'})"
"frozenset({'TSH', 'O60939', 'Q13315'})"
"frozenset({'TSH', 'Q9Y4K3', 'Q13200'})"
"frozenset({'TSH', 'P12931', 'Q3V6T2'})"
"frozenset({'TSH', 'Q5T2W1', 'Q06495'})"
"frozenset({'TSH', 'P18509', 'Q8IVV7'})"
"frozenset({'O43261', 'TSH', 'Q92993'})"
"frozenset({'TSH', 'P62979', 'O14933'})"
"frozenset({'Q13075', 'TSH', 'O43318'})"
"frozenset({'TSH', 'P20823', 'P25054'})"
"frozenset({'P15173', 'TSH', 'Q8N7B6'})"
"frozenset({'Q9NRC8', 'TSH', 'Q9UIG0'})"
"frozenset({'TSH', 'Q13573', 'P06400'})"
"frozenset({'TSH', 'Q96FI4', 'Q14191'})"
"frozenset({'Q6A162', 'Q9Y6H1', 'TSH'})"
"frozenset({'TSH', 'O95758', 'Q9H3U1'})"
"frozenset({'TSH', 'Q07325', 'Q8N6L0'})"
"frozenset({'Q8N1G4', 'TSH', 'Q13868'})"
"frozenset({'TSH', 'P50552', 'Q13153'})"
"frozenset({'Q9BTD8', 'Q15365', 'TSH'})"
"frozenset({'TSH', 'P61236', 'Q96SB4'})"
"frozenset({'TSH', 'O95707', 'P78346'})"
"frozenset({'TSH', 'Q01085', 'P27361'})"
"frozenset({'TSH', 'Q6P1W5', 'Q14687'})"
"frozenset({'TSH', 'Q96H55', 'Q6WCQ1'})"
"frozenset({'TSH', 'P55075', 'Q02763'})"
"frozenset({'P78423', 'P49238', 'TSH'})"
"frozenset({'Q4VCS5', 'TSH', 'P27361'})"
"frozenset({'TSH', 'P61221', 'Q9H3G5'})"
"frozenset({'TSH', 'Q0D2I5', 'Q6NT76'})"
"frozenset({'TSH', 'P25963', 'P25786'})"
"frozenset({'TSH', 'Q9NPD8', 'Q8TEB7'})"
"frozenset({'P01023', 'TSH', 'P60709'})"
"frozenset({'Q6WKZ4', 'TSH', 'Q969Z4'})"
"frozenset({'TSH', 'Q8NE86', 'Q15717'})"
"frozenset({'Q6PCT2', 'TSH', 'Q9Y4F3'})"
"frozenset({'TSH', 'P53041', 'O95816'})"
"frozenset({'Q08379', 'TSH', 'Q9NR46'})"
"frozenset({'Q16082', 'Q8TF27', 'TSH'})"
"frozenset({'TSH', 'P27694', 'Q562R1'})"
"frozenset({'P30260', 'TSH', 'Q9Y6D9'})"
"frozenset({'TSH', 'O15439', 'Q96RT1'})"
"frozenset({'TSH', 'Q7L590', 'Q8NHQ1'})"
"frozenset({'TSH', 'P08047', 'Q96PH1'})"
"frozenset({'Q04759', 'TSH', 'P41743'})"
"frozenset({'TSH', 'Q96H86', 'Q9H9D4'})"
"frozenset({'O43493', 'TSH', 'Q9NU22'})"
"frozenset({'P30050', 'TSH', 'P83916'})"
"frozenset({'TSH', 'P57078', 'Q6NSJ2'})"
"frozenset({'P49746', 'TSH', 'Q96FC9'})"
"frozenset({'TSH', 'Q9UKX7', 'Q13131'})"
"frozenset({'TSH', 'P62258', 'Q6VAB6'})"
"frozenset({'TSH', 'P0C7P0', 'O75616'})"
"frozenset({'TSH', 'P25098', 'O60412'})"
"frozenset({'TSH', 'Q9NZ45', 'P45880'})"
"frozenset({'TSH', 'Q08209', 'P63151'})"
"frozenset({'Q9NX55', 'TSH', 'P48444'})"
"frozenset({'P00451', 'P01619', 'TSH'})"
"frozenset({'P60520', 'TSH', 'Q07021'})"
"frozenset({'Q16629', 'TSH', 'Q13151'})"
"frozenset({'TSH', 'Q9HCE1', 'B2RTY4'})"
"frozenset({'TSH', 'P19793', 'P04183'})"
"frozenset({'TSH', 'Q13596', 'Q00765'})"
"frozenset({'TSH', 'P24385', 'P51948'})"
"frozenset({'TSH', 'P55316', 'Q14671'})"
"frozenset({'TSH', 'Q9Y230', 'Q9Y2X3'})"
"frozenset({'Q9NSK0', 'TSH', 'P11172'})"
"frozenset({'P62837', 'Q9ULV8', 'TSH'})"
"frozenset({'TSH', 'P10828', 'Q93074'})"
"frozenset({'Q9H9J2', 'TSH', 'O43688'})"
"frozenset({'P62826', 'TSH', 'Q99666'})"
"frozenset({'TSH', 'P53350', 'Q9NZJ4'})"
"frozenset({'TSH', 'Q15418', 'P46527'})"
"frozenset({'TSH', 'Q9HBJ0', 'Q96BN2'})"
"frozenset({'O43521', 'TSH', 'P01889'})"
"frozenset({'TSH', 'P09603', 'Q07627'})"
"frozenset({'TSH', 'Q92997', 'Q2TBC4'})"
"frozenset({'Q8NE01', 'TSH', 'Q7Z3S9'})"
"frozenset({'TSH', 'P13804', 'Q9NRW1'})"
"frozenset({'TSH', 'Q6FI81', 'Q9Y3E2'})"
"frozenset({'P02545', 'Q9Y615', 'TSH'})"
"frozenset({'TSH', 'O15294', 'P49368'})"
"frozenset({'TSH', 'Q9H0C8', 'P31415'})"
"frozenset({'O75665', 'TSH', 'Q9NXR1'})"
"frozenset({'P54829', 'TSH', 'P04843'})"
"frozenset({'TSH', 'Q86UA1', 'Q9UKB1'})"
"frozenset({'TSH', 'Q9Y657', 'P23760'})"
"frozenset({'Q9Y597', 'TSH', 'Q13618'})"
"frozenset({'P36542', 'TSH', 'P51451'})"
"frozenset({'O43151', 'TSH', 'O95429'})"
"frozenset({'P08621', 'TSH', 'P84022'})"
"frozenset({'Q96KP1', 'TSH', 'P57078'})"
"frozenset({'Q8N5P1', 'TSH', 'Q8IVT5'})"
"frozenset({'Q5T3F8', 'TSH', 'Q15646'})"
"frozenset({'O15297', 'TSH', 'O43707'})"
"frozenset({'TSH', 'P36873', 'O95359'})"
"frozenset({'TSH', 'Q8NFB2', 'Q7L9B9'})"
"frozenset({'TSH', 'Q9BY43', 'Q8NB16'})"
"frozenset({'Q5JST6', 'TSH', 'O75604'})"
"frozenset({'TSH', 'Q96I51', 'Q9NPE2'})"
"frozenset({'P31946', 'Q9H4A3', 'TSH'})"
"frozenset({'Q14697', 'TSH', 'P22695'})"
"frozenset({'TSH', 'O95467', 'Q8N3V7'})"
"frozenset({'Q07889', 'TSH', 'Q9P2F6'})"
"frozenset({'TSH', 'P07237', 'Q13617'})"
"frozenset({'TSH', 'P20963', 'P27824'})"
"frozenset({'TSH', 'Q9HD67', 'P27482'})"
"frozenset({'TSH', 'Q9UQC2', 'P16885'})"
"frozenset({'Q16629', 'TSH', 'Q9Y2K1'})"
"frozenset({'TSH', 'P14735', 'Q9HCL2'})"
"frozenset({'TSH', 'P62987', 'P49459'})"
"frozenset({'TSH', 'Q96T91', 'Q5H9R7'})"
"frozenset({'P05067', 'TSH', 'Q07002'})"
"frozenset({'TSH', 'Q9NYF0', 'Q16512'})"
"frozenset({'TSH', 'Q3KNS6', 'Q9H4L7'})"
"frozenset({'P04278', 'Q9UNF0', 'TSH'})"
"frozenset({'Q8IYX7', 'TSH', 'P55273'})"
"frozenset({'TSH', 'P51955', 'Q96PX6'})"
"frozenset({'TSH', 'Q05469', 'Q9UNZ2'})"
"frozenset({'TSH', 'Q9UGI0', 'Q8IVW4'})"
"frozenset({'P63172', 'TSH', 'Q5T3J3'})"
"frozenset({'Q15078', 'Q13547', 'TSH'})"
"frozenset({'Q969X5', 'TSH', 'Q15022'})"
"frozenset({'Q9Y297', 'TSH', 'Q8N3Y1'})"
"frozenset({'TSH', 'O14640', 'P21579'})"
"frozenset({'TSH', 'Q9BY76', 'P51532'})"
"frozenset({'TSH', 'P35222', 'Q86UL8'})"
"frozenset({'TSH', 'P05388', 'P60033'})"
"frozenset({'P07900', 'TSH', 'O95568'})"
"frozenset({'TSH', 'Q14790', 'O75496'})"
"frozenset({'TSH', 'P59991', 'Q96LJ7'})"
"frozenset({'TSH', 'Q86V81', 'P43243'})"
"frozenset({'P60328', 'TSH', 'P60410'})"
"frozenset({'TSH', 'Q13596', 'Q13705'})"
"frozenset({'TSH', 'O14965', 'Q8WUA4'})"
"frozenset({'TSH', 'Q9Y2X3', 'Q9H9S0'})"
"frozenset({'P17612', 'P00533', 'TSH'})"
"frozenset({'Q9P2Z0', 'Q12888', 'TSH'})"
"frozenset({'P07900', 'TSH', 'Q9BXM7'})"
"frozenset({'TSH', 'Q9C0C7', 'Q9NT62'})"
"frozenset({'O95166', 'TSH', 'Q13595'})"
"frozenset({'TSH', 'Q52LJ0', 'P60033'})"
"frozenset({'P62826', 'TSH', 'Q9Y2L1'})"
"frozenset({'P10828', 'TSH', 'Q9BZK7'})"
"frozenset({'Q14141', 'P13569', 'TSH'})"
"frozenset({'TSH', 'Q06413', 'P42224'})"
"frozenset({'TSH', 'P62829', 'P11021'})"
"frozenset({'TSH', 'Q9H9A5', 'P27635'})"
"frozenset({'TSH', 'Q92621', 'Q9Y5J5'})"
"frozenset({'TSH', 'P49116', 'Q9NYJ8'})"
"frozenset({'TSH', 'Q9H0R8', 'Q99873'})"
"frozenset({'TSH', 'P05412', 'Q04206'})"
"frozenset({'P55039', 'TSH', 'Q9H446'})"
"frozenset({'A6NMS3', 'TSH', 'P25098'})"
"frozenset({'Q9Y5A9', 'TSH', 'P09651'})"
"frozenset({'P78527', 'TSH', 'O60583'})"
"frozenset({'Q9Y371', 'TSH', 'Q9BVC6'})"
"frozenset({'TSH', 'Q08999', 'O43463'})"
"frozenset({'TSH', 'Q16594', 'Q9H0E3'})"
"frozenset({'TSH', 'Q8TCJ2', 'Q9H1C4'})"
"frozenset({'TSH', 'Q9Y224', 'P43220'})"
"frozenset({'TSH', 'P61077', 'Q9UJ41'})"
"frozenset({'P12814', 'TSH', 'Q9UKX5'})"
"frozenset({'Q15323', 'TSH', 'Q8TAU3'})"
"frozenset({'P67809', 'TSH', 'Q9BUJ2'})"
"frozenset({'TSH', 'Q5UIP0', 'Q9HCU9'})"
"frozenset({'O95644', 'TSH', 'P16220'})"
"frozenset({'Q96F24', 'TSH', 'Q9UQE7'})"
"frozenset({'TSH', 'Q9HCE1', 'Q00325'})"
"frozenset({'Q15714', 'TSH', 'Q13432'})"
"frozenset({'TSH', 'P80188', 'Q5EBL2'})"
"frozenset({'TSH', 'Q9NR30', 'Q9NZC7'})"
"frozenset({'Q92831', 'TSH', 'P53396'})"
"frozenset({'TSH', 'P58107', 'P41279'})"
"frozenset({'P26640', 'TSH', 'Q9P2D1'})"
"frozenset({'TSH', 'P38159', 'Q15427'})"
"frozenset({'P51693', 'TSH', 'P67870'})"
"frozenset({'P02545', 'TSH', 'O75530'})"
"frozenset({'TSH', 'P09619', 'P10767'})"
"frozenset({'TSH', 'Q10570', 'P24928'})"
"frozenset({'P0C862', 'TSH', 'P68032'})"
"frozenset({'TSH', 'Q3V6T2', 'O43379'})"
"frozenset({'Q13405', 'TSH', 'Q9BYD6'})"
"frozenset({'O14980', 'TSH', 'Q01167'})"
"frozenset({'TSH', 'Q8NHS9', 'O75031'})"
"frozenset({'TSH', 'Q9HC52', 'Q01968'})"
"frozenset({'TSH', 'P22735', 'Q92608'})"
"frozenset({'Q99832', 'TSH', 'Q9H1B4'})"
"frozenset({'TSH', 'Q6IFN5', 'P62873'})"
"frozenset({'Q96MM7', 'TSH', 'O95235'})"
"frozenset({'TSH', 'P84243', 'P52732'})"
"frozenset({'P24863', 'TSH', 'Q9BWU1'})"
"frozenset({'TSH', 'Q8WV44', 'Q70Z53'})"
"frozenset({'Q13643', 'TSH', 'Q9HAU0'})"
"frozenset({'TSH', 'Q92793', 'P63279'})"
"frozenset({'TSH', 'Q15170', 'Q96F45'})"
"frozenset({'P05549', 'TSH', 'Q5SZK8'})"
"frozenset({'Q13286', 'TSH', 'Q6P4A7'})"
"frozenset({'P55084', 'TSH', 'P12755'})"
"frozenset({'TSH', 'Q96ST3', 'Q96EK4'})"
"frozenset({'Q9H2G2', 'TSH', 'Q8NFP9'})"
"frozenset({'O15403', 'TSH', 'P01106'})"
"frozenset({'TSH', 'O14744', 'Q9UQL6'})"
"frozenset({'Q6P1J9', 'TSH', 'P04075'})"
"frozenset({'Q86US8', 'TSH', 'P61326'})"
"frozenset({'TSH', 'Q96R06', 'Q9UJV3'})"
"frozenset({'TSH', 'P62269', 'Q13557'})"
"frozenset({'TSH', 'Q01974', 'O14640'})"
"frozenset({'P62826', 'P13569', 'TSH'})"
"frozenset({'Q00403', 'TSH', 'P62487'})"
"frozenset({'TSH', 'Q9H2G9', 'Q96HB5'})"
"frozenset({'O95405', 'TSH', 'O95714'})"
"frozenset({'Q8N2H9', 'O43187', 'TSH'})"
"frozenset({'Q9GZN8', 'TSH', 'P62140'})"
"frozenset({'Q15843', 'TSH', 'Q06830'})"
"frozenset({'P60520', 'TSH', 'P13647'})"
"frozenset({'TSH', 'Q6ZU80', 'Q49A88'})"
"frozenset({'TSH', 'Q9BVC4', 'P42224'})"
"frozenset({'Q01831', 'TSH', 'P32780'})"
"frozenset({'TSH', 'P49910', 'P57086'})"
"frozenset({'Q9UKV8', 'P38936', 'TSH'})"
"frozenset({'P05067', 'TSH', 'P29083'})"
"frozenset({'Q9P2B4', 'TSH', 'Q7L099'})"
"frozenset({'Q68EM7', 'O15144', 'TSH'})"
"frozenset({'P50453', 'Q96ID5', 'TSH'})"
"frozenset({'Q6PKG0', 'TSH', 'Q13148'})"
"frozenset({'Q9H4A3', 'Q8NDZ2', 'TSH'})"
"frozenset({'P19320', 'TSH', 'P54886'})"
"frozenset({'TSH', 'P42858', 'Q9BZ29'})"
"frozenset({'TSH', 'P10301', 'P50151'})"
"frozenset({'TSH', 'Q71U36', 'Q9NZL9'})"
"frozenset({'TSH', 'Q8TF42', 'P08238'})"
"frozenset({'TSH', 'Q16643', 'O15143'})"
"frozenset({'TSH', 'O43586', 'P83881'})"
"frozenset({'Q96EY5', 'TSH', 'Q99816'})"
"frozenset({'TSH', 'Q9UJV3', 'Q9H1D0'})"
"frozenset({'Q5JST6', 'TSH', 'O14964'})"
"frozenset({'Q9H9J2', 'TSH', 'P39210'})"
"frozenset({'TSH', 'Q5T7M9', 'P29016'})"
"frozenset({'TSH', 'O60271', 'P62330'})"
"frozenset({'P21333', 'TSH', 'P13612'})"
"frozenset({'TSH', 'P55884', 'P26045'})"
"frozenset({'TSH', 'Q96B97', 'Q99700'})"
"frozenset({'TSH', 'Q7L1Q6', 'P12830'})"
"frozenset({'Q9NQ29', 'TSH', 'Q70EL3'})"
"frozenset({'TSH', 'P63092', 'P35558'})"
"frozenset({'P19838', 'TSH', 'P51671'})"
"frozenset({'TSH', 'Q9H1C3', 'Q9NZJ5'})"
"frozenset({'P38919', 'TSH', 'P31943'})"
"frozenset({'TSH', 'Q5TA82', 'Q07627'})"
"frozenset({'TSH', 'O00257', 'P63279'})"
"frozenset({'TSH', 'P53609', 'Q9NQ87'})"
"frozenset({'Q15287', 'TSH', 'Q96S59'})"
"frozenset({'TSH', 'P49721', 'P28070'})"
"frozenset({'Q9H334', 'TSH', 'Q01826'})"
"frozenset({'TSH', 'P0C7P0', 'Q8N0X7'})"
"frozenset({'TSH', 'P16070', 'P61221'})"
"frozenset({'TSH', 'P54274', 'O95336'})"
"frozenset({'TSH', 'Q04724', 'Q04725'})"
"frozenset({'TSH', 'P23458', 'Q8TDB6'})"
"frozenset({'TSH', 'Q66LE6', 'Q92736'})"
"frozenset({'TSH', 'Q02156', 'P61952'})"
"frozenset({'TSH', 'Q13813', 'P35579'})"
"frozenset({'TSH', 'Q09028', 'Q02447'})"
"frozenset({'TSH', 'Q9P209', 'Q15154'})"
"frozenset({'TSH', 'P07195', 'Q99497'})"
"frozenset({'TSH', 'Q9UJV9', 'P00519'})"
"frozenset({'Q9Y597', 'TSH', 'Q00536'})"
"frozenset({'TSH', 'Q8NA72', 'O15397'})"
"frozenset({'TSH', 'Q9H596', 'P41220'})"
"frozenset({'TSH', 'Q16643', 'Q01968'})"
"frozenset({'Q92845', 'TSH', 'Q02779'})"
"frozenset({'TSH', 'O60341', 'P08727'})"
"frozenset({'TSH', 'P31152', 'Q8IUD2'})"
"frozenset({'O75379', 'Q9UID3', 'TSH'})"
"frozenset({'P29992', 'TSH', 'P61073'})"
"frozenset({'TSH', 'P05771', 'O75038'})"
"frozenset({'Q9NY59', 'TSH', 'Q14194'})"
"frozenset({'P24941', 'TSH', 'P49327'})"
"frozenset({'TSH', 'Q14974', 'Q92750'})"
"frozenset({'TSH', 'P10275', 'Q96JZ2'})"
"frozenset({'P51148', 'Q8NEU8', 'TSH'})"
"frozenset({'TSH', 'Q96ST3', 'Q13127'})"
