negatives
"frozenset({'Q9ULK4', 'Q8IYB3', 'IL2'})"
"frozenset({'Q9GZT3', 'P09234', 'IL2'})"
"frozenset({'P08758', 'Q14671', 'IL2'})"
"frozenset({'Q9Y6K9', 'O15111', 'IL2'})"
"frozenset({'P09651', 'Q96GD4', 'IL2'})"
"frozenset({'P05556', 'P04629', 'IL2'})"
"frozenset({'Q13616', 'P04217', 'IL2'})"
"frozenset({'Q8WTQ7', 'IL2', 'P51677'})"
"frozenset({'Q8NHC7', 'P17612', 'IL2'})"
"frozenset({'P11308', 'P34932', 'IL2'})"
"frozenset({'Q9H223', 'P22695', 'IL2'})"
"frozenset({'A8MXV4', 'Q5BKU9', 'IL2'})"
"frozenset({'P63261', 'IL2', 'P60673'})"
"frozenset({'O95166', 'Q8N1C3', 'IL2'})"
"frozenset({'Q8NGX5', 'P38405', 'IL2'})"
"frozenset({'P54646', 'Q96B36', 'IL2'})"
"frozenset({'Q15022', 'IL2', 'Q06830'})"
"frozenset({'Q9Y584', 'Q9Y5J7', 'IL2'})"
"frozenset({'Q9HD15', 'Q9H832', 'IL2'})"
"frozenset({'Q07890', 'P36507', 'IL2'})"
"frozenset({'IL2', 'O60264', 'P61221'})"
"frozenset({'Q7RTS9', 'Q8N490', 'IL2'})"
"frozenset({'O14920', 'Q8N726', 'IL2'})"
"frozenset({'Q9BY76', 'IL2', 'Q92747'})"
"frozenset({'P42261', 'P25025', 'IL2'})"
"frozenset({'Q96JB3', 'Q14526', 'IL2'})"
"frozenset({'P61604', 'IL2', 'O75874'})"
"frozenset({'Q9ULV8', 'Q13651', 'IL2'})"
"frozenset({'Q9NRH1', 'IL2', 'O94927'})"
"frozenset({'O43765', 'P16150', 'IL2'})"
"frozenset({'Q6P4R8', 'Q9H9F9', 'IL2'})"
"frozenset({'Q9HCN4', 'P52435', 'IL2'})"
"frozenset({'Q92560', 'Q13233', 'IL2'})"
"frozenset({'Q9Y5V3', 'O95872', 'IL2'})"
"frozenset({'P29372', 'Q9BVP2', 'IL2'})"
"frozenset({'Q13332', 'Q15286', 'IL2'})"
"frozenset({'Q13137', 'IL2', 'Q9UNI6'})"
"frozenset({'P32927', 'P05015', 'IL2'})"
"frozenset({'P21333', 'Q14498', 'IL2'})"
"frozenset({'Q9HCM9', 'P83916', 'IL2'})"
"frozenset({'Q04206', 'IL2', 'P27708'})"
"frozenset({'Q96ST2', 'P52630', 'IL2'})"
"frozenset({'Q9Y613', 'P55072', 'IL2'})"
"frozenset({'Q8IXH7', 'Q13573', 'IL2'})"
"frozenset({'Q14576', 'Q9BQ95', 'IL2'})"
"frozenset({'Q5T681', 'P51116', 'IL2'})"
"frozenset({'Q13895', 'P62854', 'IL2'})"
"frozenset({'P01106', 'Q92979', 'IL2'})"
"frozenset({'P41182', 'IL2', 'O15226'})"
"frozenset({'Q06455', 'Q16559', 'IL2'})"
"frozenset({'O43688', 'IL2', 'Q9H9J2'})"
"frozenset({'P40937', 'P17023', 'IL2'})"
"frozenset({'P60033', 'IL2', 'P18621'})"
"frozenset({'Q99453', 'Q92793', 'IL2'})"
"frozenset({'P45973', 'Q9NQS7', 'IL2'})"
"frozenset({'Q15434', 'IL2', 'Q9UBU9'})"
"frozenset({'O00425', 'Q7L2J0', 'IL2'})"
"frozenset({'P09525', 'Q9Y5K5', 'IL2'})"
"frozenset({'Q9UF72', 'P59991', 'IL2'})"
"frozenset({'Q3B7T1', 'O75165', 'IL2'})"
"frozenset({'P49736', 'P13489', 'IL2'})"
"frozenset({'P54368', 'Q96PV6', 'IL2'})"
"frozenset({'Q9NS82', 'Q92624', 'IL2'})"
"frozenset({'Q63HR2', 'P60328', 'IL2'})"
"frozenset({'Q16659', 'Q6P1M9', 'IL2'})"
"frozenset({'IL2', 'P27824', 'Q8N766'})"
"frozenset({'P28331', 'IL2', 'P61421'})"
"frozenset({'Q96S65', 'Q96SQ5', 'IL2'})"
"frozenset({'Q9UHL4', 'Q92754', 'IL2'})"
"frozenset({'P12109', 'P07585', 'IL2'})"
"frozenset({'Q9NZQ7', 'P49841', 'IL2'})"
"frozenset({'O76011', 'P01350', 'IL2'})"
"frozenset({'Q9UHD8', 'P02751', 'IL2'})"
"frozenset({'Q8N653', 'Q9Y473', 'IL2'})"
"frozenset({'P55347', 'P26367', 'IL2'})"
"frozenset({'Q9Y342', 'O76011', 'IL2'})"
"frozenset({'Q6P2C8', 'IL2', 'Q9NWA0'})"
"frozenset({'Q8WUI4', 'Q99880', 'IL2'})"
"frozenset({'P14866', 'P11441', 'IL2'})"
"frozenset({'Q9NQ11', 'P20339', 'IL2'})"
"frozenset({'P38606', 'IL2', 'P61221'})"
"frozenset({'P42771', 'Q9P1U1', 'IL2'})"
"frozenset({'O15155', 'P53618', 'IL2'})"
"frozenset({'Q9UBC2', 'Q14683', 'IL2'})"
"frozenset({'Q9UJV9', 'P38159', 'IL2'})"
"frozenset({'O14920', 'IL2', 'O95819'})"
"frozenset({'P31937', 'IL2', 'P00441'})"
"frozenset({'O15533', 'Q9Y678', 'IL2'})"
"frozenset({'Q8WVM8', 'O00161', 'IL2'})"
"frozenset({'Q9Y5B9', 'P06899', 'IL2'})"
"frozenset({'Q9UPN4', 'IL2', 'Q9Y6I9'})"
"frozenset({'Q6TGC4', 'Q8TF50', 'IL2'})"
"frozenset({'P51149', 'P14672', 'IL2'})"
"frozenset({'P41218', 'Q9H6S0', 'IL2'})"
"frozenset({'P63000', 'Q9Y617', 'IL2'})"
"frozenset({'Q9H6Z9', 'IL2', 'Q9P0K8'})"
"frozenset({'Q9HCH0', 'Q5BJF6', 'IL2'})"
"frozenset({'Q96CB9', 'IL2', 'Q01844'})"
"frozenset({'Q6P2C8', 'O43513', 'IL2'})"
"frozenset({'Q13501', 'P46531', 'IL2'})"
"frozenset({'Q8TCS8', 'IL2', 'Q9UBU9'})"
"frozenset({'P05067', 'Q8WTV1', 'IL2'})"
"frozenset({'Q6R327', 'Q6MZQ0', 'IL2'})"
"frozenset({'P12980', 'IL2', 'Q16288'})"
"frozenset({'Q8NBL1', 'IL2', 'Q7Z478'})"
"frozenset({'P14406', 'O75208', 'IL2'})"
"frozenset({'Q05923', 'P53779', 'IL2'})"
"frozenset({'Q8NG08', 'IL2', 'P61964'})"
"frozenset({'Q15836', 'P20648', 'IL2'})"
"frozenset({'Q9P0W2', 'IL2', 'Q13077'})"
"frozenset({'Q9NPA1', 'Q01668', 'IL2'})"
"frozenset({'Q15139', 'Q99683', 'IL2'})"
"frozenset({'P62873', 'P01111', 'IL2'})"
"frozenset({'P61353', 'IL2', 'P61513'})"
"frozenset({'P42766', 'P84098', 'IL2'})"
"frozenset({'Q9H0R8', 'Q5R372', 'IL2'})"
"frozenset({'P02462', 'IL2', 'P06756'})"
"frozenset({'P40238', 'P05231', 'IL2'})"
"frozenset({'Q8N1F7', 'IL2', 'Q9H0W5'})"
"frozenset({'IL2', 'Q15029', 'Q13523'})"
"frozenset({'Q13596', 'Q9UQ16', 'IL2'})"
"frozenset({'O95602', 'O95166', 'IL2'})"
"frozenset({'Q96KB5', 'Q9HCK0', 'IL2'})"
"frozenset({'P61604', 'P48643', 'IL2'})"
"frozenset({'O75718', 'Q7Z3E5', 'IL2'})"
"frozenset({'Q96D46', 'P55072', 'IL2'})"
"frozenset({'Q12774', 'IL2', 'Q13137'})"
"frozenset({'P16070', 'IL2', 'Q9H9S0'})"
"frozenset({'P0C1Z6', 'Q96JG6', 'IL2'})"
"frozenset({'Q16658', 'Q15365', 'IL2'})"
"frozenset({'Q96CW1', 'IL2', 'Q9NZN4'})"
"frozenset({'Q92633', 'O15439', 'IL2'})"
"frozenset({'Q86VP6', 'Q9Y6M1', 'IL2'})"
"frozenset({'Q8TAU3', 'Q8N6Y0', 'IL2'})"
"frozenset({'Q86VP6', 'O00425', 'IL2'})"
"frozenset({'O60888', 'P40692', 'IL2'})"
"frozenset({'Q8TAD4', 'IL2', 'Q92887'})"
"frozenset({'Q8NB90', 'IL2', 'O00487'})"
"frozenset({'P62753', 'P61353', 'IL2'})"
"frozenset({'P59990', 'P18146', 'IL2'})"
"frozenset({'Q8NG50', 'Q9UBF8', 'IL2'})"
"frozenset({'Q504Q3', 'P62314', 'IL2'})"
"frozenset({'P13725', 'Q01113', 'IL2'})"
"frozenset({'Q86VP6', 'O00541', 'IL2'})"
"frozenset({'Q9Y3C5', 'Q9H201', 'IL2'})"
"frozenset({'Q9NWB7', 'Q96LJ8', 'IL2'})"
"frozenset({'Q9UL03', 'P33993', 'IL2'})"
"frozenset({'P14210', 'P09619', 'IL2'})"
"frozenset({'P35462', 'IL2', 'P08754'})"
"frozenset({'P05067', 'Q3SXR2', 'IL2'})"
"frozenset({'P29966', 'Q9Y4K3', 'IL2'})"
"frozenset({'Q5EBL4', 'Q6IQ22', 'IL2'})"
"frozenset({'P25116', 'Q5JY77', 'IL2'})"
"frozenset({'IL2', 'O95400', 'Q96FW1'})"
"frozenset({'Q9UQE7', 'Q92769', 'IL2'})"
"frozenset({'P40763', 'Q96KP4', 'IL2'})"
"frozenset({'P25205', 'Q6IE81', 'IL2'})"
"frozenset({'Q13247', 'Q8IYB3', 'IL2'})"
"frozenset({'O43915', 'P08069', 'IL2'})"
"frozenset({'Q6PI77', 'IL2', 'O95985'})"
"frozenset({'O14802', 'O60264', 'IL2'})"
"frozenset({'IL2', 'P25963', 'Q99612'})"
"frozenset({'P61978', 'Q15560', 'IL2'})"
"frozenset({'Q9UBP4', 'O75197', 'IL2'})"
"frozenset({'Q13315', 'Q96IY1', 'IL2'})"
"frozenset({'P35249', 'Q9HCU8', 'IL2'})"
"frozenset({'Q9NPF7', 'Q13651', 'IL2'})"
"frozenset({'P17405', 'Q9HCE1', 'IL2'})"
"frozenset({'Q13185', 'Q9BWN1', 'IL2'})"
"frozenset({'P42704', 'Q9BRA0', 'IL2'})"
"frozenset({'Q08117', 'P07384', 'IL2'})"
"frozenset({'Q13469', 'IL2', 'Q12888'})"
"frozenset({'P50222', 'Q14129', 'IL2'})"
"frozenset({'O14880', 'IL2', 'Q15717'})"
"frozenset({'Q9UDX5', 'IL2', 'Q8IWL3'})"
"frozenset({'Q99459', 'P58107', 'IL2'})"
"frozenset({'Q15717', 'IL2', 'O75976'})"
"frozenset({'P62701', 'Q9Y262', 'IL2'})"
"frozenset({'Q6P6B1', 'Q14145', 'IL2'})"
"frozenset({'Q9P0K1', 'Q12929', 'IL2'})"
"frozenset({'Q53H54', 'IL2', 'Q8TBB1'})"
"frozenset({'P62318', 'P62310', 'IL2'})"
"frozenset({'P17275', 'P53779', 'IL2'})"
"frozenset({'Q9H857', 'Q15554', 'IL2'})"
"frozenset({'Q14974', 'Q96MU7', 'IL2'})"
"frozenset({'O95905', 'IL2', 'Q01844'})"
"frozenset({'Q96LD8', 'Q9UK80', 'IL2'})"
"frozenset({'Q9Y385', 'Q9P0N5', 'IL2'})"
"frozenset({'Q07817', 'IL2', 'P46937'})"
"frozenset({'Q8TC76', 'Q9UQC2', 'IL2'})"
"frozenset({'Q8NFH3', 'Q16531', 'IL2'})"
"frozenset({'P62979', 'P62906', 'IL2'})"
"frozenset({'Q01105', 'Q15257', 'IL2'})"
"frozenset({'P07814', 'P19532', 'IL2'})"
"frozenset({'IL2', 'Q16851', 'Q8WZ42'})"
"frozenset({'Q9BRK4', 'Q93062', 'IL2'})"
"frozenset({'P82933', 'Q9NQ50', 'IL2'})"
"frozenset({'P14672', 'A0FGR8', 'IL2'})"
"frozenset({'Q8N2W9', 'Q9H492', 'IL2'})"
"frozenset({'P49591', 'P49590', 'IL2'})"
"frozenset({'P18850', 'P11021', 'IL2'})"
"frozenset({'IL2', 'Q15654', 'O75604'})"
"frozenset({'Q5S007', 'P15880', 'IL2'})"
"frozenset({'P27361', 'IL2', 'Q13733'})"
"frozenset({'IL2', 'Q9HCE1', 'Q92995'})"
"frozenset({'Q86UA6', 'P07437', 'IL2'})"
"frozenset({'Q9NS73', 'O43318', 'IL2'})"
"frozenset({'P43308', 'P60468', 'IL2'})"
"frozenset({'P13073', 'P21796', 'IL2'})"
"frozenset({'P43246', 'IL2', 'Q96FW1'})"
"frozenset({'Q9H490', 'Q6NUS6', 'IL2'})"
"frozenset({'Q969Q0', 'P12830', 'IL2'})"
"frozenset({'Q96QZ7', 'Q9UQC2', 'IL2'})"
"frozenset({'O60928', 'P17612', 'IL2'})"
"frozenset({'Q9UM11', 'P30304', 'IL2'})"
"frozenset({'O95678', 'Q8TAB5', 'IL2'})"
"frozenset({'P28072', 'Q0PNE2', 'IL2'})"
"frozenset({'Q96FX7', 'Q9UJA5', 'IL2'})"
"frozenset({'Q8TF74', 'IL2', 'Q96NB3'})"
"frozenset({'IL2', 'Q13635', 'Q03135'})"
"frozenset({'P43351', 'Q8N6T3', 'IL2'})"
"frozenset({'P46781', 'IL2', 'Q9Y2K1'})"
"frozenset({'Q96SB3', 'P20309', 'IL2'})"
"frozenset({'O15504', 'P49790', 'IL2'})"
