negatives
"frozenset({'Q9BSI4', 'M', 'P36871'})"
"frozenset({'M', 'Q9UMX0', 'Q8IWB7'})"
"frozenset({'M', 'Q9NRC8', 'P22234'})"
"frozenset({'P04350', 'M', 'Q9BV73'})"
"frozenset({'M', 'O43432', 'P06730'})"
"frozenset({'M', 'Q96S06', 'Q6UWR7'})"
"frozenset({'P78357', 'M', 'O43291'})"
"frozenset({'Q8TBE0', 'M', 'Q9BRK4'})"
"frozenset({'P30480', 'M', 'P28331'})"
"frozenset({'Q13618', 'M', 'Q9BQA1'})"
"frozenset({'Q96A72', 'P61326', 'M'})"
"frozenset({'Q15109', 'M', 'P05067'})"
"frozenset({'M', 'P51532', 'P28370'})"
"frozenset({'M', 'Q8WVZ9', 'P22061'})"
"frozenset({'Q8NC51', 'M', 'P61513'})"
"frozenset({'M', 'Q01959', 'P37840'})"
"frozenset({'M', 'O43463', 'P03372'})"
"frozenset({'Q9UJX2', 'M', 'P63098'})"
"frozenset({'P10828', 'M', 'Q9UBK2'})"
"frozenset({'P23527', 'M', 'P60033'})"
"frozenset({'P07550', 'M', 'P13473'})"
"frozenset({'M', 'Q9Y253', 'Q9UI95'})"
"frozenset({'M', 'Q8IVT5', 'Q15125'})"
"frozenset({'Q9H4P4', 'M', 'O60260'})"
"frozenset({'Q9H8V3', 'M', 'P04637'})"
"frozenset({'M', 'O00716', 'P00374'})"
"frozenset({'M', 'P17301', 'P21815'})"
"frozenset({'M', 'Q52LW3', 'Q15751'})"
"frozenset({'M', 'P62324', 'Q969H0'})"
"frozenset({'M', 'P15884', 'Q9Y3B2'})"
"frozenset({'M', 'P52757', 'P61956'})"
"frozenset({'M', 'Q16819', 'Q9UQ35'})"
"frozenset({'M', 'Q5H9R7', 'Q9UPN7'})"
"frozenset({'M', 'P60033', 'O60506'})"
"frozenset({'M', 'Q96HA8', 'P36406'})"
"frozenset({'M', 'Q9HAU0', 'Q53HC0'})"
"frozenset({'Q9BZJ0', 'M', 'Q9Y3I1'})"
"frozenset({'M', 'Q96IK5', 'Q9BYG5'})"
"frozenset({'M', 'Q9NRJ5', 'Q5R3I4'})"
"frozenset({'P08754', 'M', 'P16520'})"
"frozenset({'M', 'P24941', 'Q69YL0'})"
"frozenset({'M', 'P33552', 'P62993'})"
"frozenset({'M', 'Q8NGZ4', 'P22612'})"
"frozenset({'Q8IVW4', 'Q9UGI0', 'M'})"
"frozenset({'Q8TE76', 'M', 'P34897'})"
"frozenset({'M', 'Q96A05', 'Q9UHA4'})"
"frozenset({'M', 'Q13618', 'Q9BU76'})"
"frozenset({'M', 'Q9GZZ9', 'P49419'})"
"frozenset({'P40429', 'M', 'P62753'})"
"frozenset({'M', 'Q92618', 'O60341'})"
"frozenset({'M', 'P09629', 'P68400'})"
"frozenset({'M', 'Q9NUQ3', 'Q92841'})"
"frozenset({'M', 'Q13227', 'Q9BQ87'})"
"frozenset({'O75444', 'M', 'Q9Y5Q3'})"
"frozenset({'P29350', 'M', 'P31785'})"
"frozenset({'M', 'P61981', 'P19474'})"
"frozenset({'Q96D46', 'M', 'O15160'})"
"frozenset({'M', 'P33991', 'O95696'})"
"frozenset({'Q8N8S7', 'P63000', 'M'})"
"frozenset({'M', 'Q9NWH9', 'P43243'})"
"frozenset({'M', 'P01040', 'P60033'})"
"frozenset({'O14933', 'M', 'Q92560'})"
"frozenset({'M', 'P10515', 'P50897'})"
"frozenset({'M', 'P58012', 'P04179'})"
"frozenset({'Q9ULV8', 'M', 'P06239'})"
"frozenset({'M', 'P0DMV9', 'P01100'})"
"frozenset({'M', 'Q58EX7', 'P32242'})"
"frozenset({'Q01850', 'Q96BZ8', 'M'})"
"frozenset({'M', 'O15442', 'Q9ULA0'})"
"frozenset({'M', 'Q15717', 'Q15404'})"
"frozenset({'M', 'Q53FD0', 'Q96JN2'})"
"frozenset({'M', 'P61224', 'P27986'})"
"frozenset({'M', 'O15105', 'Q9ULH7'})"
"frozenset({'M', 'P0C2W1', 'P03372'})"
"frozenset({'M', 'P17947', 'Q9Y6K1'})"
"frozenset({'M', 'P05067', 'O95704'})"
"frozenset({'M', 'P30988', 'P0DP25'})"
"frozenset({'O94916', 'M', 'P15121'})"
"frozenset({'M', 'Q9BW83', 'Q96NL6'})"
"frozenset({'M', 'P62195', 'P51449'})"
"frozenset({'P48544', 'M', 'P09471'})"
"frozenset({'M', 'P27482', 'Q16566'})"
"frozenset({'M', 'P04637', 'P55060'})"
"frozenset({'Q9BUN8', 'Q9Y385', 'M'})"
"frozenset({'M', 'Q8N3U4', 'O60216'})"
"frozenset({'M', 'Q8N3V7', 'Q9NQW6'})"
"frozenset({'M', 'Q9BXU0', 'O43482'})"
"frozenset({'M', 'Q3LI70', 'Q9NRY6'})"
"frozenset({'M', 'Q53GS9', 'O43159'})"
"frozenset({'M', 'Q13469', 'P38646'})"
"frozenset({'P34932', 'M', 'P11441'})"
"frozenset({'M', 'P12956', 'Q15233'})"
"frozenset({'P86496', 'M', 'P35711'})"
"frozenset({'Q86Y01', 'M', 'P61077'})"
"frozenset({'M', 'Q13952', 'P12004'})"
"frozenset({'M', 'P18405', 'O75182'})"
"frozenset({'M', 'Q9Y4B4', 'Q9NVV9'})"
"frozenset({'Q00613', 'M', 'P53355'})"
"frozenset({'M', 'P03372', 'Q8WUI4'})"
"frozenset({'Q6P158', 'O00567', 'M'})"
"frozenset({'M', 'P24278', 'Q7L273'})"
"frozenset({'M', 'Q8NB46', 'Q9UBU9'})"
"frozenset({'P27348', 'M', 'P13639'})"
"frozenset({'Q9BVN2', 'M', 'P43360'})"
"frozenset({'P00533', 'M', 'Q9UI26'})"
"frozenset({'Q8NE01', 'Q12974', 'M'})"
"frozenset({'M', 'Q4V328', 'P61088'})"
"frozenset({'P40692', 'Q96NE9', 'M'})"
"frozenset({'M', 'P50221', 'P05067'})"
"frozenset({'M', 'Q92838', 'Q01113'})"
"frozenset({'M', 'Q16537', 'Q562F6'})"
"frozenset({'M', 'P31948', 'P60484'})"
"frozenset({'Q8NG66', 'M', 'P51955'})"
"frozenset({'M', 'P06400', 'P12757'})"
"frozenset({'Q7L2E3', 'M', 'Q96GX1'})"
"frozenset({'M', 'Q68E01', 'O15514'})"
"frozenset({'Q9UM13', 'M', 'Q14676'})"
"frozenset({'O94875', 'P12814', 'M'})"
"frozenset({'O43633', 'M', 'O75477'})"
"frozenset({'M', 'Q86YD3', 'Q9Y4K0'})"
"frozenset({'P05412', 'M', 'P26373'})"
"frozenset({'P62873', 'M', 'O60840'})"
"frozenset({'P48449', 'M', 'P22736'})"
"frozenset({'M', 'P11021', 'P35228'})"
"frozenset({'M', 'P18754', 'O95865'})"
"frozenset({'M', 'Q5T7M9', 'P55058'})"
"frozenset({'M', 'Q8N4V1', 'O60885'})"
"frozenset({'P07437', 'M', 'P02751'})"
"frozenset({'M', 'O75643', 'Q93074'})"
"frozenset({'M', 'Q7L5N1', 'Q8WV16'})"
"frozenset({'M', 'Q9UHL9', 'O75928'})"
"frozenset({'M', 'Q16539', 'Q969V6'})"
"frozenset({'M', 'Q86TG7', 'Q8N448'})"
"frozenset({'M', 'Q13573', 'Q12874'})"
"frozenset({'M', 'Q7Z7A1', 'Q8NHV4'})"
"frozenset({'M', 'P20839', 'O15027'})"
"frozenset({'M', 'P20591', 'Q9NYI0'})"
"frozenset({'Q15149', 'M', 'P14923'})"
"frozenset({'M', 'Q9NX70', 'Q92616'})"
"frozenset({'M', 'Q9NRG9', 'O75147'})"
"frozenset({'M', 'Q9UQ35', 'O00571'})"
"frozenset({'M', 'O60831', 'Q6NUS6'})"
"frozenset({'P19320', 'M', 'Q13765'})"
"frozenset({'P63000', 'M', 'P39023'})"
"frozenset({'M', 'Q9Y3E0', 'Q9BRQ6'})"
"frozenset({'M', 'Q16576', 'Q16695'})"
"frozenset({'M', 'Q9Y6G9', 'P63167'})"
"frozenset({'M', 'O95257', 'Q8IYX8'})"
"frozenset({'M', 'P07332', 'P10721'})"
"frozenset({'Q15583', 'M', 'Q96BX8'})"
"frozenset({'M', 'Q08379', 'Q13227'})"
"frozenset({'M', 'Q9BT25', 'Q9NPJ6'})"
"frozenset({'M', 'Q9BQA1', 'P83369'})"
"frozenset({'O43633', 'Q8NB16', 'M'})"
"frozenset({'M', 'P08238', 'P52292'})"
"frozenset({'Q92918', 'M', 'Q96IK0'})"
"frozenset({'M', 'P00519', 'P50570'})"
"frozenset({'Q9H2C0', 'Q9Y4A5', 'M'})"
"frozenset({'M', 'P78334', 'Q9H3K2'})"
"frozenset({'M', 'P10073', 'Q96JS3'})"
"frozenset({'Q8NGN1', 'M', 'P17612'})"
"frozenset({'P26368', 'M', 'Q8N684'})"
"frozenset({'M', 'Q86U06', 'Q8IZU0'})"
"frozenset({'Q8NFH5', 'M', 'Q9Y2U8'})"
"frozenset({'Q6P597', 'P15884', 'M'})"
"frozenset({'Q16795', 'M', 'P28331'})"
"frozenset({'P25054', 'M', 'Q92688'})"
"frozenset({'M', 'P04049', 'Q96KB5'})"
"frozenset({'M', 'Q93062', 'Q9UQ90'})"
"frozenset({'Q9NQT5', 'M', 'Q13901'})"
"frozenset({'M', 'O95221', 'Q9P2W3'})"
"frozenset({'P53992', 'Q96K21', 'M'})"
"frozenset({'Q08170', 'M', 'O43290'})"
"frozenset({'M', 'Q9UBX2', 'P19338'})"
"frozenset({'M', 'Q9BUN1', 'O43186'})"
"frozenset({'M', 'P28074', 'Q9HCE1'})"
"frozenset({'M', 'P05423', 'P62875'})"
"frozenset({'M', 'Q86VP6', 'Q9NUD5'})"
"frozenset({'M', 'Q9BXS5', 'Q96ED9'})"
"frozenset({'M', 'Q96GN5', 'P01106'})"
"frozenset({'Q01726', 'M', 'P23526'})"
"frozenset({'O00267', 'M', 'Q8N7H5'})"
"frozenset({'Q96QD8', 'M', 'P60953'})"
"frozenset({'Q99496', 'P13010', 'M'})"
"frozenset({'M', 'A1A5C7', 'P26371'})"
"frozenset({'Q9BS26', 'M', 'Q9UNF0'})"
"frozenset({'M', 'P30291', 'O14980'})"
"frozenset({'P22612', 'M', 'Q8NGP9'})"
"frozenset({'M', 'Q9BXJ9', 'O60216'})"
"frozenset({'M', 'Q9Y6M9', 'O75438'})"
"frozenset({'Q9ULV8', 'P07948', 'M'})"
"frozenset({'M', 'Q9NZL4', 'Q32P28'})"
"frozenset({'Q14999', 'M', 'P39023'})"
"frozenset({'M', 'Q9BSD7', 'Q9BY84'})"
"frozenset({'O95678', 'Q6A162', 'M'})"
"frozenset({'M', 'P40937', 'P35251'})"
"frozenset({'M', 'Q9NRD1', 'P22695'})"
"frozenset({'P19320', 'M', 'P38919'})"
"frozenset({'Q9BQ89', 'P60410', 'M'})"
"frozenset({'P98073', 'M', 'Q9ULZ3'})"
"frozenset({'P12931', 'M', 'Q02153'})"
"frozenset({'Q9UK17', 'M', 'Q13948'})"
"frozenset({'M', 'Q92620', 'O60508'})"
"frozenset({'M', 'P40121', 'Q96AE4'})"
"frozenset({'Q9UNX3', 'M', 'Q96SW2'})"
"frozenset({'M', 'Q8N8U2', 'Q9BQA5'})"
"frozenset({'M', 'Q8N4P2', 'Q13099'})"
"frozenset({'P52333', 'M', 'O14544'})"
"frozenset({'M', 'P07954', 'Q15051'})"
"frozenset({'P82933', 'M', 'Q9UHA4'})"
"frozenset({'Q02539', 'M', 'Q9NYB0'})"
"frozenset({'Q9UM19', 'Q99576', 'M'})"
"frozenset({'P68431', 'P0C0S5', 'M'})"
"frozenset({'P12931', 'Q13796', 'M'})"
"frozenset({'Q5T681', 'M', 'Q13114'})"
"frozenset({'P13489', 'M', 'Q9NXK8'})"
"frozenset({'Q9HBV2', 'M', 'Q8TCX1'})"
"frozenset({'Q03135', 'M', 'P21359'})"
"frozenset({'M', 'P15621', 'Q9HAU5'})"
"frozenset({'Q9H609', 'M', 'P19012'})"
"frozenset({'M', 'P13612', 'P68032'})"
"frozenset({'M', 'Q96DZ5', 'Q08379'})"
"frozenset({'M', 'Q16659', 'Q03001'})"
"frozenset({'M', 'Q99471', 'Q9H1P6'})"
"frozenset({'M', 'Q6ZW31', 'Q86SQ0'})"
"frozenset({'M', 'P30443', 'P51572'})"
"frozenset({'M', 'Q13617', 'P62917'})"
"frozenset({'P41236', 'M', 'P62258'})"
"frozenset({'M', 'Q9H0W5', 'O15027'})"
"frozenset({'M', 'Q9Y5Q3', 'O75626'})"
"frozenset({'M', 'Q9UHI6', 'Q9H492'})"
"frozenset({'M', 'Q5UIP0', 'O43379'})"
"frozenset({'M', 'Q8NGC0', 'P38405'})"
"frozenset({'P09972', 'M', 'P51610'})"
"frozenset({'M', 'P33076', 'P14316'})"
"frozenset({'M', 'Q6UXL0', 'P05231'})"
"frozenset({'Q9Y6K9', 'M', 'Q8WV44'})"
"frozenset({'M', 'P01833', 'Q6ZN18'})"
"frozenset({'M', 'Q9H492', 'Q9NZ01'})"
"frozenset({'Q96GQ7', 'M', 'O75147'})"
"frozenset({'M', 'O00308', 'P13639'})"
"frozenset({'M', 'Q9UGR2', 'P05412'})"
"frozenset({'P08865', 'M', 'Q9H967'})"
"frozenset({'M', 'Q15370', 'P61966'})"
"frozenset({'M', 'Q15287', 'Q8N684'})"
"frozenset({'P49407', 'M', 'Q6IF63'})"
"frozenset({'P78527', 'M', 'Q9BXM7'})"
"frozenset({'M', 'Q8WZ79', 'O00462'})"
"frozenset({'M', 'P61981', 'P00519'})"
"frozenset({'P61769', 'M', 'O95084'})"
"frozenset({'M', 'O75147', 'Q9NWH9'})"
"frozenset({'P63000', 'M', 'Q68EM7'})"
"frozenset({'M', 'Q9NY91', 'Q96HJ5'})"
"frozenset({'Q6DN90', 'P08240', 'M'})"
"frozenset({'M', 'Q8WV44', 'Q7Z569'})"
"frozenset({'M', 'Q9BQA1', 'P14678'})"
"frozenset({'M', 'P28074', 'P06737'})"
"frozenset({'M', 'Q7Z2T5', 'P78347'})"
"frozenset({'O00425', 'M', 'O95503'})"
"frozenset({'M', 'Q9NR56', 'Q8IU81'})"
"frozenset({'M', 'P41743', 'Q9BYG4'})"
"frozenset({'P00533', 'M', 'P15311'})"
"frozenset({'M', 'O14967', 'Q17R55'})"
"frozenset({'M', 'O95471', 'O14493'})"
"frozenset({'O60925', 'M', 'O43172'})"
"frozenset({'M', 'O60701', 'Q9Y296'})"
"frozenset({'M', 'O95352', 'Q9H0R8'})"
"frozenset({'M', 'Q8TAU3', 'Q6NT76'})"
"frozenset({'M', 'P00966', 'Q9BS16'})"
"frozenset({'M', 'P32927', 'P26441'})"
"frozenset({'P12931', 'M', 'O00254'})"
"frozenset({'Q5TBB1', 'M', 'Q9UHD9'})"
"frozenset({'Q01970', 'M', 'P15311'})"
"frozenset({'Q8IXZ2', 'M', 'Q6PKG0'})"
"frozenset({'M', 'O95376', 'P21246'})"
"frozenset({'M', 'Q9H492', 'Q6IED9'})"
"frozenset({'M', 'P19875', 'P19838'})"
"frozenset({'M', 'Q9P0J0', 'P03905'})"
"frozenset({'M', 'P60896', 'Q06323'})"
"frozenset({'Q71U36', 'M', 'Q9UJM3'})"
"frozenset({'O15111', 'M', 'P35568'})"
"frozenset({'P09619', 'M', 'P08700'})"
"frozenset({'O00499', 'M', 'Q16854'})"
"frozenset({'M', 'O43513', 'Q15528'})"
"frozenset({'M', 'Q969H0', 'P01112'})"
"frozenset({'P20333', 'M', 'O95551'})"
"frozenset({'Q9BRP8', 'M', 'Q2NL82'})"
"frozenset({'Q9P2S2', 'M', 'Q8N0W4'})"
"frozenset({'M', 'P50748', 'Q9BPW8'})"
"frozenset({'M', 'Q96S53', 'Q9BQK8'})"
"frozenset({'Q8IUB9', 'M', 'Q96HB5'})"
"frozenset({'M', 'Q16635', 'Q6UVY6'})"
"frozenset({'P26651', 'M', 'Q05923'})"
"frozenset({'M', 'P53779', 'O14733'})"
"frozenset({'M', 'P21554', 'Q9UBI6'})"
"frozenset({'M', 'P55199', 'Q8IZT6'})"
"frozenset({'Q8WYA0', 'Q86WT1', 'M'})"
"frozenset({'P46100', 'M', 'P62805'})"
"frozenset({'M', 'O75177', 'P14678'})"
"frozenset({'P22612', 'M', 'Q8NGT7'})"
"frozenset({'M', 'P04629', 'Q7Z3B4'})"
"frozenset({'M', 'O60763', 'Q00987'})"
"frozenset({'M', 'Q9UM54', 'Q8TCJ0'})"
"frozenset({'M', 'Q9NX55', 'P48444'})"
"frozenset({'M', 'O15294', 'Q9NZC7'})"
"frozenset({'P08651', 'M', 'P84022'})"
"frozenset({'Q96H55', 'M', 'Q9NSY1'})"
"frozenset({'M', 'P78386', 'O76015'})"
"frozenset({'P42338', 'M', 'Q9HAV0'})"
"frozenset({'M', 'P21246', 'Q9UHF0'})"
"frozenset({'M', 'P54578', 'O43396'})"
"frozenset({'P05412', 'M', 'Q02790'})"
"frozenset({'M', 'P84243', 'Q14781'})"
"frozenset({'Q5JQS5', 'M', 'Q9P2W3'})"
"frozenset({'M', 'P22314', 'P61077'})"
"frozenset({'Q04206', 'M', 'Q96EB6'})"
"frozenset({'M', 'P12429', 'Q92979'})"
"frozenset({'M', 'Q08379', 'O14910'})"
"frozenset({'M', 'O00505', 'P21980'})"
"frozenset({'M', 'Q96HA8', 'Q9BXD5'})"
"frozenset({'M', 'Q9NV56', 'Q96A08'})"
"frozenset({'P56748', 'M', 'O95484'})"
"frozenset({'O60939', 'M', 'Q8TCG1'})"
"frozenset({'M', 'Q9BRU9', 'P14373'})"
"frozenset({'P26599', 'M', 'P46940'})"
"frozenset({'M', 'Q9GZU8', 'P82650'})"
"frozenset({'M', 'Q9P013', 'P11142'})"
"frozenset({'M', 'Q8IUQ4', 'Q86WX3'})"
"frozenset({'M', 'O15550', 'P04637'})"
"frozenset({'M', 'P14373', 'Q8TES7'})"
"frozenset({'M', 'O00422', 'Q9H7L9'})"
"frozenset({'Q8IYH5', 'M', 'O75528'})"
"frozenset({'Q9BSM1', 'Q7L190', 'M'})"
"frozenset({'M', 'P78347', 'Q99459'})"
"frozenset({'P49917', 'M', 'P28838'})"
"frozenset({'Q6P4F7', 'M', 'Q92614'})"
"frozenset({'M', 'O15265', 'Q96EP0'})"
"frozenset({'M', 'Q8NGV0', 'P17612'})"
"frozenset({'Q8WX92', 'M', 'Q16659'})"
"frozenset({'M', 'Q9BXM0', 'P16333'})"
"frozenset({'M', 'P27348', 'P62314'})"
"frozenset({'O60331', 'M', 'O60716'})"
"frozenset({'M', 'Q9HD15', 'P18847'})"
"frozenset({'M', 'Q9BTV5', 'Q01581'})"
"frozenset({'M', 'P52272', 'O14964'})"
"frozenset({'M', 'Q9H6S1', 'Q9NVV4'})"
"frozenset({'P07384', 'P53602', 'M'})"
"frozenset({'M', 'Q12778', 'P98177'})"
"frozenset({'Q9BSW7', 'M', 'Q9Y2I6'})"
"frozenset({'M', 'Q14332', 'Q8WXA8'})"
"frozenset({'M', 'O00401', 'P16333'})"
"frozenset({'O14639', 'M', 'Q9NR12'})"
"frozenset({'Q15306', 'M', 'P05161'})"
"frozenset({'M', 'Q9NRD1', 'P16402'})"
"frozenset({'Q9BYH8', 'M', 'O14920'})"
"frozenset({'Q8NGC4', 'O60262', 'M'})"
"frozenset({'M', 'P09651', 'Q99558'})"
"frozenset({'M', 'O14980', 'P04626'})"
"frozenset({'Q71U36', 'M', 'Q14004'})"
"frozenset({'M', 'O43638', 'P67775'})"
"frozenset({'M', 'Q13404', 'O43567'})"
"frozenset({'M', 'P01106', 'Q9H9Y6'})"
"frozenset({'Q99496', 'P61326', 'M'})"
"frozenset({'M', 'P10321', 'P43627'})"
"frozenset({'O75063', 'P07585', 'M'})"
"frozenset({'Q14999', 'M', 'Q9UBM7'})"
"frozenset({'P22681', 'M', 'O00159'})"
"frozenset({'Q8N9N8', 'Q9H190', 'M'})"
"frozenset({'Q86YV6', 'Q58FG0', 'M'})"
"frozenset({'M', 'O15397', 'Q8N6H7'})"
"frozenset({'P35968', 'M', 'P16333'})"
"frozenset({'P04629', 'M', 'O60784'})"
"frozenset({'M', 'O96017', 'Q15365'})"
"frozenset({'M', 'P11142', 'P05161'})"
"frozenset({'M', 'P22607', 'Q92540'})"
"frozenset({'M', 'Q96QH2', 'P04637'})"
"frozenset({'P53992', 'M', 'Q15436'})"
"frozenset({'M', 'Q9BXN2', 'Q9NZG7'})"
"frozenset({'M', 'O95467', 'P01892'})"
"frozenset({'Q9BUN8', 'M', 'Q13200'})"
"frozenset({'M', 'P35240', 'Q13177'})"
"frozenset({'M', 'P67809', 'P49257'})"
"frozenset({'M', 'Q6ZQN5', 'Q9BQ75'})"
"frozenset({'M', 'P25098', 'Q8NG78'})"
"frozenset({'M', 'P61313', 'P05412'})"
"frozenset({'M', 'Q96B02', 'Q9Y675'})"
"frozenset({'M', 'Q9ULT0', 'Q9H444'})"
"frozenset({'M', 'Q8N3V7', 'Q4KMQ1'})"
"frozenset({'Q13618', 'M', 'Q9H6S0'})"
"frozenset({'M', 'Q9UKV0', 'Q13555'})"
"frozenset({'M', 'Q9UH99', 'P52292'})"
"frozenset({'M', 'P51648', 'Q96GX1'})"
"frozenset({'M', 'O95714', 'P46019'})"
"frozenset({'M', 'P27348', 'P09651'})"
"frozenset({'M', 'P08670', 'P55040'})"
"frozenset({'M', 'Q8NGV0', 'Q9P2W3'})"
"frozenset({'M', 'Q9Y3E7', 'Q15797'})"
"frozenset({'Q13829', 'M', 'P62140'})"
"frozenset({'Q9BYR7', 'M', 'P27658'})"
"frozenset({'M', 'Q9HCU9', 'Q4LE39'})"
"frozenset({'P04085', 'M', 'P18146'})"
"frozenset({'P00533', 'Q8IZ69', 'M'})"
"frozenset({'M', 'O43889', 'O43561'})"
"frozenset({'Q9UDY2', 'M', 'Q13769'})"
"frozenset({'M', 'Q14160', 'Q7Z628'})"
"frozenset({'M', 'P30153', 'Q86SK9'})"
"frozenset({'O75934', 'M', 'Q99471'})"
"frozenset({'Q9HCE7', 'M', 'P52597'})"
"frozenset({'M', 'P51617', 'P31749'})"
"frozenset({'Q06187', 'P23396', 'M'})"
"frozenset({'M', 'Q9UQM7', 'Q08289'})"
"frozenset({'M', 'P84243', 'Q13547'})"
"frozenset({'M', 'P32121', 'Q8NGY5'})"
"frozenset({'M', 'P27348', 'Q9NXR1'})"
"frozenset({'M', 'Q9Y2X3', 'O14980'})"
"frozenset({'Q15046', 'M', 'Q9NXH9'})"
"frozenset({'M', 'P82979', 'Q9Y5M8'})"
"frozenset({'Q06330', 'M', 'Q86UQ0'})"
"frozenset({'P30273', 'M', 'P16885'})"
"frozenset({'P50454', 'M', 'Q9BTE6'})"
"frozenset({'M', 'P01106', 'O95835'})"
"frozenset({'M', 'Q99879', 'Q7L0Q8'})"
"frozenset({'M', 'Q9GZQ8', 'P06576'})"
"frozenset({'M', 'Q15287', 'O75494'})"
"frozenset({'M', 'P25788', 'P38936'})"
"frozenset({'M', 'P43363', 'P43358'})"
