negatives
"frozenset({'O43747', 'BCR', 'Q96S82'})"
"frozenset({'Q16778', 'BCR', 'Q9Y6F1'})"
"frozenset({'P61457', 'Q9UL68', 'BCR'})"
"frozenset({'Q9UPN3', 'BCR', 'Q7Z6Z7'})"
"frozenset({'P19838', 'BCR', 'Q96GG9'})"
"frozenset({'P61020', 'BCR', 'P34897'})"
"frozenset({'P61244', 'Q8N163', 'BCR'})"
"frozenset({'BCR', 'Q6PH85', 'Q96GG9'})"
"frozenset({'BCR', 'P46940', 'P47755'})"
"frozenset({'P57775', 'BCR', 'P40227'})"
"frozenset({'P02775', 'BCR', 'Q9NRL3'})"
"frozenset({'P20073', 'BCR', 'Q13620'})"
"frozenset({'Q8TA86', 'BCR', 'Q8N9Q2'})"
"frozenset({'P83916', 'O60260', 'BCR'})"
"frozenset({'Q7Z7H5', 'BCR', 'Q9BRQ6'})"
"frozenset({'P52272', 'O95816', 'BCR'})"
"frozenset({'P39019', 'BCR', 'Q07020'})"
"frozenset({'O00206', 'Q9Y3B3', 'BCR'})"
"frozenset({'Q04864', 'BCR', 'Q9BV90'})"
"frozenset({'Q53H82', 'O95394', 'BCR'})"
"frozenset({'Q8NDW8', 'BCR', 'P63208'})"
"frozenset({'Q9P1Z0', 'Q9H2X6', 'BCR'})"
"frozenset({'O43167', 'BCR', 'O60341'})"
"frozenset({'Q8IYE0', 'BCR', 'Q15323'})"
"frozenset({'P35568', 'BCR', 'Q13322'})"
"frozenset({'Q9Y483', 'P84022', 'BCR'})"
"frozenset({'Q9H0W5', 'Q14008', 'BCR'})"
"frozenset({'O60504', 'P01116', 'BCR'})"
"frozenset({'O43405', 'BCR', 'P49759'})"
"frozenset({'O00220', 'P01730', 'BCR'})"
"frozenset({'P14625', 'BCR', 'Q9UQL6'})"
"frozenset({'Q9Y4K0', 'Q9UBX7', 'BCR'})"
"frozenset({'P30559', 'Q9BXT2', 'BCR'})"
"frozenset({'Q9H2X0', 'BCR', 'Q3LI72'})"
"frozenset({'Q03014', 'P60370', 'BCR'})"
"frozenset({'P05067', 'BCR', 'Q9HCS5'})"
"frozenset({'P50406', 'Q9BPX3', 'BCR'})"
"frozenset({'Q15788', 'BCR', 'P54652'})"
"frozenset({'Q16674', 'O95817', 'BCR'})"
"frozenset({'Q9HCE1', 'Q9H204', 'BCR'})"
"frozenset({'Q13588', 'P00519', 'BCR'})"
"frozenset({'Q8N0X7', 'Q71U36', 'BCR'})"
"frozenset({'O15198', 'BCR', 'Q66K89'})"
"frozenset({'Q9UL63', 'BCR', 'Q9NWU2'})"
"frozenset({'P17302', 'O14964', 'BCR'})"
"frozenset({'BCR', 'O43765', 'P40189'})"
"frozenset({'P20336', 'Q8N398', 'BCR'})"
"frozenset({'P01106', 'BCR', 'Q96NE9'})"
"frozenset({'Q9Y478', 'BCR', 'P50395'})"
"frozenset({'O75419', 'BCR', 'Q9UBD5'})"
"frozenset({'Q9Y316', 'Q8HWS3', 'BCR'})"
"frozenset({'Q13126', 'BCR', 'O43325'})"
"frozenset({'P17174', 'BCR', 'Q14914'})"
"frozenset({'Q8IV20', 'Q8TF66', 'BCR'})"
"frozenset({'Q9BSJ8', 'BCR', 'Q6DD88'})"
"frozenset({'P20248', 'Q13547', 'BCR'})"
"frozenset({'P68366', 'BCR', 'Q8IUQ4'})"
"frozenset({'P30101', 'BCR', 'Q14999'})"
"frozenset({'BCR', 'Q96CW5', 'P82663'})"
"frozenset({'Q6PIZ9', 'BCR', 'P62993'})"
"frozenset({'BCR', 'O75794', 'P20042'})"
"frozenset({'Q9Y3B7', 'BCR', 'P49411'})"
"frozenset({'P62829', 'BCR', 'P49411'})"
"frozenset({'Q9Y265', 'BCR', 'Q9HCN4'})"
"frozenset({'Q96H86', 'Q9BYR9', 'BCR'})"
"frozenset({'P51798', 'Q8TDD5', 'BCR'})"
"frozenset({'Q8N3V7', 'Q9NR12', 'BCR'})"
"frozenset({'Q03431', 'BCR', 'Q92922'})"
"frozenset({'P62244', 'BCR', 'P35268'})"
"frozenset({'O75581', 'BCR', 'O60353'})"
"frozenset({'Q14103', 'Q9NYM9', 'BCR'})"
"frozenset({'Q02556', 'BCR', 'Q9NWF9'})"
"frozenset({'Q92561', 'BCR', 'O95568'})"
"frozenset({'O43683', 'Q92828', 'BCR'})"
"frozenset({'Q15717', 'Q9Y2K2', 'BCR'})"
"frozenset({'Q9H244', 'Q9C0E2', 'BCR'})"
"frozenset({'P09497', 'P42695', 'BCR'})"
"frozenset({'BCR', 'Q04637', 'P61978'})"
"frozenset({'P38398', 'BCR', 'P67870'})"
"frozenset({'Q9NRD1', 'BCR', 'Q6YN16'})"
"frozenset({'Q71U36', 'BCR', 'P45973'})"
"frozenset({'P38936', 'BCR', 'Q9BYV2'})"
"frozenset({'P27361', 'BCR', 'Q9Y6W5'})"
"frozenset({'Q13616', 'P60709', 'BCR'})"
"frozenset({'Q13426', 'Q8IZU0', 'BCR'})"
"frozenset({'O95157', 'BCR', 'Q9ULE6'})"
"frozenset({'O43639', 'BCR', 'Q9UQB8'})"
"frozenset({'Q6UVJ0', 'BCR', 'Q5SW79'})"
"frozenset({'Q9NZZ3', 'BCR', 'P37840'})"
"frozenset({'Q9UQB3', 'BCR', 'Q96RT1'})"
"frozenset({'Q13616', 'O14654', 'BCR'})"
"frozenset({'Q8TCT1', 'P07737', 'BCR'})"
"frozenset({'Q07444', 'BCR', 'Q7L0Q8'})"
"frozenset({'P62987', 'BCR', 'Q712K3'})"
"frozenset({'P05412', 'Q9Y4L1', 'BCR'})"
"frozenset({'P35579', 'Q9BPX5', 'BCR'})"
"frozenset({'Q63HR2', 'BCR', 'P60409'})"
"frozenset({'BCR', 'Q00839', 'Q01201'})"
"frozenset({'Q9Y4K3', 'BCR', 'Q9BXW9'})"
"frozenset({'Q16539', 'P31274', 'BCR'})"
"frozenset({'O00329', 'P06401', 'BCR'})"
"frozenset({'BCR', 'P55316', 'Q92538'})"
"frozenset({'BCR', 'Q9HB71', 'Q06830'})"
"frozenset({'Q9H269', 'BCR', 'Q7Z5K2'})"
"frozenset({'Q53HC9', 'BCR', 'Q9Y266'})"
"frozenset({'Q8NHQ1', 'Q5QJE6', 'BCR'})"
"frozenset({'Q2WGJ6', 'Q9BYQ3', 'BCR'})"
"frozenset({'P27816', 'O75340', 'BCR'})"
"frozenset({'A8MQ03', 'BCR', 'Q03014'})"
"frozenset({'Q15843', 'BCR', 'Q9Y597'})"
"frozenset({'BCR', 'Q9HB71', 'O95072'})"
"frozenset({'Q9NVS9', 'P05067', 'BCR'})"
"frozenset({'P04278', 'Q13275', 'BCR'})"
"frozenset({'P04629', 'Q14191', 'BCR'})"
"frozenset({'Q9NV56', 'BCR', 'O76021'})"
"frozenset({'Q07890', 'BCR', 'O00212'})"
"frozenset({'Q9UBN7', 'P34947', 'BCR'})"
"frozenset({'Q16629', 'P51858', 'BCR'})"
"frozenset({'Q12986', 'BCR', 'Q13151'})"
"frozenset({'P62304', 'P01112', 'BCR'})"
"frozenset({'Q01167', 'Q9UK53', 'BCR'})"
"frozenset({'Q96AX1', 'P02511', 'BCR'})"
"frozenset({'P25963', 'BCR', 'P0DP25'})"
"frozenset({'O14980', 'Q9UGP4', 'BCR'})"
"frozenset({'Q8WU90', 'Q9Y295', 'BCR'})"
"frozenset({'P25098', 'BCR', 'Q8NGS5'})"
"frozenset({'Q8IX06', 'Q8N5M1', 'BCR'})"
"frozenset({'Q05516', 'Q16828', 'BCR'})"
"frozenset({'Q9UBU9', 'BCR', 'O95400'})"
"frozenset({'Q05086', 'BCR', 'P04259'})"
"frozenset({'BCR', 'O00267', 'P53992'})"
"frozenset({'P53597', 'BCR', 'P31040'})"
"frozenset({'Q7Z5L9', 'Q14135', 'BCR'})"
"frozenset({'P02778', 'P51681', 'BCR'})"
"frozenset({'Q8TAU3', 'Q9H257', 'BCR'})"
"frozenset({'P84077', 'BCR', 'Q10567'})"
"frozenset({'P78386', 'BCR', 'Q96CS7'})"
"frozenset({'Q92696', 'Q9NP90', 'BCR'})"
"frozenset({'Q16401', 'BCR', 'Q9BRP4'})"
"frozenset({'P09017', 'B7ZAP0', 'BCR'})"
"frozenset({'Q7L5N1', 'BCR', 'P78396'})"
"frozenset({'Q9NRL3', 'BCR', 'Q9Y2U9'})"
"frozenset({'BCR', 'P52294', 'Q9H2P0'})"
"frozenset({'P39019', 'P62263', 'BCR'})"
"frozenset({'Q9GZQ8', 'BCR', 'Q00610'})"
"frozenset({'Q15717', 'BCR', 'Q9BWQ6'})"
"frozenset({'O75503', 'BCR', 'Q6ZRI8'})"
"frozenset({'P05412', 'BCR', 'Q9NY61'})"
"frozenset({'P06400', 'Q96PU4', 'BCR'})"
"frozenset({'P36888', 'BCR', 'O15123'})"
"frozenset({'Q9P287', 'P38936', 'BCR'})"
"frozenset({'Q13616', 'Q969T4', 'BCR'})"
"frozenset({'Q13976', 'P23634', 'BCR'})"
"frozenset({'P01375', 'BCR', 'O43541'})"
"frozenset({'P62854', 'BCR', 'P62979'})"
"frozenset({'Q96NW7', 'Q13618', 'BCR'})"
"frozenset({'Q8NH76', 'P35626', 'BCR'})"
"frozenset({'Q8IXW5', 'BCR', 'Q9NW08'})"
"frozenset({'BCR', 'O95995', 'Q08426'})"
"frozenset({'O43529', 'Q9BX95', 'BCR'})"
"frozenset({'P09622', 'BCR', 'Q9NY33'})"
"frozenset({'Q04206', 'P17252', 'BCR'})"
"frozenset({'P60411', 'Q8TBZ8', 'BCR'})"
"frozenset({'Q15788', 'BCR', 'Q9BTK6'})"
"frozenset({'Q9Y680', 'BCR', 'P00441'})"
"frozenset({'A1L162', 'Q96ST2', 'BCR'})"
"frozenset({'P30480', 'Q15365', 'BCR'})"
"frozenset({'P60410', 'BCR', 'Q9BYE3'})"
"frozenset({'P61758', 'BCR', 'Q8N3Y1'})"
"frozenset({'Q16513', 'BCR', 'P49715'})"
"frozenset({'Q13007', 'BCR', 'P16234'})"
"frozenset({'P03372', 'Q9Y6Q9', 'BCR'})"
"frozenset({'Q9H078', 'BCR', 'Q9BXB5'})"
"frozenset({'P52907', 'BCR', 'Q5S007'})"
"frozenset({'Q13617', 'BCR', 'Q8NFD5'})"
"frozenset({'Q9UKT9', 'BCR', 'Q92993'})"
"frozenset({'BCR', 'Q96HB5', 'A6NEM1'})"
"frozenset({'P53999', 'BCR', 'P49736'})"
"frozenset({'P06748', 'Q99848', 'BCR'})"
"frozenset({'P05014', 'BCR', 'Q01344'})"
"frozenset({'P62195', 'BCR', 'P31749'})"
"frozenset({'P09486', 'Q9NY15', 'BCR'})"
"frozenset({'Q86TI2', 'Q63ZY6', 'BCR'})"
"frozenset({'P29400', 'P51398', 'BCR'})"
"frozenset({'O14980', 'BCR', 'Q96N67'})"
"frozenset({'P62987', 'BCR', 'Q6ICB0'})"
"frozenset({'P56537', 'BCR', 'Q00839'})"
"frozenset({'Q8N5D0', 'BCR', 'Q16531'})"
"frozenset({'Q92747', 'BCR', 'Q9Y6W5'})"
"frozenset({'Q5KU26', 'P25067', 'BCR'})"
"frozenset({'Q92734', 'BCR', 'Q6ZVZ8'})"
"frozenset({'O43264', 'BCR', 'Q9NZ43'})"
"frozenset({'P27816', 'BCR', 'Q13619'})"
"frozenset({'BCR', 'Q14653', 'P01570'})"
"frozenset({'P25205', 'P27694', 'BCR'})"
"frozenset({'P14373', 'Q96GS6', 'BCR'})"
"frozenset({'Q969F9', 'P52799', 'BCR'})"
"frozenset({'P22681', 'O60674', 'BCR'})"
"frozenset({'BCR', 'P51149', 'P28288'})"
"frozenset({'P08238', 'BCR', 'Q96CW5'})"
"frozenset({'Q9NRI5', 'BCR', 'Q9Y2D1'})"
"frozenset({'P28562', 'Q15717', 'BCR'})"
"frozenset({'P08238', 'Q9Y3M8', 'BCR'})"
"frozenset({'P35610', 'Q86UK5', 'BCR'})"
"frozenset({'P33260', 'BCR', 'Q9BQ95'})"
"frozenset({'P60568', 'BCR', 'P16220'})"
"frozenset({'P04259', 'BCR', 'Q93034'})"
"frozenset({'Q7KZ85', 'BCR', 'Q9UJX3'})"
"frozenset({'Q9H765', 'BCR', 'Q2KJY2'})"
"frozenset({'Q14165', 'Q8IWL3', 'BCR'})"
"frozenset({'Q9UJV9', 'Q86W42', 'BCR'})"
"frozenset({'O43638', 'P09001', 'BCR'})"
"frozenset({'P12830', 'BCR', 'Q9Y5X3'})"
"frozenset({'Q8IWL3', 'BCR', 'Q5JTV8'})"
"frozenset({'P80192', 'BCR', 'P52564'})"
"frozenset({'P04629', 'Q5T5X7', 'BCR'})"
"frozenset({'P56556', 'P03905', 'BCR'})"
"frozenset({'P13473', 'BCR', 'P07814'})"
"frozenset({'Q96FW1', 'BCR', 'P04637'})"
"frozenset({'P41279', 'P00519', 'BCR'})"
"frozenset({'P28482', 'Q13444', 'BCR'})"
"frozenset({'P28370', 'BCR', 'Q10586'})"
"frozenset({'BCR', 'Q05469', 'Q14012'})"
"frozenset({'Q9HBM6', 'O94864', 'BCR'})"
"frozenset({'BCR', 'P62854', 'P62424'})"
"frozenset({'O75208', 'BCR', 'Q9Y4W6'})"
"frozenset({'BCR', 'P08047', 'Q9NVK5'})"
"frozenset({'Q9C0D9', 'BCR', 'Q6NUS6'})"
"frozenset({'Q9UHB6', 'O00151', 'BCR'})"
"frozenset({'BCR', 'P62993', 'Q9Y2X7'})"
"frozenset({'Q9Y221', 'Q76FK4', 'BCR'})"
"frozenset({'Q9BYQ3', 'BCR', 'Q15040'})"
"frozenset({'Q66GS9', 'O95684', 'BCR'})"
"frozenset({'Q9UGL9', 'Q9BQ66', 'BCR'})"
"frozenset({'Q03518', 'Q14164', 'BCR'})"
"frozenset({'A5PKW4', 'BCR', 'O14775'})"
"frozenset({'P46100', 'BCR', 'P35226'})"
"frozenset({'Q8IZQ1', 'Q96LA8', 'BCR'})"
"frozenset({'Q70CQ1', 'Q16778', 'BCR'})"
"frozenset({'Q9H1K0', 'Q05397', 'BCR'})"
"frozenset({'P15170', 'BCR', 'Q13573'})"
"frozenset({'P05107', 'Q9UKW4', 'BCR'})"
"frozenset({'P36578', 'BCR', 'P19320'})"
"frozenset({'Q9NRX1', 'BCR', 'P08865'})"
"frozenset({'Q9UGJ0', 'BCR', 'O15067'})"
"frozenset({'P60866', 'P62913', 'BCR'})"
"frozenset({'Q14457', 'BCR', 'Q9H714'})"
"frozenset({'Q15796', 'BCR', 'P04637'})"
"frozenset({'P23246', 'BCR', 'P18583'})"
"frozenset({'Q00839', 'BCR', 'Q9UNF1'})"
"frozenset({'O43852', 'P13569', 'BCR'})"
"frozenset({'O95714', 'BCR', 'O94964'})"
"frozenset({'Q9Y265', 'BCR', 'P17980'})"
"frozenset({'P51965', 'BCR', 'Q86XS8'})"
"frozenset({'Q13191', 'BCR', 'O14492'})"
"frozenset({'Q8N8Y2', 'P01189', 'BCR'})"
"frozenset({'P78317', 'Q71DI3', 'BCR'})"
"frozenset({'P18848', 'O43889', 'BCR'})"
"frozenset({'BCR', 'Q00987', 'P53350'})"
"frozenset({'O14543', 'P00519', 'BCR'})"
"frozenset({'Q96QB1', 'BCR', 'P63000'})"
"frozenset({'P61254', 'BCR', 'P14415'})"
"frozenset({'P06493', 'Q9H211', 'BCR'})"
"frozenset({'P04792', 'BCR', 'P99999'})"
"frozenset({'Q8IWC1', 'O43291', 'BCR'})"
"frozenset({'Q13263', 'P63165', 'BCR'})"
"frozenset({'BCR', 'Q93062', 'Q14D33'})"
"frozenset({'Q8WUI4', 'BCR', 'Q6P4I2'})"
"frozenset({'Q9NRC8', 'Q9HCK8', 'BCR'})"
"frozenset({'O00425', 'O14965', 'BCR'})"
"frozenset({'Q9H0A9', 'BCR', 'Q9H6L4'})"
"frozenset({'P14625', 'Q9H814', 'BCR'})"
"frozenset({'Q9BT40', 'Q92844', 'BCR'})"
"frozenset({'P05067', 'BCR', 'Q16854'})"
"frozenset({'Q3LI64', 'A8MQ03', 'BCR'})"
"frozenset({'P61313', 'P62913', 'BCR'})"
"frozenset({'BCR', 'P46940', 'P62136'})"
"frozenset({'Q9BXF9', 'Q9UPG8', 'BCR'})"
"frozenset({'Q9Y2R2', 'Q9Y478', 'BCR'})"
"frozenset({'Q92993', 'BCR', 'P23921'})"
"frozenset({'P33176', 'BCR', 'Q13501'})"
"frozenset({'BCR', 'P35637', 'Q08170'})"
"frozenset({'Q16666', 'BCR', 'Q96GQ7'})"
"frozenset({'O15514', 'BCR', 'Q14134'})"
