negatives
"frozenset({'Q9UBV4', 'Q6FHJ7', 'RANKL'})"
"frozenset({'RANKL', 'Q8N3V7', 'O15027'})"
"frozenset({'RANKL', 'P84996', 'Q96CV9'})"
"frozenset({'P22681', 'Q5SW79', 'RANKL'})"
"frozenset({'RANKL', 'O43660', 'O75478'})"
"frozenset({'RANKL', 'O75688', 'Q04727'})"
"frozenset({'Q6IQ23', 'RANKL', 'O14976'})"
"frozenset({'Q9BY77', 'RANKL', 'Q15554'})"
"frozenset({'RANKL', 'O43765', 'Q15645'})"
"frozenset({'Q9NRD5', 'RANKL', 'Q8N6Y0'})"
"frozenset({'RANKL', 'P06400', 'Q16539'})"
"frozenset({'P14770', 'P07948', 'RANKL'})"
"frozenset({'RANKL', 'Q15831', 'Q9H093'})"
"frozenset({'P31946', 'RANKL', 'P55851'})"
"frozenset({'RANKL', 'P42566', 'Q01959'})"
"frozenset({'RANKL', 'Q9NQ50', 'Q9UJZ1'})"
"frozenset({'P49448', 'RANKL', 'Q9Y572'})"
"frozenset({'P42694', 'RANKL', 'Q00610'})"
"frozenset({'Q9Y478', 'RANKL', 'O60307'})"
"frozenset({'RANKL', 'Q8IY31', 'Q9Y6C2'})"
"frozenset({'P35232', 'RANKL', 'O14647'})"
"frozenset({'Q9Y4F9', 'P36507', 'RANKL'})"
"frozenset({'Q9Y2A7', 'RANKL', 'P10451'})"
"frozenset({'Q8IWE4', 'Q13618', 'RANKL'})"
"frozenset({'Q9Y679', 'Q9NV79', 'RANKL'})"
"frozenset({'RANKL', 'P18146', 'P82979'})"
"frozenset({'P51114', 'RANKL', 'Q96S59'})"
"frozenset({'Q16637', 'P19793', 'RANKL'})"
"frozenset({'Q14686', 'RANKL', 'Q9Y3R0'})"
"frozenset({'Q8TEP8', 'RANKL', 'Q05D60'})"
"frozenset({'P39210', 'RANKL', 'Q6NUK1'})"
"frozenset({'Q9ULM6', 'Q92600', 'RANKL'})"
"frozenset({'P62841', 'RANKL', 'P46776'})"
"frozenset({'P01106', 'RANKL', 'Q16881'})"
"frozenset({'Q5UIP0', 'RANKL', 'Q8WXF1'})"
"frozenset({'RANKL', 'P80188', 'Q5EBL2'})"
"frozenset({'RANKL', 'Q9UGL1', 'Q9BTC8'})"
"frozenset({'Q5SW79', 'RANKL', 'Q9HC77'})"
"frozenset({'Q9UBU9', 'RANKL', 'P49761'})"
"frozenset({'P41597', 'RANKL', 'P42830'})"
"frozenset({'P00558', 'RANKL', 'Q9NRI5'})"
"frozenset({'P55735', 'RANKL', 'Q16666'})"
"frozenset({'RANKL', 'P55809', 'P60174'})"
"frozenset({'Q9UBU9', 'RANKL', 'Q8NEM2'})"
"frozenset({'RANKL', 'Q9UMS4', 'P06733'})"
"frozenset({'Q9NRQ5', 'RANKL', 'Q6A162'})"
"frozenset({'Q9UHV7', 'RANKL', 'P28702'})"
"frozenset({'RANKL', 'P46108', 'Q9UN73'})"
"frozenset({'RANKL', 'P56377', 'Q96CW1'})"
"frozenset({'P17612', 'RANKL', 'P55087'})"
"frozenset({'P42768', 'RANKL', 'P27986'})"
"frozenset({'Q00536', 'RANKL', 'Q9NRD0'})"
"frozenset({'RANKL', 'Q96E35', 'Q5JTY5'})"
"frozenset({'RANKL', 'P09874', 'P06899'})"
"frozenset({'RANKL', 'O75306', 'Q09019'})"
"frozenset({'RANKL', 'P54259', 'O75420'})"
"frozenset({'P62258', 'RANKL', 'P42167'})"
"frozenset({'RANKL', 'P19784', 'P05230'})"
"frozenset({'RANKL', 'Q6UXD5', 'O00214'})"
"frozenset({'Q13571', 'RANKL', 'Q96J02'})"
"frozenset({'Q14315', 'O75578', 'RANKL'})"
"frozenset({'P22102', 'RANKL', 'Q6DD88'})"
"frozenset({'Q8WZ74', 'RANKL', 'P40227'})"
"frozenset({'P25929', 'RANKL', 'Q9NQ11'})"
"frozenset({'RANKL', 'P52948', 'Q12769'})"
"frozenset({'P62879', 'P08908', 'RANKL'})"
"frozenset({'RANKL', 'Q96EZ8', 'P51116'})"
"frozenset({'RANKL', 'Q8TF50', 'P62328'})"
"frozenset({'Q96I24', 'Q9H4L7', 'RANKL'})"
"frozenset({'Q15070', 'RANKL', 'Q9BYC9'})"
"frozenset({'P14678', 'P78362', 'RANKL'})"
"frozenset({'Q9H6Z9', 'RANKL', 'O94927'})"
"frozenset({'O75964', 'RANKL', 'O95169'})"
"frozenset({'O75901', 'RANKL', 'O14980'})"
"frozenset({'RANKL', 'Q9Y282', 'Q9P0S2'})"
"frozenset({'Q12834', 'RANKL', 'P23919'})"
"frozenset({'P62987', 'RANKL', 'Q969F2'})"
"frozenset({'RANKL', 'Q9BPX6', 'Q9H3G5'})"
"frozenset({'RANKL', 'O95363', 'Q9BYV2'})"
"frozenset({'RANKL', 'O94885', 'O14920'})"
"frozenset({'Q07960', 'Q96L33', 'RANKL'})"
"frozenset({'P17028', 'RANKL', 'Q9Y5X1'})"
"frozenset({'Q8N1B4', 'RANKL', 'Q68D86'})"
"frozenset({'Q9Y6K1', 'RANKL', 'Q9H9B1'})"
"frozenset({'Q86X19', 'P49069', 'RANKL'})"
"frozenset({'A2RUH7', 'RANKL', 'O14936'})"
"frozenset({'Q14164', 'RANKL', 'P62750'})"
"frozenset({'O00220', 'RANKL', 'Q5T0T0'})"
"frozenset({'Q13619', 'Q5H9S7', 'RANKL'})"
"frozenset({'RANKL', 'Q9NX47', 'Q13323'})"
"frozenset({'RANKL', 'O00303', 'P30504'})"
"frozenset({'Q15025', 'RANKL', 'P24278'})"
"frozenset({'Q8IW19', 'RANKL', 'P09874'})"
"frozenset({'O75147', 'O60264', 'RANKL'})"
"frozenset({'RANKL', 'Q9NVT9', 'P05067'})"
"frozenset({'RANKL', 'P61026', 'Q9H0N0'})"
"frozenset({'Q504Q3', 'RANKL', 'Q99439'})"
"frozenset({'P55040', 'RANKL', 'Q12933'})"
"frozenset({'P15153', 'RANKL', 'Q13576'})"
"frozenset({'RANKL', 'O15205', 'Q96SB4'})"
"frozenset({'RANKL', 'P46776', 'Q6NW34'})"
"frozenset({'RANKL', 'O15198', 'P52926'})"
"frozenset({'Q96S94', 'RANKL', 'P24928'})"
"frozenset({'Q4LDR2', 'RANKL', 'Q96BA8'})"
"frozenset({'P01023', 'RANKL', 'P38606'})"
"frozenset({'RANKL', 'Q9UJJ9', 'Q96SB4'})"
"frozenset({'P05161', 'RANKL', 'P08238'})"
"frozenset({'RANKL', 'P21926', 'P27701'})"
"frozenset({'RANKL', 'P15927', 'P78347'})"
"frozenset({'RANKL', 'P61981', 'Q05655'})"
"frozenset({'Q9BX70', 'RANKL', 'Q9NPI1'})"
"frozenset({'RANKL', 'Q9Y5K6', 'Q14247'})"
"frozenset({'Q86SQ0', 'RANKL', 'P47755'})"
"frozenset({'O95292', 'RANKL', 'Q96AA3'})"
"frozenset({'P08631', 'RANKL', 'P05067'})"
"frozenset({'P61247', 'P30050', 'RANKL'})"
"frozenset({'RANKL', 'Q15475', 'P58012'})"
"frozenset({'RANKL', 'Q16082', 'Q8N3K9'})"
"frozenset({'RANKL', 'P11441', 'P62899'})"
"frozenset({'Q96EQ0', 'RANKL', 'P16144'})"
"frozenset({'RANKL', 'Q9HC36', 'Q96CM3'})"
"frozenset({'P16234', 'RANKL', 'P01570'})"
"frozenset({'Q8IXI2', 'O60260', 'RANKL'})"
"frozenset({'RANKL', 'Q9BW19', 'P29372'})"
"frozenset({'O75496', 'Q12834', 'RANKL'})"
"frozenset({'Q96EG3', 'Q15973', 'RANKL'})"
"frozenset({'P06493', 'RANKL', 'Q9NZH5'})"
"frozenset({'Q9P2P5', 'RANKL', 'Q9HC36'})"
"frozenset({'RANKL', 'P14780', 'Q16820'})"
"frozenset({'RANKL', 'Q8TF76', 'Q9H9B1'})"
"frozenset({'RANKL', 'Q9H9Q2', 'P61201'})"
"frozenset({'RANKL', 'O75340', 'Q08379'})"
"frozenset({'RANKL', 'Q9UK53', 'P40313'})"
"frozenset({'Q15475', 'RANKL', 'P11487'})"
"frozenset({'P01375', 'RANKL', 'O76064'})"
"frozenset({'Q12982', 'P0DMV8', 'RANKL'})"
"frozenset({'RANKL', 'Q2WGJ6', 'Q96NS8'})"
"frozenset({'Q9UQ88', 'RANKL', 'P42771'})"
"frozenset({'RANKL', 'P35613', 'Q6P2E9'})"
"frozenset({'Q6NUN9', 'RANKL', 'P27708'})"
"frozenset({'P16220', 'RANKL', 'P30281'})"
"frozenset({'Q12948', 'RANKL', 'Q15717'})"
"frozenset({'P08581', 'P98077', 'RANKL'})"
"frozenset({'Q9UER7', 'RANKL', 'P36896'})"
"frozenset({'P78556', 'P32302', 'RANKL'})"
"frozenset({'P60510', 'RANKL', 'Q6IN85'})"
"frozenset({'Q9UKL3', 'Q14790', 'RANKL'})"
"frozenset({'RANKL', 'Q8N122', 'Q8IWL3'})"
"frozenset({'RANKL', 'Q9H6L4', 'Q16630'})"
"frozenset({'P04629', 'RANKL', 'P07814'})"
"frozenset({'Q9UNE7', 'RANKL', 'Q6IA69'})"
"frozenset({'Q8N140', 'RANKL', 'Q92793'})"
"frozenset({'Q8N653', 'RANKL', 'P09874'})"
"frozenset({'Q12982', 'RANKL', 'P60953'})"
"frozenset({'RANKL', 'Q9H9S0', 'Q6IBS0'})"
"frozenset({'RANKL', 'O75431', 'Q9UI10'})"
"frozenset({'Q15014', 'RANKL', 'P78424'})"
"frozenset({'RANKL', 'Q16658', 'Q9HCE7'})"
"frozenset({'P35354', 'RANKL', 'Q96CS3'})"
"frozenset({'Q9BYD2', 'Q9Y3B7', 'RANKL'})"
"frozenset({'RANKL', 'Q9BZP6', 'Q5XPI4'})"
"frozenset({'RANKL', 'P26012', 'Q9Y490'})"
"frozenset({'Q86UV6', 'RANKL', 'P38398'})"
"frozenset({'RANKL', 'Q13619', 'Q9H9S0'})"
"frozenset({'P0DPB5', 'P52815', 'RANKL'})"
"frozenset({'P11387', 'RANKL', 'Q15233'})"
"frozenset({'Q8IVT5', 'RANKL', 'Q9Y3M2'})"
"frozenset({'Q9UKG1', 'P55211', 'RANKL'})"
"frozenset({'Q6ZN44', 'P43146', 'RANKL'})"
"frozenset({'RANKL', 'Q9BT09', 'O15335'})"
"frozenset({'Q5VT79', 'RANKL', 'Q9NYB0'})"
"frozenset({'RANKL', 'P41182', 'Q8N143'})"
"frozenset({'P62879', 'P21554', 'RANKL'})"
"frozenset({'P50613', 'RANKL', 'Q96NH3'})"
"frozenset({'P11279', 'RANKL', 'Q92542'})"
"frozenset({'Q9UBX2', 'RANKL', 'P06396'})"
"frozenset({'P00533', 'RANKL', 'O95433'})"
"frozenset({'Q16623', 'P31645', 'RANKL'})"
"frozenset({'Q96KP4', 'RANKL', 'Q08623'})"
"frozenset({'Q01167', 'RANKL', 'Q9NUJ1'})"
"frozenset({'Q13884', 'RANKL', 'Q9Y4J8'})"
"frozenset({'RANKL', 'O43924', 'Q9NXU5'})"
"frozenset({'O75821', 'RANKL', 'P60228'})"
"frozenset({'RANKL', 'Q6ICL3', 'Q9H2U2'})"
"frozenset({'Q6NUS6', 'RANKL', 'Q13217'})"
"frozenset({'Q9BYW2', 'RANKL', 'P42858'})"
"frozenset({'RANKL', 'P54709', 'O75298'})"
"frozenset({'Q9Y575', 'RANKL', 'P07900'})"
"frozenset({'Q96T76', 'RANKL', 'Q8IU60'})"
"frozenset({'P43121', 'RANKL', 'Q9Y487'})"
"frozenset({'RANKL', 'P06748', 'Q9BRQ6'})"
"frozenset({'O14939', 'RANKL', 'Q86WV1'})"
"frozenset({'P62851', 'Q9H009', 'RANKL'})"
"frozenset({'Q86VQ0', 'RANKL', 'Q8IY31'})"
"frozenset({'RANKL', 'P41279', 'P08238'})"
"frozenset({'P00533', 'RANKL', 'Q16619'})"
"frozenset({'Q96S44', 'RANKL', 'Q9GZT8'})"
"frozenset({'O43390', 'RANKL', 'P79522'})"
"frozenset({'O94762', 'RANKL', 'P62487'})"
"frozenset({'P27797', 'RANKL', 'P19474'})"
"frozenset({'Q13042', 'RANKL', 'Q9NZH5'})"
"frozenset({'Q9UK80', 'RANKL', 'Q9BZI7'})"
"frozenset({'P04629', 'P14923', 'RANKL'})"
"frozenset({'RANKL', 'Q7L0Q8', 'Q05397'})"
"frozenset({'RANKL', 'Q5JST6', 'P30039'})"
"frozenset({'RANKL', 'Q6ZNC8', 'Q15629'})"
"frozenset({'O43482', 'RANKL', 'Q9NRA8'})"
"frozenset({'P34897', 'RANKL', 'P16401'})"
"frozenset({'P63000', 'RANKL', 'P54105'})"
"frozenset({'RANKL', 'P62136', 'Q96MX6'})"
"frozenset({'Q9UBN7', 'Q15459', 'RANKL'})"
"frozenset({'O00299', 'RANKL', 'Q9NRD1'})"
"frozenset({'RANKL', 'Q14999', 'Q9H0S4'})"
"frozenset({'RANKL', 'Q9BSB4', 'Q9Y678'})"
"frozenset({'Q99704', 'RANKL', 'P29353'})"
"frozenset({'Q5MCW4', 'RANKL', 'Q16543'})"
"frozenset({'Q14974', 'RANKL', 'O15541'})"
"frozenset({'RANKL', 'Q13950', 'Q16665'})"
"frozenset({'P61326', 'RANKL', 'Q01082'})"
"frozenset({'RANKL', 'Q96BU1', 'Q15717'})"
"frozenset({'Q9UHA4', 'RANKL', 'Q04837'})"
"frozenset({'P31321', 'P01106', 'RANKL'})"
"frozenset({'Q5SW79', 'RANKL', 'Q96JN8'})"
"frozenset({'RANKL', 'P12931', 'P07550'})"
"frozenset({'Q01968', 'RANKL', 'Q8IUD2'})"
"frozenset({'P04637', 'RANKL', 'P60953'})"
"frozenset({'O95343', 'RANKL', 'O95677'})"
"frozenset({'Q00005', 'P60660', 'RANKL'})"
"frozenset({'RANKL', 'P80188', 'Q86Y79'})"
"frozenset({'RANKL', 'Q8N5M1', 'A6NEM1'})"
"frozenset({'P36873', 'RANKL', 'P62854'})"
"frozenset({'P30518', 'RANKL', 'Q5JWF2'})"
"frozenset({'Q68CP9', 'RANKL', 'Q8NFD5'})"
"frozenset({'Q70EK8', 'RANKL', 'Q12933'})"
"frozenset({'Q9NYY3', 'RANKL', 'Q7Z7C8'})"
"frozenset({'Q9NRR4', 'O00255', 'RANKL'})"
"frozenset({'RANKL', 'O75190', 'Q13617'})"
"frozenset({'Q96EM0', 'RANKL', 'Q9NYR9'})"
"frozenset({'Q8TDD5', 'RANKL', 'Q8TDW4'})"
"frozenset({'RANKL', 'P05412', 'P09493'})"
"frozenset({'RANKL', 'Q9P0R6', 'P49840'})"
"frozenset({'P12643', 'RANKL', 'O00238'})"
"frozenset({'RANKL', 'Q9UMR2', 'O60218'})"
"frozenset({'Q9H4B7', 'Q9UBW7', 'RANKL'})"
"frozenset({'RANKL', 'Q9Y2K7', 'Q14155'})"
"frozenset({'RANKL', 'Q9NVF7', 'Q9NSC5'})"
"frozenset({'RANKL', 'Q96R06', 'Q9H816'})"
"frozenset({'RANKL', 'Q13485', 'P31749'})"
"frozenset({'RANKL', 'P60866', 'P62829'})"
"frozenset({'P10301', 'RANKL', 'Q8WZA2'})"
"frozenset({'P46782', 'Q13618', 'RANKL'})"
"frozenset({'RANKL', 'O76081', 'O95433'})"
"frozenset({'O75940', 'O75533', 'RANKL'})"
"frozenset({'RANKL', 'P47985', 'O43920'})"
"frozenset({'P04637', 'RANKL', 'P46695'})"
"frozenset({'RANKL', 'Q5HYN5', 'Q2KHN1'})"
"frozenset({'P04626', 'RANKL', 'P43115'})"
"frozenset({'P49908', 'RANKL', 'P41235'})"
"frozenset({'RANKL', 'O75251', 'O95182'})"
"frozenset({'P62258', 'RANKL', 'Q9NRD1'})"
"frozenset({'P09497', 'RANKL', 'P55735'})"
"frozenset({'Q9UBX2', 'RANKL', 'P04843'})"
"frozenset({'P31946', 'Q9H1K1', 'RANKL'})"
"frozenset({'P06396', 'RANKL', 'Q96H55'})"
"frozenset({'P61964', 'Q9P2R6', 'RANKL'})"
"frozenset({'RANKL', 'P46940', 'Q8N122'})"
"frozenset({'Q9Y2T1', 'P46060', 'RANKL'})"
"frozenset({'Q6NUS6', 'RANKL', 'Q53FV1'})"
"frozenset({'RANKL', 'P20700', 'Q14999'})"
"frozenset({'Q13867', 'RANKL', 'P63279'})"
"frozenset({'P67775', 'P05455', 'RANKL'})"
"frozenset({'P0DPB5', 'Q9NW08', 'RANKL'})"
"frozenset({'Q9BUV8', 'RANKL', 'P04843'})"
"frozenset({'P28074', 'RANKL', 'Q00532'})"
"frozenset({'P26368', 'RANKL', 'P62826'})"
"frozenset({'Q9NRL3', 'RANKL', 'Q16531'})"
"frozenset({'RANKL', 'Q7Z434', 'Q04323'})"
"frozenset({'P27348', 'RANKL', 'Q5U5Q3'})"
"frozenset({'Q13595', 'RANKL', 'P39748'})"
"frozenset({'O75340', 'RANKL', 'P46109'})"
"frozenset({'Q9GZN8', 'RANKL', 'Q15554'})"
"frozenset({'P52739', 'RANKL', 'Q14192'})"
"frozenset({'O75116', 'RANKL', 'Q9UJ41'})"
"frozenset({'A6NK89', 'RANKL', 'P04083'})"
"frozenset({'Q96GD4', 'RANKL', 'P02794'})"
"frozenset({'Q96B97', 'RANKL', 'P61978'})"
"frozenset({'RANKL', 'P10828', 'O00459'})"
"frozenset({'RANKL', 'Q9HB75', 'P78527'})"
"frozenset({'Q9HBH0', 'Q07960', 'RANKL'})"
"frozenset({'RANKL', 'Q96GN5', 'Q8WYA6'})"
"frozenset({'RANKL', 'P16615', 'Q96GX1'})"
"frozenset({'RANKL', 'Q9H9A7', 'P55055'})"
"frozenset({'P17252', 'RANKL', 'P05106'})"
"frozenset({'Q8IWW6', 'RANKL', 'P17081'})"
"frozenset({'Q9Y478', 'RANKL', 'P40939'})"
"frozenset({'RANKL', 'Q9BVK6', 'P11441'})"
"frozenset({'P23396', 'RANKL', 'P62841'})"
"frozenset({'P61086', 'RANKL', 'Q06587'})"
"frozenset({'RANKL', 'P10599', 'P04150'})"
"frozenset({'Q01955', 'RANKL', 'P26010'})"
"frozenset({'P02008', 'RANKL', 'P60369'})"
"frozenset({'RANKL', 'Q96RT8', 'Q9Y5R4'})"
"frozenset({'Q9NPJ6', 'RANKL', 'Q14155'})"
"frozenset({'P62873', 'RANKL', 'Q8NGZ5'})"
"frozenset({'RANKL', 'P01889', 'O75694'})"
"frozenset({'P11168', 'Q08050', 'RANKL'})"
"frozenset({'RANKL', 'P21333', 'Q9UKB1'})"
"frozenset({'O00267', 'RANKL', 'P53992'})"
"frozenset({'O43747', 'RANKL', 'Q96RG2'})"
"frozenset({'Q13315', 'RANKL', 'P11142'})"
"frozenset({'RANKL', 'Q96L14', 'Q8TAP4'})"
"frozenset({'Q9NRN7', 'RANKL', 'Q9H4M9'})"
"frozenset({'RANKL', 'P09917', 'Q6UWX4'})"
"frozenset({'P22681', 'RANKL', 'O60674'})"
"frozenset({'Q8TAF8', 'RANKL', 'Q9UJ14'})"
"frozenset({'Q92734', 'RANKL', 'Q8NHP8'})"
"frozenset({'P52888', 'RANKL', 'O15355'})"
"frozenset({'RANKL', 'P03372', 'Q5T9C2'})"
"frozenset({'RANKL', 'Q04837', 'P68363'})"
"frozenset({'P10114', 'RANKL', 'P40227'})"
"frozenset({'O60313', 'RANKL', 'Q15717'})"
"frozenset({'RANKL', 'Q9H568', 'Q9Y5P4'})"
"frozenset({'RANKL', 'Q8NFH3', 'Q02846'})"
"frozenset({'Q92878', 'O75147', 'RANKL'})"
"frozenset({'RANKL', 'O75752', 'Q9HCY8'})"
"frozenset({'P0DPB5', 'RANKL', 'P52434'})"
"frozenset({'Q9H6Z9', 'RANKL', 'Q9H4L5'})"
"frozenset({'P68400', 'RANKL', 'Q9HCU9'})"
"frozenset({'RANKL', 'Q15011', 'Q9Y6H5'})"
"frozenset({'P22694', 'A6ND48', 'RANKL'})"
"frozenset({'P34897', 'Q15390', 'RANKL'})"
"frozenset({'Q01113', 'RANKL', 'Q9ULV8'})"
"frozenset({'Q02878', 'RANKL', 'P68104'})"
"frozenset({'P11182', 'RANKL', 'Q9Y4J8'})"
"frozenset({'P27348', 'P37840', 'RANKL'})"
"frozenset({'Q6ZPD8', 'Q8WY91', 'RANKL'})"
"frozenset({'RANKL', 'O95298', 'O95178'})"
"frozenset({'O95221', 'RANKL', 'P62837'})"
"frozenset({'Q9NRD5', 'P42261', 'RANKL'})"
"frozenset({'P35998', 'RANKL', 'Q9UKV5'})"
"frozenset({'RANKL', 'Q6ZW49', 'P37231'})"
"frozenset({'P17612', 'RANKL', 'P03901'})"
"frozenset({'Q9P0N8', 'RANKL', 'Q969F0'})"
"frozenset({'RANKL', 'Q9NVR5', 'P61764'})"
"frozenset({'P04629', 'P31040', 'RANKL'})"
"frozenset({'P32121', 'RANKL', 'P62888'})"
"frozenset({'P49207', 'RANKL', 'Q00535'})"
"frozenset({'Q13085', 'O95166', 'RANKL'})"
"frozenset({'RANKL', 'Q96SB4', 'Q13557'})"
"frozenset({'RANKL', 'Q99549', 'P46087'})"
"frozenset({'Q9BVW5', 'RANKL', 'Q96GE4'})"
"frozenset({'Q7L190', 'RANKL', 'Q53EQ6'})"
"frozenset({'Q9BTV5', 'RANKL', 'Q8WUX2'})"
"frozenset({'Q13467', 'RANKL', 'P49841'})"
"frozenset({'RANKL', 'O75923', 'Q5FBB7'})"
"frozenset({'RANKL', 'Q96EB6', 'Q8WTS6'})"
"frozenset({'Q04917', 'RANKL', 'P25963'})"
"frozenset({'Q86X19', 'Q9NPR9', 'RANKL'})"
"frozenset({'RANKL', 'P68871', 'P38919'})"
"frozenset({'RANKL', 'O75038', 'P41743'})"
"frozenset({'RANKL', 'P52198', 'O75914'})"
"frozenset({'P00533', 'RANKL', 'Q8IVD9'})"
"frozenset({'RANKL', 'O14936', 'Q12899'})"
"frozenset({'P22466', 'RANKL', 'Q3KPI0'})"
"frozenset({'Q9Y275', 'RANKL', 'Q6PJG6'})"
"frozenset({'Q9H469', 'RANKL', 'P62877'})"
"frozenset({'Q86VP6', 'RANKL', 'P46781'})"
"frozenset({'RANKL', 'Q9UBU9', 'P51148'})"
"frozenset({'RANKL', 'P63261', 'Q13077'})"
"frozenset({'Q6IFG1', 'RANKL', 'P49407'})"
"frozenset({'RANKL', 'Q8IZX4', 'Q9HBM6'})"
"frozenset({'Q9ULV4', 'RANKL', 'P62993'})"
"frozenset({'O60262', 'RANKL', 'A6NH00'})"
"frozenset({'Q8N668', 'RANKL', 'Q13620'})"
"frozenset({'RANKL', 'Q9UHP3', 'Q00872'})"
"frozenset({'P68400', 'RANKL', 'P25788'})"
"frozenset({'P39900', 'RANKL', 'P80162'})"
"frozenset({'A1L0T0', 'RANKL', 'O60784'})"
"frozenset({'RANKL', 'P43243', 'Q9GZQ8'})"
"frozenset({'A8MQ03', 'RANKL', 'Q86WW8'})"
"frozenset({'RANKL', 'P05556', 'P07942'})"
"frozenset({'RANKL', 'Q5T3J3', 'P10828'})"
"frozenset({'O95471', 'RANKL', 'O15551'})"
"frozenset({'Q9UKM9', 'O60260', 'RANKL'})"
"frozenset({'RANKL', 'Q9Y490', 'P56199'})"
"frozenset({'RANKL', 'Q86TB9', 'P42345'})"
"frozenset({'Q04206', 'RANKL', 'P35222'})"
"frozenset({'Q9UNM6', 'RANKL', 'P25787'})"
"frozenset({'Q15040', 'P26371', 'RANKL'})"
"frozenset({'RANKL', 'P10253', 'P14598'})"
"frozenset({'RANKL', 'P84022', 'Q9Y2K7'})"
"frozenset({'RANKL', 'Q8NDZ4', 'Q9UGM1'})"
"frozenset({'P04629', 'P52306', 'RANKL'})"
"frozenset({'P62263', 'RANKL', 'P62841'})"
"frozenset({'P61160', 'RANKL', 'Q27J81'})"
"frozenset({'P04637', 'RANKL', 'P55060'})"
"frozenset({'P60900', 'RANKL', 'P19532'})"
"frozenset({'Q9ULM6', 'RANKL', 'P54252'})"
"frozenset({'RANKL', 'P25786', 'P40692'})"
"frozenset({'P58004', 'RANKL', 'O75143'})"
"frozenset({'Q7L5A3', 'RANKL', 'Q9NR12'})"
"frozenset({'Q15714', 'RANKL', 'O75190'})"
"frozenset({'Q92890', 'RANKL', 'Q13233'})"
"frozenset({'Q53ET0', 'RANKL', 'Q02930'})"
"frozenset({'P31947', 'RANKL', 'P31749'})"
