negatives
"frozenset({'Q92974', 'O15117', 'FSH'})"
"frozenset({'Q9BV73', 'Q15293', 'FSH'})"
"frozenset({'O14933', 'Q01196', 'FSH'})"
"frozenset({'P60896', 'Q9C0G6', 'FSH'})"
"frozenset({'P05412', 'Q8N9B4', 'FSH'})"
"frozenset({'P98175', 'Q92841', 'FSH'})"
"frozenset({'Q9UDR5', 'Q8IWL3', 'FSH'})"
"frozenset({'P49407', 'P52429', 'FSH'})"
"frozenset({'P42262', 'P17612', 'FSH'})"
"frozenset({'FSH', 'Q5VUJ6', 'Q9H8S9'})"
"frozenset({'Q8WUP2', 'FSH', 'O14980'})"
"frozenset({'Q8NFH3', 'P78406', 'FSH'})"
"frozenset({'P27361', 'FSH', 'Q16828'})"
"frozenset({'P08581', 'Q9ULV8', 'FSH'})"
"frozenset({'O60232', 'P15374', 'FSH'})"
"frozenset({'FSH', 'Q8NH92', 'Q9P2W3'})"
"frozenset({'P51805', 'P67870', 'FSH'})"
"frozenset({'P31689', 'Q9UBN7', 'FSH'})"
"frozenset({'Q14678', 'FSH', 'Q9Y2J2'})"
"frozenset({'P62277', 'Q9HCE1', 'FSH'})"
"frozenset({'Q9UQC2', 'O43561', 'FSH'})"
"frozenset({'FSH', 'P62987', 'Q8TBC5'})"
"frozenset({'Q15047', 'Q15181', 'FSH'})"
"frozenset({'O43390', 'P03372', 'FSH'})"
"frozenset({'FSH', 'P04629', 'Q15003'})"
"frozenset({'P63244', 'P02751', 'FSH'})"
"frozenset({'P05388', 'P03372', 'FSH'})"
"frozenset({'Q9H477', 'P46459', 'FSH'})"
"frozenset({'P61224', 'Q9Y485', 'FSH'})"
"frozenset({'O14773', 'P01106', 'FSH'})"
"frozenset({'P62805', 'Q8NCD3', 'FSH'})"
"frozenset({'Q92731', 'P62906', 'FSH'})"
"frozenset({'FSH', 'Q13492', 'Q9BRF8'})"
"frozenset({'Q13568', 'Q00978', 'FSH'})"
"frozenset({'Q9Y616', 'O43187', 'FSH'})"
"frozenset({'A7MCY6', 'Q9Y6K9', 'FSH'})"
"frozenset({'P28482', 'O14901', 'FSH'})"
"frozenset({'P39900', 'P13500', 'FSH'})"
"frozenset({'P0CG39', 'P61326', 'FSH'})"
"frozenset({'O60939', 'O60763', 'FSH'})"
"frozenset({'Q15582', 'P11215', 'FSH'})"
"frozenset({'Q16531', 'P60484', 'FSH'})"
"frozenset({'Q86XP3', 'FSH', 'Q9BVI0'})"
"frozenset({'Q9UBN7', 'O15069', 'FSH'})"
"frozenset({'P01574', 'Q04206', 'FSH'})"
"frozenset({'FSH', 'P46934', 'Q01959'})"
"frozenset({'P55316', 'Q9UQE7', 'FSH'})"
"frozenset({'Q9HB09', 'Q07812', 'FSH'})"
"frozenset({'FSH', 'P20648', 'P51572'})"
"frozenset({'P08648', 'Q14055', 'FSH'})"
"frozenset({'FSH', 'Q96SW2', 'P42766'})"
"frozenset({'Q16763', 'Q6PJT7', 'FSH'})"
"frozenset({'FSH', 'P62993', 'Q99832'})"
"frozenset({'O43320', 'P07333', 'FSH'})"
"frozenset({'Q9H3D4', 'O95155', 'FSH'})"
"frozenset({'P60014', 'FSH', 'P26371'})"
"frozenset({'Q9BWD1', 'Q9Y617', 'FSH'})"
"frozenset({'Q9UBN6', 'P13797', 'FSH'})"
"frozenset({'Q9H1Y0', 'P01876', 'FSH'})"
"frozenset({'Q6NUN9', 'Q9UDV6', 'FSH'})"
"frozenset({'FSH', 'O75380', 'Q13387'})"
"frozenset({'P35241', 'Q08J23', 'FSH'})"
"frozenset({'FSH', 'Q4V328', 'P61244'})"
"frozenset({'FSH', 'Q9P289', 'Q04323'})"
"frozenset({'Q13618', 'P34969', 'FSH'})"
"frozenset({'P08238', 'FSH', 'Q9C0B0'})"
"frozenset({'P17947', 'P01591', 'FSH'})"
"frozenset({'FSH', 'Q9H0I2', 'Q9H2G9'})"
"frozenset({'O15379', 'Q16539', 'FSH'})"
"frozenset({'Q9NZ01', 'Q9H0U4', 'FSH'})"
"frozenset({'P24278', 'P61956', 'FSH'})"
"frozenset({'Q9NYZ3', 'Q99569', 'FSH'})"
"frozenset({'Q14186', 'P04637', 'FSH'})"
"frozenset({'P62847', 'P18621', 'FSH'})"
"frozenset({'Q9P2W1', 'P42336', 'FSH'})"
"frozenset({'P41252', 'FSH', 'Q07020'})"
"frozenset({'Q9BPU6', 'P11021', 'FSH'})"
"frozenset({'Q9BRK4', 'O00444', 'FSH'})"
"frozenset({'P49902', 'FSH', 'P0DP23'})"
"frozenset({'P01225', 'Q16659', 'FSH'})"
"frozenset({'Q8TES7', 'Q14160', 'FSH'})"
"frozenset({'Q13077', 'Q7RTU3', 'FSH'})"
"frozenset({'P17612', 'P03886', 'FSH'})"
"frozenset({'P0DMV8', 'P32121', 'FSH'})"
"frozenset({'Q9BQ95', 'P30153', 'FSH'})"
"frozenset({'Q9H0H5', 'O75354', 'FSH'})"
"frozenset({'Q9H0I9', 'O15540', 'FSH'})"
"frozenset({'Q9NZZ3', 'Q5VW32', 'FSH'})"
"frozenset({'FSH', 'Q8N137', 'P15924'})"
"frozenset({'Q10471', 'FSH', 'P82675'})"
"frozenset({'Q9UQE7', 'P51608', 'FSH'})"
"frozenset({'P25788', 'Q9BUF7', 'FSH'})"
"frozenset({'P62316', 'O75643', 'FSH'})"
"frozenset({'O15344', 'P62241', 'FSH'})"
"frozenset({'P15884', 'Q9UDX3', 'FSH'})"
"frozenset({'Q14457', 'Q96F24', 'FSH'})"
"frozenset({'O60218', 'P57721', 'FSH'})"
"frozenset({'FSH', 'Q6UX06', 'Q495W5'})"
"frozenset({'Q00613', 'Q13330', 'FSH'})"
"frozenset({'Q13535', 'Q86U86', 'FSH'})"
"frozenset({'FSH', 'Q14896', 'Q13616'})"
"frozenset({'P55072', 'P25789', 'FSH'})"
"frozenset({'O00574', 'Q9H2A7', 'FSH'})"
"frozenset({'P38919', 'P09651', 'FSH'})"
"frozenset({'Q00610', 'Q96CV9', 'FSH'})"
"frozenset({'Q92878', 'Q9NRC8', 'FSH'})"
"frozenset({'Q15154', 'Q6ZU80', 'FSH'})"
"frozenset({'Q9UBD3', 'P51686', 'FSH'})"
"frozenset({'P38936', 'P19419', 'FSH'})"
"frozenset({'Q5SW79', 'Q504Q3', 'FSH'})"
"frozenset({'P27824', 'Q92611', 'FSH'})"
"frozenset({'Q15569', 'P17858', 'FSH'})"
"frozenset({'FSH', 'P17600', 'O00499'})"
"frozenset({'P04179', 'FSH', 'P61604'})"
"frozenset({'P26641', 'P04350', 'FSH'})"
"frozenset({'P98170', 'Q96CA5', 'FSH'})"
"frozenset({'Q9UKX5', 'O15335', 'FSH'})"
"frozenset({'P17661', 'Q13464', 'FSH'})"
"frozenset({'Q8N5M9', 'Q9P0N5', 'FSH'})"
"frozenset({'Q16778', 'Q99878', 'FSH'})"
"frozenset({'Q8IXW0', 'Q9BYQ3', 'FSH'})"
"frozenset({'Q9P270', 'Q7Z7A1', 'FSH'})"
"frozenset({'FSH', 'P63104', 'P62937'})"
"frozenset({'Q7Z6A9', 'Q06124', 'FSH'})"
"frozenset({'FSH', 'P02787', 'Q30201'})"
"frozenset({'FSH', 'Q13043', 'Q15717'})"
"frozenset({'Q96GC5', 'O00189', 'FSH'})"
"frozenset({'O43889', 'FSH', 'Q92989'})"
"frozenset({'Q8NCP5', 'Q9NXF7', 'FSH'})"
"frozenset({'Q9BXC9', 'Q4AC94', 'FSH'})"
"frozenset({'P06400', 'Q15910', 'FSH'})"
"frozenset({'P15374', 'Q99614', 'FSH'})"
"frozenset({'Q9BXP5', 'Q86VM9', 'FSH'})"
"frozenset({'FSH', 'Q15181', 'Q5MNZ9'})"
"frozenset({'FSH', 'P04637', 'Q9UER7'})"
"frozenset({'P55072', 'O00767', 'FSH'})"
"frozenset({'P41218', 'FSH', 'O76021'})"
"frozenset({'Q9NRD1', 'Q15645', 'FSH'})"
"frozenset({'FSH', 'Q7L2Z9', 'Q92674'})"
"frozenset({'P19784', 'Q8WV44', 'FSH'})"
"frozenset({'P52272', 'Q13233', 'FSH'})"
"frozenset({'Q14738', 'Q92736', 'FSH'})"
"frozenset({'FSH', 'O15014', 'P48431'})"
"frozenset({'Q96CN9', 'FSH', 'Q86VQ0'})"
"frozenset({'O43255', 'Q92597', 'FSH'})"
"frozenset({'P10632', 'Q8TAG9', 'FSH'})"
"frozenset({'O95218', 'Q9NQ29', 'FSH'})"
"frozenset({'P19012', 'Q02930', 'FSH'})"
"frozenset({'P07900', 'P49736', 'FSH'})"
"frozenset({'Q12789', 'P22607', 'FSH'})"
"frozenset({'Q9H8V3', 'Q15645', 'FSH'})"
"frozenset({'P86479', 'O75553', 'FSH'})"
"frozenset({'Q9BPX7', 'FSH', 'Q9NS23'})"
"frozenset({'O75306', 'FSH', 'Q01860'})"
"frozenset({'P63211', 'P49286', 'FSH'})"
"frozenset({'Q9UBP6', 'O75674', 'FSH'})"
"frozenset({'Q96T76', 'Q9H4A3', 'FSH'})"
"frozenset({'P01008', 'Q9BXT5', 'FSH'})"
"frozenset({'Q96CN7', 'Q86UK5', 'FSH'})"
"frozenset({'Q13315', 'Q6IQ49', 'FSH'})"
"frozenset({'Q8IVH8', 'Q9NZM3', 'FSH'})"
"frozenset({'O75791', 'O14641', 'FSH'})"
"frozenset({'O15350', 'P06400', 'FSH'})"
"frozenset({'P24386', 'FSH', 'Q7Z309'})"
"frozenset({'FSH', 'P50135', 'Q13557'})"
"frozenset({'P31751', 'Q96BA8', 'FSH'})"
"frozenset({'P12429', 'P04637', 'FSH'})"
"frozenset({'Q12846', 'P60880', 'FSH'})"
"frozenset({'P46777', 'Q9H9Y2', 'FSH'})"
"frozenset({'P49368', 'P53621', 'FSH'})"
"frozenset({'Q5JR59', 'Q8IVW4', 'FSH'})"
"frozenset({'Q15648', 'P01106', 'FSH'})"
"frozenset({'Q15366', 'FSH', 'Q01081'})"
"frozenset({'P17535', 'P27361', 'FSH'})"
"frozenset({'O60563', 'Q6NYC1', 'FSH'})"
"frozenset({'Q9ULX9', 'FSH', 'P07602'})"
"frozenset({'Q96HA8', 'Q53G59', 'FSH'})"
"frozenset({'Q9BRI3', 'FSH', 'Q96IW7'})"
"frozenset({'P12830', 'Q92817', 'FSH'})"
"frozenset({'Q8IUH5', 'P49840', 'FSH'})"
"frozenset({'P63096', 'O95476', 'FSH'})"
"frozenset({'FSH', 'P02462', 'P18564'})"
"frozenset({'P78527', 'P61011', 'FSH'})"
"frozenset({'P40259', 'Q05397', 'FSH'})"
"frozenset({'Q9UBC1', 'P17812', 'FSH'})"
"frozenset({'P41220', 'FSH', 'Q9BVA1'})"
"frozenset({'Q16543', 'FSH', 'O75665'})"
"frozenset({'P45877', 'Q9NZ09', 'FSH'})"
"frozenset({'P40692', 'P56470', 'FSH'})"
"frozenset({'Q9NX02', 'Q9Y2Z0', 'FSH'})"
"frozenset({'Q9UNK9', 'Q8IWL3', 'FSH'})"
"frozenset({'Q9GZZ9', 'Q92805', 'FSH'})"
"frozenset({'Q86VM9', 'P01106', 'FSH'})"
"frozenset({'P63098', 'Q14934', 'FSH'})"
"frozenset({'Q96G23', 'P01106', 'FSH'})"
"frozenset({'FSH', 'P62750', 'O14980'})"
"frozenset({'Q9BQC6', 'Q9BYD3', 'FSH'})"
"frozenset({'Q13077', 'Q13501', 'FSH'})"
"frozenset({'P07384', 'O60216', 'FSH'})"
"frozenset({'Q16777', 'P02741', 'FSH'})"
"frozenset({'P63267', 'FSH', 'P20929'})"
"frozenset({'Q71U36', 'Q9Y230', 'FSH'})"
"frozenset({'P08238', 'P62993', 'FSH'})"
"frozenset({'FSH', 'Q8TD31', 'O95619'})"
"frozenset({'Q8N661', 'Q96A25', 'FSH'})"
"frozenset({'P62913', 'Q9BQ67', 'FSH'})"
"frozenset({'P20807', 'P0C862', 'FSH'})"
"frozenset({'Q07020', 'O75147', 'FSH'})"
"frozenset({'FSH', 'P38398', 'O75925'})"
"frozenset({'P27482', 'FSH', 'Q13554'})"
"frozenset({'Q5VZM2', 'FSH', 'O43504'})"
"frozenset({'Q13191', 'FSH', 'P04629'})"
"frozenset({'Q92901', 'P47914', 'FSH'})"
"frozenset({'P55072', 'Q15554', 'FSH'})"
"frozenset({'Q9Y4B6', 'P15918', 'FSH'})"
"frozenset({'Q13952', 'O60749', 'FSH'})"
"frozenset({'FSH', 'O14980', 'Q99816'})"
"frozenset({'Q96TA2', 'Q04837', 'FSH'})"
"frozenset({'O15160', 'Q9BR76', 'FSH'})"
"frozenset({'P62910', 'Q9Y4Z0', 'FSH'})"
"frozenset({'Q99470', 'P00533', 'FSH'})"
"frozenset({'O14763', 'P04637', 'FSH'})"
"frozenset({'P61758', 'P60006', 'FSH'})"
"frozenset({'Q13075', 'Q8N668', 'FSH'})"
"frozenset({'P27361', 'P05771', 'FSH'})"
"frozenset({'Q8NEM0', 'O60934', 'FSH'})"
"frozenset({'FSH', 'Q96DB2', 'Q93079'})"
"frozenset({'Q9H7Z7', 'P01106', 'FSH'})"
"frozenset({'FSH', 'P27986', 'P21333'})"
"frozenset({'FSH', 'Q96PU5', 'O14668'})"
"frozenset({'O43482', 'O43739', 'FSH'})"
"frozenset({'P27694', 'Q14008', 'FSH'})"
"frozenset({'FSH', 'Q8WVF1', 'O14980'})"
"frozenset({'Q15834', 'Q16821', 'FSH'})"
"frozenset({'O15111', 'O43353', 'FSH'})"
"frozenset({'FSH', 'Q8IXM2', 'Q01167'})"
"frozenset({'P58004', 'Q13131', 'FSH'})"
"frozenset({'P78406', 'Q12906', 'FSH'})"
"frozenset({'O14813', 'Q92793', 'FSH'})"
"frozenset({'P41159', 'P16471', 'FSH'})"
"frozenset({'Q9UK32', 'Q14147', 'FSH'})"
