negatives
"frozenset({'Q14CS0', 'IL6', 'Q8NFH3'})"
"frozenset({'IL6', 'P42765', 'Q92804'})"
"frozenset({'IL6', 'Q13011', 'Q8N137'})"
"frozenset({'IL6', 'Q08945', 'P68400'})"
"frozenset({'IL6', 'Q13243', 'Q16637'})"
"frozenset({'IL6', 'P05067', 'Q13867'})"
"frozenset({'IL6', 'Q4G0J3', 'Q6ZW49'})"
"frozenset({'IL6', 'Q99471', 'Q9HAV4'})"
"frozenset({'IL6', 'P23588', 'Q04637'})"
"frozenset({'IL6', 'P11802', 'P60900'})"
"frozenset({'IL6', 'P15880', 'Q5C9Z4'})"
"frozenset({'IL6', 'Q8IYE0', 'Q8NCU1'})"
"frozenset({'IL6', 'P62140', 'P0DP23'})"
"frozenset({'IL6', 'Q9NRM7', 'Q14999'})"
"frozenset({'IL6', 'P43405', 'Q9UHP3'})"
"frozenset({'IL6', 'O15230', 'P23229'})"
"frozenset({'P34897', 'Q93034', 'IL6'})"
"frozenset({'IL6', 'P00533', 'O43707'})"
"frozenset({'IL6', 'Q7L2J0', 'P60709'})"
"frozenset({'P13995', 'Q13618', 'IL6'})"
"frozenset({'IL6', 'P50616', 'P57737'})"
"frozenset({'Q7L0Q8', 'Q99879', 'IL6'})"
"frozenset({'IL6', 'P0DML2', 'P16471'})"
"frozenset({'IL6', 'Q6DN90', 'P63172'})"
"frozenset({'P40763', 'Q92905', 'IL6'})"
"frozenset({'Q8NGE0', 'P22694', 'IL6'})"
"frozenset({'IL6', 'Q96HA1', 'P02545'})"
"frozenset({'P82912', 'IL6', 'Q8TAP6'})"
"frozenset({'P43403', 'Q9UQC2', 'IL6'})"
"frozenset({'P08069', 'IL6', 'P55075'})"
"frozenset({'IL6', 'Q7Z6K5', 'P14373'})"
"frozenset({'IL6', 'Q05639', 'P60896'})"
"frozenset({'IL6', 'P32927', 'P23458'})"
"frozenset({'IL6', 'Q9NQT4', 'Q9Y2L1'})"
"frozenset({'IL6', 'P06753', 'P24539'})"
"frozenset({'IL6', 'Q9H3S7', 'Q9GZR7'})"
"frozenset({'Q8N3U4', 'Q9Y2K7', 'IL6'})"
"frozenset({'P32245', 'P17612', 'IL6'})"
"frozenset({'IL6', 'Q03405', 'Q9Y4K0'})"
"frozenset({'IL6', 'P05067', 'Q8IYB5'})"
"frozenset({'IL6', 'P06213', 'P32121'})"
"frozenset({'IL6', 'O95967', 'Q8TCX5'})"
"frozenset({'P04150', 'O75582', 'IL6'})"
"frozenset({'IL6', 'Q13509', 'P21333'})"
"frozenset({'Q13077', 'Q9H1D0', 'IL6'})"
"frozenset({'IL6', 'Q14194', 'Q9BWC9'})"
"frozenset({'IL6', 'P37231', 'P50454'})"
"frozenset({'O14641', 'Q14186', 'IL6'})"
"frozenset({'P62258', 'P45983', 'IL6'})"
"frozenset({'IL6', 'Q96P16', 'Q14161'})"
"frozenset({'P34931', 'IL6', 'Q15843'})"
"frozenset({'IL6', 'Q9HCH5', 'Q15788'})"
"frozenset({'IL6', 'Q9UQN3', 'Q8NB16'})"
"frozenset({'IL6', 'P01137', 'Q9UKQ9'})"
"frozenset({'IL6', 'Q8NFG4', 'Q5T7W7'})"
"frozenset({'IL6', 'O00238', 'Q9UBN4'})"
"frozenset({'P35222', 'P46940', 'IL6'})"
"frozenset({'IL6', 'O95295', 'Q04695'})"
"frozenset({'Q96ST3', 'O00422', 'IL6'})"
"frozenset({'IL6', 'P34947', 'Q13620'})"
"frozenset({'IL6', 'Q15633', 'Q8N490'})"
"frozenset({'IL6', 'Q8N165', 'Q15038'})"
"frozenset({'IL6', 'O14920', 'P60709'})"
"frozenset({'IL6', 'O14933', 'Q9NWF9'})"
"frozenset({'Q13151', 'IL6', 'P02545'})"
"frozenset({'IL6', 'Q14498', 'Q9GZQ8'})"
"frozenset({'O95104', 'P47985', 'IL6'})"
"frozenset({'IL6', 'Q13200', 'P04626'})"
"frozenset({'IL6', 'Q4VCS5', 'O75665'})"
"frozenset({'P54098', 'O00716', 'IL6'})"
"frozenset({'IL6', 'Q9UK80', 'Q86SQ0'})"
"frozenset({'IL6', 'O60307', 'Q96QZ7'})"
"frozenset({'Q13077', 'Q9NVL8', 'IL6'})"
"frozenset({'IL6', 'Q8N6Y0', 'Q86UD0'})"
"frozenset({'P01241', 'Q9Y3F4', 'IL6'})"
"frozenset({'IL6', 'P06727', 'P80108'})"
"frozenset({'IL6', 'P37231', 'P17936'})"
"frozenset({'P35222', 'IL6', 'P42858'})"
"frozenset({'IL6', 'P32929', 'Q9NX65'})"
"frozenset({'IL6', 'Q06609', 'Q8NFZ0'})"
"frozenset({'IL6', 'Q8WVV5', 'O43889'})"
"frozenset({'IL6', 'Q6ZW31', 'Q9UHB6'})"
"frozenset({'IL6', 'Q96B97', 'Q07666'})"
"frozenset({'Q8N1F7', 'Q9H8V3', 'IL6'})"
"frozenset({'IL6', 'Q53EZ4', 'P04637'})"
"frozenset({'IL6', 'Q9BUZ4', 'P02794'})"
"frozenset({'IL6', 'Q9P2W3', 'Q8NGT1'})"
"frozenset({'IL6', 'P35225', 'P19235'})"
"frozenset({'P06493', 'P15531', 'IL6'})"
"frozenset({'IL6', 'Q9NZQ7', 'Q92616'})"
"frozenset({'Q5THK1', 'P67775', 'IL6'})"
"frozenset({'IL6', 'P68431', 'P62891'})"
"frozenset({'Q14566', 'P42568', 'IL6'})"
"frozenset({'IL6', 'P26651', 'P61981'})"
"frozenset({'IL6', 'Q9ULJ6', 'P14921'})"
"frozenset({'IL6', 'Q8IXJ6', 'P51809'})"
"frozenset({'IL6', 'Q9NVF7', 'Q9UKX7'})"
"frozenset({'IL6', 'Q13595', 'O94906'})"
"frozenset({'Q96NJ5', 'P15884', 'IL6'})"
"frozenset({'IL6', 'P04196', 'P02671'})"
"frozenset({'Q00839', 'Q9HCN4', 'IL6'})"
"frozenset({'P48729', 'Q7L775', 'IL6'})"
"frozenset({'IL6', 'Q9NYB0', 'Q14980'})"
"frozenset({'P20618', 'P49459', 'IL6'})"
"frozenset({'IL6', 'O60216', 'Q13535'})"
"frozenset({'IL6', 'O14920', 'P62158'})"
"frozenset({'IL6', 'Q9Y3E0', 'Q16864'})"
"frozenset({'IL6', 'Q12906', 'Q99873'})"
"frozenset({'IL6', 'P38936', 'P68400'})"
"frozenset({'IL6', 'Q9NP81', 'P35240'})"
"frozenset({'IL6', 'Q9UM11', 'Q9UPN9'})"
"frozenset({'IL6', 'Q12904', 'Q9HAU4'})"
"frozenset({'IL6', 'P0C0S8', 'Q92624'})"
"frozenset({'Q9UK08', 'Q08462', 'IL6'})"
"frozenset({'IL6', 'P52732', 'Q12955'})"
"frozenset({'IL6', 'P42574', 'Q13043'})"
"frozenset({'IL6', 'P10275', 'P43364'})"
"frozenset({'IL6', 'Q14164', 'P49840'})"
"frozenset({'IL6', 'P25445', 'Q9GZQ8'})"
"frozenset({'IL6', 'P10912', 'P52333'})"
"frozenset({'IL6', 'Q9H4M9', 'Q9H223'})"
"frozenset({'P15173', 'P55040', 'IL6'})"
"frozenset({'IL6', 'Q71U36', 'P14923'})"
"frozenset({'Q8WUI4', 'IL6', 'Q96CP2'})"
"frozenset({'Q96FQ6', 'P22626', 'IL6'})"
"frozenset({'IL6', 'Q7Z5G4', 'Q08378'})"
"frozenset({'IL6', 'Q9C0D5', 'Q9UBU9'})"
"frozenset({'IL6', 'O43602', 'Q6NUQ1'})"
"frozenset({'IL6', 'O96013', 'P61981'})"
"frozenset({'IL6', 'P61218', 'P49810'})"
"frozenset({'IL6', 'Q13200', 'Q9Y2K1'})"
"frozenset({'Q00839', 'Q7KZF4', 'IL6'})"
"frozenset({'O15027', 'P52272', 'IL6'})"
"frozenset({'IL6', 'Q92569', 'P06400'})"
"frozenset({'Q15428', 'Q8NDZ0', 'IL6'})"
"frozenset({'IL6', 'Q8TCJ0', 'Q9Y265'})"
"frozenset({'IL6', 'P62753', 'P23258'})"
"frozenset({'IL6', 'O15294', 'P42336'})"
"frozenset({'IL6', 'Q9Y4K3', 'O00231'})"
"frozenset({'IL6', 'Q14498', 'Q15022'})"
"frozenset({'IL6', 'Q13547', 'Q8N680'})"
"frozenset({'IL6', 'Q9NPA0', 'P26371'})"
"frozenset({'IL6', 'Q12792', 'P52597'})"
"frozenset({'IL6', 'P18077', 'P61254'})"
"frozenset({'IL6', 'Q9BQ65', 'O60508'})"
"frozenset({'IL6', 'Q13617', 'Q96PK6'})"
"frozenset({'IL6', 'Q13563', 'Q8TDM0'})"
"frozenset({'IL6', 'Q8IZM9', 'P02787'})"
"frozenset({'IL6', 'P61088', 'Q8NEH6'})"
"frozenset({'IL6', 'Q9H9L3', 'P12931'})"
"frozenset({'IL6', 'Q9BXR5', 'P23378'})"
"frozenset({'IL6', 'O43639', 'Q8N4C8'})"
"frozenset({'IL6', 'Q9BRX5', 'Q9BUJ0'})"
"frozenset({'IL6', 'Q68CZ6', 'Q6UVJ0'})"
"frozenset({'IL6', 'Q9BV73', 'Q9P2F8'})"
"frozenset({'IL6', 'P63000', 'P24941'})"
"frozenset({'O14640', 'Q96MT3', 'IL6'})"
"frozenset({'Q9NRD1', 'Q99832', 'IL6'})"
"frozenset({'IL6', 'P06753', 'Q9Y6Y8'})"
"frozenset({'IL6', 'Q9P2J5', 'Q16513'})"
"frozenset({'IL6', 'Q86VZ2', 'P03372'})"
"frozenset({'IL6', 'O94966', 'P08559'})"
"frozenset({'IL6', 'P26196', 'Q12796'})"
"frozenset({'IL6', 'P42696', 'Q86V81'})"
"frozenset({'IL6', 'Q15118', 'P00558'})"
"frozenset({'IL6', 'Q9BZE1', 'Q9Y6G3'})"
"frozenset({'IL6', 'Q13347', 'Q9Y4P8'})"
"frozenset({'Q96DN5', 'Q15154', 'IL6'})"
"frozenset({'IL6', 'O43294', 'P14598'})"
"frozenset({'IL6', 'Q6L8G9', 'Q96D03'})"
"frozenset({'Q13671', 'Q99750', 'IL6'})"
"frozenset({'IL6', 'Q99062', 'P01562'})"
"frozenset({'IL6', 'O95251', 'Q92997'})"
"frozenset({'IL6', 'Q12798', 'P38398'})"
"frozenset({'IL6', 'Q9NXZ2', 'Q00341'})"
"frozenset({'Q14938', 'IL6', 'P55317'})"
"frozenset({'IL6', 'P51817', 'P08238'})"
"frozenset({'IL6', 'Q9Y281', 'P21333'})"
"frozenset({'IL6', 'P37268', 'Q9Y265'})"
"frozenset({'IL6', 'O00268', 'Q5VWG9'})"
"frozenset({'IL6', 'P35241', 'P34932'})"
"frozenset({'IL6', 'P22415', 'P49848'})"
"frozenset({'IL6', 'Q13635', 'Q13683'})"
"frozenset({'IL6', 'P20273', 'P62993'})"
"frozenset({'Q9H2K2', 'Q9UIQ6', 'IL6'})"
"frozenset({'IL6', 'Q07817', 'P54252'})"
"frozenset({'IL6', 'P07992', 'P20226'})"
"frozenset({'IL6', 'Q99496', 'Q96AQ6'})"
"frozenset({'IL6', 'Q01469', 'P31151'})"
"frozenset({'IL6', 'Q8N7H5', 'Q8IYB3'})"
"frozenset({'IL6', 'Q99558', 'Q9NR30'})"
"frozenset({'IL6', 'P37837', 'P56537'})"
"frozenset({'IL6', 'P23396', 'P60228'})"
"frozenset({'IL6', 'Q8N122', 'Q9NQT8'})"
"frozenset({'IL6', 'Q96LB3', 'Q96KN7'})"
"frozenset({'P04629', 'P54819', 'IL6'})"
"frozenset({'IL6', 'Q9P2P5', 'Q9BTC0'})"
"frozenset({'IL6', 'P62753', 'P51812'})"
"frozenset({'IL6', 'Q9UHW5', 'P54764'})"
"frozenset({'IL6', 'Q14746', 'P38606'})"
"frozenset({'IL6', 'Q7KZN9', 'P08574'})"
"frozenset({'IL6', 'Q5T3J3', 'P17980'})"
"frozenset({'IL6', 'P26639', 'Q14103'})"
"frozenset({'IL6', 'Q9H867', 'Q9BZE9'})"
"frozenset({'IL6', 'P04792', 'Q9P2N2'})"
"frozenset({'IL6', 'P16144', 'A4D0S4'})"
"frozenset({'IL6', 'Q99962', 'O14531'})"
"frozenset({'IL6', 'O43166', 'Q9ULJ3'})"
"frozenset({'IL6', 'Q9UQ35', 'Q6NWY9'})"
"frozenset({'IL6', 'P78314', 'O43561'})"
"frozenset({'IL6', 'O94993', 'Q12933'})"
"frozenset({'IL6', 'Q9NPH5', 'O00206'})"
"frozenset({'IL6', 'P30480', 'P58546'})"
"frozenset({'IL6', 'P48730', 'P27348'})"
"frozenset({'IL6', 'P19438', 'P04908'})"
"frozenset({'Q16401', 'Q8N448', 'IL6'})"
"frozenset({'IL6', 'P36955', 'Q86YD3'})"
"frozenset({'IL6', 'Q15147', 'P63218'})"
"frozenset({'O14683', 'Q96GX1', 'IL6'})"
"frozenset({'IL6', 'P52209', 'P00338'})"
"frozenset({'IL6', 'Q9Y5W8', 'O95467'})"
"frozenset({'IL6', 'Q9NPI1', 'Q9P2D1'})"
"frozenset({'IL6', 'P61266', 'Q9NVT9'})"
"frozenset({'IL6', 'P31930', 'Q14318'})"
"frozenset({'IL6', 'P46108', 'Q9H706'})"
"frozenset({'IL6', 'O14978', 'Q9NWQ4'})"
"frozenset({'IL6', 'Q92813', 'Q15370'})"
"frozenset({'IL6', 'P42677', 'P26373'})"
"frozenset({'IL6', 'P23276', 'Q71U36'})"
"frozenset({'IL6', 'P05388', 'P83731'})"
"frozenset({'IL6', 'P57088', 'Q99608'})"
"frozenset({'IL6', 'O75489', 'P03915'})"
"frozenset({'IL6', 'O00459', 'P62879'})"
"frozenset({'IL6', 'P04792', 'Q9BQE3'})"
"frozenset({'IL6', 'P62316', 'Q15910'})"
"frozenset({'IL6', 'Q9UBS0', 'Q9Y265'})"
"frozenset({'O75487', 'Q13467', 'IL6'})"
"frozenset({'IL6', 'Q8NH10', 'P22612'})"
"frozenset({'IL6', 'P07195', 'Q13283'})"
"frozenset({'P49585', 'P45983', 'IL6'})"
"frozenset({'IL6', 'P0DP23', 'Q6IPM2'})"
"frozenset({'IL6', 'O00483', 'O95178'})"
"frozenset({'IL6', 'Q9HCE7', 'Q96I25'})"
"frozenset({'IL6', 'Q12906', 'Q7Z7H8'})"
"frozenset({'IL6', 'P30530', 'Q96JJ3'})"
"frozenset({'Q5S007', 'P30050', 'IL6'})"
"frozenset({'IL6', 'P10909', 'P01375'})"
"frozenset({'IL6', 'Q15788', 'Q9P1A6'})"
"frozenset({'IL6', 'Q15717', 'Q8WU68'})"
"frozenset({'IL6', 'P22830', 'Q86UV6'})"
"frozenset({'IL6', 'O75366', 'P46108'})"
"frozenset({'IL6', 'Q01844', 'P05198'})"
"frozenset({'IL6', 'Q8NE86', 'Q15717'})"
"frozenset({'IL6', 'O14862', 'Q9H2Z4'})"
"frozenset({'IL6', 'Q9Y4K3', 'Q9HC29'})"
"frozenset({'P40222', 'Q15046', 'IL6'})"
"frozenset({'IL6', 'P42224', 'Q04206'})"
"frozenset({'IL6', 'P50750', 'Q15554'})"
"frozenset({'IL6', 'Q04917', 'P00519'})"
"frozenset({'IL6', 'O60341', 'Q6NSJ2'})"
"frozenset({'Q8IV61', 'P27348', 'IL6'})"
"frozenset({'IL6', 'P49336', 'Q71F56'})"
"frozenset({'IL6', 'P27824', 'Q15306'})"
"frozenset({'IL6', 'Q3LI70', 'Q8N5M1'})"
"frozenset({'IL6', 'P40429', 'P61353'})"
"frozenset({'IL6', 'P60228', 'Q96D09'})"
"frozenset({'IL6', 'Q9GZY8', 'O00429'})"
"frozenset({'IL6', 'P50222', 'P61952'})"
"frozenset({'IL6', 'O15239', 'O43678'})"
"frozenset({'IL6', 'P12956', 'Q12888'})"
"frozenset({'IL6', 'Q14164', 'P61086'})"
"frozenset({'IL6', 'Q09028', 'P49321'})"
"frozenset({'IL6', 'P55072', 'P30466'})"
"frozenset({'Q15084', 'Q14164', 'IL6'})"
"frozenset({'P35626', 'O76100', 'IL6'})"
"frozenset({'IL6', 'Q13620', 'Q6RI45'})"
"frozenset({'IL6', 'Q01844', 'Q14527'})"
"frozenset({'Q01167', 'Q9H7L9', 'IL6'})"
"frozenset({'IL6', 'P04844', 'O95292'})"
"frozenset({'IL6', 'Q96CS2', 'Q9UL45'})"
"frozenset({'P38159', 'Q15424', 'IL6'})"
"frozenset({'IL6', 'Q6ICG6', 'Q96QF0'})"
"frozenset({'IL6', 'Q96N21', 'Q9BYV2'})"
"frozenset({'IL6', 'Q9NY87', 'Q9Y6X0'})"
"frozenset({'P04629', 'P19784', 'IL6'})"
"frozenset({'IL6', 'Q6P1J9', 'Q08379'})"
"frozenset({'IL6', 'P13612', 'Q99729'})"
"frozenset({'Q9NUQ6', 'P41218', 'IL6'})"
"frozenset({'P06493', 'P06241', 'IL6'})"
"frozenset({'P14550', 'Q8TDQ7', 'IL6'})"
"frozenset({'IL6', 'P23229', 'Q92752'})"
"frozenset({'Q14315', 'P53708', 'IL6'})"
"frozenset({'Q9Y291', 'Q00987', 'IL6'})"
"frozenset({'Q9Y2W1', 'P09661', 'IL6'})"
"frozenset({'IL6', 'P50238', 'Q96AE4'})"
"frozenset({'Q69YN4', 'Q9NYF8', 'IL6'})"
"frozenset({'IL6', 'P06241', 'Q13111'})"
"frozenset({'IL6', 'P28288', 'Q9BRX2'})"
"frozenset({'IL6', 'P27816', 'Q8TDR0'})"
"frozenset({'IL6', 'Q96ER9', 'Q5T749'})"
"frozenset({'IL6', 'O75934', 'P05412'})"
"frozenset({'IL6', 'P41220', 'Q8TAM1'})"
"frozenset({'IL6', 'Q2M1K9', 'Q13485'})"
"frozenset({'IL6', 'O75643', 'P50402'})"
"frozenset({'IL6', 'P57105', 'Q9BSJ8'})"
"frozenset({'P16989', 'Q07157', 'IL6'})"
"frozenset({'IL6', 'P20674', 'P51398'})"
"frozenset({'IL6', 'Q07021', 'P61923'})"
"frozenset({'IL6', 'Q9H0R8', 'Q9BXI6'})"
"frozenset({'P09972', 'P34897', 'IL6'})"
"frozenset({'IL6', 'Q14258', 'Q9P2P5'})"
"frozenset({'IL6', 'Q14449', 'O95954'})"
"frozenset({'IL6', 'P11021', 'Q14257'})"
"frozenset({'IL6', 'Q13427', 'Q16637'})"
"frozenset({'IL6', 'P31947', 'Q8N2A8'})"
"frozenset({'IL6', 'Q08999', 'Q14209'})"
"frozenset({'IL6', 'Q15942', 'P61236'})"
"frozenset({'P08572', 'Q8WWU7', 'IL6'})"
"frozenset({'IL6', 'Q9NRX1', 'P06748'})"
"frozenset({'IL6', 'O43156', 'Q01860'})"
"frozenset({'IL6', 'P57086', 'O14771'})"
"frozenset({'IL6', 'Q99941', 'Q96EV2'})"
"frozenset({'IL6', 'Q9UNM6', 'Q16659'})"
"frozenset({'Q9H079', 'IL6', 'O95872'})"
"frozenset({'IL6', 'P46060', 'Q08J23'})"
"frozenset({'IL6', 'P38405', 'Q8NH90'})"
"frozenset({'IL6', 'O43809', 'P05412'})"
"frozenset({'IL6', 'Q8WUY9', 'Q8TC76'})"
"frozenset({'IL6', 'P31749', 'Q9BPZ7'})"
"frozenset({'IL6', 'O60869', 'Q96FW1'})"
"frozenset({'IL6', 'P38936', 'Q4VCS5'})"
"frozenset({'Q8NFD5', 'Q15274', 'IL6'})"
"frozenset({'IL6', 'Q13617', 'P17844'})"
"frozenset({'IL6', 'P38936', 'Q13485'})"
"frozenset({'IL6', 'P50453', 'Q9GZT6'})"
"frozenset({'IL6', 'Q9P0L0', 'O95249'})"
"frozenset({'IL6', 'P09669', 'Q9UJS0'})"
"frozenset({'P35222', 'Q92729', 'IL6'})"
"frozenset({'IL6', 'P29597', 'P31785'})"
"frozenset({'IL6', 'O60244', 'P09874'})"
"frozenset({'IL6', 'Q7Z309', 'P78406'})"
"frozenset({'IL6', 'Q9BPY3', 'Q9Y3C7'})"
"frozenset({'IL6', 'P35398', 'O00327'})"
"frozenset({'IL6', 'Q9NQT8', 'P30305'})"
"frozenset({'IL6', 'P55199', 'Q13535'})"
"frozenset({'IL6', 'O14863', 'Q9UFG5'})"
"frozenset({'IL6', 'P35908', 'Q96GG9'})"
"frozenset({'P82673', 'Q13618', 'IL6'})"
"frozenset({'Q13233', 'IL6', 'O00567'})"
"frozenset({'IL6', 'Q70SY1', 'P62140'})"
"frozenset({'IL6', 'O00341', 'Q13424'})"
"frozenset({'IL6', 'Q8TBB1', 'P14373'})"
"frozenset({'IL6', 'P35579', 'Q9NSY1'})"
"frozenset({'IL6', 'Q9NZ01', 'P31152'})"
"frozenset({'P04629', 'Q00534', 'IL6'})"
"frozenset({'IL6', 'P19838', 'Q9ULM6'})"
"frozenset({'IL6', 'Q14974', 'P51178'})"
"frozenset({'IL6', 'Q7Z3K3', 'Q86T82'})"
"frozenset({'IL6', 'Q13617', 'Q9BT78'})"
"frozenset({'IL6', 'O96017', 'Q9C0C9'})"
"frozenset({'IL6', 'Q96JB5', 'P01834'})"
"frozenset({'IL6', 'P05067', 'Q6ZUJ4'})"
"frozenset({'Q2NL82', 'P61289', 'IL6'})"
"frozenset({'IL6', 'Q92526', 'Q9Y285'})"
"frozenset({'Q9Y4R8', 'IL6', 'Q9Y678'})"
"frozenset({'IL6', 'Q3LI66', 'Q9UQM7'})"
"frozenset({'IL6', 'Q07869', 'Q92793'})"
"frozenset({'Q92574', 'P49841', 'IL6'})"
"frozenset({'IL6', 'Q71UM5', 'P62851'})"
"frozenset({'IL6', 'P08238', 'Q15569'})"
