negatives
"frozenset({'P62995', 'Alpha6Beta4Integrin', 'O75531'})"
"frozenset({'O15479', 'P62854', 'Alpha6Beta4Integrin'})"
"frozenset({'Q16695', 'Alpha6Beta4Integrin', 'P23458'})"
"frozenset({'Q8N543', 'P04632', 'Alpha6Beta4Integrin'})"
"frozenset({'O75157', 'Alpha6Beta4Integrin', 'Q9BXW6'})"
"frozenset({'P23560', 'Alpha6Beta4Integrin', 'Q16620'})"
"frozenset({'P50990', 'Q12834', 'Alpha6Beta4Integrin'})"
"frozenset({'P11233', 'P45983', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y664', 'Q96M94', 'Alpha6Beta4Integrin'})"
"frozenset({'P63000', 'Alpha6Beta4Integrin', 'O00459'})"
"frozenset({'O95757', 'Alpha6Beta4Integrin', 'P13798'})"
"frozenset({'P31749', 'Q8TD06', 'Alpha6Beta4Integrin'})"
"frozenset({'P08754', 'P51828', 'Alpha6Beta4Integrin'})"
"frozenset({'Q53GL0', 'P68400', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14149', 'Q13884', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8N3U4', 'Q8NDV3', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BQD3', 'P17980', 'Alpha6Beta4Integrin'})"
"frozenset({'O95400', 'P00568', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UHF4', 'P01568', 'Alpha6Beta4Integrin'})"
"frozenset({'P07948', 'Alpha6Beta4Integrin', 'P27361'})"
"frozenset({'Q96T76', 'Alpha6Beta4Integrin', 'Q9UBN7'})"
"frozenset({'P49765', 'Q9BRJ7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q5QJE6', 'Alpha6Beta4Integrin', 'Q92993'})"
"frozenset({'P04637', 'P85037', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P63092', 'O95622'})"
"frozenset({'Q92828', 'Alpha6Beta4Integrin', 'Q4KMG9'})"
"frozenset({'P17252', 'P07355', 'Alpha6Beta4Integrin'})"
"frozenset({'O43242', 'Alpha6Beta4Integrin', 'Q9UJV3'})"
"frozenset({'Q00994', 'Q9Y6A5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BRU9', 'Alpha6Beta4Integrin', 'P60369'})"
"frozenset({'Q86YD3', 'Alpha6Beta4Integrin', 'Q6P9A2'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13617', 'Q6IN84'})"
"frozenset({'O14802', 'Q00403', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NPJ6', 'Alpha6Beta4Integrin', 'P49336'})"
"frozenset({'Q16576', 'P22392', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BQ66', 'Q5T754', 'Alpha6Beta4Integrin'})"
"frozenset({'P35579', 'Q9NRC8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BT49', 'Alpha6Beta4Integrin', 'P49639'})"
"frozenset({'Alpha6Beta4Integrin', 'O15066', 'Q9HCE1'})"
"frozenset({'Q5T2R2', 'Q9H845', 'Alpha6Beta4Integrin'})"
"frozenset({'Q00839', 'O75127', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13751', 'Q9P2K5', 'Alpha6Beta4Integrin'})"
"frozenset({'P50991', 'Alpha6Beta4Integrin', 'Q9Y4R7'})"
"frozenset({'Q05329', 'Q6ZPD8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NPJ6', 'Alpha6Beta4Integrin', 'Q9UKF6'})"
"frozenset({'Q9Y2I8', 'P40227', 'Alpha6Beta4Integrin'})"
"frozenset({'P45880', 'Q13530', 'Alpha6Beta4Integrin'})"
"frozenset({'P61601', 'Q13885', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8WVM7', 'O43521', 'Alpha6Beta4Integrin'})"
"frozenset({'O60568', 'Q96QF0', 'Alpha6Beta4Integrin'})"
"frozenset({'P46940', 'P59998', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8TDR0', 'Q9NWB7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q86WT6', 'Alpha6Beta4Integrin', 'Q9UHP6'})"
"frozenset({'O14775', 'Alpha6Beta4Integrin', 'O95622'})"
"frozenset({'Q9Y2D8', 'P41227', 'Alpha6Beta4Integrin'})"
"frozenset({'P22626', 'Alpha6Beta4Integrin', 'Q96GY3'})"
"frozenset({'Q16762', 'Alpha6Beta4Integrin', 'Q9NVA2'})"
"frozenset({'P18206', 'Q5T8P6', 'Alpha6Beta4Integrin'})"
"frozenset({'O95453', 'Alpha6Beta4Integrin', 'Q09161'})"
"frozenset({'P08631', 'Alpha6Beta4Integrin', 'P42229'})"
"frozenset({'Q9P0T4', 'O43463', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15075', 'P35968', 'Alpha6Beta4Integrin'})"
"frozenset({'Q00325', 'Q7Z7H8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BT92', 'Q5BJF6', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UH36', 'Alpha6Beta4Integrin', 'Q9HCE1'})"
"frozenset({'P62873', 'Alpha6Beta4Integrin', 'P43657'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BRJ2', 'Q9H0U6'})"
"frozenset({'Q9Y2K6', 'Q15149', 'Alpha6Beta4Integrin'})"
"frozenset({'O14965', 'Alpha6Beta4Integrin', 'P53350'})"
"frozenset({'P26367', 'Alpha6Beta4Integrin', 'Q16630'})"
"frozenset({'O95644', 'Alpha6Beta4Integrin', 'P14921'})"
"frozenset({'P61326', 'Q96A72', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UKX7', 'Alpha6Beta4Integrin', 'Q9UKB1'})"
"frozenset({'Q9NUL5', 'Alpha6Beta4Integrin', 'Q9BYQ4'})"
"frozenset({'Q9H6Z9', 'Alpha6Beta4Integrin', 'O43318'})"
"frozenset({'Q96CS3', 'Alpha6Beta4Integrin', 'P04181'})"
"frozenset({'Q14257', 'Q96JM2', 'Alpha6Beta4Integrin'})"
"frozenset({'O14948', 'Q9H1M4', 'Alpha6Beta4Integrin'})"
"frozenset({'O60711', 'Alpha6Beta4Integrin', 'Q9UBN7'})"
"frozenset({'Q9Y5W5', 'Q9H1J5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UJX2', 'Alpha6Beta4Integrin', 'P30260'})"
"frozenset({'Q16576', 'Alpha6Beta4Integrin', 'Q03164'})"
"frozenset({'Q5T4B2', 'Q8WZ79', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P22695', 'P60953'})"
"frozenset({'Q96IQ7', 'Alpha6Beta4Integrin', 'O43156'})"
"frozenset({'Q15173', 'Q08289', 'Alpha6Beta4Integrin'})"
"frozenset({'Q03701', 'Q9H2C0', 'Alpha6Beta4Integrin'})"
"frozenset({'P25685', 'O60869', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92837', 'O15169', 'Alpha6Beta4Integrin'})"
"frozenset({'O43482', 'Q9NNX1', 'Alpha6Beta4Integrin'})"
"frozenset({'P26678', 'Alpha6Beta4Integrin', 'P62136'})"
"frozenset({'Q9NZJ0', 'Alpha6Beta4Integrin', 'Q9UBW8'})"
"frozenset({'Q9Y6K9', 'Alpha6Beta4Integrin', 'P04843'})"
"frozenset({'Q9H6R7', 'Q68CZ1', 'Alpha6Beta4Integrin'})"
"frozenset({'P15880', 'P46777', 'Alpha6Beta4Integrin'})"
"frozenset({'Q16666', 'Alpha6Beta4Integrin', 'Q9UKB1'})"
"frozenset({'Q13085', 'Alpha6Beta4Integrin', 'P19838'})"
"frozenset({'Q86XA0', 'Q9BUF5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H2K8', 'Alpha6Beta4Integrin', 'P08238'})"
"frozenset({'P14174', 'P60520', 'Alpha6Beta4Integrin'})"
"frozenset({'Q08289', 'Alpha6Beta4Integrin', 'P22694'})"
"frozenset({'O00418', 'P42345', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8N2I9', 'Q96PU5', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16620', 'P22001'})"
"frozenset({'Q9UBZ9', 'P04637', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y657', 'Alpha6Beta4Integrin', 'P21246'})"
"frozenset({'Q14197', 'Q96CW1', 'Alpha6Beta4Integrin'})"
"frozenset({'O43927', 'P49238', 'Alpha6Beta4Integrin'})"
"frozenset({'Q05513', 'P60763', 'Alpha6Beta4Integrin'})"
"frozenset({'P57081', 'Alpha6Beta4Integrin', 'Q96EK5'})"
"frozenset({'P07900', 'Alpha6Beta4Integrin', 'Q9BTL3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q01804', 'P51116'})"
"frozenset({'Q9Y3Z3', 'Alpha6Beta4Integrin', 'Q96S94'})"
"frozenset({'P51684', 'Alpha6Beta4Integrin', 'P55774'})"
"frozenset({'P41252', 'Alpha6Beta4Integrin', 'P35520'})"
"frozenset({'P49407', 'Q9Y585', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BSI4', 'Alpha6Beta4Integrin', 'Q5VT79'})"
"frozenset({'Q8IZI9', 'O00560', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8ND90', 'Alpha6Beta4Integrin', 'Q9NRR5'})"
"frozenset({'Q9UGL1', 'Alpha6Beta4Integrin', 'O95238'})"
"frozenset({'P39748', 'Q13043', 'Alpha6Beta4Integrin'})"
"frozenset({'O94855', 'O94979', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96I24', 'Alpha6Beta4Integrin', 'P13612'})"
"frozenset({'P67870', 'P51946', 'Alpha6Beta4Integrin'})"
"frozenset({'P40617', 'Q14185', 'Alpha6Beta4Integrin'})"
"frozenset({'O43353', 'P51617', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13573', 'Alpha6Beta4Integrin', 'O60508'})"
"frozenset({'P22612', 'O95918', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8TF72', 'P31947', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NVI7', 'P51858', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NYF0', 'Alpha6Beta4Integrin', 'P36873'})"
"frozenset({'Q01094', 'P10415', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UBU9', 'Alpha6Beta4Integrin', 'Q9H6Z4'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15517', 'P19838'})"
"frozenset({'P06576', 'Q9UI09', 'Alpha6Beta4Integrin'})"
"frozenset({'P31749', 'P33778', 'Alpha6Beta4Integrin'})"
"frozenset({'P40855', 'Q8IXI2', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y3A0', 'Alpha6Beta4Integrin', 'Q13011'})"
"frozenset({'P51991', 'Q9NZI8', 'Alpha6Beta4Integrin'})"
"frozenset({'P47985', 'P31930', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q86VQ0', 'Q9UPN4'})"
"frozenset({'P36542', 'Alpha6Beta4Integrin', 'P49736'})"
"frozenset({'P08887', 'P29350', 'Alpha6Beta4Integrin'})"
"frozenset({'O95786', 'Q9UK80', 'Alpha6Beta4Integrin'})"
"frozenset({'P31947', 'P11413', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99459', 'Alpha6Beta4Integrin', 'P43686'})"
"frozenset({'Q9UER7', 'P16150', 'Alpha6Beta4Integrin'})"
"frozenset({'P35222', 'O75564', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96KQ4', 'Alpha6Beta4Integrin', 'P56279'})"
"frozenset({'Q9UQE7', 'Q9NP77', 'Alpha6Beta4Integrin'})"
"frozenset({'O75940', 'Alpha6Beta4Integrin', 'O75533'})"
"frozenset({'P01023', 'P05231', 'Alpha6Beta4Integrin'})"
"frozenset({'P54136', 'P19320', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H6Z9', 'Alpha6Beta4Integrin', 'Q9UPQ7'})"
"frozenset({'P62158', 'Q14318', 'Alpha6Beta4Integrin'})"
"frozenset({'Q86V81', 'Q9H9S0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NV88', 'Q9UL03', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96ES7', 'Alpha6Beta4Integrin', 'Q9NRF9'})"
"frozenset({'P08700', 'Q8IU57', 'Alpha6Beta4Integrin'})"
"frozenset({'P19174', 'Alpha6Beta4Integrin', 'P11216'})"
"frozenset({'Q9H246', 'P34897', 'Alpha6Beta4Integrin'})"
"frozenset({'P18887', 'P19784', 'Alpha6Beta4Integrin'})"
"frozenset({'P05771', 'P35568', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UKM9', 'P61978', 'Alpha6Beta4Integrin'})"
"frozenset({'P48051', 'P61952', 'Alpha6Beta4Integrin'})"
"frozenset({'O95067', 'O00716', 'Alpha6Beta4Integrin'})"
"frozenset({'O14519', 'Q8WXI9', 'Alpha6Beta4Integrin'})"
"frozenset({'O75691', 'Q8IVT5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q00610', 'Alpha6Beta4Integrin', 'P24941'})"
"frozenset({'O95292', 'Alpha6Beta4Integrin', 'Q9Y277'})"
"frozenset({'P32121', 'Alpha6Beta4Integrin', 'P08238'})"
"frozenset({'Q7RTS3', 'O43264', 'Alpha6Beta4Integrin'})"
"frozenset({'P62993', 'P02545', 'Alpha6Beta4Integrin'})"
"frozenset({'O75626', 'Q9Y6W6', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9P2R3', 'Q9Y316', 'Alpha6Beta4Integrin'})"
"frozenset({'P18887', 'P22674', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8NBJ4', 'Q8IWB7'})"
"frozenset({'O00161', 'Q8IVT5', 'Alpha6Beta4Integrin'})"
"frozenset({'O14732', 'P99999', 'Alpha6Beta4Integrin'})"
"frozenset({'P01116', 'Alpha6Beta4Integrin', 'P0DP23'})"
"frozenset({'Q969X6', 'Q9NZM5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8WWZ3', 'O00560', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BY41', 'Alpha6Beta4Integrin', 'Q96A08'})"
"frozenset({'Q6PJT7', 'Alpha6Beta4Integrin', 'Q8TAD8'})"
"frozenset({'Q92959', 'P62993', 'Alpha6Beta4Integrin'})"
"frozenset({'A6NC98', 'Q8TBB1', 'Alpha6Beta4Integrin'})"
"frozenset({'P16403', 'P17026', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H1A4', 'P16298'})"
"frozenset({'Q15286', 'O15259', 'Alpha6Beta4Integrin'})"
"frozenset({'P18859', 'P48047', 'Alpha6Beta4Integrin'})"
"frozenset({'P49792', 'Alpha6Beta4Integrin', 'P10276'})"
"frozenset({'Alpha6Beta4Integrin', 'Q7Z6E9', 'Q13315'})"
"frozenset({'O43255', 'Alpha6Beta4Integrin', 'Q96CJ1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13761', 'P46937'})"
"frozenset({'O76003', 'Q96IK5', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N684', 'P39019'})"
"frozenset({'P07359', 'P21333', 'Alpha6Beta4Integrin'})"
"frozenset({'P23508', 'O43809', 'Alpha6Beta4Integrin'})"
"frozenset({'Q00526', 'Alpha6Beta4Integrin', 'Q9NY97'})"
"frozenset({'Q6ZWI9', 'O75376', 'Alpha6Beta4Integrin'})"
"frozenset({'P62304', 'Alpha6Beta4Integrin', 'Q9Y3F4'})"
"frozenset({'Q13309', 'O43524', 'Alpha6Beta4Integrin'})"
"frozenset({'O96009', 'Alpha6Beta4Integrin', 'P07339'})"
"frozenset({'P05412', 'P25398', 'Alpha6Beta4Integrin'})"
"frozenset({'P54687', 'P07093', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P20700', 'Q9UID3'})"
"frozenset({'Q9NS23', 'Q96QU8', 'Alpha6Beta4Integrin'})"
"frozenset({'P22460', 'Alpha6Beta4Integrin', 'Q03135'})"
"frozenset({'P14635', 'Alpha6Beta4Integrin', 'Q8IWA4'})"
"frozenset({'Q9H0R8', 'Q7Z6E9', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96CW1', 'Alpha6Beta4Integrin', 'P14136'})"
"frozenset({'Q9UL15', 'Alpha6Beta4Integrin', 'Q9BPY3'})"
"frozenset({'P12270', 'Q9BW27', 'Alpha6Beta4Integrin'})"
"frozenset({'O75534', 'P0CB38', 'Alpha6Beta4Integrin'})"
"frozenset({'P52790', 'P28799', 'Alpha6Beta4Integrin'})"
"frozenset({'Q86SQ0', 'Alpha6Beta4Integrin', 'Q8TEH3'})"
"frozenset({'P27694', 'Alpha6Beta4Integrin', 'Q6P2Q9'})"
"frozenset({'P35527', 'Alpha6Beta4Integrin', 'Q96GG9'})"
"frozenset({'Q96MY7', 'Q8ND90', 'Alpha6Beta4Integrin'})"
"frozenset({'P43364', 'A6NK75', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y5Y2', 'P40855', 'Alpha6Beta4Integrin'})"
"frozenset({'O95218', 'Alpha6Beta4Integrin', 'P62987'})"
"frozenset({'Q969S8', 'P18847', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92905', 'Q86V81', 'Alpha6Beta4Integrin'})"
"frozenset({'P27986', 'Alpha6Beta4Integrin', 'Q15303'})"
"frozenset({'P51531', 'Alpha6Beta4Integrin', 'P43354'})"
"frozenset({'P62140', 'P57088', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y3C4', 'P61158', 'Alpha6Beta4Integrin'})"
"frozenset({'P17535', 'Alpha6Beta4Integrin', 'P01100'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96HQ2', 'Q9HCH0'})"
"frozenset({'O14490', 'Q96FJ2', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UHG3', 'Alpha6Beta4Integrin', 'Q8NBM4'})"
"frozenset({'P10451', 'P12955', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NRW3', 'P27635', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H4L7', 'Q08211'})"
"frozenset({'P67870', 'Alpha6Beta4Integrin', 'P61962'})"
"frozenset({'Q96LJ7', 'P59991', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8TF40', 'Q9H0R8', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P00441', 'Q6NVY1'})"
"frozenset({'P10809', 'Alpha6Beta4Integrin', 'P26371'})"
"frozenset({'P54289', 'Q8NFB2', 'Alpha6Beta4Integrin'})"
"frozenset({'Q00005', 'P62701', 'Alpha6Beta4Integrin'})"
"frozenset({'P35626', 'Alpha6Beta4Integrin', 'Q8NGS8'})"
"frozenset({'P50402', 'Alpha6Beta4Integrin', 'P01133'})"
"frozenset({'Alpha6Beta4Integrin', 'P07203', 'Q14203'})"
"frozenset({'Q9HAU5', 'Alpha6Beta4Integrin', 'O95758'})"
"frozenset({'O60260', 'O94826', 'Alpha6Beta4Integrin'})"
"frozenset({'P23142', 'Alpha6Beta4Integrin', 'P48745'})"
"frozenset({'Q01831', 'O15297', 'Alpha6Beta4Integrin'})"
"frozenset({'P50613', 'Alpha6Beta4Integrin', 'P15927'})"
"frozenset({'Q9NWZ5', 'Alpha6Beta4Integrin', 'Q86WV1'})"
"frozenset({'P61019', 'Alpha6Beta4Integrin', 'Q14254'})"
"frozenset({'P19474', 'Q99757', 'Alpha6Beta4Integrin'})"
"frozenset({'Q07157', 'Alpha6Beta4Integrin', 'Q9NSI5'})"
"frozenset({'P04637', 'Alpha6Beta4Integrin', 'Q71U36'})"
"frozenset({'P05067', 'Q5TZF3', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UHB6', 'P35244', 'Alpha6Beta4Integrin'})"
"frozenset({'Q5XKE5', 'Alpha6Beta4Integrin', 'P02533'})"
"frozenset({'Q12933', 'Alpha6Beta4Integrin', 'Q9NS68'})"
"frozenset({'P62750', 'P46777', 'Alpha6Beta4Integrin'})"
"frozenset({'P11441', 'Alpha6Beta4Integrin', 'Q13813'})"
"frozenset({'Q9NTK5', 'Alpha6Beta4Integrin', 'O43172'})"
"frozenset({'P62241', 'Alpha6Beta4Integrin', 'Q9NY61'})"
"frozenset({'P12004', 'Q9NZD8', 'Alpha6Beta4Integrin'})"
"frozenset({'P61978', 'Alpha6Beta4Integrin', 'Q13315'})"
"frozenset({'Q03405', 'Alpha6Beta4Integrin', 'Q12884'})"
"frozenset({'P09493', 'Q504Q3', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6PIL6', 'P08123', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14978', 'Q9Y5K6', 'Alpha6Beta4Integrin'})"
"frozenset({'Q12906', 'P62847', 'Alpha6Beta4Integrin'})"
"frozenset({'Q00610', 'Q15843', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92805', 'Alpha6Beta4Integrin', 'Q8IYX8'})"
"frozenset({'O95817', 'Alpha6Beta4Integrin', 'Q8TBE9'})"
"frozenset({'Q96AJ9', 'O43752', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NNW5', 'Q8IVT5', 'Alpha6Beta4Integrin'})"
"frozenset({'P98177', 'P24522', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UNE7', 'P00540', 'Alpha6Beta4Integrin'})"
"frozenset({'P49792', 'Alpha6Beta4Integrin', 'Q15022'})"
"frozenset({'Q9NNZ3', 'Q8IZU0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y4K3', 'Alpha6Beta4Integrin', 'P56134'})"
"frozenset({'Q9UBP9', 'P05106', 'Alpha6Beta4Integrin'})"
"frozenset({'O75604', 'P01130', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NY74', 'Q13315'})"
"frozenset({'Q15051', 'P53794', 'Alpha6Beta4Integrin'})"
"frozenset({'O75751', 'P48023', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BSW7', 'Q9Y2B5', 'Alpha6Beta4Integrin'})"
"frozenset({'P54253', 'Q15032', 'Alpha6Beta4Integrin'})"
"frozenset({'P58753', 'Q13368', 'Alpha6Beta4Integrin'})"
"frozenset({'P62633', 'Q9UM73', 'Alpha6Beta4Integrin'})"
"frozenset({'O75604', 'Q16526', 'Alpha6Beta4Integrin'})"
"frozenset({'P28223', 'Alpha6Beta4Integrin', 'P29992'})"
"frozenset({'Q6ZNC8', 'P04150', 'Alpha6Beta4Integrin'})"
"frozenset({'P50222', 'Q9H8K7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q4G0N4', 'P00491', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8NBB4', 'Alpha6Beta4Integrin', 'Q96JS3'})"
"frozenset({'Q969G3', 'Q9H4L7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UHB6', 'Q5TCX8', 'Alpha6Beta4Integrin'})"
"frozenset({'P78347', 'Alpha6Beta4Integrin', 'Q8N6T7'})"
"frozenset({'P0DMV8', 'O60260', 'Alpha6Beta4Integrin'})"
"frozenset({'O00418', 'P49137', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P15374', 'Q15631'})"
"frozenset({'P62633', 'Alpha6Beta4Integrin', 'Q15022'})"
"frozenset({'Q14134', 'Alpha6Beta4Integrin', 'P17040'})"
"frozenset({'P30153', 'Alpha6Beta4Integrin', 'Q9GZV5'})"
"frozenset({'P21796', 'Q9NZ45', 'Alpha6Beta4Integrin'})"
"frozenset({'P46781', 'Alpha6Beta4Integrin', 'Q2NL82'})"
"frozenset({'P43365', 'Alpha6Beta4Integrin', 'Q06732'})"
"frozenset({'P12931', 'P23246', 'Alpha6Beta4Integrin'})"
"frozenset({'P17655', 'Q9UNZ2', 'Alpha6Beta4Integrin'})"
"frozenset({'Q08J23', 'Alpha6Beta4Integrin', 'P35241'})"
"frozenset({'Q8NHQ1', 'Q96M91', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O60884', 'Q99814'})"
"frozenset({'P67870', 'Alpha6Beta4Integrin', 'Q13625'})"
"frozenset({'Q9H5J0', 'P84022', 'Alpha6Beta4Integrin'})"
"frozenset({'P63279', 'O15015', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6ZVD8', 'Alpha6Beta4Integrin', 'Q96L92'})"
"frozenset({'Alpha6Beta4Integrin', 'Q6IA86', 'Q9HCE1'})"
"frozenset({'P25789', 'Alpha6Beta4Integrin', 'O60566'})"
"frozenset({'O14746', 'Q9UNE7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8NEM0', 'Q15003', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NQ48', 'Q13867', 'Alpha6Beta4Integrin'})"
"frozenset({'P20618', 'Alpha6Beta4Integrin', 'P54725'})"
"frozenset({'O95235', 'O95271', 'Alpha6Beta4Integrin'})"
"frozenset({'P49790', 'P63279', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15154', 'Alpha6Beta4Integrin', 'Q8N157'})"
"frozenset({'O94941', 'P40692', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9P0U4', 'P17980', 'Alpha6Beta4Integrin'})"
"frozenset({'Q12882', 'Alpha6Beta4Integrin', 'P04406'})"
"frozenset({'P19105', 'Q01968', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UBS0', 'Q01844', 'Alpha6Beta4Integrin'})"
