negatives
"('P38646', 'Q9Y4K3')"
"('Q9ULG1', 'Q8NBZ0')"
"('Q12824', 'P01106')"
"('Q8TB05', 'Q96G25')"
"('P43364', 'Q8TAP6')"
"('P84022', 'P16144')"
"('Q15648', 'P67870')"
"('Q86WN2', 'P14784')"
"('P61421', 'Q8N1B4')"
"('Q13112', 'P51679')"
"('Q13162', 'P07237')"
"('Q8N531', 'P63208')"
"('O95602', 'Q9NYV6')"
"('Q8WUI4', 'O60814')"
"('P11171', 'Q04637')"
"('Q9UKV8', 'P38646')"
"('P06753', 'P08575')"
"('P17931', 'P13569')"
"('Q96DB2', 'Q99878')"
"('P30876', 'O15514')"
"('P61586', 'P14784')"
"('P61962', 'Q15796')"
"('Q9HCK5', 'P11021')"
"('Q9HB71', 'P01889')"
"('P49841', 'Q8N4C6')"
"('Q92835', 'P19438')"
"('P62807', 'Q14164')"
"('Q99615', 'Q99638')"
"('P78537', 'Q99624')"
"('Q9UNN5', 'Q9H1I8')"
"('O00401', 'Q9BPX5')"
"('Q9UKR5', 'P31942')"
"('P47897', 'P02766')"
"('O15085', 'P63000')"
"('Q13315', 'O60216')"
"('P63104', 'O95544')"
"('P61224', 'P05060')"
"('Q01105', 'O75815')"
"('P30556', 'P04049')"
"('Q16787', 'P05556')"
"('P78524', 'P31947')"
"('Q9Y6K9', 'P46782')"
"('P98164', 'P18146')"
"('Q16557', 'Q9BZL6')"
"('Q9UKV3', 'Q13573')"
"('P62987', 'P19438')"
"('Q14103', 'P35637')"
"('P07202', 'Q14626')"
"('Q14209', 'P04183')"
"('P03897', 'Q16795')"
"('P19174', 'O75167')"
"('P48436', 'P10915')"
"('Q08117', 'Q15475')"
"('Q9UK53', 'Q13547')"
"('Q9ULJ8', 'P41220')"
"('P10914', 'Q14145')"
"('Q15797', 'P57729')"
"('P16471', 'Q9UKB1')"
"('Q8N3Y3', 'O43505')"
"('P36897', 'O94921')"
"('Q9BZR8', 'P18146')"
"('P11216', 'P12814')"
"('P11171', 'P68036')"
"('P04406', 'Q15102')"
"('Q99459', 'Q9UL03')"
"('Q9P2H0', 'Q8IZ13')"
"('Q8N693', 'O60861')"
"('Q16539', 'Q07352')"
"('Q9BV68', 'P61077')"
"('Q9Y261', 'P22680')"
"('P22681', 'P21860')"
"('P08238', 'Q9Y2Z0')"
"('Q13485', 'P41221')"
"('Q13315', '9757')"
"('P43246', 'O96017')"
"('Q15796', 'Q96FJ0')"
"('P63104', 'Q92574')"
"('O95139', 'O75251')"
"('P36405', 'O43924')"
"('Q13576', 'Q99759')"
"('P04049', 'O14593')"
"('P20337', 'Q15797')"
"('O95298', 'Q9Y6M9')"
"('P56715', 'P25791')"
"('Q04721', 'P46109')"
"('P18077', 'Q9Y4K3')"
"('Q5JVS0', 'Q14011')"
"('Q9UL46', 'P16871')"
"('Q13895', 'Q12815')"
"('P23284', 'Q9Y4K3')"
"('Q15139', 'P20701')"
"('P17813', 'P08476')"
"('P01133', 'P04626')"
"('O43896', 'P62258')"
"('Q86Y39', 'O95167')"
"('Q9NR12', 'P55040')"
"('P16401', 'P07288')"
"('P61981', 'P78527')"
"('O75385', 'P60520')"
"('P46781', 'Q99558')"
"('P98160', 'P35555')"
"('P01011', 'P08311')"
"('406901', 'Q6DJT9')"
"('P35637', 'Q00839')"
"('Q9UNH7', 'P36897')"
"('Q13315', 'Q14643')"
"('O95484', 'Q16625')"
"('Q9Y5J5', 'P48444')"
"('Q01201', 'Q8NHW5')"
"('P62266', 'P62841')"
"('P08107', 'O95429')"
"('Q96ES7', 'P61964')"
"('P08047', 'Q9HBE5')"
"('O00463', 'Q02223')"
"('P10275', 'P17936')"
"('Q9NRG4', 'P68431')"
"('Q16186', 'Q9UMX0')"
"('Q00653', 'Q04637')"
"('O14625', 'P32302')"
"('Q92630', 'Q9Y620')"
"('P48443', 'Q06710')"
"('P49903', 'Q14194')"
"('P05114', 'Q9Y4A5')"
"('P56182', 'Q53EL6')"
"('9757', 'P06241')"
"('O15371', 'P20042')"
"('Q86XR8', 'P51668')"
"('Q8NI27', 'Q86W42')"
"('P10276', 'P00750')"
"('P11802', 'Q16254')"
"('Q9Y617', 'P16035')"
"('Q8TC59', 'Q9UPY3')"
"('Q9BX66', 'P50570')"
"('Q9Y618', 'P27540')"
"('P07996', 'Q01094')"
"('P63208', 'Q5XUX0')"
"('P50991', 'Q15418')"
"('O60814', 'Q86WJ1')"
"('Q14145', 'P10914')"
"('Q99942', 'Q96B02')"
"('P39748', 'P61421')"
"('Q99816', 'P31350')"
"('Q9UKE5', 'P51572')"
"('P62158', 'P63104')"
"('P54619', 'P36956')"
"('P49841', 'P37840')"
"('Q03013', 'Q05516')"
"('P05387', 'P61513')"
"('P42766', 'Q13233')"
"('Q96T60', 'Q13426')"
"('O15355', 'Q9Y6K5')"
"('O95169', 'O75251')"
"('P06493', 'Q02539')"
"('P39023', 'P62917')"
"('P35626', 'Q8NGA0')"
"('P42773', 'P30281')"
"('P98171', 'P15153')"
"('P63104', 'Q96J92')"
"('Q13158', 'Q14790')"
"('P48357', 'O60674')"
"('P13073', 'P10809')"
"('P61077', 'O43164')"
"('Q9Y6F6', 'Q14571')"
"('Q8IZH2', 'P46379')"
"('P23246', 'Q99459')"
"('O43561', 'P78314')"
"('P23246', 'Q13573')"
"('Q9UG56', 'Q8NCG7')"
"('Q96NE9', 'Q8NHQ8')"
"('P62837', 'Q86UW7')"
"('O14625', 'P41597')"
"('P52272', 'O75365')"
"('P06732', 'P12277')"
"('Q5UIP0', 'P42773')"
"('Q13643', 'Q05516')"
"('P48730', 'Q9NYF0')"
"('P78345', 'P06241')"
"('P01112', 'P10398')"
"('Q16665', 'Q92793')"
"('O60331', 'P12830')"
"('P27361', 'O15496')"
"('P35228', 'P01100')"
"('Q92993', 'O15211')"
"('P19474', 'Q13616')"
"('P24941', 'Q96JH8')"
"('Q14974', 'P21246')"
"('P46379', 'Q96IP4')"
"('O14980', 'Q15910')"
"('O15143', 'Q07890')"
"('P10636', 'Q9UQF2')"
"('Q96BK5', 'P83731')"
"('Q13535', 'Q15382')"
"('P01135', 'Q5TCQ9')"
"('Q08945', 'Q9Y5B9')"
"('P33991', 'O95696')"
"('Q6GQQ9', 'O00220')"
"('Q6P597', 'P61981')"
"('P13631', 'P11831')"
"('O15371', 'Q9UBQ5')"
"('Q9Y2Q5', 'Q6IAA8')"
"('Q07960', 'P61587')"
"('O15530', 'Q9H6R7')"
"('Q99459', 'O43395')"
"('Q9NP77', 'O95639')"
"('P24941', 'P39748')"
"('P32004', 'P04156')"
"('Q9UM47', 'Q06330')"
"('O15400', 'O75379')"
"('Q14209', 'Q8NEM0')"
"('Q15545', 'P08047')"
"('P35913', 'P16499')"
"('Q15648', 'P10071')"
"('P35625', 'Q13444')"
"('Q96A65', 'Q96KP1')"
"('Q15303', 'Q92569')"
"('P49674', 'O60716')"
"('Q00005', 'P07477')"
"('P17844', 'O95433')"
"('O14640', 'Q92837')"
"('P23508', 'Q01813')"
"('P63279', 'Q13422')"
"('Q8IY92', 'Q9BXW9')"
"('P27635', 'P62945')"
"('P15311', 'P32004')"
"('Q9HCS4', 'P35222')"
"('Q9Y572', 'P62829')"
"('P01562', 'Q14627')"
"('P23396', 'P62993')"
"('Q07157', 'O00501')"
"('Q9NYW4', 'A8MTJ3')"
"('Q96B97', 'P51149')"
"('O95639', 'Q10570')"
"('Q13131', 'Q16822')"
"('Q16821', 'Q9Y243')"
"('Q92851', 'Q15628')"
"('Q9P0M6', 'Q9UKV0')"
"('Q9NZ42', 'Q92542')"
"('P04629', 'Q92529')"
"('Q8NFJ9', 'Q9Y613')"
"('Q9NPA5', 'Q5JR59')"
"('Q12933', 'Q9UHD2')"
"('P16152', 'P30480')"
"('Q05655', 'Q9Y2U5')"
"('P13725', 'Q5VWK5')"
"('P49910', 'O95251')"
"('P51817', 'P49841')"
"('O95400', 'P23246')"
"('Q9GZX6', 'P08887')"
"('P49795', 'P04899')"
"('P01563', 'P42702')"
"('Q96KK5', 'Q969S8')"
"('Q8N3U4', 'Q14683')"
"('P68036', 'Q9Y4K3')"
"('Q9Y2T1', 'Q92997')"
"('P62873', 'P27361')"
"('P61927', 'P18077')"
"('P31948', 'Q13557')"
"('O14508', 'P40763')"
"('P28221', 'O14610')"
"('O75578', 'P21333')"
"('Q99250', 'Q86XS8')"
"('P05386', 'Q9GZQ8')"
"('Q15257', 'P17252')"
"('P52597', 'Q9UKV8')"
"('Q9UP83', 'O00463')"
"('Q13501', 'Q13557')"
"('Q02878', 'P83881')"
"('Q86U06', 'P27694')"
"('P98082', 'O15169')"
"('P13866', 'P00533')"
"('O60508', 'P26368')"
"('Q96BQ3', 'P51668')"
"('Q92879', 'P07910')"
"('Q14197', 'Q9H7H0')"
"('Q14164', 'Q99460')"
"('P40938', 'Q99459')"
"('P51159', 'Q9Y4I1')"
"('Q9UIG0', 'O60264')"
"('Q01094', 'Q8N726')"
"('P35227', 'Q8IY57')"
"('P40938', 'Q13573')"
"('O14503', 'P40763')"
"('Q09013', 'Q13526')"
"('O95405', 'Q7Z6E9')"
"('P30050', 'Q9UQ80')"
"('Q9NY65', 'Q14204')"
"('P29353', 'P00403')"
"('P01588', 'P16471')"
"('Q92925', 'P06400')"
"('P51946', 'P19447')"
"('P61803', 'P30480')"
"('Q9BRP4', 'Q8IZ83')"
"('P42679', 'P04626')"
"('Q9Y230', 'Q9NRQ2')"
"('P01106', 'Q8IXU6')"
"('P30457', 'P30455')"
"('P10599', 'Q9HC24')"
"('Q9H9L3', 'P62993')"
"('P16403', 'Q13185')"
"('P54257', 'Q9UL03')"
"('O75582', 'Q04206')"
"('P24530', 'P56645')"
"('Q9UL46', 'O00233')"
"('O95467', 'P62879')"
"('P56545', 'Q9H8T0')"
"('Q13315', 'O14920')"
"('Q16531', 'Q92466')"
"('P61088', 'Q13049')"
"('P05113', 'P15260')"
"('P29459', 'P08887')"
"('P16520', 'P11229')"
"('Q13155', 'Q9P2H0')"
"('Q8IWW6', 'Q92730')"
"('O43242', 'P01241')"
"('P27694', 'P67870')"
"('P19875', 'P51686')"
"('P62910', 'Q14164')"
"('Q8N7H5', 'P23193')"
"('Q9HBE4', 'P14784')"
"('Q6DN03', 'Q15291')"
"('Q9NRM7', 'Q9GZV5')"
"('406892', 'P53350')"
"('Q6NV75', 'Q00975')"
"('P38936', 'P62328')"
"('Q96A08', 'Q9P0M6')"
"('Q9BV40', 'O15400')"
"('P30084', 'Q9HAU4')"
"('P09341', 'P32302')"
"('Q8TEY5', 'P15336')"
"('P27361', 'P98177')"
"('P21675', 'Q00987')"
"('P63165', 'P04637')"
"('Q86Y13', 'Q96B02')"
"('P61981', 'Q9UPU9')"
"('Q12873', 'P07196')"
"('P04637', 'Q07817')"
"('Q13503', 'P41235')"
"('P04150', 'P06239')"
"('P16333', 'Q13094')"
"('O75116', 'P10916')"
"('Q9P0L2', 'Q9UM73')"
"('Q15466', 'P11474')"
"('P05556', 'P63244')"
"('Q9Y230', 'Q9Y5K5')"
"('P83881', 'Q07020')"
"('Q13217', 'O43422')"
"('Q16531', 'Q9NX09')"
"('P12757', 'Q5T5Y3')"
"('Q9HC98', 'Q9Y230')"
"('Q15599', 'P84022')"
"('P54619', 'O75385')"
"('Q93034', 'Q15843')"
"('P42338', 'P48736')"
"('Q9Y2K7', 'P63208')"
"('Q9Y272', 'P17612')"
"('P10644', 'Q9Y6D6')"
"('P14416', 'P08754')"
"('Q9H1Y0', 'Q96CV9')"
"('Q93079', 'P04908')"
"('Q96S59', 'Q15287')"
"('Q99759', 'Q9H3G5')"
"('P27448', 'P0CG48')"
"('P52333', 'P42226')"
"('P31689', 'Q15628')"
"('P01023', 'P16104')"
"('Q9P2G9', 'O43708')"
"('Q06787', 'P51116')"
"('P00519', 'Q13315')"
"('O14717', 'P09661')"
"('Q15517', 'Q9NRR5')"
"('O75832', 'Q16401')"
"('Q15714', 'Q9Y2S7')"
"('Q05397', 'Q7L0Q8')"
"('Q8NI35', 'Q9NVP1')"
"('P19022', 'P23470')"
"('P13725', 'P32927')"
"('P17542', 'P06400')"
"('Q99816', 'Q86Y13')"
"('Q9Y6Q5', 'P61966')"
"('P19532', 'O15067')"
"('P21675', 'P25054')"
"('Q15691', 'Q5JR59')"
"('Q9NYJ8', 'P17858')"
"('P01137', 'P31483')"
"('Q00013', 'P04921')"
"('Q9Y5J5', 'Q96EY1')"
"('P12956', 'Q07812')"
"('Q96C10', 'Q9UPY3')"
"('Q15788', 'Q09472')"
"('Q01085', 'Q15717')"
"('Q09472', 'P19793')"
"('Q9Y244', 'O14818')"
"('P56199', 'P16144')"
"('P51587', 'O94776')"
"('Q9NV70', 'Q9C026')"
"('P11274', 'O14924')"
"('Q9Y5V3', 'P68366')"
"('O95167', 'O15239')"
"('P21673', 'P22459')"
"('Q9ULV4', 'Q99759')"
"('P0CG47', 'Q96PM5')"
"('O43766', 'P16220')"
"('Q13868', 'Q9NQT5')"
"('P17302', 'Q9UKL4')"
"('P04629', 'P98077')"
"('Q9BY76', 'P42771')"
"('Q07020', 'P62913')"
"('Q8IY63', 'Q86UL8')"
"('Q06187', 'P25445')"
"('P98164', 'P98082')"
"('Q99570', 'Q9Y243')"
"('Q01892', 'Q15306')"
"('P02100', 'P24468')"
"('Q9Y4K3', 'Q05513')"
"('Q01973', 'P01138')"
"('P24522', 'Q504T8')"
"('Q9BX70', 'Q04724')"
"('P05129', 'P47712')"
"('P07900', 'P40763')"
"('P15056', 'P61981')"
"('O95685', 'Q96SB3')"
"('Q9Y2T4', 'Q9NY47')"
"('Q9P2W3', 'P53778')"
"('Q96KM6', 'Q15797')"
"('P05305', 'P23582')"
"('Q15369', 'O60739')"
"('P16333', 'P10301')"
"('Q9UNM6', 'Q99460')"
"('P51532', 'Q92922')"
"('P30533', 'O15355')"
"('P49841', 'P54252')"
"('P55157', 'P43699')"
"('O75352', 'Q15014')"
"('Q9P2J5', 'Q9Y6K9')"
"('Q8IY92', 'P82921')"
"('P35626', 'Q8NGG3')"
"('P56199', 'P27658')"
"('Q9UBP9', 'P05106')"
"('Q15853', 'P22528')"
"('P05231', 'P38484')"
"('Q15910', 'P42772')"
"('P23921', 'P01889')"
"('Q75N90', 'P04844')"
"('P30050', 'P61353')"
"('P17612', 'P25963')"
"('Q01453', 'P27824')"
"('Q9HB71', 'P30480')"
"('P61956', 'Q9H8M9')"
"('Q13153', 'Q04771')"
"('Q5JWF2', 'P51828')"
"('Q6XUX3', 'Q3MHD2')"
"('P61981', 'Q7L8J4')"
"('P30480', 'P49720')"
"('P57087', 'O75970')"
"('P35626', 'Q8NGA1')"
"('Q8NDZ4', 'Q9Y478')"
"('P99999', 'Q9UHB4')"
"('P53803', 'P24928')"
"('Q13393', 'O14939')"
"('P51817', 'Q8IWT1')"
"('P0CG47', 'Q13233')"
"('P04637', 'P12429')"
"('Q03014', 'Q9NQ30')"
"('P34896', 'O95084')"
"('Q3MIN7', 'P11234')"
"('P00519', 'Q13087')"
"('P56748', 'O15551')"
"('Q9H201', 'P16234')"
"('O95832', 'Q8NI35')"
"('P41235', 'Q92482')"
"('P27986', 'O14827')"
"('Q13233', 'P26373')"
"('Q9UBD9', 'P17181')"
"('P01562', 'Q969J5')"
"('P08620', 'P08581')"
"('Q92956', 'P29622')"
"('Q9Y3U8', 'P46777')"
"('P63104', 'Q9BYG5')"
"('P13500', 'P46094')"
"('Q13418', 'Q9Y243')"
"('P24385', 'O15111')"
"('P18146', 'Q969P0')"
"('Q9UBV8', 'P50570')"
"('Q15287', 'Q05519')"
"('Q9Y4F9', 'P61981')"
"('P62330', 'P33176')"
"('P47898', 'P62873')"
"('Q9Y6K9', 'Q8TEL6')"
"('O43504', 'Q5UIP0')"
"('P24666', 'Q14164')"
"('P59768', 'P62873')"
"('Q08117', 'Q16539')"
"('Q86UW9', 'Q93062')"
"('Q9UPR3', 'Q969Q6')"
"('Q9H5I1', 'O60318')"
"('Q9HBM6', 'Q9H0E3')"
"('P78396', 'P49674')"
"('Q15370', 'Q8N668')"
"('Q9P2G9', 'Q96EK6')"
"('P15170', 'Q13573')"
"('P48736', 'P50993')"
"('P35626', 'P58181')"
"('Q9NRY4', 'P41182')"
"('Q15796', '406954')"
"('Q8NGZ5', 'P38405')"
"('Q9BZI7', 'Q92900')"
"('Q9Y261', 'P20711')"
"('Q9H1D9', 'Q9NVU0')"
"('Q92569', 'P01112')"
"('P37108', 'P01889')"
"('P16152', 'P38646')"
"('Q9NRD5', 'P35249')"
"('P62993', 'P18077')"
"('Q9UM73', 'O60674')"
"('P19174', 'P27816')"
"('Q9UKY1', 'O75874')"
"('Q9Y5J5', 'O00159')"
"('Q9H5Z6', 'O94972')"
"('Q29RF7', 'P58753')"
"('P45983', 'P19419')"
"('P41182', 'Q9ULV5')"
"('Q96EK5', 'O75365')"
"('P20339', 'Q9UKG1')"
"('P0CG48', 'P53355')"
"('P01106', 'P55060')"
"('Q15365', 'Q9GZN1')"
"('Q02156', 'P12236')"
"('Q9H6Y7', 'Q9P031')"
"('Q86Y56', 'Q96T60')"
"('P84022', 'Q05516')"
"('P05771', 'Q15080')"
"('Q9Y4H2', 'P48357')"
"('Q9H204', 'Q92882')"
"('O14656', 'Q8NFQ8')"
"('Q9Y6K9', 'Q13748')"
"('P11142', 'O00221')"
"('Q9NSI5', 'Q96QZ7')"
"('O95484', 'P56880')"
"('O75956', 'Q13422')"
"('Q99708', 'P25791')"
"('Q9BWD1', 'Q9UKE5')"
"('P12931', 'Q15118')"
"('P62280', 'P08708')"
"('P05107', 'P01024')"
"('P28347', 'Q9NQB0')"
"('P00533', 'P51149')"
"('P13942', 'Q05397')"
"('Q9UFG5', 'Q96L14')"
"('Q00005', 'Q14533')"
"('P62917', 'P32969')"
"('Q9H0M0', 'P17948')"
"('P04156', 'P00747')"
"('Q15257', 'Q16589')"
"('Q8N357', 'P62380')"
"('O75626', 'Q96D21')"
"('Q99496', 'Q13573')"
"('P10914', 'Q92830')"
"('P08238', 'P40925')"
"('Q96ST3', 'P51610')"
"('Q8TBE7', 'Q96P50')"
"('P29400', 'P08648')"
"('Q92569', 'Q8IZ69')"
"('Q16534', 'Q9NR55')"
"('P05362', 'P40763')"
"('Q13190', 'O96009')"
"('P45983', 'Q12968')"
"('P01857', 'P02768')"
"('Q9UKR5', 'P60953')"
"('Q99460', 'Q99459')"
"('Q13310', 'Q14164')"
"('Q8IUE6', 'P58876')"
"('Q9Y3F4', 'Q9P0P8')"
"('P03950', 'P60484')"
"('Q99460', 'Q13573')"
"('Q9NPF7', 'P15260')"
"('Q92597', 'P07900')"
"('P09486', 'P01127')"
"('P10827', 'P60709')"
"('P11387', 'Q14197')"
"('P49792', 'P35398')"
"('P51955', 'O14777')"
"('Q9Y6Q5', 'O14976')"
"('Q93097', 'O75197')"
"('P09016', 'P12980')"
"('Q13255', 'P08754')"
"('Q15427', 'Q12906')"
"('P23508', 'P30084')"
"('Q9NV70', 'Q9NRI5')"
"('P25786', 'Q9Y4K3')"
"('P40337', 'P62877')"
"('P02786', 'Q30201')"
"('Q99816', 'P46940')"
"('Q9HAW0', 'P20226')"
"('Q00994', 'Q15834')"
"('O60353', 'O75581')"
"('Q9Y2L1', 'Q9NQT5')"
"('P61006', 'O60828')"
"('O15479', 'P62249')"
"('P40933', 'Q13651')"
"('P32927', 'P43405')"
"('O43639', 'P54259')"
"('P53539', 'Q96EB6')"
"('P52907', 'Q6IBS0')"
"('Q8NEZ4', 'Q6ZW49')"
"('P35658', 'P49792')"
"('P52735', 'P63000')"
"('Q92769', 'Q9H7L9')"
"('Q6VMQ6', 'Q9BXP8')"
"('Q14919', 'P20226')"
"('Q9H2G2', 'Q15427')"
"('Q15019', 'P23508')"
"('Q86X95', 'Q13547')"
"('P27797', 'P04222')"
"('P42330', 'Q9UKY1')"
"('O94805', 'O00716')"
"('P04083', 'P00533')"
"('P82933', 'O75909')"
"('Q5VTD9', 'Q9HC77')"
"('P23508', 'P11802')"
"('Q08117', 'Q99963')"
"('P63173', 'P62917')"
"('P62195', 'P01583')"
"('Q99471', 'Q15811')"
"('P27540', 'Q9Y2N7')"
"('P17081', 'Q15642')"
"('Q8NHZ7', 'Q92769')"
"('Q9Y5Q9', 'Q8WUA4')"
"('P62273', 'P62851')"
"('Q13573', 'Q10567')"
"('P05451', 'Q06141')"
"('P31947', 'P04150')"
"('Q92540', 'Q9UPR3')"
"('P10275', 'P55317')"
"('P05231', 'P32927')"
"('P50453', 'P68104')"
"('Q92796', 'Q9Y2T3')"
"('P59768', 'Q92633')"
