negatives
"('Q99759', 'Q9BV68')"
"('O43597', 'P52943')"
"('Q9UPT6', 'O14733')"
"('P68400', 'P31946')"
"('Q12933', 'Q8N5C8')"
"('Q13415', 'P78396')"
"('Q12986', 'P55795')"
"('P30480', 'P13798')"
"('P01241', 'Q15019')"
"('Q96FV9', 'Q9BQA1')"
"('Q7L5N1', 'Q9BWC9')"
"('P02776', 'P25025')"
"('P78536', 'P05067')"
"('P30480', 'P15311')"
"('O95999', 'Q9NPP4')"
"('P60709', 'P16104')"
"('P33981', 'Q13573')"
"('Q7Z7J5', 'Q92997')"
"('Q96S59', 'P30530')"
"('Q13315', 'Q9NWX6')"
"('Q10570', 'Q9NP77')"
"('Q969S8', 'P58876')"
"('Q15436', 'Q99459')"
"('P16870', 'P20382')"
"('P62701', 'P62841')"
"('O94810', 'P18146')"
"('Q9P2R6', 'Q16610')"
"('P67775', 'Q13541')"
"('P25024', 'O14672')"
"('Q9UKL0', 'O75362')"
"('P49703', 'Q13432')"
"('Q9UJM3', 'Q13191')"
"('P40337', 'Q92839')"
"('Q8NFH4', 'Q12769')"
"('P04183', 'O14576')"
"('Q9UPX8', 'Q86YM7')"
"('P40337', 'Q9NR31')"
"('406953', 'O43521')"
"('P14598', 'Q9Y5S8')"
"('O60739', 'Q9NR99')"
"('P30480', 'Q9UKK9')"
"('P04406', 'O14980')"
"('Q7L5N1', 'P20073')"
"('P52565', 'P08138')"
"('P17066', 'Q99558')"
"('P17174', 'P01889')"
"('Q16594', 'Q5RL73')"
"('P04637', 'Q9NS56')"
"('Q9Y4K3', 'P68036')"
"('Q9BQY4', 'Q86UW9')"
"('P61077', 'Q8TDN6')"
"('P16520', 'P36897')"
"('Q8NHZ8', 'Q9NZH5')"
"('Q9H492', 'P05129')"
"('Q9Y2J4', 'P35900')"
"('Q5TA45', 'O15162')"
"('Q13547', 'P29590')"
"('P30304', 'P62258')"
"('Q9H9Y6', 'Q9GZS1')"
"('P05412', 'Q92905')"
"('Q07020', 'P62888')"
"('Q08209', 'Q9UJX5')"
"('P08069', 'Q9ULV8')"
"('P67775', 'O15169')"
"('P24534', 'P23508')"
"('Q13761', 'P20823')"
"('P16109', 'P26022')"
"('Q15811', 'P50570')"
"('Q16659', 'Q7Z3C6')"
"('Q08345', 'Q8TEW0')"
"('Q9NX58', 'Q8IWS0')"
"('P38159', 'P26368')"
"('P49913', 'P08069')"
"('Q5VWG9', 'P84243')"
"('P18146', 'Q99674')"
"('P78317', 'Q8NCF5')"
"('P63211', 'Q00975')"
"('Q15797', 'Q9BX70')"
"('Q8IU54', 'P32927')"
"('P17301', 'P17612')"
"('Q96NE9', 'Q9H175')"
"('Q01081', 'Q96SB4')"
"('P29350', 'P21854')"
"('P56199', 'Q07890')"
"('Q96FK6', 'Q92561')"
"('Q9NWB7', 'Q9Y2Q3')"
"('Q9Y678', 'Q13418')"
"('Q969T4', 'Q99942')"
"('Q14847', 'P25024')"
"('O00463', 'P43489')"
"('Q99613', 'P60709')"
"('Q9P202', 'O75096')"
"('P21580', 'Q13546')"
"('Q9UBZ4', 'Q96ED9')"
"('P46108', 'Q13905')"
"('B2RTY4', 'P0CAP2')"
"('Q9Y2H5', 'Q9HAU0')"
"('P02778', 'P32246')"
"('Q9Y570', 'P67775')"
"('O95049', 'Q07157')"
"('Q9Y239', 'Q13098')"
"('O14576', 'P68366')"
"('O75528', 'P11142')"
"('Q9BTT4', 'P10914')"
"('O00459', 'P40763')"
"('P29350', 'Q02556')"
"('P50148', 'O14641')"
"('O95751', 'O75346')"
"('Q9Y243', 'Q12778')"
"('P10636', 'O95793')"
"('Q5RL73', 'Q12972')"
"('P20618', 'Q96RG2')"
"('Q9HC16', 'P0CG48')"
"('P60510', 'Q5SZD4')"
"('P62854', 'P62241')"
"('Q9NQC7', 'O95786')"
"('P17612', 'Q32MK0')"
"('P29466', 'Q9ULZ3')"
"('P06899', 'Q16777')"
"('P14598', 'Q9C026')"
"('P37231', 'P51532')"
"('Q9C005', 'Q96A08')"
"('P08887', 'P52333')"
"('P17948', 'Q92569')"
"('Q9P2M1', 'P98164')"
"('P26358', 'Q8WTS6')"
"('P08107', 'P21757')"
"('O75925', 'Q15797')"
"('Q92985', 'Q96A33')"
"('Q13315', 'Q92560')"
"('P0CG48', 'Q16621')"
"('Q15847', 'P49841')"
"('Q15047', 'P63279')"
"('P17302', 'Q9BQE3')"
"('P07199', 'P09874')"
"('P06213', 'P19174')"
"('O00471', 'P35658')"
"('P42768', 'P61160')"
"('Q9NPF4', 'Q9HBL0')"
"('P43686', 'Q15008')"
"('P21359', 'P14316')"
"('P13798', 'P53990')"
"('Q01844', 'Q13418')"
"('Q86X76', 'O60941')"
"('Q9NVC6', 'P10827')"
"('P17612', 'Q8TD86')"
"('P10275', 'Q00987')"
"('P51948', 'P14859')"
"('Q93009', 'Q9HCI5')"
"('P51693', 'P38936')"
"('P54253', '9757')"
"('P07949', 'O95208')"
"('O00487', 'P48556')"
"('Q9Y4K3', 'P00367')"
"('P63104', 'Q5QNW6')"
"('P81877', 'Q86U70')"
"('Q9UBI6', 'P48736')"
"('P56748', 'A6NM45')"
"('Q8N2W9', 'Q9H213')"
"('Q15596', 'P10276')"
"('Q2M1K9', 'P10826')"
"('Q15669', 'Q9BVJ6')"
"('Q9NRF2', 'P35568')"
"('Q9NYG5', 'Q9UJX3')"
"('Q0VAM2', 'P01112')"
"('P61956', 'O00231')"
"('P02768', 'Q00005')"
"('Q09472', 'Q13416')"
"('Q04206', 'P22087')"
"('P03956', 'P19875')"
"('O60684', 'Q96EK6')"
"('Q99717', 'Q13485')"
"('Q9HB21', 'Q9P0V3')"
"('P23396', 'P62979')"
"('P49336', 'O75586')"
"('Q05193', 'P55157')"
"('Q8IY92', 'Q9UL42')"
"('IL11RB', 'P20809')"
"('O75461', 'P45973')"
"('P61981', 'O75533')"
"('Q86WV6', 'Q9UHD2')"
"('O00459', 'Q06124')"
"('P00533', 'Q13387')"
"('P27540', 'P04075')"
"('P56537', 'P06753')"
"('P25788', 'P48634')"
"('O60506', 'P62633')"
"('P14859', 'P51692')"
"('O95251', 'Q08752')"
"('Q16531', 'Q13216')"
"('P30153', 'P05129')"
"('Q00597', 'Q14469')"
"('Q9P2M7', 'Q9Y623')"
"('P43360', 'Q53HC9')"
"('O96019', 'P41279')"
"('Q14242', 'P43405')"
"('Q8NHY2', 'Q9BQ67')"
"('P49321', 'Q14164')"
"('Q9H0E3', 'P84022')"
"('P56856', 'O00501')"
"('Q9HCC0', 'Q00005')"
"('P51817', 'O75582')"
"('P31943', 'P14866')"
"('Q8N806', 'P28288')"
"('Q9NVN8', 'O95751')"
"('Q12912', 'P62258')"
"('P15170', 'Q9HAU5')"
"('Q14103', 'P42574')"
"('Q96DU3', 'O60880')"
"('Q07817', 'Q8IWV7')"
"('O14737', 'P23508')"
"('P50570', 'P54252')"
"('Q8NB90', 'Q13573')"
"('P62140', 'Q9BUA6')"
"('P05129', 'Q3MJ16')"
"('Q15428', 'P08579')"
"('Q9HAV4', 'Q13485')"
"('Q92841', 'Q15637')"
"('O95631', 'Q8IZJ1')"
"('P04637', 'P67809')"
"('Q04771', 'P62070')"
"('Q9H6Z4', 'P35813')"
"('Q09666', 'P63104')"
"('Q92985', 'Q9ULE6')"
"('P52756', 'Q00839')"
"('O43318', 'Q9Y6Q6')"
"('Q9P0J0', 'O43464')"
"('Q96GM5', 'Q12824')"
"('Q99759', 'Q9BZF9')"
"('Q13237', 'Q02156')"
"('P01106', 'Q9Y2B2')"
"('P62987', 'P35998')"
"('Q07890', 'P46108')"
"('O43447', 'P18146')"
"('P04637', 'P42345')"
"('P53778', 'P49137')"
"('P06753', 'P51911')"
"('Q93034', 'Q15843')"
"('P55854', 'P02766')"
"('Q9UIS9', 'Q15047')"
"('Q10586', 'Q10587')"
"('Q9Y2D5', 'P19174')"
"('P05112', 'Q6UXL0')"
"('P06241', 'P46013')"
"('Q92879', 'P02775')"
"('P54253', 'Q8N684')"
"('Q9NY15', 'Q9UBP9')"
"('P62877', 'P24864')"
"('O95163', 'Q99459')"
"('P01106', 'P04792')"
"('Q16539', 'P05787')"
"('Q9NX47', 'Q9NPD8')"
"('Q8IWV7', 'P36405')"
"('O75578', 'P56945')"
"('P09471', 'O14641')"
"('P15884', 'Q06455')"
"('Q09028', 'O75530')"
"('Q03164', 'P46527')"
"('P20963', 'Q13432')"
"('Q9H1R3', 'P60660')"
"('Q9Y6K9', 'P62829')"
"('Q07869', 'Q86TX2')"
"('Q14050', 'P02458')"
"('Q93098', 'O75581')"
"('Q9UQM7', 'Q13255')"
"('P01009', 'Q8IY92')"
"('P35609', 'Q9H2S1')"
"('P43405', 'O14939')"
"('Q15717', 'P61978')"
"('P52948', 'Q8NFH3')"
"('O43251', 'Q9P2R6')"
"('P17931', 'P20073')"
"('P27635', 'P62380')"
"('P12931', 'Q13023')"
"('Q9BPZ7', 'P42345')"
"('P14866', 'P35637')"
"('P0C0S8', 'Q8N257')"
"('Q75N90', 'O43809')"
"('P62633', 'Q99729')"
"('Q99877', 'Q9P0M6')"
"('Q9HCP0', 'P18846')"
"('Q9BUY5', 'O60711')"
"('P08700', 'P19235')"
"('Q9NRR8', 'P60953')"
"('P01024', 'Q9Y279')"
"('P19876', 'P51684')"
"('Q92900', 'Q9UKV8')"
"('P63215', 'Q8WYR1')"
"('O15360', 'O15287')"
"('Q9NP66', 'P37235')"
"('P49767', 'Q02763')"
"('Q8NGF4', 'P38405')"
"('P61956', 'Q96HD1')"
"('Q96A08', 'Q9BTM1')"
"('P25054', 'P46940')"
"('Q99459', 'P40121')"
"('P24071', 'Q8IYS5')"
"('P22612', 'Q9NY47')"
"('P41220', 'Q9P2D0')"
"('Q9Y5X4', 'O15379')"
"('Q9UNE7', 'P08238')"
"('Q969T4', 'Q969V5')"
"('P50402', 'O43889')"
"('Q9Y277', 'P05141')"
"('P10747', 'O75791')"
"('O95402', 'Q15648')"
"('P21917', 'P50151')"
"('O00273', 'P27348')"
"('P05067', 'Q9Y6R0')"
"('P25788', 'P25789')"
"('Q14576', 'Q96PU8')"
"('Q15287', 'P14866')"
"('Q02548', 'P15391')"
"('P53708', 'P05556')"
"('P08631', 'Q96B97')"
"('Q13705', 'O95390')"
"('O00159', 'Q8IY92')"
"('Q00597', 'Q9NPD8')"
"('P36873', 'P10916')"
"('P16333', 'O94856')"
"('Q9H0L4', 'Q12996')"
"('Q05655', 'Q13393')"
"('P12004', 'Q9NW38')"
"('C9J798', 'P01112')"
"('Q13315', 'Q9UKL3')"
"('Q9NR30', 'Q96EL2')"
"('Q99996', 'Q9NRG4')"
"('P61353', 'P18621')"
"('Q96J02', 'Q14790')"
"('O60341', 'Q9UKL0')"
"('P00519', 'Q92988')"
"('P30281', 'P12980')"
"('P01889', 'Q9Y265')"
"('P60709', 'Q6VMQ6')"
"('Q9NR30', 'Q15005')"
"('P41594', 'Q12879')"
"('P19838', 'P34932')"
"('Q13418', 'Q9Y678')"
"('P67775', 'Q02750')"
"('P51114', 'O95084')"
"('Q71UI9', 'Q8WUI4')"
"('P18621', 'P62987')"
"('Q92844', 'P54136')"
"('Q02556', 'Q5W186')"
"('P22736', 'P22626')"
"('Q16777', 'P07288')"
"('Q8NGQ1', 'P38405')"
"('P14373', 'P62256')"
"('O14672', 'P30101')"
"('O00422', 'Q16082')"
"('Q8TEW0', 'P19174')"
"('Q9H1D0', 'P60903')"
"('Q5MJ70', 'P24941')"
"('P12004', 'P26358')"
"('Q8IY92', 'Q15942')"
"('P04156', 'P11021')"
"('Q8NH74', 'P38405')"
"('P0CG47', 'Q9UJ41')"
"('P84243', 'Q9NVP2')"
"('Q9BTY7', 'Q9Y3C7')"
"('Q99717', 'Q9H0M0')"
"('Q92905', 'Q7L5N1')"
"('P05000', 'P48357')"
"('P40763', 'P04150')"
"('P56537', 'Q9Y266')"
"('Q13435', 'Q9UKV8')"
"('P18146', 'Q5JTC6')"
"('P30876', 'Q08211')"
"('Q13546', 'Q8N5C8')"
"('P55773', 'P51681')"
"('P27797', 'P04222')"
"('P52272', 'O75937')"
"('P19957', 'Q9UNI1')"
"('Q96PM5', 'P54259')"
"('P23508', 'P68402')"
"('P10914', 'P61073')"
"('Q9Y6K1', 'Q15047')"
"('Q13535', 'O94776')"
"('P07910', 'Q9BUJ2')"
"('P55327', 'Q96J77')"
"('Q5JWF2', 'Q8NFM4')"
"('Q13094', 'Q9UKW4')"
"('P35609', 'Q07157')"
"('P61457', 'Q9H8Y8')"
"('Q15843', 'O43395')"
"('P43405', 'O43561')"
"('O15105', 'Q9HCE7')"
"('Q9UHX1', 'Q9NP81')"
"('Q96RT1', 'P07942')"
"('Q9NX02', 'Q14676')"
"('Q9ULL4', 'Q92563')"
"('O95503', 'Q9HC52')"
"('Q9Y4B5', 'Q99459')"
"('O14530', 'P33240')"
"('Q9UL18', 'O43143')"
"('P63215', 'Q92569')"
"('O14763', 'Q13546')"
"('Q9UJX2', 'P35249')"
"('P42679', 'P04629')"
"('O15117', 'P06241')"
"('O95477', 'P46939')"
"('P13500', 'P51677')"
"('Q92905', 'P50238')"
"('Q5VTD9', 'Q99435')"
"('P28702', 'P13631')"
"('P62266', 'P15880')"
"('Q99750', 'Q9P0T4')"
"('P08047', 'P15172')"
"('Q9Y6K9', 'P63261')"
"('Q8IX12', 'P26368')"
"('Q86X55', 'P68431')"
"('Q96RD1', 'P38405')"
"('Q5THR3', 'Q96ST3')"
"('Q9Y5H5', 'P46108')"
"('P62191', 'O00231')"
"('Q86WV1', 'O15117')"
"('O15169', 'P25054')"
"('P11142', 'P14625')"
"('P32456', 'Q9BX70')"
"('Q13007', 'Q01344')"
"('P30101', 'Q12805')"
"('Q7Z3T8', 'Q9Y3C5')"
"('Q75N90', 'P24522')"
"('Q13885', 'Q9NPQ8')"
"('P54259', 'P61964')"
"('Q13363', 'Q9UBG7')"
"('Q9Y4K3', 'O95551')"
"('Q9BSM1', 'Q13137')"
"('P47914', 'P46776')"
"('O60832', 'Q15025')"
"('Q13237', 'P14415')"
"('P62993', 'Q92945')"
"('Q04724', 'Q6ZU52')"
"('P62834', 'P48736')"
"('P01566', 'P40189')"
"('Q401N2', 'O00754')"
"('O75865', 'P49639')"
"('P61077', 'Q9C035')"
"('O75626', 'Q04724')"
"('P05013', 'Q9HBE5')"
"('Q9NZV1', 'O15162')"
"('O15047', 'Q99880')"
"('P63104', 'P67809')"
"('P98170', 'Q13489')"
"('P04350', 'Q13838')"
"('Q92569', 'P50993')"
"('Q9H0E2', 'Q13490')"
"('P10124', 'P10147')"
"('O43918', 'P16104')"
"('P17542', 'P50750')"
"('Q00610', 'P12956')"
"('P35626', 'Q8NGN5')"
"('O75791', 'Q93062')"
"('P36402', 'Q15562')"
"('P16473', 'P63092')"
"('Q15788', 'Q9UL51')"
"('P07202', 'Q5VWK5')"
"('O43707', 'P53708')"
"('P06239', 'P20749')"
"('P15248', 'Q14627')"
"('P13535', 'P04179')"
"('Q13444', 'O94875')"
"('O75369', 'P13612')"
"('Q14106', 'Q5JQF8')"
"('Q8TEY5', 'Q68CJ9')"
"('P32121', 'P63151')"
"('P36873', 'P36897')"
"('Q14315', 'P60709')"
"('P18669', 'O15264')"
"('P08047', 'P15692')"
"('O60285', 'P06702')"
"('P36578', 'P46777')"
"('P83881', 'P05387')"
"('Q01780', 'O77932')"
"('Q16795', 'Q86Y39')"
"('Q9Y618', 'P35869')"
"('Q96F46', 'Q96PD4')"
"('Q13315', 'Q9BUF5')"
"('O15524', 'P62993')"
"('O95985', 'Q13156')"
"('P41208', 'O43303')"
"('O43929', 'Q9UJX2')"
"('P63104', 'O95382')"
"('P17844', 'O76070')"
"('P62993', 'Q9NUG4')"
"('P51948', 'Q5RL73')"
"('Q9UK22', 'P29033')"
"('Q8NDX1', 'Q00005')"
"('Q14738', 'Q86YF9')"
"('406987', 'P35556')"
"('P61981', 'Q96F86')"
"('P50570', 'Q05516')"
"('P15514', 'Q9NRR5')"
"('P51116', 'Q7Z6G3')"
"('Q99717', 'Q9HAU4')"
"('Q92831', 'Q13363')"
"('Q13617', 'Q9Y376')"
"('P05452', 'Q9UK32')"
"('P62993', 'P43699')"
"('Q8IU60', 'Q9NPI6')"
"('Q9H8T0', 'P41252')"
"('Q8N1N4', 'Q8IXJ6')"
"('P24534', 'P26641')"
"('O43504', 'P51681')"
"('P05014', 'P10912')"
"('P00403', 'P22681')"
"('Q8N1F7', 'Q5SRE5')"
"('O60675', 'Q9NR55')"
"('Q13573', 'O60216')"
"('Q6P2Q9', 'Q15365')"
"('Q13309', 'P19474')"
"('P61586', 'O60331')"
"('Q8IZJ0', 'P08887')"
"('P06239', 'Q15262')"
"('P60484', 'Q07889')"
"('Q86YM7', 'Q14571')"
"('Q6S5L8', 'P62993')"
"('Q9UIV1', 'P11802')"
"('Q92922', 'P38936')"
"('Q05397', 'Q15654')"
"('P00533', 'O75815')"
"('Q9H2X0', 'P00519')"
"('P63000', 'P05109')"
"('O60331', 'P98164')"
"('Q15223', 'Q8TEW0')"
"('O15399', 'Q01668')"
"('Q99426', 'Q9H2C0')"
"('P03915', 'O14561')"
"('Q9NR09', 'O43464')"
"('P10276', 'P62324')"
"('P30050', 'P39023')"
"('Q9BZE0', 'O43251')"
"('Q9BSQ5', 'O00506')"
"('Q15654', 'P62263')"
"('Q13464', 'P16157')"
"('P22090', 'P25398')"
"('Q14164', 'Q9NR30')"
"('Q96FJ2', 'P62263')"
"('Q13873', 'P45983')"
"('P18077', 'Q9UKV8')"
"('O14641', 'P49910')"
"('P52566', 'P08138')"
"('P16220', 'P30281')"
"('Q9UF33', 'Q8N5V2')"
"('P60568', 'Q14626')"
"('Q5VVX9', 'Q9UBS8')"
"('Q9HCU9', 'O75190')"
"('Q9UER7', 'Q9NQB0')"
"('Q9BVC4', 'Q92574')"
"('P62906', 'P61254')"
"('P62837', 'P62979')"
"('Q92994', 'Q96EV8')"
"('Q14919', 'Q16594')"
"('P16871', 'P06576')"
"('O15379', 'O60907')"
"('Q15428', 'O75934')"
"('P10398', 'Q02833')"
"('P27361', 'O60733')"
"('Q04637', 'Q05086')"
"('P51948', 'P33993')"
"('P61247', 'P25398')"
"('O95298', 'O00483')"
"('P61981', 'O60333')"
"('O00231', 'Q06323')"
"('P56945', 'P31947')"
"('P20226', 'P15036')"
"('P27540', 'P05305')"
"('P35638', 'Q16520')"
"('Q96QV6', 'O15379')"
"('Q13547', 'P0C5Z0')"
"('P21796', 'P81605')"
"('P09912', 'P42224')"
"('Q9UHD2', 'Q99832')"
"('Q02410', 'O14618')"
"('Q13535', 'Q9NVI1')"
"('P27824', 'P27701')"
"('A6NIT4', 'Q13651')"
"('P41134', 'Q14469')"
"('Q99436', 'Q13177')"
"('P53680', 'Q6WCQ1')"
"('Q08211', 'P31943')"
"('Q66LE6', 'Q9UPR3')"
"('P01562', 'Q5VWK5')"
"('Q9Y4A5', 'O94864')"
"('P24864', 'Q9NX02')"
"('O14640', 'P98172')"
"('Q9UBS5', 'P16333')"
"('Q5JWF2', 'O60266')"
"('Q9Y6D9', 'Q99459')"
"('P00519', 'O15350')"
"('P09429', 'P23025')"
"('Q96DF8', 'O60231')"
"('Q14315', 'P17301')"
"('Q9UPT9', 'O94864')"
"('O75251', 'P03923')"
"('Q9Y4K3', 'O76080')"
"('Q92769', 'O60814')"
"('Q04637', 'P52298')"
"('Q9UBS4', 'O75165')"
"('O75365', 'P78344')"
"('Q15109', 'P58753')"
"('P04637', '407040')"
"('Q02556', 'O00206')"
"('Q9ULV8', 'Q99665')"
"('Q9Y4K3', 'P31689')"
"('Q8N5V2', 'P15153')"
"('Q9Y6M1', 'Q9Y2Q3')"
"('Q8IY92', 'P26640')"
"('Q12834', 'Q13042')"
"('P09874', 'P13489')"
"('Q07955', 'Q16629')"
"('Q14197', 'Q8NI60')"
"('O15524', 'Q8N6P7')"
"('Q96NS5', 'P00519')"
"('O14920', 'P46940')"
"('P24043', 'P18084')"
"('Q01094', 'Q9UIK4')"
"('Q14164', 'Q9NPJ3')"
"('Q9UQK1', 'P62136')"
"('Q13485', 'P63279')"
"('Q96F07', 'P63104')"
"('P05388', 'P83731')"
"('Q13315', 'Q9BSD3')"
"('P43686', 'P62191')"
"('P19438', 'O14920')"
"('P05129', 'Q9P2W3')"
"('Q13564', 'Q9NRR5')"
"('O00327', 'P35869')"
"('P12980', 'Q9UBP8')"
"('Q9Y230', 'Q9ULG1')"
"('P04049', 'Q9UQM7')"
"('P54868', 'P63104')"
"('P41743', 'Q92934')"
"('P11274', 'O14908')"
"('Q9Y4G8', 'P62834')"
"('P16104', 'P63104')"
"('O95433', 'Q13285')"
"('P49903', 'P32456')"
"('P09341', 'P09874')"
"('Q9UQ03', 'P18206')"
"('O60383', 'P38936')"
"('Q07157', 'P12814')"
"('P18146', 'Q13126')"
"('P14625', 'P30291')"
"('O14920', 'Q9NX02')"
"('O60671', 'P27695')"
"('P00519', 'Q9Y4D1')"
"('Q15382', 'P04049')"
"('P07099', 'P23511')"
"('Q9BV36', 'P51159')"
"('Q15173', 'Q01668')"
"('P52630', 'P32455')"
"('Q01082', 'Q8TDR0')"
"('P11142', 'P11387')"
"('P49736', 'P62805')"
"('P41220', 'Q15942')"
"('Q9BX63', 'P54278')"
"('P17252', 'P15311')"
"('Q9BQE3', 'Q9Y6G9')"
"('Q9NTJ3', 'Q00005')"
"('P84243', 'Q09028')"
"('Q8N1F7', 'P57740')"
"('Q9UL42', 'P63104')"
"('P30480', 'Q9UGP8')"
"('Q149N8', 'P37268')"
"('O00212', 'O75051')"
"('Q9UBN7', 'P0C0S8')"
"('P39023', 'Q99558')"
"('P63173', 'P05386')"
"('P32121', 'Q8NGK2')"
"('P19387', 'Q7KZ85')"
"('P32121', 'P52292')"
"('P04629', 'P23470')"
"('P10914', 'Q03518')"
"('P45973', 'Q71DI3')"
"('P58753', 'Q15109')"
