negatives
"('Q8NAT1', 'P05067')"
"('Q9NZQ7', 'Q13315')"
"('Q9HCE1', 'O15131')"
"('P98170', 'Q8N3J5')"
"('P15884', 'Q08117')"
"('Q9H8S9', 'O95835')"
"('Q00610', 'Q9NR12')"
"('Q9HBH9', 'P18848')"
"('P51991', 'P60033')"
"('P48556', 'Q9UJX5')"
"('Q6PJG6', 'P38398')"
"('O75147', 'Q13523')"
"('P0DP23', 'P23467')"
"('Q53RT3', 'O75752')"
"('Q13315', 'Q96QE3')"
"('O00308', 'Q8TBH0')"
"('Q9P0N5', 'Q86UP2')"
"('Q5VWJ9', 'O95219')"
"('Q15029', 'Q04637')"
"('P22681', 'P30530')"
"('P04629', 'Q16630')"
"('Q9Y3E7', 'P15313')"
"('Q8NHQ1', 'Q9BUY5')"
"('P27487', 'P20366')"
"('O60307', 'Q8TEH3')"
"('Q07065', 'P51888')"
"('Q7L804', 'P62258')"
"('Q9UQ35', 'Q8TAD8')"
"('Q96RK4', 'Q02962')"
"('Q92769', 'Q5H9R7')"
"('P98170', 'O00238')"
"('Q16512', 'Q9BV99')"
"('P48163', 'P52799')"
"('P62424', 'O43324')"
"('P63027', 'Q04323')"
"('P07951', 'O95295')"
"('Q9NRI5', 'Q96S59')"
"('P06241', 'Q9P2E3')"
"('O60315', 'P12830')"
"('O60341', 'Q8TBE0')"
"('Q9NZT1', 'P33992')"
"('P00403', 'P22415')"
"('P09871', 'P02745')"
"('Q96EV2', 'Q15717')"
"('Q08209', 'Q01668')"
"('P62380', 'Q15554')"
"('P34947', 'Q07021')"
"('P82921', 'Q9HCE1')"
"('Q16539', 'P19525')"
"('Q8NEP9', 'P60409')"
"('O95445', 'Q99612')"
"('P05067', 'O15551')"
"('P29692', 'P19320')"
"('P50991', 'Q92905')"
"('Q9HCE1', 'Q969W3')"
"('P23409', 'Q99081')"
"('Q13148', 'Q9NRD1')"
"('P01106', 'P39023')"
"('P36542', 'P04843')"
"('P49662', 'Q9Y241')"
"('P60520', 'P10809')"
"('Q86VQ0', 'O43257')"
"('P07199', 'Q16666')"
"('Q9Y4K3', 'Q99456')"
"('O60907', 'P63279')"
"('P54274', 'P09601')"
"('Q9H7D0', 'P62993')"
"('Q8IYB3', 'Q16629')"
"('P20337', 'P47224')"
"('Q8TDM6', 'Q96KN7')"
"('P06396', 'Q92731')"
"('P29317', 'O00505')"
"('Q15303', 'P43405')"
"('Q15418', 'Q9NPD8')"
"('Q9UFC0', 'P00533')"
"('P07359', 'Q9NPF4')"
"('Q9BRK4', 'O75604')"
"('Q15637', 'Q15006')"
"('Q9UPY6', 'O15143')"
"('P62993', 'Q99877')"
"('P63316', 'P45379')"
"('P63010', 'Q9Y6H3')"
"('P60709', 'Q9H9F9')"
"('P08123', 'P18564')"
"('Q9H788', 'P36406')"
"('P40225', 'P42702')"
"('Q16795', 'Q9Y3E0')"
"('Q14956', 'Q8NFW5')"
"('Q15714', 'P41743')"
"('Q01201', 'O96019')"
"('P02768', 'Q01432')"
"('P55072', 'P08709')"
"('Q99575', 'Q9BZE4')"
"('Q9H4A3', 'P10398')"
"('Q16666', 'Q02363')"
"('Q02447', 'Q13547')"
"('Q9UK80', 'Q14674')"
"('O75150', 'Q6FI81')"
"('P32121', 'P35268')"
"('P54725', 'Q8NCP5')"
"('Q9Y508', 'Q99496')"
"('Q14746', 'Q9NZQ7')"
"('Q9UBG0', 'P31749')"
"('Q9HCM9', 'Q13185')"
"('P41223', 'Q16629')"
"('P62424', 'Q14999')"
"('O95278', 'P13807')"
"('P62826', 'Q00987')"
"('P49736', 'Q9H223')"
"('Q05BQ5', 'Q6PJQ5')"
"('P50213', 'P13804')"
"('O43809', 'P09622')"
"('Q8IZI9', 'Q92985')"
"('O60216', 'O43521')"
"('P04629', 'Q9H1A4')"
"('Q13387', 'Q5BJH2')"
"('Q9UER7', 'P19634')"
"('P08138', 'P61586')"
"('O94763', 'O15259')"
"('Q9HCE1', 'Q86VN1')"
"('Q96ME1', 'P46934')"
"('P60709', 'Q9H981')"
"('P37802', 'P23508')"
"('P62945', 'P62829')"
"('P49721', 'Q15051')"
"('O95163', 'P29372')"
"('P01889', 'O00442')"
"('Q9H5F2', 'P78337')"
"('Q9NSC5', 'P00540')"
"('Q58WW2', 'P08047')"
"('Q15735', 'P50222')"
"('O95619', 'O00221')"
"('Q8NGQ3', 'P38405')"
"('Q6I9Y2', 'O43314')"
"('P18754', 'Q5T3J3')"
"('Q15051', 'Q8N1N4')"
"('P09651', 'O00425')"
"('Q13087', 'P78545')"
"('P05000', 'Q01344')"
"('Q15678', 'Q8IX03')"
"('P86791', 'P46531')"
"('P23193', 'Q4G0J3')"
"('Q9BQA1', 'Q9NZC7')"
"('Q12874', 'Q7L014')"
"('Q04206', 'P14598')"
"('P31948', 'P25788')"
"('Q9UJX2', 'P02511')"
"('Q15910', 'P15336')"
"('P60842', 'O00308')"
"('Q9NWK9', 'Q15796')"
"('P49736', 'P19525')"
"('Q8NC60', 'Q9UL40')"
"('P25490', 'P60709')"
"('P62807', 'Q9NR30')"
"('P63261', 'P51532')"
"('P20674', 'O00231')"
"('P01242', 'P10912')"
"('Q9UBU9', 'P29597')"
"('Q86UK5', 'Q9Y266')"
"('Q86VP1', 'Q96J02')"
"('Q96SB4', 'Q08170')"
"('Q99879', 'Q8WUI4')"
"('P21359', 'Q15678')"
"('P42285', 'P17844')"
"('Q13233', 'P01112')"
"('O75716', 'O43734')"
"('Q99879', 'P13612')"
"('Q15717', 'Q8NE22')"
"('P84103', 'Q12986')"
"('Q9UIS9', 'Q99717')"
"('P42574', 'P29466')"
"('Q04724', 'O43763')"
"('O43303', 'Q66GS9')"
"('Q92665', 'Q13618')"
"('P22695', 'Q96FW1')"
"('P30559', 'Q9UF02')"
"('P00519', 'P42768')"
"('P29590', 'P84243')"
"('Q96AE4', 'O75340')"
"('P10828', 'P15336')"
"('P78344', 'Q15274')"
"('P78371', 'Q9BQE3')"
"('O15355', 'Q92598')"
"('Q9H3Z4', 'Q9UNE7')"
"('Q16637', 'Q15051')"
"('Q96B97', 'O60684')"
"('P47897', 'Q9H4L4')"
"('P36551', 'P07954')"
"('P42771', 'P53365')"
"('Q9H2F3', 'O43597')"
"('Q13253', 'Q7Z5Y6')"
"('Q9BRJ2', 'Q9BYD3')"
"('Q9UPP1', 'Q16778')"
"('Q13569', 'P10275')"
"('O95631', 'P16144')"
"('P01023', 'P04180')"
"('Q9NPF4', 'O43852')"
"('Q9UNS1', 'O94761')"
"('Q9BQI3', 'Q00987')"
"('P24385', 'Q9BQA1')"
"('P02545', 'P78362')"
"('P01137', 'Q5BLP8')"
"('P05771', 'P18848')"
"('Q16576', 'Q15672')"
"('P25054', 'Q9Y2T1')"
"('P04628', 'P23760')"
"('P47914', 'Q07020')"
"('Q9Y297', 'O95816')"
"('P36405', 'Q5T3J3')"
"('Q8N3X1', 'Q01844')"
"('Q71RC2', 'Q8IVT5')"
"('Q6IQ23', 'P08238')"
"('Q15637', 'P49458')"
"('Q6IBW4', 'Q9UBN1')"
"('Q8TEW6', 'Q99471')"
"('O96013', 'Q9NUX5')"
"('Q99598', 'P07686')"
"('Q14980', 'P11309')"
"('Q5BKZ1', 'Q16181')"
"('P41218', 'P22087')"
"('P62847', 'Q93034')"
"('P05783', 'P05787')"
"('P17252', 'Q14831')"
"('O00560', 'Q8NC69')"
"('O00267', 'P19388')"
"('Q9HC77', 'O00311')"
"('Q01085', 'P15927')"
"('P18146', 'O15090')"
"('P60410', 'O75093')"
"('P04637', 'P16662')"
"('Q68DV7', 'Q969T4')"
"('P25391', 'P08648')"
"('P05141', 'O75530')"
"('P04049', 'Q9UHA2')"
"('Q96GX1', 'O95470')"
"('P31513', 'P17676')"
"('P55081', 'P68400')"
"('Q9P273', 'Q9H0R8')"
"('O60307', 'Q8WUY9')"
"('P09067', 'Q12860')"
"('Q8WUU5', 'P54253')"
"('Q9NWU5', 'Q96A35')"
"('O60684', 'Q86YD7')"
"('O60216', 'Q5VW36')"
"('Q99643', 'Q9Y6C9')"
"('Q3LXA3', 'O75695')"
"('Q92890', 'O94905')"
"('Q8WWY8', 'Q9BX63')"
"('Q92597', 'Q9UN36')"
"('Q9NQC3', 'Q16270')"
"('P12931', 'P31994')"
"('O14980', 'Q5VT06')"
"('P33402', 'Q13424')"
"('P20073', 'Q15365')"
"('O43889', 'Q92685')"
"('Q71UI9', 'Q7Z2G1')"
"('Q9NZM3', 'O00750')"
"('P36956', 'P01133')"
"('Q5JRX3', 'Q8WYQ3')"
"('Q9BQB4', 'O75581')"
"('Q14240', 'O00571')"
"('O00754', 'Q8TEA8')"
"('P18146', 'Q9NUR3')"
"('Q16778', 'P30291')"
"('Q9HCS7', 'Q9Y5U2')"
"('P0CAP1', 'Q53HC5')"
"('P38398', 'O14867')"
"('Q16629', 'Q99805')"
"('Q13616', 'O60437')"
"('P04629', 'P49815')"
"('O14976', 'O00159')"
"('Q02878', 'Q16637')"
"('O43741', 'Q9BYQ2')"
"('Q5TAP6', 'Q96CN9')"
"('Q15654', 'Q04206')"
"('O75643', 'P23193')"
"('P60900', 'Q9Y3I1')"
"('Q8IVJ1', 'Q96RI9')"
"('Q13772', 'P62191')"
"('P05067', 'Q9H160')"
"('Q96NY9', 'Q9BQ83')"
"('Q7Z465', 'P14174')"
"('Q8IYX3', 'Q00994')"
"('Q92990', 'Q16543')"
"('P37235', 'Q9BYR5')"
"('Q08211', 'O00425')"
"('Q16659', 'Q13151')"
"('Q9Y3C6', 'Q15393')"
"('O75934', 'P13473')"
"('P28335', 'Q01668')"
"('Q96DZ7', 'P42858')"
"('Q01082', 'P53618')"
"('Q13535', 'Q6P1J9')"
"('P53621', 'P53992')"
"('P32969', 'P68104')"
"('Q9BV73', 'Q9H0K1')"
"('Q9GZL7', 'Q9BRG1')"
"('P62993', 'Q9Y3E1')"
"('P08123', 'P14780')"
"('Q15003', 'Q9HBR0')"
"('Q9UBW8', 'Q9BZD4')"
"('Q969P0', 'P61247')"
"('O00198', 'Q16548')"
"('Q9BWU1', 'Q8TDY2')"
"('P18054', 'P47712')"
"('Q5JR59', 'Q9H2A7')"
"('Q16829', 'O43791')"
"('Q86WT6', 'Q8N205')"
"('Q9H3D4', 'Q9P1Z0')"
"('P22392', 'O60493')"
"('Q8N6C8', 'P08637')"
"('Q07954', 'P50281')"
"('Q8WYN0', 'Q15118')"
"('P13500', 'P39060')"
"('Q15758', 'Q9H0W5')"
"('Q15717', 'Q8N1G4')"
"('P53618', 'P63104')"
"('O95182', 'Q9P0J0')"
"('Q96MM6', 'Q12933')"
"('P05161', 'P13010')"
"('Q07889', 'P06241')"
"('P82912', 'Q8IXZ2')"
"('Q9NWS0', 'Q9H6T3')"
"('Q13895', 'Q9NYW8')"
"('P05386', 'P62829')"
"('O96028', 'P52732')"
"('P07384', 'P52306')"
"('Q9HCE1', 'Q9NQ92')"
"('Q15125', 'P06733')"
"('P37840', 'P04062')"
"('P48059', 'P01106')"
"('Q96A37', 'Q8NI35')"
"('O75533', 'Q99717')"
"('O15084', 'O95071')"
"('O60381', 'Q9Y5K6')"
"('P05060', 'P48443')"
"('Q8IWL3', 'Q8N4P6')"
"('Q01860', 'Q15773')"
"('P53420', 'P16144')"
"('Q9BWG6', 'Q9NZV7')"
"('P09234', 'O43678')"
"('O95817', 'O15217')"
"('P05067', 'Q16560')"
"('Q92905', 'Q13936')"
"('P61326', 'P61254')"
"('P30455', 'P30457')"
"('Q8TBZ8', 'Q96KN7')"
"('Q9UQ80', 'P61088')"
"('Q9NS56', 'Q9Y2X8')"
"('P13639', 'P60842')"
"('Q14209', 'Q14188')"
"('P35558', 'Q15008')"
"('Q13043', 'O43815')"
"('P48745', 'Q6L8G9')"
"('Q00613', 'Q9UNE7')"
"('O00757', 'Q96QB1')"
"('P13010', 'Q01970')"
"('Q04917', 'O43763')"
"('Q9ULV3', 'Q16539')"
"('Q8IYB3', 'P35637')"
"('Q12824', 'O14497')"
"('P0DJD3', 'P79522')"
"('Q70CQ1', 'Q9H0E7')"
"('Q6P1J9', 'P11142')"
"('Q9P253', 'Q5VST9')"
"('Q96IK5', 'O15344')"
"('P35222', 'P08238')"
"('Q96JB3', 'Q9C009')"
"('O75886', 'Q99816')"
"('P30050', 'P62899')"
"('Q5JX71', 'Q8TF42')"
"('Q8N752', 'P17612')"
"('P48039', 'P08253')"
"('P09913', 'Q14257')"
"('Q4LE39', 'Q9H160')"
"('Q9Y5U2', 'Q9BRK4')"
"('O75031', 'Q8N3C7')"
"('O00303', 'O75821')"
"('Q9HC52', 'P49450')"
"('P62158', 'P00533')"
"('Q9C009', 'Q9NSI2')"
"('P62424', 'P12830')"
"('Q9BYV2', 'Q8N5A5')"
"('Q9UID3', 'Q9P1Q0')"
"('P0C0S5', 'Q9Y265')"
"('Q9BY89', 'Q2M3V2')"
"('Q9NYV4', 'O75400')"
"('Q9NVX7', 'P08238')"
"('P51571', 'P08473')"
"('Q9NPP4', 'Q9Y2Z0')"
"('P11137', 'Q9UQ80')"
"('P33240', 'Q9UKR5')"
"('Q53EL6', 'P05386')"
"('Q8NDV7', 'O75175')"
"('Q15040', 'Q9BYV2')"
"('Q9ULH7', 'P11831')"
"('Q8N4J0', 'Q9Y597')"
"('Q92624', 'Q12980')"
"('Q9UHI8', 'P20151')"
"('P54274', 'Q8WXH0')"
"('P51665', 'Q9NZ45')"
"('P51148', 'Q8TAE8')"
"('Q9BXS6', 'Q96IR7')"
"('Q14103', 'Q8IWZ8')"
"('Q13617', 'Q9NSE2')"
"('Q06787', 'O95793')"
"('Q9Y6G3', 'P26373')"
"('Q13151', 'Q7Z7A4')"
"('Q02556', 'Q9GZX7')"
"('Q9Y297', 'A1L170')"
"('Q96EQ0', 'P08887')"
"('P40763', 'P20823')"
"('Q9H2X6', 'Q92793')"
"('P42226', 'O15524')"
"('Q96PK6', 'Q13123')"
"('P01112', 'Q92565')"
"('P20849', 'Q9BZL4')"
"('Q8N0Z3', 'Q4AC94')"
"('Q13751', 'P16144')"
"('P55884', 'P43246')"
"('Q8N149', 'P43405')"
"('Q9UK45', 'P29317')"
"('Q8TEA8', 'P04798')"
"('Q9HC52', 'Q99496')"
"('Q96EG3', 'Q7Z698')"
"('P49427', 'Q9Y297')"
"('P25205', 'Q09472')"
"('Q9BY41', 'Q96A08')"
"('P61218', 'O00203')"
"('O14980', 'Q8TB45')"
"('P01106', 'P47712')"
"('P14373', 'Q15561')"
"('Q8N5N7', 'Q8TAE8')"
"('P49747', 'P32242')"
"('P32969', 'P53007')"
"('Q9Y3D7', 'Q5VT66')"
"('O43298', 'Q96Q77')"
"('Q9UPN9', 'Q9UJX4')"
"('P53007', 'Q6NUN9')"
"('Q96M32', 'Q6PJT7')"
"('Q9H9B4', 'O00483')"
"('P12830', 'Q99618')"
"('Q9NRR6', 'O75044')"
"('Q8IY82', 'Q9NS73')"
"('P98175', 'P50914')"
"('Q8IVT5', 'Q9NRV9')"
"('P00533', 'P17600')"
"('Q9Y3M8', 'Q6STE5')"
"('O14965', 'Q14980')"
"('Q8NA54', 'O60504')"
"('Q9H4G0', 'P25789')"
"('P49619', 'P49407')"
"('Q13617', 'P27348')"
"('O95166', 'P78347')"
"('P25800', 'Q86T90')"
"('Q05397', 'O60880')"
"('P02771', 'P51681')"
"('Q96EK4', 'Q13547')"
"('P05120', 'Q9BX46')"
"('P16298', 'Q12968')"
"('Q14974', 'Q13418')"
"('P25490', 'Q15545')"
"('Q06830', 'Q15843')"
"('P18146', 'Q9H845')"
"('Q9GZX7', 'P11142')"
"('O75648', 'Q9BTC8')"
"('Q9NVV9', 'O75935')"
"('Q13617', 'Q12905')"
"('Q8NGT2', 'P62873')"
"('P08621', 'Q96EY1')"
"('Q8IYU2', 'P63000')"
"('Q9ULJ6', 'Q92585')"
"('Q86V81', 'Q14103')"
"('P22612', 'P18846')"
"('Q9BZE4', 'O00458')"
"('Q9BXA7', 'O43281')"
"('Q13277', 'P62937')"
"('Q13610', 'Q96HE9')"
"('Q9NVS9', 'Q9Y5P6')"
"('Q96DC9', 'Q8N0X7')"
"('Q9HD42', 'P51149')"
"('O75385', 'Q8NFG4')"
"('P31947', 'Q96K21')"
"('Q14204', 'O60506')"
"('Q9UNK9', 'Q8IWL3')"
"('P32927', 'P52333')"
"('O94766', 'O75396')"
"('P22674', 'P38936')"
"('Q15139', 'P16220')"
"('Q9UK80', 'Q13618')"
"('Q92793', 'P01100')"
"('P11021', 'P25054')"
"('O43615', 'Q9Y3D7')"
"('Q9UKJ3', 'Q9Y5L4')"
"('Q9H4B4', 'Q8WVD5')"
"('Q86TM6', 'O15258')"
"('Q96CS7', 'O00487')"
"('P78358', 'Q9UDX3')"
"('P21333', 'Q9NYL9')"
"('Q86VP6', 'P68371')"
"('P49736', 'Q01518')"
"('Q12884', 'P01286')"
"('P00533', 'P49642')"
"('Q13976', 'Q9UHL9')"
"('O15530', 'Q9Y383')"
"('Q15013', 'P68104')"
"('P00403', 'P35232')"
"('P31948', 'O95072')"
"('O75822', 'P61221')"
"('Q13123', 'P35080')"
"('P33076', 'O00287')"
"('P17812', 'Q13620')"
"('Q13155', 'Q13895')"
"('Q9UI38', 'Q96S52')"
"('O43300', 'P62736')"
"('Q9Y570', 'Q9UJU6')"
"('Q8NC51', 'P04629')"
"('P38936', 'P39748')"
"('Q9BYD5', 'Q8WU58')"
"('Q9UJX0', 'O14770')"
"('P14324', 'Q96FW1')"
"('Q71U36', 'O14654')"
"('P07992', 'P00533')"
"('P63220', 'P63244')"
"('Q13573', 'Q16594')"
"('Q7Z4V0', 'Q15276')"
"('O95166', 'Q9H6L5')"
"('Q12824', 'Q68CP9')"
"('P16662', 'P04637')"
"('P01241', 'P08887')"
"('P0C0S5', 'O15379')"
"('P32248', 'P52333')"
"('Q92733', 'Q96L14')"
"('O00303', 'O43808')"
"('P29590', 'Q96ST3')"
"('Q14865', 'Q9UHD1')"
"('O14980', 'P43363')"
"('O43291', 'P23258')"
"('O95486', 'P04080')"
"('P17612', 'O14649')"
"('P16220', 'P46527')"
"('Q8N387', 'Q96PJ5')"
"('Q63HK5', 'Q9BYV2')"
"('Q9NUX5', 'O94808')"
"('O76100', 'Q9P2W3')"
"('Q8NF91', 'Q9GZM8')"
"('P21980', 'P27348')"
"('P06733', 'P04040')"
"('Q9H0A8', 'Q8NBT0')"
"('Q13155', 'P46940')"
"('P15880', 'Q9BRP1')"
"('P18206', 'Q06323')"
"('Q8WYA0', 'Q9P2H3')"
"('P04150', 'Q96GM5')"
"('Q12800', 'P21579')"
"('O95363', 'P60410')"
"('A7MD48', 'Q8TAD8')"
"('Q16539', 'P00747')"
"('Q13472', 'Q15554')"
"('Q92905', 'P55072')"
"('Q13435', 'P04629')"
"('Q9UBC5', 'Q9Y2K6')"
"('P15309', 'Q9UBS0')"
"('P14921', 'P15336')"
"('Q9BXG8', 'P17482')"
"('Q02543', 'Q504Q3')"
"('P43234', 'P98170')"
"('P05771', 'Q9P2D0')"
"('Q99816', 'Q8WUM4')"
"('P42695', 'P0C7P0')"
"('Q7Z3T1', 'P62873')"
"('Q8N554', 'Q96CN9')"
"('P20333', 'Q15628')"
"('Q96RS0', 'Q96IZ7')"
"('Q9UKB1', 'O95248')"
"('Q6A162', 'Q9NVV2')"
"('Q5VVH5', 'Q12800')"
"('Q96D09', 'P30988')"
"('Q8IXZ2', 'Q9BYD1')"
"('Q04917', 'Q15643')"
"('Q13011', 'Q99807')"
"('Q6NXE6', 'Q96K37')"
"('Q9UH03', 'Q96D03')"
"('P07550', 'O43837')"
"('Q13315', 'Q8N3A8')"
"('P05412', 'Q96DV4')"
"('Q92835', 'Q7Z3S9')"
"('O96000', 'O95168')"
"('Q86Z02', 'P20929')"
"('Q9NRC8', 'O95071')"
"('P12814', 'Q14161')"
"('P61619', 'Q9UBU9')"
"('P36508', 'Q6A162')"
"('P42285', 'Q13618')"
"('O43524', 'P22307')"
"('Q6ZSZ5', 'Q14919')"
"('P16885', 'P19174')"
"('O75208', 'Q5U5X0')"
"('P01116', 'P10398')"
"('O43156', 'Q9UKX7')"
"('Q6IS14', 'Q9Y3D0')"
"('Q9NYK5', 'P09001')"
"('P60328', 'P52744')"
"('Q9H201', 'Q6ZMK1')"
"('Q05639', 'Q9H492')"
"('Q15004', 'Q0VDF9')"
"('P61978', 'P06730')"
"('P84098', 'P39019')"
"('Q07890', 'P56199')"
"('Q9UBX2', 'P46783')"
"('Q8TF42', 'Q01844')"
"('P15923', 'Q9H9J2')"
"('P30519', 'O15226')"
"('Q92841', 'P35637')"
"('Q13243', 'P06702')"
"('Q15717', 'Q96IK0')"
"('Q92620', 'Q13242')"
"('P14868', 'P26368')"
"('P51948', 'Q9BZY9')"
"('Q6UXU6', 'Q96J02')"
"('P04629', 'C9JH25')"
"('P49773', 'Q9Y680')"
"('P14317', 'Q9H2G9')"
"('Q9H2X0', 'O43609')"
"('P01111', 'Q13671')"
"('P52630', 'P01106')"
"('P16220', 'Q9UKF7')"
"('Q14919', 'Q9H8W4')"
"('O14828', 'O95817')"
"('P46109', 'P45985')"
"('P11308', 'O00571')"
"('Q9Y3E2', 'Q6P1W5')"
"('P17980', 'Q6P4R8')"
"('P41208', 'P17987')"
"('Q15004', 'P20810')"
"('Q9UBU9', 'P61619')"
"('Q6UWR7', 'Q01968')"
"('P15248', 'Q99650')"
"('O95471', 'Q96AP7')"
"('Q9Y4Z0', 'O15244')"
"('P26368', 'P23381')"
"('Q9H324', 'P20073')"
"('Q92988', 'Q9BT40')"
"('Q96DZ9', 'Q5VYK3')"
"('O43186', 'P84022')"
"('O43734', 'Q9UHD2')"
"('P41743', 'P11234')"
"('O60478', 'Q15003')"
"('Q9H6B4', 'P80188')"
"('P31943', 'Q00839')"
"('Q9UGL9', 'Q5TA78')"
"('P62987', 'P31948')"
"('P09603', 'P00533')"
"('Q9H7Z7', 'P80370')"
"('Q96P16', 'P61160')"
"('P05783', 'P04049')"
"('P01225', 'P01215')"
"('Q9NX63', 'O96008')"
"('P11274', 'Q6S5L8')"
"('Q13617', 'Q9UI30')"
