negatives
"('P18850', 'Q68CJ9')"
"('P63104', 'P06703')"
"('O75446', 'O00422')"
"('P84022', 'P53539')"
"('P38936', 'Q9UHC7')"
"('Q5JNZ3', 'P62993')"
"('O14543', 'P38484')"
"('P62993', 'Q12906')"
"('Q9ULH0', 'P46109')"
"('P52597', 'P00439')"
"('O15355', 'P67809')"
"('P00533', 'P41240')"
"('A0JLT2', 'O95816')"
"('Q9NYG5', 'O95067')"
"('P61764', 'P05067')"
"('Q92914', 'P11362')"
"('Q9Y4K3', 'Q14165')"
"('Q3ZCQ8', 'Q86UA6')"
"('Q9UBP0', 'P02768')"
"('O14827', 'Q9BZ23')"
"('P10916', 'P35580')"
"('Q9ULK5', 'Q92997')"
"('Q13151', 'Q13243')"
"('Q96DB2', 'P0C5Y9')"
"('P84095', 'O96013')"
"('P56556', 'O95178')"
"('P67775', 'P19429')"
"('Q04759', 'Q5SW24')"
"('P35080', 'P42858')"
"('O15524', 'Q14626')"
"('Q96PU5', 'P22607')"
"('26012', 'Q5VTD9')"
"('P46781', 'Q99558')"
"('O60258', 'P29317')"
"('Q9H9Q2', 'Q9Y4E8')"
"('Q04864', 'P20749')"
"('P16333', 'Q9UHI7')"
"('Q9UJX2', 'Q9UBD5')"
"('P49642', 'P28074')"
"('O43766', 'P16220')"
"('Q9H8Y8', 'Q8TBE9')"
"('Q10567', 'Q13315')"
"('O60341', 'Q13330')"
"('Q693B1', 'Q13618')"
"('Q96L14', 'Q9UFG5')"
"('Q9H492', 'O95352')"
"('P78556', 'P51684')"
"('P03891', 'O43678')"
"('P62993', 'Q09472')"
"('Q13315', 'Q96EY1')"
"('O15111', 'Q06124')"
"('P15586', 'P06241')"
"('O15197', 'P52799')"
"('Q9NWF9', 'P08243')"
"('P62993', 'P12956')"
"('P62158', 'P01243')"
"('O75182', 'Q92769')"
"('P52907', 'Q9H1Y0')"
"('O14920', 'O15111')"
"('P06127', 'P27986')"
"('O15265', 'O94864')"
"('Q99717', 'Q9NXD2')"
"('P43487', 'Q14164')"
"('Q16254', 'P12004')"
"('P22415', 'P13010')"
"('O43524', 'P62714')"
"('P17676', 'P40763')"
"('P14780', 'Q14031')"
"('P46108', 'O95886')"
"('P06241', 'P13805')"
"('P61586', 'Q9NQU5')"
"('P01903', 'P04233')"
"('Q6UXN9', 'P61964')"
"('O95751', 'Q15744')"
"('Q99459', 'Q14244')"
"('P63244', 'Q13617')"
"('P22681', 'P12931')"
"('Q8IY92', 'Q9NYB0')"
"('P84243', 'O95931')"
"('Q99743', 'O15055')"
"('P53355', 'P63151')"
"('P61981', 'Q8ND76')"
"('O43639', 'O00401')"
"('P16220', 'Q14692')"
"('O43318', 'Q9BVA1')"
"('P61978', 'Q9BTC0')"
"('P49585', 'P18146')"
"('P51398', 'Q9BYC9')"
"('P17066', 'Q01201')"
"('P62424', 'Q9UL18')"
"('Q7Z417', 'P55854')"
"('P07949', 'Q9Y371')"
"('Q9Y4K4', 'P06241')"
"('Q14242', 'P15311')"
"('P07437', 'Q01201')"
"('Q96JF6', 'Q08379')"
"('Q9H0Q3', 'Q13432')"
"('P06576', 'O95059')"
"('Q96GM5', 'P51531')"
"('Q96RU3', 'O95166')"
"('Q92569', 'P50993')"
"('Q8WZA2', 'P45983')"
"('P62873', 'Q15759')"
"('P01589', 'O00459')"
"('P20226', 'P29375')"
"('Q15691', 'P04222')"
"('P04181', 'P30480')"
"('P23508', 'O43815')"
"('Q8WW24', 'P43358')"
"('Q9BPX7', 'Q9UM11')"
"('Q8IZI9', 'P16871')"
"('O43683', 'Q9GZM8')"
"('P01891', 'Q8NHL6')"
"('P07910', 'Q8IWZ8')"
"('Q15369', 'O75159')"
"('O95347', 'O60216')"
"('Q12834', 'P78396')"
"('P04637', 'Q9NQW6')"
"('P28482', 'P15976')"
"('Q9BXA7', 'O96017')"
"('Q5RL73', 'Q6IB77')"
"('Q99816', 'P04637')"
"('Q12830', 'P56270')"
"('Q92599', 'Q99719')"
"('P61224', 'Q9P212')"
"('P49411', 'P62993')"
"('P52292', 'P46527')"
"('Q9Y508', 'Q9Y2X8')"
"('Q7Z5J4', 'P49841')"
"('P62993', 'Q14185')"
"('Q12986', 'Q00839')"
"('P50148', 'O14640')"
"('Q9Y478', 'Q9BUJ2')"
"('O14654', 'Q9UM73')"
"('Q13191', 'Q99961')"
"('O15530', 'Q9H307')"
"('Q9UBM4', 'O95433')"
"('Q9Y5V3', 'Q9UBX3')"
"('P32121', 'A6NHG9')"
"('Q9UBI6', 'Q5JWF2')"
"('Q9NRI5', 'Q6VMQ6')"
"('Q9HC98', 'Q9NVI1')"
"('P54257', 'O15258')"
"('P62906', 'P46777')"
"('Q16254', 'O95661')"
"('P01100', 'P17535')"
"('Q05655', 'P57087')"
"('P00533', 'P35221')"
"('P61981', 'P30304')"
"('P56556', 'Q9NX14')"
"('Q15796', 'Q8TAD8')"
"('Q8IZ69', 'P10914')"
"('Q9NTN9', 'O43157')"
"('Q9UBQ5', 'P56537')"
"('P18031', 'P49760')"
"('P20248', 'O00716')"
"('P08183', 'Q03135')"
"('Q15834', 'P62333')"
"('P11233', 'Q13393')"
"('O60674', 'P40763')"
"('P34932', 'Q9Y2Z0')"
"('O95685', 'P06241')"
"('Q9UPS6', 'P68431')"
"('Q9BVK8', 'Q9P2A4')"
"('P84022', 'Q8N6I1')"
"('P27797', 'Q9Y4K3')"
"('Q13535', 'Q12789')"
"('P61088', 'Q9Y478')"
"('Q6VMQ6', 'Q9H1H9')"
"('O95382', 'P27348')"
"('P11940', 'Q15366')"
"('P26599', 'Q16629')"
"('Q9UBD5', 'O43929')"
"('P61326', 'P61981')"
"('P61626', 'Q9P2S5')"
"('P18146', 'O94817')"
"('Q13310', 'O75688')"
"('P24941', 'P06400')"
"('Q13233', 'O15111')"
"('Q15365', 'P07910')"
"('P27635', 'Q15750')"
"('Q8IY92', 'Q9Y5V3')"
"('Q9Y283', 'Q9BPU9')"
"('Q9NQX3', 'Q99928')"
"('O00141', 'Q13435')"
"('Q02156', 'Q96HC4')"
"('Q9UKA9', 'Q99459')"
"('Q96J65', 'P18146')"
"('P42345', 'P85299')"
"('O43741', 'P16118')"
"('Q9Y2W2', 'Q15428')"
"('Q6DN90', 'Q92985')"
"('P04083', 'P25090')"
"('Q5VYV7', 'P04843')"
"('Q9Y2T4', 'Q9BXL8')"
"('Q4LE39', 'O75446')"
"('O15372', 'Q14240')"
"('Q9BX70', 'Q9NPI1')"
"('O95294', 'P01112')"
"('P21860', 'P42336')"
"('Q15819', 'P54578')"
"('Q5JWF2', 'Q3MJ16')"
"('P51571', 'Q9P2S5')"
"('O75293', 'P14635')"
"('P62736', 'P36542')"
"('P27361', 'Q9ULV5')"
"('Q13547', 'P08047')"
"('Q93009', 'O15479')"
"('Q9UBU3', 'P25101')"
"('Q13617', 'O15524')"
"('Q9UM73', 'P05783')"
"('P61626', 'P62633')"
"('P05067', 'P14136')"
"('Q15834', 'Q9H5V7')"
"('Q9BT78', 'P62330')"
"('Q9Y6W5', 'O15145')"
"('P08670', 'Q9Y2P4')"
"('Q9UMS0', 'Q9P0V3')"
"('P19404', 'Q9HB58')"
"('Q9BV68', 'Q9Y2X8')"
"('P32927', 'P07332')"
"('P54253', 'Q9H0E2')"
"('O00291', 'Q16659')"
"('P62847', 'Q00653')"
"('Q14191', 'P27694')"
"('Q969T4', 'Q6ZSG1')"
"('Q9NRR4', '406991')"
"('Q13011', 'P33240')"
"('P36402', 'Q15561')"
"('P26006', 'Q14192')"
"('O43615', 'Q8IY92')"
"('O43390', 'P38159')"
"('P06241', 'P04049')"
"('P01566', 'P52333')"
"('Q93098', 'O75197')"
"('P05496', 'P03928')"
"('P29692', 'Q14164')"
"('O14640', 'Q7Z3G6')"
"('P27361', 'P18848')"
"('P01106', 'P25205')"
"('P25445', 'Q01844')"
"('O15143', 'P61160')"
"('Q99459', 'Q9H6S3')"
"('Q00987', 'Q9BQE3')"
"('P56748', 'P78369')"
"('P50150', 'P45984')"
"('Q96GD0', 'Q14164')"
"('Q13291', 'Q06124')"
"('P54257', 'Q6P1J9')"
"('P00519', 'Q02218')"
"('Q96GE4', 'O94761')"
"('O14514', 'Q5TCQ9')"
"('O95400', 'Q13243')"
"('P04637', 'Q9H4B4')"
"('P40879', 'P13569')"
"('Q9H6L4', 'Q16630')"
"('Q13233', 'P62266')"
"('P56645', 'P11161')"
"('P42336', 'P05023')"
"('P99999', 'P10109')"
"('P59768', 'Q01668')"
"('P15391', 'P60033')"
"('Q04759', 'Q07157')"
"('O14775', 'P42336')"
"('P62857', 'P62993')"
"('P31947', 'P04049')"
"('Q96PV7', 'P45983')"
"('P19387', 'O00193')"
"('Q9UKV0', 'Q99878')"
"('O75914', 'Q14155')"
"('P50591', 'P20333')"
"('P49768', 'Q9UM47')"
"('P61952', 'P45984')"
"('O75448', 'Q15797')"
"('P05060', 'Q16513')"
"('O15444', 'P46094')"
"('P28482', 'P05787')"
"('Q9NVV4', 'Q9H6S1')"
"('P37173', 'P49716')"
"('Q8N878', 'Q8IX03')"
"('P11717', 'Q6VY07')"
"('O75676', 'P18848')"
"('P62745', 'P51955')"
"('P45983', 'P10276')"
"('Q9NP73', 'P54259')"
"('P04626', 'O15524')"
"('Q13535', 'Q14566')"
"('P49366', 'O60684')"
"('P63104', 'Q8N122')"
"('P08047', 'Q13547')"
"('P00558', 'Q9NR46')"
"('Q99684', 'Q15329')"
"('Q8TAA9', 'P05129')"
"('P10144', 'P06748')"
"('P22607', 'Q00722')"
"('Q12841', 'P37173')"
"('Q99613', 'O00303')"
"('P13647', 'P01857')"
"('P55196', 'P35221')"
"('Q16514', 'Q8NEM7')"
"('P25786', 'Q9Y620')"
"('O15230', 'Q496J9')"
"('P01562', 'P08887')"
"('Q9UL18', 'O43143')"
"('Q14457', 'O15417')"
"('Q99879', 'Q8IUE6')"
"('Q9BUZ4', 'A8MVU1')"
"('Q99459', 'Q9UPN6')"
"('O15162', 'Q14966')"
"('Q9Y490', 'P00533')"
"('Q06124', 'P42224')"
"('Q9NR80', 'P60763')"
"('Q9UBP8', 'P12980')"
"('Q9Y252', 'Q9UBS8')"
"('P13500', 'P51671')"
"('Q9UBV8', 'P16104')"
"('P05067', 'P18669')"
"('Q9Y4A5', 'Q96L91')"
"('Q9GZX6', 'Q99062')"
"('P18206', 'P07355')"
"('P17568', 'P03905')"
"('Q9Y230', 'Q9Y265')"
"('Q9P2D1', 'Q15047')"
"('Q07021', 'P09429')"
"('P01889', 'P60660')"
"('Q9UL03', 'Q9HAU5')"
"('Q9H2G2', 'Q14315')"
"('Q9HAW4', 'O14757')"
"('Q9Y2M5', 'Q9Y383')"
"('Q9BUJ2', 'Q9NPI1')"
"('Q16543', 'O15519')"
"('P25205', 'P49736')"
"('P98177', 'P38936')"
"('P22694', 'Q13131')"
"('P31939', 'Q9Y4K3')"
"('P19012', 'Q7LC44')"
"('P51677', 'P08754')"
"('Q9ULV8', 'Q712K3')"
"('Q02833', 'P20936')"
"('Q14246', 'P17947')"
"('O43353', 'P15311')"
"('Q9H2F5', 'Q9Y265')"
"('P60709', 'P46783')"
"('Q13616', 'P38936')"
"('Q9H9L3', 'P06241')"
"('Q13472', 'Q13185')"
"('Q9UKB1', 'O15055')"
"('Q9NZN1', 'P16220')"
"('Q99459', 'O43175')"
"('Q9Y3U8', 'P62829')"
"('P61952', 'Q15147')"
"('P29590', 'Q99607')"
"('P07355', 'P35232')"
"('O76083', 'Q96FC7')"
"('Q9UKJ1', 'Q06124')"
"('Q12778', 'P23945')"
"('O60645', 'P12814')"
"('P62158', 'Q00653')"
"('O60603', 'P05412')"
"('O95985', 'P35244')"
"('Q9NRR5', 'O75400')"
"('P38936', 'Q08999')"
"('P22674', 'P52735')"
"('Q9P0L2', 'P11137')"
"('Q13247', 'Q13243')"
"('P51878', 'O15553')"
"('O95704', 'P05067')"
"('Q12933', 'Q9Y286')"
"('P18206', 'P15259')"
"('P38919', 'P62993')"
"('O15131', 'P62306')"
"('P63165', 'P04150')"
"('O75326', 'P00519')"
"('P01106', 'Q8N5D6')"
"('P19793', 'Q9Y6Q9')"
"('O60739', 'Q15691')"
"('O43556', 'O95376')"
"('Q14525', 'Q12834')"
"('P28482', 'O15119')"
"('P49023', 'Q08043')"
"('Q96JQ0', 'O95819')"
"('P84022', 'P02545')"
"('Q13153', 'O00238')"
"('P49336', 'Q9Y2X0')"
"('O14896', 'P05549')"
"('O14593', 'Q9BUV8')"
"('P14151', 'P28906')"
"('Q96B02', 'O43164')"
"('P10914', 'Q9HBE5')"
"('P32745', 'Q5TCQ9')"
"('P07199', 'P67870')"
"('Q9H2G2', 'Q04759')"
"('Q9NVM9', 'Q13573')"
"('Q9Y5N5', 'Q9UI30')"
"('Q9NP79', 'O60232')"
"('P23025', 'P20585')"
"('Q86YS3', 'Q9H4M9')"
"('P27482', 'Q86YV6')"
"('Q8WW43', 'Q96BI3')"
"('P35626', 'Q8NGH3')"
"('Q9H7L9', 'Q96ST3')"
"('Q9HAU5', 'P15170')"
"('P33991', 'P25205')"
"('P10914', 'Q92830')"
"('Q04912', 'O43157')"
"('Q9HBE5', 'P10914')"
"('Q15843', 'Q04917')"
"('P06493', 'Q8WWL7')"
"('O95858', 'P41220')"
"('P20809', 'P38484')"
"('Q8IZ69', 'P20073')"
"('Q9Y6C2', 'P05556')"
"('Q9UBN7', 'Q96DB2')"
"('P01130', 'P98082')"
"('P06400', 'Q08050')"
"('P00505', 'Q9UKS6')"
"('O43809', 'Q9BWH2')"
"('P62899', 'P26373')"
"('Q8TAD8', 'P63279')"
"('O60921', 'Q99615')"
"('Q9HAU4', 'P0CG48')"
"('Q8IX12', 'P09651')"
"('P05013', 'P48551')"
"('Q04941', 'Q9Y478')"
"('Q6P2C8', 'Q96HR3')"
"('P30153', 'Q9H7D0')"
"('P54132', 'Q13156')"
"('Q01082', 'Q13813')"
"('P60709', 'Q9H9G7')"
"('Q04206', 'P27348')"
"('O60663', 'P61421')"
"('Q96RI1', 'P04406')"
"('P51817', 'P54840')"
"('O00206', 'P63096')"
"('P63000', 'Q9NP84')"
"('O00233', 'O75832')"
"('Q07890', 'O15145')"
"('Q9HBE4', 'P42702')"
"('P01889', 'Q9H773')"
"('Q9Y675', 'O75533')"
"('P16234', 'P29353')"
"('Q15306', 'Q12933')"
"('P57678', 'P11802')"
"('P23246', 'Q99558')"
"('Q99759', 'Q13813')"
"('P12235', 'Q07812')"
"('P22455', 'P42338')"
"('P12980', 'P35237')"
"('Q09472', 'P09874')"
"('Q9H9E3', 'Q9Y2V7')"
"('P04181', 'Q9Y478')"
"('Q00653', 'P11021')"
"('P04183', 'Q9NV06')"
"('P62249', 'P62993')"
"('Q07890', 'O00459')"
"('P62166', 'P25098')"
"('P29460', 'P32927')"
"('A0AVK6', 'P20248')"
"('Q9C005', 'Q8WWB3')"
"('P04183', 'Q9BZE1')"
"('P20810', 'P07384')"
"('P05423', 'Q9NW08')"
"('P22694', 'P21333')"
"('Q9Y4G6', 'P05106')"
"('P54619', 'Q9UGI9')"
"('P29459', 'Q99665')"
"('P63104', 'P50552')"
"('Q92979', 'O43820')"
"('Q8TAE8', 'P67870')"
"('P63104', 'P27448')"
"('Q9BZI7', 'P62495')"
"('P61604', 'P29372')"
"('O43353', 'P34931')"
"('O43900', 'Q92997')"
"('Q9NTI5', 'Q9UQE7')"
"('Q06609', 'P16104')"
"('O95298', 'O96000')"
"('Q13574', 'P28749')"
"('Q9UKS6', 'P22087')"
"('Q96J02', 'P22607')"
"('P30466', 'O15533')"
"('Q9H082', 'P36897')"
"('P11171', 'Q5ST30')"
"('P16298', 'Q8NHZ8')"
"('26765', 'O60885')"
"('P23634', 'P29474')"
"('P07339', 'P10147')"
"('Q13145', 'O14640')"
"('P49207', 'P62829')"
"('P48357', 'P54619')"
"('P63218', 'O00459')"
"('Q9Y6X2', 'Q99607')"
"('P25929', 'P08754')"
"('Q01844', 'O75438')"
"('Q9ULX6', 'Q9Y5V3')"
"('P35626', 'Q96KK4')"
"('Q13573', 'O14777')"
"('Q66LE6', 'P53355')"
"('Q13873', 'Q99717')"
"('407010', 'O94925')"
"('Q99712', 'Q14005')"
"('O14908', 'P56192')"
"('O15379', 'Q71UI9')"
"('Q8N335', 'P49716')"
"('P31749', 'P41279')"
"('O14576', 'Q96G01')"
"('P12931', 'O15360')"
"('P22681', 'P12314')"
"('P25786', 'P19532')"
"('Q13112', 'P51679')"
