negatives
"('Q15773', 'Q96T76')"
"('P67870', 'P38936')"
"('P08651', 'Q01130')"
"('Q9UBF8', 'Q9H3P7')"
"('P06899', 'P20671')"
"('P06241', 'Q99259')"
"('Q15345', 'Q15369')"
"('P22090', 'P46783')"
"('Q8TEW0', 'Q8ND90')"
"('O96006', 'P10644')"
"('Q9NRG9', 'P78406')"
"('P62487', 'P19388')"
"('Q9UDY2', 'O95832')"
"('P19438', 'Q9BRP4')"
"('P07900', 'O15392')"
"('O15504', 'P12270')"
"('Q15744', 'P13727')"
"('P11802', 'P30281')"
"('Q9H2A7', 'P49682')"
"('Q99996', 'O43586')"
"('P10828', 'Q13503')"
"('Q9UJX2', 'Q13573')"
"('P53567', 'P0CAP2')"
"('P13804', 'Q14164')"
"('P14314', 'P41220')"
"('Q13426', 'Q9H9Q4')"
"('P60660', 'P60709')"
"('P34932', 'O15392')"
"('P12757', 'Q9H5J0')"
"('P25098', 'P49407')"
"('Q16665', 'Q13438')"
"('P12277', 'Q9P2G9')"
"('Q93062', 'O75909')"
"('P62258', 'P07910')"
"('P35968', 'Q13191')"
"('O75446', 'Q9H7L9')"
"('O95757', 'P56537')"
"('Q13153', 'Q04771')"
"('O14904', 'O75084')"
"('P61586', 'Q13153')"
"('Q9Y3C5', 'P51965')"
"('Q15287', 'P50053')"
"('Q05519', 'Q8IX12')"
"('Q9Y3C5', 'Q9HCE7')"
"('Q14393', 'P30530')"
"('O00459', 'P05026')"
"('Q13547', 'Q9Y6X2')"
"('P22612', 'P50993')"
"('P20701', 'P52735')"
"('P17252', 'Q13233')"
"('Q9P0M6', 'Q16778')"
"('O60496', 'P00533')"
"('P61088', 'Q6ZSG1')"
"('O00716', 'P33992')"
"('Q9NPH9', 'Q13651')"
"('Q9BTT4', 'P53803')"
"('P11831', 'P98177')"
"('Q9C0J8', 'Q9Y2X7')"
"('P83369', 'Q969L4')"
"('Q8NHQ1', 'P48552')"
"('O43924', 'O15182')"
"('P78344', 'P10415')"
"('Q9UL46', 'Q16401')"
"('Q8IZD4', 'P26196')"
"('P07948', 'Q92569')"
"('Q8IY92', 'P52294')"
"('Q8TDY2', 'P38159')"
"('Q07157', 'Q16625')"
"('P07910', 'Q9BXS5')"
"('Q15172', 'P31751')"
"('Q8IY92', 'P04792')"
"('Q6P2Q9', 'P83876')"
"('Q00005', 'Q02413')"
"('P05014', 'P31785')"
"('O75044', 'Q9NRI5')"
"('Q7Z3C6', 'P51149')"
"('Q96NE9', 'Q8IX03')"
"('Q14974', 'Q15628')"
"('P60520', 'P25786')"
"('P43246', 'P12004')"
"('A6NC98', 'Q9HAU0')"
"('Q9UET6', 'P61254')"
"('Q15843', 'P62913')"
"('P07996', 'P16671')"
"('Q9UKY1', 'P24522')"
"('O15379', 'P19793')"
"('Q13547', 'O75381')"
"('O95376', 'P62917')"
"('P62277', 'Q00653')"
"('O60244', 'P48443')"
"('Q14103', 'O60506')"
"('P50616', 'Q15797')"
"('Q7L7X3', 'Q7KZI7')"
"('P30101', 'P07237')"
"('Q16637', 'O95785')"
"('P28482', 'Q9NRA0')"
"('Q13185', 'Q13472')"
"('Q14197', 'Q9NX20')"
"('Q14289', 'Q06124')"
"('Q9NRR5', 'P45877')"
"('P62854', 'P62277')"
"('P07333', 'Q13191')"
"('406906', 'P50995')"
"('P54577', 'P60520')"
"('P13500', 'P51679')"
"('P31749', 'Q96S96')"
"('P02458', 'O43405')"
"('O14672', 'P30101')"
"('P20823', 'P08670')"
"('Q9HCT0', 'P10721')"
"('Q15669', 'P31150')"
"('Q15428', 'Q15459')"
"('P17947', 'Q9NNX6')"
"('Q9NRV9', 'Q9NRR5')"
"('Q6KC79', 'Q99459')"
"('Q7L5N1', 'Q14790')"
"('Q13315', 'Q8N4S0')"
"('P01106', 'P17812')"
"('O60716', 'P60953')"
"('Q3YEC7', 'Q93062')"
"('Q96HD1', 'Q15047')"
"('Q92997', 'Q86T65')"
"('P06493', 'P01106')"
"('Q9NR12', 'Q15365')"
"('P62805', 'Q9UER7')"
"('O15111', 'P07437')"
"('P62834', 'Q15139')"
"('Q13155', 'P60709')"
"('P53350', 'Q8NDZ2')"
"('P51532', 'P37231')"
"('P62834', 'Q12967')"
"('Q13241', 'Q07444')"
"('Q9NYG5', 'P14635')"
"('Q14696', 'O94907')"
"('P25787', 'P25788')"
"('Q15080', 'Q15759')"
"('P63104', 'Q5SW79')"
"('P68104', 'O00231')"
"('P28221', 'Q9UK08')"
"('P0CG48', 'P21980')"
"('Q9BYC9', 'Q15811')"
"('P31371', 'P09619')"
"('P35462', 'P62873')"
"('P08581', 'Q9Y371')"
"('P08047', 'P15172')"
"('O00151', 'P63272')"
"('Q9UNL4', 'Q13136')"
"('P12931', 'P15941')"
"('Q13158', 'Q13077')"
"('P35626', 'Q6IF36')"
"('P13987', 'Q13191')"
"('P40763', 'Q13163')"
"('Q13555', 'Q13501')"
"('O15121', 'P22061')"
"('Q9Y5J5', 'Q9NS69')"
"('Q9GZX7', 'Q96EY1')"
"('Q15369', 'Q9H765')"
"('P01562', 'P48551')"
"('P04406', 'P14859')"
"('P53675', 'P63010')"
"('Q9GZQ8', 'Q9NRD5')"
"('P07711', 'P04233')"
"('P38398', 'P52701')"
"('Q07955', 'O60508')"
"('P10966', 'P30466')"
"('Q9UDY2', 'P78369')"
"('P07900', 'P41279')"
"('P05129', 'P05106')"
"('A0JLT2', 'Q9NVC6')"
"('P49116', 'Q99570')"
"('P45983', 'Q12904')"
"('Q8TAP4', 'Q9NS73')"
"('Q9UQM7', 'Q13557')"
"('P63104', 'Q9Y4G8')"
"('P42702', 'Q06124')"
"('O95471', 'P57739')"
"('P62081', 'P62244')"
"('Q9UJX6', 'Q9UM11')"
"('P27361', 'P42224')"
"('P63098', 'Q13002')"
"('P17947', 'P04839')"
"('P56192', 'Q9Y6K9')"
"('Q9NVP2', 'Q13111')"
"('Q8N5V2', 'O43809')"
"('Q92633', 'Q9P2W3')"
"('Q9NRR5', 'Q8NEM7')"
"('P36954', 'P19388')"
"('P56945', 'P14866')"
"('P10828', 'Q93074')"
"('Q8IWF7', 'P04183')"
"('P54259', 'Q9ULU4')"
"('Q92997', 'Q9UM47')"
"('Q9Y6R4', 'P63244')"
"('P09429', 'P43246')"
"('Q5T3J3', 'P27797')"
"('P14373', 'Q9Y6B2')"
"('Q15796', 'Q13887')"
"('P22612', 'Q06710')"
"('P48742', 'Q9Y261')"
"('Q13573', 'P62195')"
"('Q96BA8', 'P53567')"
"('Q04917', 'Q9Y2J2')"
"('Q9HCK5', 'P36542')"
"('Q09472', 'P01137')"
"('Q14512', 'P21781')"
"('O00483', 'Q15714')"
"('Q5JSL3', 'Q07890')"
"('P40337', 'Q9UDY8')"
"('Q14152', 'P20042')"
"('P05771', 'Q9NYF0')"
"('P01889', 'O95433')"
"('P38936', 'Q02978')"
"('P55789', 'Q92905')"
"('Q16637', 'Q6UXH1')"
"('O95182', 'P17568')"
"('Q9Y463', 'P20823')"
"('Q9GZU2', 'Q8IUQ4')"
"('P62263', 'P42677')"
"('P32121', 'Q8NGX1')"
"('P36578', 'P84098')"
"('Q13535', 'Q9UIF9')"
"('P78556', 'P13611')"
"('Q13257', 'Q8NHZ8')"
"('Q07157', 'O15551')"
"('P01138', 'P29317')"
"('Q9P0W0', 'P16871')"
"('P62993', 'O14939')"
"('Q8IZ13', 'Q9ULV5')"
"('P26641', 'Q9Y3C7')"
"('O00299', 'Q14164')"
"('O43674', 'O95139')"
"('Q9H3D4', 'Q99729')"
"('O43150', 'P27986')"
"('O75326', 'P62993')"
"('P16104', 'P26447')"
"('P10912', 'P07602')"
"('O00141', 'P60900')"
"('Q02543', 'P61254')"
"('P31946', 'P20823')"
"('Q15370', 'Q9H8Y8')"
"('P28068', 'P13765')"
"('Q92835', 'P25445')"
"('O75970', 'O95471')"
"('Q96BV0', 'Q16659')"
"('Q15796', 'Q9BW04')"
"('A2RTX5', 'Q9Y4K3')"
"('P13498', 'Q15759')"
"('Q07889', 'P60763')"
"('Q9Y2K2', 'P63104')"
"('Q9UNX3', 'P62424')"
"('O43909', 'Q9H2G2')"
"('P19838', 'P78545')"
"('P23246', 'P43243')"
"('O95750', 'P22607')"
"('Q9H840', 'P62316')"
"('P10827', 'Q9Y2X0')"
"('Q86Z02', 'P52952')"
"('P17947', 'P21757')"
"('P17612', 'Q9UGI9')"
"('Q99731', 'P51679')"
"('P09619', 'Q9Y2R2')"
"('O00329', 'Q05655')"
"('P10275', 'P50750')"
"('O43318', 'Q96FA3')"
"('Q04864', 'P07288')"
"('P03901', 'O43678')"
"('Q9Y2R2', 'P06239')"
"('P46527', 'Q00535')"
"('Q13332', 'Q8IWV7')"
"('P55072', 'P38398')"
"('P08887', 'P23458')"
"('P16220', 'O43766')"
"('Q9P2G9', 'P57081')"
"('Q92830', 'Q15648')"
"('P0C0S5', 'O60814')"
"('O60383', 'P05109')"
"('P18124', 'O00410')"
"('Q12799', 'Q9NPB6')"
"('Q96AW1', 'P35372')"
"('Q9NZN5', 'Q9HBH0')"
"('Q8NHQ1', 'Q9H5I1')"
"('Q96EK7', 'Q12933')"
"('O60675', 'P05412')"
"('Q8N448', 'P63279')"
"('O75554', 'P23246')"
"('P49842', 'Q02447')"
"('Q96EB6', 'P10412')"
"('P51816', 'O95433')"
"('Q9Y3I0', 'Q99459')"
"('P19235', 'Q9NSE2')"
"('P62750', 'P47914')"
"('Q05639', 'P19838')"
"('Q93008', 'O60285')"
"('O95977', 'Q14344')"
"('P01569', 'Q99062')"
"('Q92466', 'Q13620')"
"('Q15910', 'O60925')"
"('P26447', 'P46379')"
"('O95405', 'Q6P3W7')"
"('Q9BQB4', 'O75197')"
"('Q99558', 'O95786')"
"('O75937', 'P09651')"
"('P01298', 'P01889')"
"('Q16777', 'Q92769')"
"('P02786', 'Q96S59')"
"('Q13145', 'O75197')"
"('Q9BVL2', 'P25054')"
"('Q93097', 'O00144')"
"('Q9Y2X7', 'O60925')"
"('P62745', 'Q9NQU5')"
"('Q99704', 'P20936')"
"('P48307', 'Q9HAU4')"
"('Q9NX14', 'O95169')"
"('Q14061', 'P04637')"
"('Q15047', 'Q96SN7')"
"('P40424', 'P26367')"
"('O75626', 'Q04724')"
"('P63000', 'O75914')"
"('P26599', 'P23246')"
"('Q99996', 'P78545')"
"('O00560', 'Q06945')"
"('P10721', 'Q01970')"
"('Q5VVJ2', 'Q16777')"
"('Q6ZNA4', 'P60604')"
"('Q9H9J2', 'Q9UPT9')"
"('P16220', 'Q9Y2D5')"
"('O14732', 'Q15011')"
"('P30519', 'P01023')"
"('P32119', 'P10599')"
"('P62701', 'P49736')"
"('O95347', 'O75365')"
"('406991', 'P29966')"
"('Q05397', 'Q16539')"
"('Q12802', 'P31946')"
"('Q04206', 'Q04724')"
"('Q13573', 'O75694')"
"('P61077', 'Q96GF1')"
"('P62857', 'P23396')"
"('P23508', 'Q12904')"
"('P32121', 'P34998')"
"('Q9H3R5', 'Q8N766')"
"('P53618', 'Q8NFJ8')"
"('O95985', 'Q9UKJ5')"
"('P51693', 'Q8WYH8')"
"('P12236', 'P19838')"
"('Q8N4E4', 'Q96LC9')"
"('Q9UER7', 'Q13526')"
"('P55011', 'O95747')"
"('Q969S8', 'P23527')"
"('Q9H7L9', 'P51610')"
"('Q9C026', 'P50552')"
"('Q9H8T0', 'P41252')"
"('P27986', 'P17081')"
"('P61981', 'P48730')"
"('Q99973', '7012')"
"('P20701', 'P12931')"
"('Q9H4K1', 'Q9UHY1')"
"('P19174', 'P12236')"
"('P78406', 'P52948')"
"('Q9HCS4', 'O95813')"
"('P10916', 'P12883')"
"('P01876', 'P04264')"
"('P30291', 'P63208')"
"('P49711', 'Q9BQS6')"
"('P46734', 'Q16512')"
"('Q06546', 'P10599')"
"('O00743', 'P36897')"
"('P13232', 'P40189')"
"('P38936', 'Q96DB2')"
"('Q96HA1', 'Q96EE3')"
"('Q02045', 'Q7Z406')"
"('Q14192', 'P38398')"
"('O00182', 'P16070')"
"('Q15366', 'O95786')"
"('Q9BQ52', 'Q9H1I8')"
"('Q9BWH6', 'P60510')"
"('P25787', 'P29372')"
"('Q9H2G2', 'Q9HCQ7')"
"('Q9Y4K3', 'Q13077')"
"('Q13485', 'Q96JC1')"
"('O96006', 'P0DI81')"
"('P01106', 'P60228')"
"('P61088', 'Q8ND25')"
"('P05067', 'P22303')"
"('P17947', 'P04150')"
"('O75030', 'P51532')"
"('Q9Y6K8', 'O60701')"
"('P46783', 'P40337')"
"('Q9BVJ6', 'Q13332')"
"('P84022', 'P08047')"
"('O00238', 'P15882')"
"('P23458', 'P58753')"
"('Q15628', 'P42677')"
"('Q9P0W0', 'P78552')"
"('Q53T94', 'Q9H9Y6')"
"('Q562F6', 'O75896')"
"('Q9C005', 'P61964')"
"('Q01201', 'Q92785')"
"('Q8NEG5', 'Q5VVX9')"
"('P48039', 'P50151')"
"('Q5JWF2', 'P12931')"
"('O14497', 'Q14526')"
"('Q13191', 'P52735')"
"('P05231', 'P32927')"
"('Q8NGY6', 'P38405')"
"('O75689', 'P41743')"
"('Q15303', 'P29353')"
"('P23508', 'Q9Y295')"
"('P41235', 'Q9H6P5')"
"('P15336', 'P15407')"
"('P28698', 'O95751')"
"('Q96ID5', 'P05109')"
"('Q15645', 'P21964')"
"('Q9Y2A7', 'Q8WUW1')"
"('P14136', 'P02768')"
"('Q9NWZ3', 'O43187')"
"('Q8N9B8', 'Q07889')"
"('P39023', 'Q8N806')"
"('Q00653', 'P54136')"
"('Q8IY81', 'P19525')"
"('Q99666', 'P63279')"
"('Q7Z4H7', 'Q9BT25')"
"('O95163', 'Q9H1R3')"
"('Q9NP79', 'P43364')"
"('O15160', 'Q9UL18')"
"('P02511', 'O75909')"
"('P41220', 'P61019')"
"('Q96PK6', 'P09874')"
"('P04406', 'Q15102')"
"('P24941', 'Q13112')"
"('Q8IYD1', 'Q13310')"
"('Q02156', 'P02545')"
"('Q6R327', 'Q9BUJ2')"
"('P48736', 'Q13393')"
"('P33992', 'Q09472')"
"('P33991', 'Q6IE81')"
"('Q13242', 'P84103')"
"('Q53HC9', 'P10599')"
"('P30556', 'P30679')"
"('Q14653', 'Q9Y3B3')"
"('Q9Y265', 'Q9NQB0')"
"('P19438', 'P40939')"
"('P41279', 'P11021')"
"('P48551', 'P01568')"
"('Q13573', 'Q53GS9')"
"('Q15365', 'P01243')"
"('P13798', 'P04278')"
"('O95750', 'P09619')"
"('P08138', 'P20073')"
"('Q5UIP0', 'P51114')"
"('P36896', 'Q04771')"
"('Q00653', 'Q8NHW5')"
"('Q9HCT0', 'Q02763')"
"('Q7L576', 'P55160')"
"('Q96BQ3', 'P60604')"
"('Q9NP97', 'O43521')"
"('O14933', 'P14373')"
"('Q9Y600', 'P38936')"
"('P27986', 'P48357')"
"('P54132', 'P27694')"
"('P49760', 'Q8IYD8')"
"('P00519', 'O60493')"
"('Q14164', 'Q13797')"
"('P25054', 'Q32MH5')"
"('P46695', 'Q15173')"
"('O95267', 'P01116')"
"('P01242', 'P26992')"
"('P19634', 'P35241')"
"('Q07812', 'O43464')"
"('O60814', 'Q96RL1')"
"('O43681', 'O60925')"
"('P49841', 'Q12879')"
"('Q15646', 'Q05823')"
"('P25208', 'Q99618')"
"('O43914', 'Q14954')"
"('P60709', 'O43491')"
"('Q9P1Z2', 'Q9NQB0')"
"('Q92530', 'Q9NWB1')"
"('P68400', 'P04156')"
"('P98160', 'P09486')"
"('407026', 'Q01453')"
"('Q96ST3', 'O00255')"
"('Q15796', 'P04637')"
"('O00159', 'Q9H251')"
"('P26927', 'Q12778')"
"('Q96S55', 'P28340')"
"('Q9NRP7', 'Q9UMX1')"
"('O60563', 'P03372')"
"('P07900', 'Q16543')"
"('O15123', 'P38936')"
"('P55211', 'P17931')"
"('P62987', 'P16104')"
"('Q13554', 'Q07699')"
"('P17655', 'Q6UXS9')"
"('Q92841', 'Q92731')"
"('P60709', 'Q00005')"
"('Q52LW3', 'P08134')"
"('Q96F07', 'P06730')"
"('Q99558', 'Q07021')"
"('P46108', 'P08047')"
"('P08047', 'P27540')"
"('P68032', 'Q14847')"
"('Q14164', '51639')"
"('O15479', 'P47914')"
"('P51817', 'P08754')"
"('P62993', 'P20963')"
"('P00451', 'Q76LX8')"
"('O15371', 'Q8WV24')"
"('O60832', 'Q9BUR4')"
"('Q15388', 'Q9NQG6')"
"('Q8N264', 'P49716')"
"('P02647', 'Q92484')"
"('Q01094', 'P43121')"
"('P23458', 'P16871')"
"('P62701', 'P46781')"
"('P68400', 'Q15653')"
"('P49810', 'Q9HBG4')"
"('P09496', 'P53675')"
"('O75159', 'P01589')"
"('P23246', 'Q68DV7')"
"('Q9C0J8', 'P63165')"
"('P67775', 'Q9H0H5')"
"('O43242', 'Q9BUV8')"
"('Q9UNX3', 'P63173')"
"('P35226', 'Q9P2H0')"
"('P31943', 'P22626')"
"('Q9UHQ7', 'P24390')"
"('Q8TAP4', 'Q8HWS3')"
"('Q13547', 'P20671')"
"('P49747', 'P18827')"
"('Q92934', 'Q07817')"
"('P01242', 'P40238')"
"('Q15797', 'P62979')"
"('P46060', 'A6NKT7')"
"('Q9H0R8', 'O75323')"
"('P62993', 'Q9BYB0')"
"('Q15654', 'Q5VWP2')"
"('Q13368', 'P35475')"
"('O43181', 'O75306')"
"('Q04771', 'O00212')"
"('P01876', 'P02768')"
"('Q8TDI0', 'P63167')"
"('P33992', 'Q8WYB5')"
"('Q15777', 'P10588')"
"('P31483', 'P28562')"
"('O94856', 'P55157')"
"('P27986', 'Q9NRJ4')"
"('Q9Y3D6', 'Q14790')"
"('P50570', 'P00519')"
"('Q8TBB1', 'P41227')"
"('P54253', 'Q96T58')"
"('Q16627', 'P61073')"
"('P61952', 'P53779')"
"('Q9H7D0', 'P84095')"
"('P29992', 'P47712')"
"('Q9NPF0', 'P28749')"
"('P17612', 'Q14721')"
"('O15111', 'Q15796')"
"('Q5JTV8', 'P62136')"
"('P46087', 'P11387')"
"('Q9NR30', 'P62910')"
"('P21246', 'O14530')"
"('P08729', 'P53680')"
"('Q9HB90', 'Q9UHA4')"
"('Q9Y5U2', 'P22314')"
"('Q9ULV8', 'Q99665')"
"('P05231', 'P10912')"
"('Q9NWB1', 'P57723')"
"('P52747', 'Q14653')"
"('P22681', 'P30530')"
"('P20671', 'Q96A08')"
"('O00231', 'Q13573')"
"('P08779', 'Q00005')"
"('P47897', 'P04424')"
"('Q9BVP2', 'O43586')"
"('Q9Y572', 'Q13451')"
"('P17252', 'P17302')"
"('Q9P2R6', 'Q8IYM9')"
"('Q9NSA3', 'P14923')"
"('Q9BUQ8', 'P83876')"
"('P68104', 'P35080')"
"('Q99558', 'P00367')"
"('Q2TB90', 'P30613')"
"('P12956', 'Q8IW19')"
"('O00501', 'O95832')"
"('O15379', 'Q92956')"
"('O14495', 'P06756')"
"('P38432', 'Q8NHQ1')"
"('P51677', 'O60674')"
"('P26641', 'P07814')"
"('P24844', 'P62736')"
"('Q9NP99', 'O00206')"
"('P04792', 'Q9UMS4')"
"('P27540', 'P35228')"
"('Q99706', 'P29350')"
"('Q7Z2E3', 'O60336')"
"('Q8WUX9', 'Q15102')"
"('P19235', 'O60674')"
"('Q9HCS7', 'Q13216')"
"('P35222', 'Q96NW7')"
"('Q15365', 'Q15366')"
"('Q96DU7', 'Q9NZT1')"
"('Q70EL1', 'Q96CF2')"
"('P50150', 'O00329')"
"('P63215', 'Q15147')"
"('Q9H339', 'P38405')"
"('P00533', 'O95208')"
"('P15248', 'P38484')"
"('P61956', 'P52757')"
"('P06241', 'P29353')"
"('O00501', 'P56880')"
"('Q9UNN8', 'P25054')"
"('P13805', 'Q99963')"
"('P30273', 'Q06547')"
"('Q96RE9', 'P17947')"
"('Q9NRR4', 'Q92841')"
"('P49716', 'Q9NR97')"
"('P04183', 'Q9Y265')"
"('P23508', 'Q14697')"
"('Q96Q15', 'P30153')"
"('Q13547', 'Q8TAQ2')"
"('Q9GZS3', 'P49459')"
"('P78395', 'Q15843')"
"('P23526', 'Q9Y4K3')"
"('Q9HCM9', 'P51668')"
"('P56385', 'P03928')"
"('P51991', 'Q14683')"
"('P78364', 'Q06587')"
"('P49407', 'P14618')"
"('P45984', 'Q07820')"
"('P38936', 'Q5VU43')"
"('Q9Y2I6', 'Q7L590')"
"('O43677', 'P03897')"
"('O95400', 'Q15637')"
"('Q96KQ7', 'P16333')"
"('Q99816', 'O14964')"
"('Q8TEU7', 'P62834')"
"('Q00005', 'Q13188')"
"('Q9UL18', 'P46778')"
"('P61978', 'Q14683')"
"('Q13555', 'Q07343')"
"('O95251', 'Q6IE81')"
"('P28702', 'O43791')"
"('P48023', 'Q9Y5X1')"
"('P46776', 'Q9UL18')"
"('P40337', 'O95340')"
"('O43566', 'P05556')"
"('Q96RU3', 'O95271')"
"('Q9BV73', 'P63104')"
"('P08238', 'P62993')"
"('O15169', 'O75197')"
"('P55210', 'P42575')"
"('Q9P1U1', 'O15143')"
"('P23497', 'Q9UER7')"
"('O75346', 'O95751')"
"('Q04759', 'Q05513')"
"('P37173', 'P05412')"
"('Q9NPH9', 'Q9UHF4')"
"('P07315', 'P02511')"
"('Q5EBL8', 'Q04656')"
"('P54253', 'Q8IX01')"
"('Q13573', 'Q5RKV6')"
"('P43626', 'P32121')"
"('Q14197', 'Q9H2W6')"
"('Q13009', 'P08134')"
"('Q8NGQ4', 'P38405')"
"('P07814', 'Q15750')"
"('Q8NGX8', 'P38405')"
"('P10809', 'Q9NWA0')"
"('O95685', 'P63104')"
"('P43307', 'P68104')"
"('Q8WVN8', 'P98170')"
"('Q9NS68', 'Q12933')"
"('P42336', 'Q8IUC6')"
"('Q6ZVD8', 'P31749')"
"('P04350', 'Q8WVB3')"
"('P35222', 'Q9BV47')"
"('P24394', 'P52333')"
"('Q99928', 'O95166')"
"('Q5JWF2', 'Q96PN6')"
"('O95751', 'Q96PV7')"
"('Q99879', 'Q9P0M6')"
"('P01116', 'Q8WWW0')"
"('Q16659', 'O43524')"
"('O15121', 'Q53HC9')"
"('Q16254', 'O75496')"
"('Q07021', 'Q13242')"
"('O14686', 'Q01201')"
"('Q9UBF2', 'P53618')"
"('O75419', 'Q14566')"
"('P78396', 'P10244')"
"('Q16584', 'Q9Y4K3')"
"('Q9Y371', 'P07333')"
"('P62258', 'Q9P0V3')"
"('Q96DF8', 'O60231')"
"('Q13164', 'P40763')"
"('P46663', 'Q9UBI6')"
"('Q96BK5', 'Q15369')"
"('P35609', 'P55884')"
"('P04233', 'P61073')"
"('Q9GZX7', 'P07900')"
"('P25054', 'Q03001')"
"('P08107', 'P31946')"
"('Q86YM7', 'O00329')"
"('Q13546', 'Q9H171')"
"('O75586', 'P10276')"
"('P36897', 'Q9HCU5')"
"('Q01094', 'Q9UQC2')"
"('Q13315', 'Q9UKL3')"
"('P55196', 'P62736')"
"('A4D0S4', 'P18084')"
"('Q14194', 'P41220')"
"('P00533', 'Q00169')"
"('P07199', 'Q9BZD4')"
"('Q9UKX5', 'P06756')"
"('Q99836', 'P10914')"
"('P03901', 'O95178')"
"('P26196', 'Q8IZD4')"
"('Q13136', 'Q8IUD2')"
"('Q9NR30', 'O75940')"
"('P51693', 'Q8WUB8')"
"('Q13547', 'Q09028')"
"('Q04206', 'O60603')"
"('Q9NQU5', 'Q14155')"
"('P27986', 'P62736')"
"('P68363', 'O75674')"
"('P84243', 'Q9HC52')"
"('Q9Y572', 'P60709')"
"('P13010', 'Q00653')"
"('Q15714', 'Q96E40')"
"('Q9C026', 'A8MVU1')"
"('P60763', 'Q9Y6W5')"
"('P15311', 'P19320')"
"('P18146', 'Q04900')"
"('Q14197', 'O95202')"
"('P52597', 'Q15287')"
"('P38936', 'Q9H4W6')"
"('Q9NRA0', 'P01111')"
"('Q9Y4X3', 'P25024')"
"('P32121', 'P25098')"
"('P84098', 'P49207')"
"('O15162', 'P50552')"
"('P27986', 'O60885')"
"('O14543', 'Q15370')"
"('O60264', 'P62993')"
"('P61978', 'O60508')"
"('P62993', 'P51398')"
"('P30480', 'Q9P258')"
"('Q15788', 'P23759')"
"('Q8IUX8', 'Q99963')"
"('P51970', 'O95182')"
"('Q96PY6', 'Q8N8J6')"
"('Q96HA1', 'Q53EZ4')"
"('Q9Y3M8', 'O00212')"
"('Q9NS73', 'O75528')"
"('O15198', 'Q9NQ87')"
"('P00441', 'Q07021')"
"('P27986', 'Q05655')"
"('Q96FW1', 'Q9H1Y0')"
"('P01730', 'P04440')"
"('O75038', 'Q16513')"
"('P22694', 'P18846')"
"('Q16342', 'Q15653')"
"('Q86YS3', 'Q15907')"
"('P31946', 'Q15418')"
"('P03897', 'P17568')"
"('O43617', 'Q8WVT3')"
"('P02768', 'P49792')"
"('Q06124', 'P46109')"
"('Q16658', 'P19532')"
"('Q969D9', 'P26951')"
"('Q96J02', 'P04629')"
"('P12004', 'P52701')"
"('Q9UL18', 'P62913')"
"('O15264', 'P12036')"
"('P07900', 'O15111')"
"('P60709', 'P47712')"
"('P35580', 'P11171')"
"('O75177', 'Q15427')"
"('Q9UPW5', 'Q9Y3M2')"
"('P17301', 'P29350')"
"('O14933', 'O43255')"
"('Q9UMR2', 'P27707')"
"('Q9Y6N6', 'P08514')"
"('O43915', 'P04626')"
"('Q9Y286', 'Q9H788')"
"('P08107', 'P07900')"
"('Q496Y0', 'Q9Y6D9')"
"('P00167', 'P41235')"
"('P67809', 'P09651')"
"('P46777', 'P61513')"
"('Q9NSA1', 'P06213')"
"('P25963', 'P04792')"
"('Q96S59', 'P25054')"
"('Q99805', 'Q13485')"
"('P04350', 'Q9BQE3')"
"('P26441', 'P10912')"
