negatives
"('P07355', 'O75815')"
"('Q03001', 'Q96RT1')"
"('Q96HF1', 'O60353')"
"('Q8N5W9', 'Q96I34')"
"('Q8NC60', 'O95831')"
"('P30153', 'Q03113')"
"('P98164', 'Q13387')"
"('Q8WVM7', 'Q8NDV3')"
"('P25098', 'P25024')"
"('Q05513', 'Q9NPB6')"
"('Q9H0B3', 'P62158')"
"('Q9NZ42', 'O00548')"
"('Q99459', 'Q13573')"
"('P62241', 'P23396')"
"('Q9Y5X1', 'Q9NZW5')"
"('P32121', 'O76061')"
"('Q04695', 'P25054')"
"('O43290', 'P55081')"
"('P78330', 'Q14011')"
"('Q09028', 'Q96T58')"
"('O43390', 'P26368')"
"('O15530', 'Q15796')"
"('Q9HBM6', 'O75486')"
"('P62879', 'P36897')"
"('P43487', 'P30480')"
"('Q9H8W4', 'O95197')"
"('Q16570', 'P13500')"
"('P62873', 'P51828')"
"('P62633', 'Q9NRW3')"
"('Q9BUV8', 'O14593')"
"('Q15393', 'O75533')"
"('O95167', 'Q86Y39')"
"('P04085', 'P21802')"
"('Q9BVI4', 'P08670')"
"('P08123', 'P02452')"
"('P35544', 'P62266')"
"('P58876', 'O95999')"
"('P50402', 'P02545')"
"('Q6UXN9', 'Q6DRA6')"
"('O95639', 'Q6P1J9')"
"('P62841', 'P62701')"
"('Q9BPY3', 'P08670')"
"('O75531', 'P01889')"
"('Q16254', 'Q13257')"
"('Q01081', 'Q15287')"
"('P63244', 'P20936')"
"('Q8IXH7', 'P09669')"
"('Q49A88', 'P43364')"
"('Q9UJZ1', 'Q9H1Y0')"
"('P21246', 'P05386')"
"('Q13573', 'Q12789')"
"('Q8N1F7', 'Q13418')"
"('O43298', 'Q8TAP4')"
"('Q8IXJ6', 'Q9H173')"
"('P61964', 'Q9HCK8')"
"('Q9Y6Y9', 'O00206')"
"('Q9Y5Q8', 'Q9Y5Q9')"
"('Q9HCS4', 'Q99594')"
"('Q9UDY8', 'Q9NYJ8')"
"('P04406', 'Q06830')"
"('Q08AE8', 'P31947')"
"('P35626', 'P32302')"
"('P31751', 'Q14653')"
"('Q9Y2K3', 'P63261')"
"('Q3ZCQ8', 'P10398')"
"('P78536', 'P05067')"
"('Q01201', 'P51659')"
"('Q13185', 'P29590')"
"('Q96HA1', 'Q99567')"
"('P15172', 'P35398')"
"('P54253', 'O00213')"
"('P54652', 'Q9H816')"
"('P02679', 'P00488')"
"('P51003', 'Q13247')"
"('Q96BK5', 'P33993')"
"('Q9BYG5', 'Q8N3R9')"
"('O75530', 'Q8IZ13')"
"('P56747', 'O95500')"
"('Q13368', 'Q13636')"
"('P51784', 'Q9H492')"
"('P05412', 'Q16236')"
"('Q9UHV7', 'Q9Y2X0')"
"('P68431', 'P45973')"
"('Q9Y6M9', 'O96000')"
"('O95988', 'P31751')"
"('P30939', 'P16520')"
"('P24522', 'Q9UHY1')"
"('O95453', 'P24522')"
"('Q92844', 'O96018')"
"('Q9UL17', 'O95948')"
"('Q99459', 'P07900')"
"('P98170', 'O75800')"
"('O95251', 'Q8NHQ1')"
"('P15153', 'Q15797')"
"('O94762', 'Q06609')"
"('P62906', 'P62899')"
"('P42336', 'P41743')"
"('P05109', 'P19878')"
"('Q8TEQ6', 'Q16637')"
"('Q969H0', 'P46527')"
"('P31785', 'P29353')"
"('P01106', 'P49790')"
"('P22681', 'P23470')"
"('O60603', 'P35247')"
"('P02786', 'P17931')"
"('O60383', 'Q9BX70')"
"('Q08209', 'P62158')"
"('P01241', 'Q99062')"
"('O60262', 'P84996')"
"('Q00597', 'P14625')"
"('P04183', 'Q15811')"
"('Q9HBM6', 'Q9UMX0')"
"('Q15287', 'O75533')"
"('P48643', 'P67775')"
"('P14151', 'P62993')"
"('Q96HA7', 'P04908')"
"('O14977', 'O95190')"
"('P62191', 'O00233')"
"('P16871', 'P30101')"
"('Q13239', 'P43403')"
"('P63146', 'Q14527')"
"('Q5UIP0', 'P62993')"
"('Q9Y4K3', 'P14174')"
"('P62888', 'P61313')"
"('Q13573', 'Q9Y3I0')"
"('P16104', 'Q96DG6')"
"('P56279', 'P31751')"
"('Q9UQM7', 'Q13402')"
"('P02741', 'P49716')"
"('P08575', 'P06239')"
"('Q15714', 'O95865')"
"('Q13136', 'A0JLT2')"
"('Q9Y294', 'P62805')"
"('P60568', 'P38484')"
"('O75364', 'P05164')"
"('Q12873', 'P55055')"
"('P10721', 'Q9P212')"
"('P25774', 'P29508')"
"('P50914', 'P18621')"
"('O75340', 'Q9UBV8')"
"('O60237', 'O14950')"
"('P12931', 'Q86YH6')"
"('P62875', 'P05423')"
"('Q15831', 'P07900')"
"('Q8TE23', 'O95467')"
"('P37173', 'P62714')"
"('P03971', 'Q04771')"
"('Q9UL18', 'Q00839')"
"('P14136', 'O75791')"
"('O75558', 'P60880')"
"('Q9UJW3', 'Q9UBC3')"
"('P08727', 'Q14966')"
"('Q13363', 'Q14526')"
"('Q8IZJ1', 'P30154')"
"('Q9BSK2', 'Q9NRH1')"
"('Q68CP9', 'O00716')"
"('Q99436', 'Q92979')"
"('O75419', 'Q9UBD5')"
"('Q9HAU4', 'P07333')"
"('Q9HC52', 'P54257')"
"('Q07890', 'P52198')"
"('P0CG48', 'Q9HC16')"
"('Q9UPN3', 'P29372')"
"('P54253', 'O94842')"
"('Q96HP0', 'P17081')"
"('O14936', 'Q9BZL6')"
"('P25815', 'P23297')"
"('P08567', 'P00488')"
"('P52435', 'Q6PD62')"
"('Q13315', 'P00519')"
"('Q9UBL3', 'Q6ZW49')"
"('Q12959', 'P36507')"
"('P55209', 'Q9BTV5')"
"('O15117', 'Q9UI08')"
"('P56703', 'O75581')"
"('P38398', 'O60684')"
"('O15372', 'Q13573')"
"('Q13976', 'Q02156')"
"('Q9H160', 'Q13547')"
"('Q92911', 'Q96RT1')"
"('Q5EB52', 'Q96MX0')"
"('Q13535', 'P34931')"
"('Q9BYM8', 'Q9Y4K3')"
"('Q8N6Y0', 'O95990')"
"('Q14657', 'P30480')"
"('P83731', 'Q13177')"
"('P36897', 'P30153')"
"('Q8N357', 'Q9UGN5')"
"('O15047', 'Q99879')"
"('O75175', 'Q9UFF9')"
"('P09874', 'Q9NQB0')"
"('Q9BZW8', 'Q14155')"
"('Q08174', 'P84022')"
"('O00515', 'P31947')"
"('P60568', 'Q13261')"
"('A9UHW6', 'Q9NRR5')"
"('Q9BQ67', 'Q86VZ2')"
"('Q13620', 'Q92466')"
"('O15198', 'Q9H173')"
"('Q96DI7', 'Q08345')"
"('P61981', 'Q9P0V3')"
"('Q9NPF7', 'Q969J5')"
"('Q9Y478', 'P04035')"
"('P63000', 'Q16539')"
"('P27695', 'P22674')"
"('Q9Y2D1', 'Q16520')"
"('Q01082', 'Q13485')"
"('P50991', 'Q00005')"
"('P61421', 'A5YKK6')"
"('Q07960', 'Q96L33')"
"('Q8NHZ8', 'Q9UM11')"
"('Q96ST3', 'O75446')"
"('P52756', 'Q15287')"
"('O75694', 'Q92621')"
"('Q9Y478', '51639')"
"('P32881', 'P26992')"
"('A8K6C2', 'P15509')"
"('Q8NFZ5', 'Q04206')"
"('P21246', 'O75056')"
"('P63173', 'P62899')"
"('Q92574', 'Q8TDY2')"
"('P63104', 'P55196')"
"('Q16384', 'Q969G2')"
"('Q9GZQ8', 'Q04759')"
"('P62993', 'Q8IWN7')"
"('Q96Q15', 'P04637')"
"('P12004', 'P30279')"
"('P12931', 'Q13087')"
"('P33316', 'P62745')"
"('P00403', 'P36542')"
"('P51965', 'Q9NVW2')"
"('P46734', 'Q16539')"
"('Q16663', 'P05412')"
"('P00519', 'P42167')"
"('Q96BK5', 'P58107')"
"('P20338', 'Q15276')"
"('O95785', 'O95059')"
"('Q96JB2', 'Q9H9E3')"
"('P40763', 'Q14765')"
"('P14778', 'Q9Y616')"
"('P29034', 'Q00987')"
"('Q15653', 'P62158')"
"('P28482', 'P42224')"
"('O15524', 'P10912')"
"('P56545', 'Q96KM6')"
"('P04637', 'P04271')"
"('Q9H9S4', 'Q7RTN6')"
"('Q8NHL6', 'P04439')"
"('P04843', 'Q9NYS7')"
"('Q8NFC6', 'P52735')"
"('O43353', 'P53778')"
"('Q8TD19', 'Q9H0R8')"
"('P51948', 'P46527')"
"('Q99836', 'Q92985')"
"('P54253', 'Q9UKY1')"
"('Q4VXU2', 'Q9UIV1')"
"('O14544', 'Q99062')"
"('Q15047', 'Q13111')"
"('O75044', 'Q7L0Q8')"
"('P61201', 'Q9GZT8')"
"('P06493', 'P06241')"
"('Q15843', 'Q03468')"
"('P04004', 'Q9UKX5')"
"('Q99963', 'P17948')"
"('P14867', 'Q9NQX3')"
"('P45985', 'Q16539')"
"('Q7Z6Z7', 'Q07820')"
"('Q00653', 'Q96EY1')"
"('P08581', 'Q00722')"
"('Q8IV61', 'P01116')"
"('Q15528', 'Q9BTT4')"
"('P63211', 'Q8WYR1')"
"('P14373', 'P26358')"
"('P09619', 'Q96B97')"
"('P20749', 'P29353')"
"('Q01105', 'P52429')"
"('Q9Y5I7', 'O95471')"
"('Q13237', 'O43889')"
"('Q13261', 'O60674')"
"('O43707', 'P68133')"
"('P16284', 'P12931')"
"('Q9NS23', 'Q9UER7')"
"('P31269', 'P04839')"
"('Q14247', 'P16885')"
"('P12757', 'Q5T5Y3')"
"('P48357', 'P06241')"
"('Q15714', 'Q15369')"
"('P43405', 'P46109')"
"('P13612', 'P18084')"
"('P01909', 'Q5UIP0')"
"('P20333', 'P27708')"
"('P00533', 'Q13480')"
"('Q13233', 'P50914')"
"('Q99689', 'Q14055')"
"('Q92844', 'O14920')"
"('P51532', 'P04150')"
"('Q99759', 'P27708')"
"('P35580', 'P24844')"
"('P00505', 'P24941')"
"('Q9P0J0', 'O95182')"
"('A6NIT4', 'P40189')"
"('O43353', 'O14920')"
"('P62736', 'P62993')"
"('Q9H213', 'Q8N2W9')"
"('P06493', 'Q9UKL4')"
"('Q15834', 'O60293')"
"('P30480', 'Q9H9A6')"
"('P13236', 'P49682')"
"('P31644', 'Q9H0R8')"
"('Q96B01', 'Q06609')"
"('Q8IZI9', 'P19838')"
"('A0JLT2', 'P84103')"
"('P02768', 'Q9UBS5')"
"('P25788', 'P29372')"
"('P10147', 'P41597')"
"('P83881', 'P05386')"
"('P19883', 'P08476')"
"('P23528', 'Q15642')"
"('P01106', 'P58107')"
"('Q9UL18', 'Q9H0A0')"
"('P05129', 'Q8TEY5')"
"('P01570', 'Q99650')"
"('P63104', 'P07305')"
"('Q96LR5', 'Q8TDB6')"
"('O60506', 'P17931')"
"('P12107', 'P26006')"
"('Q96KB5', 'O94972')"
"('Q8TDN4', 'P02768')"
"('P46776', 'P35268')"
"('Q16611', 'P04637')"
"('O75159', 'P48551')"
"('Q15834', 'Q5T0L3')"
"('O60762', 'Q05516')"
"('Q96GM8', 'O14795')"
"('P27824', 'P38646')"
"('P62851', 'P25398')"
"('P52948', 'Q9NR21')"
"('O95630', 'Q9Y3C5')"
"('P60953', 'O60880')"
"('Q04206', 'Q8IV45')"
"('P27986', 'O60603')"
"('Q9NZS9', 'P51668')"
"('Q5RL73', 'P55957')"
"('Q8WXK4', 'Q9UBF6')"
"('P17252', 'Q9HAV0')"
"('Q9NWS0', 'Q9Y3Q8')"
"('Q9Y5B0', 'Q9BQA1')"
"('P67870', 'Q8IV63')"
"('P62140', 'Q15435')"
"('P21917', 'P61952')"
"('Q9UJ98', 'Q9UQE7')"
"('P25791', 'Q96KQ7')"
"('Q96GM5', 'P61421')"
"('Q7Z5H3', 'O00212')"
"('Q6FI13', 'Q93079')"
"('P31947', 'Q8WWI1')"
"('P24928', 'P53803')"
"('Q9NX58', 'O76013')"
"('Q13325', 'Q96BY9')"
"('O75716', 'Q9NPJ1')"
"('Q13522', 'P62140')"
"('P62277', 'P62857')"
"('Q09013', 'Q16637')"
"('P15529', 'Q9HD26')"
"('O15530', 'P08575')"
"('P08729', 'P58107')"
"('P19838', 'P05141')"
"('P17947', 'P02775')"
"('Q9Y237', 'Q13813')"
"('P01106', 'O95236')"
"('O95817', 'Q9UJY1')"
"('P40337', 'Q9Y3D9')"
"('Q96LL4', 'Q15834')"
"('O96019', 'Q9Y4A5')"
"('Q00597', 'Q14469')"
"('P63211', 'P42338')"
"('Q9Y2W2', 'O60828')"
"('P51668', 'Q86Y01')"
"('Q13418', 'Q9NZI8')"
"('Q13573', 'Q92878')"
"('P01106', 'O60266')"
"('P28702', 'Q09472')"
"('Q13635', 'Q9Y2G2')"
"('Q7Z434', 'Q92844')"
"('Q96QB1', 'Q68CZ2')"
"('O95863', 'Q9Y297')"
"('P00749', 'P00747')"
"('Q16514', 'Q16531')"
"('P05230', 'P06213')"
"('P22362', 'P32302')"
"('Q13895', 'P38432')"
"('O43298', 'Q7L590')"
"('Q8WYH8', 'P23434')"
"('Q9NRR4', 'P62993')"
"('P13236', 'Q04206')"
"('P01730', 'Q6ICR9')"
"('P06753', 'Q9Y572')"
"('Q9Y3Q8', 'Q9UK33')"
"('Q9Y572', 'Q07021')"
"('P49757', 'P42566')"
"('Q13555', 'Q8NER1')"
"('Q16740', 'P30480')"
"('P29353', 'P07766')"
"('P04179', 'P16104')"
"('Q9NQB0', 'O75564')"
"('P25116', 'Q13596')"
"('O00206', 'P51617')"
"('O43927', 'P06241')"
"('Q9UBM4', 'O95433')"
"('P06493', 'Q9Y5Z7')"
"('P29597', 'P42229')"
"('P13498', 'P04839')"
"('P08575', 'O75955')"
"('Q13315', 'Q01167')"
"('Q9NSI8', 'P48023')"
"('Q15139', 'P43405')"
"('Q9NYI0', 'P18146')"
"('Q08828', 'P51817')"
"('P61254', 'P62750')"
"('Q99879', 'Q6UXN9')"
"('P26373', 'P62888')"
"('Q99816', 'Q8IV63')"
"('145781', 'Q9NVV9')"
"('O43921', 'P08581')"
"('Q13554', 'Q02641')"
"('P62273', 'P62244')"
"('O94855', 'Q07002')"
"('O14879', 'O95786')"
"('P17812', 'O75815')"
"('P83881', 'P61513')"
"('Q9BY41', 'P58876')"
"('P62081', 'P62249')"
"('P01574', 'Q14626')"
"('P06756', 'P26010')"
"('Q9Y375', 'P11142')"
"('P14859', 'Q04206')"
"('Q9H7E9', 'O95785')"
"('Q92633', 'O95467')"
"('O14974', 'Q01449')"
"('P28223', 'Q13698')"
"('O60341', 'Q16891')"
"('P54253', 'Q9Y2K5')"
"('P53803', 'Q9Y535')"
"('Q92597', 'P49327')"
"('Q9Y580', 'Q7Z4H7')"
"('Q9UKC9', 'P63208')"
"('O75508', 'Q8N6F1')"
"('P31689', 'Q9NPF4')"
"('Q9BQ83', 'P57678')"
"('P68400', 'O14641')"
"('P04628', 'Q14469')"
"('P56645', 'O15534')"
"('O60739', 'Q8TEW0')"
"('P10636', 'P19174')"
"('Q9UNM6', 'O00233')"
"('Q6WCQ1', 'Q04695')"
"('P35268', 'P46778')"
"('P00533', 'O43592')"
"('P62993', 'Q9Y286')"
"('Q15427', 'Q9BRX9')"
"('Q9BVJ6', 'Q15669')"
"('P58401', 'Q8NFZ4')"
"('P62993', 'P20963')"
"('P23246', 'Q99558')"
"('P30480', 'O00303')"
"('P0C5Z0', 'Q96RL1')"
"('Q9BZR9', 'Q9Y2X8')"
"('P42677', 'P62701')"
"('O14964', 'P61106')"
"('P67870', 'Q8TB40')"
"('P63211', 'P43657')"
"('P07333', 'Q99963')"
"('Q8NI35', 'P78369')"
"('P20333', 'Q9NVI1')"
"('Q8IXJ6', 'Q9NQC3')"
"('P43250', 'P32246')"
"('Q13951', 'P05060')"
"('P17096', 'P08047')"
"('Q13885', 'P04183')"
"('P51513', 'Q8TAQ2')"
"('P49715', 'P35221')"
"('P17612', 'O60359')"
"('Q92569', 'Q8IZP0')"
"('Q13748', 'P16871')"
"('Q5T5P2', 'Q96CN9')"
"('P47914', 'P61513')"
"('Q7L5D6', 'Q9P2S5')"
"('P35754', 'P04406')"
"('Q13315', 'Q7Z417')"
"('Q15329', 'Q16254')"
"('Q92609', 'P54253')"
"('Q08211', 'Q01081')"
"('O75159', 'Q01344')"
"('P01100', 'P03372')"
"('O75486', 'Q86TJ2')"
"('P07332', 'Q9Y4H2')"
"('P60520', 'Q92945')"
"('Q8TEM1', 'Q99567')"
"('Q99684', 'Q92769')"
"('P35222', 'P33151')"
"('P11215', 'P05362')"
"('P11233', 'Q15311')"
"('P13500', 'P51681')"
"('Q9BY71', 'P16333')"
"('Q6P1K2', 'Q7L5N1')"
"('Q8WYQ5', '406995')"
"('P63104', 'P04083')"
"('P67870', 'Q05513')"
"('P30511', 'Q8N109')"
"('P27540', 'P61073')"
"('P17612', 'P14415')"
"('P55196', 'Q99578')"
"('Q13315', 'Q9Y230')"
"('P40763', 'P05362')"
"('P23528', 'P12081')"
"('P15924', 'Q01201')"
"('P04908', 'P33778')"
"('P01106', 'Q8N531')"
"('Q9NPB6', 'Q9H6T3')"
"('Q8IWZ3', 'Q9NRI5')"
"('P01106', 'Q9BTL4')"
"('P19022', 'O60716')"
"('Q12933', 'Q8N2X6')"
"('Q99728', 'Q8N2W9')"
"('P30480', 'P62191')"
"('P51668', 'O15344')"
"('O75400', 'O75390')"
"('O95989', 'P50542')"
"('Q8WUA4', 'Q9Y5Q8')"
"('O00273', 'P63104')"
"('Q99466', 'Q86Y01')"
"('O75970', 'P56880')"
"('O14730', 'O60641')"
"('Q9Y561', 'O95405')"
"('Q9UJX4', 'Q13042')"
"('P05112', 'Q13651')"
"('Q9NVI7', 'Q9Y572')"
"('Q13507', 'P19174')"
"('P04637', 'P05549')"
"('P19793', 'O75448')"
"('P12111', 'Q13797')"
"('O15144', 'P12830')"
"('P49790', 'Q15796')"
"('P42336', 'Q06124')"
"('Q08043', 'P68133')"
"('P02775', 'Q86TA1')"
"('P62873', 'Q9HBW0')"
"('O43318', 'Q15750')"
"('O95471', 'A6NM45')"
"('O15264', 'P19419')"
"('Q10570', 'Q9UKF6')"
"('P41182', 'O00221')"
"('Q13885', 'P15927')"
"('Q99624', 'Q15047')"
"('P78545', 'Q15323')"
"('Q9Y6Q9', 'P20226')"
"('Q9Y5B9', 'Q9H9T3')"
"('P60709', 'P46781')"
"('Q01844', 'Q92793')"
"('P19387', 'P23193')"
"('Q7L576', 'Q8WUW1')"
"('Q13619', 'Q15714')"
"('P12004', 'P18669')"
"('P67775', 'O60674')"
"('P61956', 'O60341')"
"('Q9UMX0', 'Q99460')"
"('P26232', 'Q04917')"
"('P60484', 'Q9Y243')"
"('P01215', 'P23945')"
"('O15255', 'O60381')"
"('Q86YV9', 'P42338')"
"('Q9Y3Q8', 'Q13526')"
"('O95178', 'Q9Y6M9')"
"('Q04206', 'P14316')"
"('P20393', 'Q8WYA1')"
"('O00213', 'Q9UI08')"
"('P17544', 'Q16514')"
"('Q7L8J4', 'P61981')"
"('Q9H788', 'P43364')"
"('P25791', 'P61371')"
"('P52926', 'Q04206')"
"('P26373', 'P18124')"
"('Q9NZC9', 'P35244')"
"('P40259', 'P43405')"
"('Q8IXK0', 'Q9Y4W6')"
"('O15520', 'P10721')"
"('Q12851', 'Q13162')"
"('Q14289', 'P16871')"
"('P60900', 'Q9Y4K3')"
"('P00918', 'P10809')"
"('Q9Y3R0', 'Q15788')"
"('Q86YP4', 'Q99459')"
"('Q6EEV6', 'O14715')"
"('Q7KZI7', 'Q7L7X3')"
"('P04899', 'Q99759')"
"('Q9Y4X3', 'P41597')"
"('P32121', 'A6NKK0')"
"('P20333', 'P62263')"
"('P42695', 'O95084')"
"('P53680', 'P00533')"
"('P01563', 'Q99650')"
"('Q9Y5S8', 'Q15759')"
"('P19793', 'Q86YW9')"
"('Q8NHY2', 'P05412')"
"('P38646', 'Q9Y2C9')"
"('Q9HD26', 'P98095')"
"('P35544', 'Q96BK5')"
"('P26599', 'Q8IU81')"
"('O60262', 'P25116')"
"('Q8WWQ0', 'P04350')"
"('Q8NBJ4', 'Q13002')"
"('O75578', 'P49023')"
"('406905', 'Q9Y3Q4')"
"('O95405', 'Q8IXI1')"
"('P62993', 'P16152')"
"('Q7L5N1', 'Q6P1K2')"
"('P78537', 'Q9UL45')"
"('P07332', 'P51805')"
"('Q9GZS1', 'P51991')"
"('Q2TAY7', 'P55081')"
"('Q06455', 'Q9HBM6')"
"('P32456', 'P20073')"
"('P17028', 'Q14194')"
"('P29401', 'Q9GZN1')"
"('407021', 'Q8NFU7')"
"('P62837', 'O15344')"
"('P60953', 'Q9UM54')"
"('Q96CG3', 'O14641')"
"('O14544', 'Q13261')"
"('P52434', 'Q9H9Y6')"
"('Q9H3G5', 'Q99759')"
"('Q13114', 'Q96F46')"
"('Q09028', 'Q9UBN6')"
"('Q13347', 'P55884')"
"('P18859', 'P03928')"
"('O95865', 'Q16637')"
"('Q01201', 'Q9UBN7')"
"('Q86Z14', 'P11362')"
"('P18031', 'P49759')"
"('P07202', 'Q08334')"
"('P35626', 'Q9H209')"
"('P18583', 'O75400')"
"('P02686', 'Q96KB5')"
"('P61247', 'Q9UKV8')"
"('O75251', 'O43678')"
"('Q9NYN1', 'Q15796')"
"('P05412', 'P35790')"
"('Q13873', 'P36894')"
"('P40337', 'P62158')"
"('A8TX70', 'P16144')"
"('Q9H422', 'Q9UII5')"
"('Q9NPY3', 'O95433')"
"('P46087', 'P11387')"
"('Q00005', 'Q14532')"
"('P07947', 'P16144')"
"('O00463', 'P57078')"
"('O60861', 'P23246')"
"('Q13535', 'Q9ULM3')"
"('Q9H816', 'P55036')"
"('Q92731', 'P53041')"
"('P29350', 'Q9UKW4')"
"('O75528', 'Q9NR33')"
"('O14625', 'P49682')"
"('O75914', 'Q9H1R3')"
"('Q9Y5J5', 'Q96EY1')"
"('Q9H237', 'Q9GZT5')"
"('Q01449', 'P35579')"
"('P40197', 'P42338')"
"('P48729', 'P50548')"
"('O43900', 'P16333')"
"('Q9NR30', 'O75940')"
"('P52952', 'Q86Z02')"
"('Q15075', 'P51149')"
"('Q8IZP0', 'O60861')"
"('Q9Y297', 'P30304')"
"('Q9H9C1', 'Q9H267')"
"('Q13535', 'P38646')"
"('P62273', 'P23396')"
"('Q9H944', 'O95402')"
"('Q7Z7J5', 'P26368')"
"('P23919', 'Q99459')"
"('Q13443', 'Q99962')"
"('P62993', 'P15498')"
"('Q8WZ94', 'P38405')"
"('Q9Y692', 'Q9HAU4')"
"('Q99594', 'Q16635')"
"('Q8WUI4', 'Q99878')"
"('Q9H9G7', 'P23588')"
"('P21802', 'Q9H201')"
"('Q8WUM4', 'Q9H444')"
"('Q96EP5', 'Q4VXU2')"
"('Q9H900', 'O43264')"
"('P42338', 'Q9UQC2')"
"('Q13017', 'P08134')"
"('O75925', 'P11831')"
"('Q99259', 'Q9H2G2')"
"('P35638', 'P49716')"
"('P23527', 'P0C0S8')"
"('Q9UBS5', 'P09471')"
"('O95352', 'Q96EB6')"
"('Q13162', 'Q9UBN7')"
"('Q9ULG1', 'P0C1Z6')"
"('O00231', 'P51665')"
"('Q99623', 'Q14197')"
"('P51686', 'P52333')"
"('P11021', 'P30040')"
"('Q99962', 'Q15303')"
"('Q53ET0', 'Q9Y243')"
"('Q8N5R6', 'Q13137')"
"('P51817', 'P17302')"
"('Q9NR30', 'Q9Y4K3')"
"('Q00005', 'P62424')"
"('P61088', 'P0C0S5')"
"('Q9P031', 'Q15714')"
"('Q9H4L4', 'P15880')"
"('P36897', 'Q9UF11')"
"('P21246', 'Q9BPX7')"
"('O14490', 'P78352')"
"('P78527', 'P27695')"
"('P62910', 'Q9NX58')"
"('P09493', 'Q9Y572')"
"('P06753', 'Q12913')"
"('O15145', 'P62993')"
"('P63104', 'Q9UKX3')"
"('Q13094', 'P22681')"
"('Q9H993', 'Q14164')"
"('Q9BUZ4', 'P12814')"
"('O60264', 'Q9UIF9')"
"('O95822', 'O00308')"
"('P62191', 'Q06323')"
"('A0JLT2', 'Q9NR30')"
"('P54253', 'Q6ZMJ4')"
"('Q9UHV8', 'P63261')"
"('P35637', 'P10415')"
"('Q15223', 'Q9NQS3')"
"('Q5QNW6', 'Q7L7L0')"
"('Q9UQ80', 'O00716')"
"('P03915', 'P03886')"
"('Q9NYY1', 'Q99665')"
"('Q8N490', 'P43364')"
"('P35544', 'P62979')"
"('P52757', 'Q07889')"
"('P01112', 'O15211')"
"('Q9H3S7', 'O75791')"
"('Q13263', 'Q9C030')"
"('P54252', 'P54727')"
"('P51668', 'Q96P09')"
"('Q9BVC4', 'O15111')"
"('O75448', 'Q6P2C8')"
"('Q96EZ8', 'Q8WZ42')"
"('Q13315', 'Q9NQT8')"
"('Q969T4', 'Q06587')"
"('P29508', 'P20333')"
"('P63000', 'P19878')"
"('P62829', 'Q12933')"
"('P08243', 'P54253')"
"('P03886', 'P56556')"
"('O00483', 'Q9UI09')"
"('P59998', 'P63261')"
"('Q9NVU7', 'Q15583')"
"('Q13469', 'P43694')"
"('Q15118', 'P78539')"
"('Q5T5U3', 'Q96L33')"
"('P19338', 'P11387')"
"('Q8N6Y0', 'O15155')"
