negatives
"('Q8IU85', 'Q96NX5')"
"('P61978', 'Q9Y490')"
"('Q9UEW8', 'P02686')"
"('P18124', 'P35228')"
"('Q96CS3', 'Q92890')"
"('O43639', 'Q8N653')"
"('Q96CW1', 'P11142')"
"('P0DMV8', 'Q8NHV4')"
"('P56524', 'Q15323')"
"('O75439', 'Q9BXW7')"
"('Q9H492', 'Q9Y4B6')"
"('Q9HCI7', 'Q9H4A3')"
"('P40692', 'Q92878')"
"('P68104', 'O15264')"
"('Q96EV8', 'O95295')"
"('Q9H8W4', 'Q96G97')"
"('O43597', 'Q8TF42')"
"('Q8IWZ8', 'P52597')"
"('Q01094', 'Q9NYG5')"
"('Q9NQX4', 'Q13045')"
"('Q9NZ71', 'O14498')"
"('P31948', 'Q15717')"
"('O60477', 'Q9NYJ8')"
"('Q9NSB4', 'Q969Q5')"
"('O00602', 'Q4KMG9')"
"('Q92900', 'P20042')"
"('O43189', 'P36406')"
"('P30281', 'Q9H173')"
"('Q8TEQ6', 'P62318')"
"('O14980', 'Q9UQC2')"
"('Q99961', 'Q92688')"
"('Q96AB6', 'P50222')"
"('P60520', 'Q9NS23')"
"('P42224', 'P12314')"
"('P49711', 'Q92841')"
"('Q9HC24', 'Q96A33')"
"('Q2TBE0', 'O94972')"
"('P10276', 'P56524')"
"('Q6PJT7', 'P63172')"
"('Q15573', 'Q15572')"
"('P62937', 'Q9H492')"
"('P04216', 'P06239')"
"('Q9NX04', 'Q8ND90')"
"('Q9Y606', 'P54687')"
"('P33992', 'Q8IUE6')"
"('P27348', 'P62736')"
"('P08670', 'O43464')"
"('Q8N567', 'Q15527')"
"('O00186', 'Q6PD74')"
"('P56279', 'Q13077')"
"('Q14119', 'Q8N1B4')"
"('P30153', 'Q9UET6')"
"('Q9UPN4', 'Q8N4C6')"
"('Q9Y2T3', 'P55060')"
"('O75251', 'P51970')"
"('Q9P0W0', 'Q13651')"
"('Q9UER7', 'P19474')"
"('Q9NVV9', 'Q86V42')"
"('Q13748', 'Q13885')"
"('B5ME19', 'P60033')"
"('Q13616', 'P61247')"
"('P02652', 'Q8N9F7')"
"('P62987', 'Q6PCD5')"
"('P27986', 'P23258')"
"('Q99618', 'P05067')"
"('P05386', 'P61927')"
"('Q9BPU9', 'Q9NXB0')"
"('Q13049', 'Q14141')"
"('Q9H9T3', 'Q08945')"
"('O95299', 'Q9UI09')"
"('Q5VTT5', 'Q9NX55')"
"('Q05397', 'Q14247')"
"('Q9NQW7', 'P46926')"
"('O95471', 'P09758')"
"('P04792', 'Q7L2H7')"
"('Q9Y258', 'P32246')"
"('O60506', 'P84103')"
"('Q9HC98', 'Q7Z6G3')"
"('Q13285', 'Q13838')"
"('Q96JN0', 'Q13363')"
"('Q13490', 'Q5T4S7')"
"('P39019', 'O60216')"
"('P35269', 'Q13503')"
"('Q8TF05', 'P30154')"
"('Q3LI70', 'Q7Z6R9')"
"('P02751', 'Q9UMS4')"
"('Q9NXE4', 'Q9P0N5')"
"('Q15393', 'Q9NQ29')"
"('O95295', 'Q9NUP1')"
"('P63208', 'Q8N5M4')"
"('P53671', 'Q15293')"
"('Q9P244', 'Q9BQK8')"
"('P35240', 'Q14683')"
"('Q9P0J0', 'Q7Z6Z7')"
"('P17655', 'Q9UNZ2')"
"('Q96FC9', 'Q9H0W8')"
"('P27635', 'P30050')"
"('P48730', 'P84022')"
"('O43741', 'Q01974')"
"('P19012', 'Q7L590')"
"('P82673', 'Q13618')"
"('P55103', 'P36896')"
"('Q24JP5', 'Q86YD3')"
"('P62070', 'P18146')"
"('Q04206', 'Q13263')"
"('Q13043', 'Q86VZ5')"
"('P23526', 'P31939')"
"('Q8IZC4', 'P38398')"
"('P16220', 'P09016')"
"('Q969F0', 'Q16625')"
"('Q92614', 'Q9NSY1')"
"('O60244', 'P16333')"
"('O95865', 'P61224')"
"('Q96Q45', 'P51648')"
"('Q01081', 'P04629')"
"('O43427', 'P67870')"
"('P48443', 'P55055')"
"('Q9Y675', 'P10275')"
"('Q9BXY0', 'Q99598')"
"('Q16649', 'Q96BA8')"
"('P62857', 'Q14677')"
"('Q9UKB1', 'Q9BYD3')"
"('P35908', 'P02751')"
"('Q6FHJ7', 'O14905')"
"('P05000', 'Q13651')"
"('Q9Y383', 'P46100')"
"('P35579', 'Q5T5U3')"
"('O96017', 'Q02790')"
"('Q16576', 'Q4LE39')"
"('Q92993', 'O43781')"
"('Q9UBE8', 'P35716')"
"('Q7Z2K8', 'O95619')"
"('P30480', 'P24534')"
"('P10275', 'O14543')"
"('Q12846', 'Q969S6')"
"('P52566', 'P61960')"
"('P01135', 'P22455')"
"('Q9HB71', 'P01241')"
"('O94915', 'Q6ICG6')"
"('P16401', 'Q92830')"
"('Q9Y266', 'P43034')"
"('Q9NRW7', 'Q86Y82')"
"('P98194', 'Q8IYR6')"
"('Q8N357', 'P50454')"
"('Q92620', 'Q13618')"
"('P49711', 'Q9BQS6')"
"('Q6NYC8', 'P57721')"
"('P21291', 'Q9H1I8')"
"('P39687', 'P05455')"
"('Q96CW5', 'O00425')"
"('Q9UPY8', 'P30622')"
"('Q6T4R5', 'O60506')"
"('Q9NRD1', 'Q92820')"
"('P30046', 'O60739')"
"('P60370', 'Q96N58')"
"('P10599', 'Q16526')"
"('O43765', 'Q8NI51')"
"('P00533', 'Q9Y6W3')"
"('Q6L8H1', 'Q9BYQ4')"
"('P42345', 'O14654')"
"('P11182', 'P09913')"
"('Q14244', 'Q9ULK4')"
"('P17302', 'Q05639')"
"('P61353', 'P62701')"
"('Q8IW35', 'Q9UBE8')"
"('O95678', 'P13646')"
"('Q96MU7', 'Q9P0V9')"
"('Q92993', 'Q8WVM8')"
"('Q9UEW8', 'Q9BZZ5')"
"('P27540', 'P02786')"
"('Q9NZ94', 'Q86W33')"
"('P21860', 'Q9UQQ2')"
"('P15498', 'P06213')"
"('O14544', 'Q9HBE5')"
"('Q6A162', 'P16860')"
"('Q7Z6B7', 'P15153')"
"('Q16740', 'Q8N4T8')"
"('P54274', 'P29401')"
"('Q9H6Z9', 'Q96GX5')"
"('O95084', 'P51114')"
"('Q92922', 'P04155')"
"('Q13227', 'P57077')"
"('Q8IZL8', 'P48431')"
"('P52888', 'Q9NP77')"
"('P14868', 'P19320')"
"('P31995', 'P13612')"
"('Q92905', 'O00303')"
"('Q15323', 'Q9NQL9')"
"('Q676U5', 'A1A4Y4')"
"('Q96AA3', 'O95292')"
"('Q8IUH8', 'Q7Z3S9')"
"('Q9Y265', 'Q9Y5K5')"
"('O95759', 'P14923')"
"('Q9BVN2', 'P78358')"
"('Q14393', 'Q06418')"
"('Q9UNH7', 'P84243')"
"('Q53GS9', 'O75317')"
"('Q9H190', 'Q9UGL9')"
"('Q9NVF9', 'P59991')"
"('Q96JS3', 'Q969J2')"
"('Q9UGJ1', 'Q15834')"
"('Q9Y2R0', 'Q9BSH4')"
"('O76094', 'Q66GS9')"
"('Q96L92', 'P31751')"
"('Q8TEC5', 'Q92636')"
"('Q13085', 'Q96CW1')"
"('Q9NUD5', 'P09651')"
"('P61978', 'Q5TC82')"
"('Q9P0L9', 'P19237')"
"('Q8IWX7', 'P07900')"
"('Q9Y6K9', 'A0MZ66')"
"('Q00887', 'P36543')"
"('Q96B23', 'Q9UQ88')"
"('P17987', 'P61964')"
"('Q92569', 'Q5TAQ9')"
"('P50222', 'Q8N5M4')"
"('P30530', 'P29353')"
"('P16157', 'Q14643')"
"('P22612', 'Q9NZT1')"
"('Q9UHY1', 'P67870')"
"('Q99459', 'O15297')"
"('P00519', 'Q8TF42')"
"('A6NHT5', 'Q8NB14')"
"('P49257', 'P35606')"
"('Q9BYQ6', 'P26371')"
"('P62857', 'O75031')"
"('P58335', 'O75581')"
"('Q92845', 'Q8IWJ2')"
"('Q9Y333', 'P09661')"
"('O75643', 'Q99728')"
"('Q96EP1', 'Q9UBS5')"
"('Q96JC9', 'Q9BVG3')"
"('Q15560', 'A1L4H1')"
"('Q14209', 'P50876')"
"('Q9UHC1', 'P05062')"
"('O00526', 'Q8TAV4')"
"('Q5SW79', 'Q5T5Y3')"
"('Q96KQ4', 'P04626')"
"('Q14999', 'Q9UMS4')"
"('Q2TAL6', 'O43609')"
"('Q96MW5', 'Q96IQ7')"
"('P14373', 'Q5VVX9')"
"('P16070', 'Q13501')"
"('Q8N6T3', 'Q8WXI3')"
"('Q71UM5', 'P62318')"
"('Q08209', 'Q53ET0')"
"('Q8N108', 'Q96KQ7')"
"('Q9UHV9', 'Q9NVU0')"
"('P30041', 'O75608')"
"('P35269', 'P10275')"
"('P49588', 'P51692')"
"('Q99707', 'Q99747')"
"('Q9GZT8', 'P49588')"
"('Q12905', 'Q13148')"
"('Q9P0N5', 'P22059')"
"('Q9UBU9', 'Q92905')"
"('Q9NQ50', 'Q9P0P8')"
"('Q9UKL0', 'Q96P16')"
"('P49407', 'Q96R30')"
"('Q9H2G9', 'O43741')"
"('Q96GY3', 'Q13509')"
"('Q6PCE3', 'Q14807')"
"('Q96EP5', 'Q9NTZ6')"
"('P46527', 'Q8NHM5')"
"('Q96GE6', 'Q16816')"
"('P01023', 'P10809')"
"('Q9GZS1', 'Q9UBC5')"
"('P0DMV8', 'Q92560')"
"('O15287', 'O96006')"
"('O75618', 'Q8IUA7')"
"('Q9Y6Q5', 'P21860')"
"('Q9P2J5', 'P19320')"
"('Q5JR59', 'Q49AN0')"
"('Q9H173', 'Q2MV58')"
"('Q9UL18', 'O15160')"
"('P04637', 'Q8N9N5')"
"('Q14151', 'O75376')"
"('P30530', 'O00459')"
"('P22087', 'Q9BV73')"
"('Q96N21', 'O14980')"
"('Q969U6', 'Q6UVJ0')"
"('Q68EM7', 'P63000')"
"('O00231', 'Q9UJV3')"
"('O75312', 'P52594')"
"('Q96T37', 'P48431')"
"('Q86U70', 'P25800')"
"('Q14974', 'Q9UBU9')"
"('Q8WWI1', 'P55196')"
"('Q9HC98', 'O15260')"
"('Q13627', 'P31947')"
"('Q52LR7', 'P55795')"
"('Q8IVT5', 'Q8N684')"
"('Q16401', 'P25787')"
"('O00139', 'Q6UN15')"
"('P26006', 'P27797')"
"('Q9BU64', 'Q6IPU0')"
"('O14967', 'Q17R55')"
"('Q16576', 'P22392')"
"('Q03468', 'Q16777')"
"('Q9HD26', 'P22794')"
"('O43915', 'P09619')"
"('A6NK89', 'P04083')"
"('Q71F23', 'P58340')"
"('Q8TBZ8', 'Q9UJV3')"
"('P15923', 'Q13309')"
"('Q9BPX5', 'Q9NQX4')"
"('P62873', 'Q16539')"
"('Q92844', 'P31431')"
"('Q9Y295', 'P62993')"
"('P35372', 'Q96AW1')"
"('Q04206', 'Q96CX2')"
"('Q96EB6', 'P26358')"
"('P46109', 'O75095')"
"('O75530', 'P38646')"
"('P50914', 'Q96ME7')"
"('P36578', 'P35240')"
"('Q9BZL6', 'P19793')"
"('P52565', 'P62745')"
"('Q16643', 'P32121')"
"('P62906', 'P62917')"
"('Q14999', 'Q16891')"
"('P47755', 'O14735')"
"('Q86WJ1', 'P84243')"
"('Q9H0R8', 'P61457')"
"('P35579', 'O00443')"
"('P15407', 'Q15672')"
"('Q9NRC8', 'Q14669')"
"('P98170', 'Q13489')"
"('P15173', 'P51532')"
"('Q92636', 'O60906')"
"('Q8IWV8', 'P48681')"
"('O15350', 'Q16531')"
"('Q92843', 'P12830')"
"('Q9H2G2', 'O43150')"
"('O75508', 'P56748')"
"('P55072', 'P08758')"
"('Q08379', 'Q8IXS8')"
"('Q6ICC9', 'Q9ULX9')"
"('Q96IQ7', 'Q9UIA9')"
"('P48643', 'Q9H7D0')"
"('P51692', 'P16410')"
"('Q99933', 'Q5VYK3')"
"('P01106', 'Q9BZM1')"
"('P61764', 'Q68EM7')"
"('P68363', 'Q13885')"
"('Q9NRN7', 'P19174')"
"('Q7Z6G3', 'Q8N5R6')"
"('P04637', 'P42224')"
"('P38646', 'P31040')"
"('Q9Y5K8', 'Q00610')"
"('Q13243', 'O43395')"
"('Q99878', 'Q9UBN7')"
"('P60033', 'P01040')"
"('Q9HC24', 'O15260')"
"('Q6WCQ1', 'Q15149')"
"('Q99623', 'O75376')"
"('Q8IVL0', 'P25054')"
"('A8MQ03', 'O00555')"
"('Q9BQA1', 'Q13976')"
"('Q92731', 'P07237')"
"('Q15154', 'Q9HC77')"
"('O95298', 'Q16795')"
"('Q8N5H7', 'Q14289')"
"('P15927', 'Q01082')"
"('Q9NPC4', 'P55899')"
"('Q15648', 'P01100')"
"('P38646', 'O75530')"
"('Q96FW1', 'P27708')"
"('P48643', 'P62993')"
"('Q9Y5K6', 'P63279')"
"('Q8WUM4', 'Q9Y5J5')"
"('Q9UM54', 'P62158')"
"('Q17RB8', 'P27918')"
"('Q9NRD1', 'P55084')"
"('O00358', 'P49916')"
"('P53350', 'O95433')"
"('Q6PCE3', 'P48739')"
"('P62834', 'Q8TDF6')"
"('P23258', 'P49368')"
"('Q9Y484', 'Q02978')"
"('Q15165', 'P00533')"
"('Q9BW04', 'P05067')"
"('O95793', 'Q9NR30')"
"('P28799', 'P63000')"
"('P05023', 'Q8TCJ0')"
"('Q96IZ0', 'Q9NY61')"
"('P09661', 'Q9BZI7')"
"('Q7L190', 'Q12888')"
"('Q13310', 'P62714')"
"('Q15645', 'P47897')"
"('P51610', 'P27694')"
"('O95153', 'O00555')"
"('Q9UBU9', 'P35658')"
"('P98170', 'Q5BKX5')"
"('Q13114', 'O95819')"
"('P84243', 'Q969P0')"
"('Q86Y82', 'P62820')"
"('O14958', 'Q8IWU5')"
"('Q9Y2H8', 'Q15796')"
"('P19320', 'Q5JXB2')"
"('P38159', 'P02751')"
"('O95985', 'Q8NI27')"
"('Q5FWF5', 'Q96KQ7')"
"('P35226', 'Q9Y2X3')"
"('P43246', 'P50750')"
"('P25787', 'Q9UHD9')"
"('P23381', 'O75956')"
"('Q9UNS2', 'Q86U86')"
"('Q9BV73', 'Q9BVA1')"
"('P43353', 'Q99714')"
"('P49815', 'P11802')"
"('O60447', 'P48730')"
"('Q16760', 'Q96ID5')"
"('P16152', 'Q9UMF0')"
"('Q9UDT6', 'P61244')"
"('Q15365', 'Q9P2S5')"
"('O95467', 'P63215')"
"('O95793', 'P67870')"
"('P10720', 'P41597')"
"('Q13283', 'Q8N9T8')"
"('P19320', 'Q07955')"
"('Q8IVT5', 'Q96F86')"
"('P67936', 'A0MZ66')"
"('O94829', 'Q9BUZ4')"
"('Q15788', 'P10828')"
"('Q9NPJ8', 'P36406')"
"('P82663', 'Q8TAP6')"
"('Q02539', 'P14635')"
"('Q9NWQ4', 'P05067')"
"('Q9P127', 'Q9Y3Y2')"
"('Q9H492', 'O94806')"
"('Q96QC0', 'Q9NYB0')"
"('Q9P0N5', 'Q86UP2')"
"('Q5JPE7', 'Q01844')"
"('P48431', 'Q92616')"
"('O14776', 'O75530')"
"('Q99728', 'O60563')"
"('P48556', 'P32314')"
"('P15735', 'P06737')"
"('Q9NRR4', 'P25786')"
"('P04629', 'Q7L8L6')"
"('Q96A26', 'P35613')"
"('O95684', 'Q96KV7')"
"('P14598', 'Q14247')"
"('Q5HYW2', 'Q96EV8')"
"('Q92560', 'P03372')"
"('Q96AE4', 'P03372')"
"('Q92574', 'P53350')"
"('P50148', 'Q14500')"
"('P68400', 'Q92994')"
"('P24941', 'Q7Z2Z1')"
"('P62877', 'Q9BYU1')"
"('Q9BQE5', 'Q16623')"
"('Q16630', 'Q15560')"
"('P68400', 'O14979')"
"('Q5TGZ0', 'Q9BSJ2')"
"('A1A4S6', 'P17081')"
"('P62263', 'Q9Y3D8')"
"('P0DPB5', 'O75575')"
"('O75027', 'P31153')"
"('Q15006', 'P20839')"
"('Q92673', 'O95389')"
"('Q12952', 'Q13459')"
"('P25105', 'Q969Y2')"
"('O00198', 'Q15717')"
"('Q9UKT9', 'O95363')"
"('P17947', 'P10153')"
"('P24941', 'Q96QK1')"
"('O95071', 'P13984')"
"('P53367', 'Q8WZ55')"
"('Q8TF50', 'Q3B820')"
"('Q8NGS7', 'P38405')"
"('Q9NZM4', 'P12931')"
"('Q9H6Z9', 'Q6PGQ7')"
"('P05362', 'A8MQ03')"
"('Q14344', 'Q8WYR1')"
"('P23526', 'P98082')"
"('Q71U36', 'O75449')"
"('Q00526', 'Q9H211')"
"('Q8N8X9', 'Q8IXK0')"
"('Q8TDN6', 'O15481')"
"('P02751', 'Q16630')"
"('P57081', 'Q15554')"
"('Q14202', 'Q92769')"
"('Q63ZY3', 'Q96BZ8')"
"('P02751', 'Q9UK41')"
"('Q86Y82', 'Q8N6L0')"
"('P78347', 'Q9H270')"
"('Q13216', 'Q93034')"
"('O00567', 'Q99879')"
"('Q8WWQ8', 'P45984')"
"('Q5TA82', 'Q5T754')"
"('P04637', 'P20226')"
"('Q9H6F5', 'Q96HE9')"
"('P30273', 'P06241')"
"('O75354', 'Q86YD3')"
"('P48431', 'Q9NYK5')"
"('Q15637', 'Q01995')"
"('Q13620', 'O14979')"
"('O76031', 'Q9BU02')"
"('P28702', 'Q9NVC6')"
"('P41235', 'Q02252')"
"('O14817', 'O14633')"
"('P05771', 'P17931')"
"('Q9UBU8', 'Q8WUU5')"
"('Q13616', 'Q15413')"
"('Q9NQ29', 'O95232')"
"('Q86Z20', 'Q3B820')"
"('P15927', 'Q15011')"
"('P0C7P0', 'P53985')"
"('P51665', 'Q99460')"
"('Q3ZAQ7', 'P01889')"
"('O14653', 'Q0D2H9')"
"('P49585', 'Q9HAN9')"
"('Q9UJ41', 'Q5T5S1')"
"('Q10570', 'Q0VD86')"
"('Q14683', 'Q05519')"
"('P08620', 'P17948')"
"('Q13492', 'Q9UHA4')"
"('O00755', 'P56704')"
"('P05771', 'P01111')"
"('Q9P0L0', 'Q9UKD2')"
"('O00411', 'Q9Y6H1')"
"('P14373', 'Q8TAE8')"
"('P62241', 'Q16540')"
"('P78508', 'Q9Y678')"
"('P18077', 'P25398')"
"('Q6ZUA9', 'P07307')"
"('Q9Y5X4', 'O75376')"
"('P60369', 'Q9UBX3')"
"('Q12797', 'Q6DD88')"
"('O43463', 'Q9BX10')"
"('Q6ZU80', 'P11182')"
"('Q5VTD9', 'Q9ULT6')"
"('Q15751', 'Q16763')"
"('O75376', 'P20339')"
"('Q9NRD1', 'Q9BQA1')"
"('P33778', 'Q5S007')"
"('P18827', 'P06756')"
"('Q6IQ23', 'O60870')"
"('Q9UQM7', 'P30307')"
"('Q9Y696', 'P08238')"
"('Q9NW08', 'O60264')"
"('Q9NQW6', 'Q13867')"
"('P31994', 'P43405')"
"('P0DP23', 'Q8WZ42')"
"('Q9Y217', 'O95229')"
"('Q92542', 'Q9Y2W1')"
"('Q9NSB8', 'P13637')"
"('P45973', 'P16403')"
"('P21731', 'P63092')"
"('P29692', 'Q8WYK2')"
"('P15941', 'P17931')"
"('Q8IYE0', 'Q9BYV2')"
"('P25791', 'Q6NUQ1')"
"('P06493', 'Q7Z5Q1')"
"('P50222', 'Q9BYR0')"
"('Q9GZM8', 'O75604')"
"('P63167', 'O76070')"
"('Q9UHX1', 'Q9H0B3')"
"('P08069', 'Q13480')"
"('Q9UGP4', 'P19174')"
"('Q00994', 'Q99750')"
"('P53355', 'P62753')"
"('P26639', 'Q13616')"
"('Q9UHL9', 'P83916')"
"('P62993', 'Q03989')"
"('P09001', 'Q9BYD1')"
"('Q86X02', 'Q8TAB5')"
"('Q9H7D0', 'Q96L33')"
"('Q9UQB8', 'Q12929')"
"('P48431', 'Q9Y5B9')"
"('Q9H173', 'P30281')"
"('O15379', 'Q9NQX0')"
"('P48431', 'Q9UKM9')"
"('P49459', 'Q9Y305')"
"('O75379', 'O14662')"
"('P08579', 'Q15427')"
"('Q92466', 'Q16777')"
"('Q9NX14', 'Q16795')"
"('Q05519', 'P08473')"
"('Q9UGY1', 'Q9Y2D8')"
"('P08237', 'Q13492')"
"('P49407', 'Q8NGJ8')"
"('Q96MY7', 'Q9UBB9')"
"('Q04900', 'Q15717')"
"('P05067', 'O94876')"
"('Q00537', 'P06493')"
"('Q7L3B6', 'Q9UHP3')"
"('P30153', 'Q8NDD1')"
"('Q9UKR5', 'Q96BA8')"
"('P55036', 'Q9H175')"
"('Q9Y613', 'Q8IWZ6')"
"('P05129', 'P01100')"
"('P62280', 'Q9H0U6')"
"('Q8IZD4', 'Q9P2M7')"
"('Q9Y6A4', 'Q15428')"
"('Q9NQS3', 'Q15818')"
"('Q99550', 'Q05D60')"
"('P40425', 'Q13394')"
"('P04637', 'Q9NPI1')"
"('Q8WUF5', 'P08047')"
"('P06241', 'P07900')"
"('P46109', 'Q93009')"
"('P61457', 'Q9GZT8')"
"('Q6ZW49', 'Q9ULK4')"
"('Q13618', 'P54277')"
"('Q6VAB6', 'A8MQ03')"
"('P47869', 'Q15111')"
"('Q15172', 'P30154')"
"('Q6ZUJ4', 'Q13515')"
"('Q9UM82', 'Q9P209')"
"('Q15560', 'Q92917')"
"('Q9NYB9', 'Q15154')"
"('P31749', 'O60504')"
"('Q9P2F9', 'Q92997')"
"('P61927', 'P62913')"
"('Q9GZS1', 'Q7Z353')"
"('Q15717', 'Q8TEY7')"
"('Q9NV70', 'Q99459')"
"('P17612', 'Q8NGD1')"
"('Q9UK45', 'O43172')"
"('Q07021', 'Q9NQ29')"
"('Q9BXS5', 'P18848')"
"('P25205', 'Q96CS2')"
"('Q14512', 'P98160')"
"('P47897', 'Q7Z6Z7')"
"('Q6A163', 'O60341')"
"('Q96EY1', 'Q93009')"
"('Q08117', 'Q04864')"
"('P17844', 'P13639')"
"('P49841', 'P12036')"
"('Q13263', 'P46736')"
"('P61218', 'Q5VTH2')"
"('Q8NFH4', 'P52948')"
"('P20042', 'P61513')"
"('P09651', 'Q9NUL7')"
"('Q9NUQ8', 'P62380')"
"('Q9NPB6', 'Q9Y2Z0')"
"('Q8IV20', 'Q99598')"
"('Q5T7W7', 'Q9UIF7')"
"('Q13936', 'P61457')"
"('Q12888', 'Q96PY6')"
"('Q13045', 'Q8WYQ5')"
"('Q9UHD8', 'O75147')"
"('O14744', 'Q04727')"
"('P21810', 'P05067')"
"('Q8TDI0', 'Q16695')"
"('P18545', 'P12931')"
"('Q9HCE7', 'P05067')"
"('P60953', 'B2RTY4')"
"('Q8N205', 'O60344')"
"('Q5IJ48', 'P62805')"
"('P30154', 'Q9Y2T4')"
"('Q9Y478', 'P00387')"
"('Q03701', 'Q14978')"
"('P11441', 'P0DMV9')"
"('Q96GF1', 'P48556')"
"('Q8TBB1', 'O96006')"
"('P43487', 'Q00987')"
"('P53602', 'Q96KP4')"
"('P42858', 'Q9UHD9')"
"('Q15022', 'P12532')"
"('Q13451', 'Q6NSI4')"
"('P0DP23', 'P12532')"
"('P35226', 'Q2TAY7')"
"('P26368', 'Q69YN4')"
"('P52799', 'Q13613')"
"('Q9BUJ2', 'P55795')"
"('P42338', 'O00459')"
"('Q6ZUJ8', 'Q13625')"
"('Q13131', 'P09874')"
"('O60895', 'O15432')"
"('O75340', 'P62993')"
"('Q8WTQ7', 'P41597')"
"('Q8WW01', 'P61968')"
"('P17987', 'Q96SW2')"
"('P21926', 'P08473')"
"('Q5JXC2', 'Q9BT92')"
"('Q96CS3', 'O14949')"
"('Q00987', 'O75533')"
"('Q15125', 'P62508')"
"('Q13492', 'Q00610')"
"('P05067', 'Q96NT0')"
"('Q13263', 'Q16695')"
"('Q9UN86', 'Q13206')"
"('Q9NZD8', 'P42772')"
"('Q9HAT2', 'Q9NV96')"
"('Q9Y3M2', 'Q9NXE8')"
"('Q9UMF0', 'Q9NRD1')"
"('Q7Z6K4', 'Q9Y6K9')"
"('P31943', 'Q96PK6')"
