negatives
"('Q9GZW8', 'P35914')"
"('O60936', 'P42575')"
"('Q00839', 'O60506')"
"('Q9ULJ6', 'Q9UHC6')"
"('P10914', 'Q14938')"
"('P61981', 'Q8N3F8')"
"('P05141', 'P00533')"
"('Q8N257', 'Q9UQL6')"
"('Q9NZC7', 'Q9P2I0')"
"('O00422', 'P61247')"
"('P27361', 'P16871')"
"('P24522', 'P38936')"
"('P13747', 'Q8N743')"
"('Q9C0C9', 'Q99729')"
"('Q9Y297', 'Q13616')"
"('O75832', 'P48556')"
"('P49674', 'P23508')"
"('Q9Y2T4', 'Q7Z3S7')"
"('Q13315', 'O14639')"
"('P29372', 'P03372')"
"('Q01844', 'Q7Z6B0')"
"('Q16619', 'P19235')"
"('P18124', 'Q9UHD2')"
"('Q99942', 'P51668')"
"('Q14164', 'Q13813')"
"('O75674', 'Q69YN2')"
"('P05013', 'P26992')"
"('P23508', 'P22061')"
"('Q04917', 'Q9P0L2')"
"('P01567', 'P24394')"
"('Q9GZX7', 'P11142')"
"('P62256', 'Q8N9I9')"
"('P01106', 'Q8N6S5')"
"('Q92569', 'P42681')"
"('P14314', 'Q7L5D6')"
"('Q13568', 'Q9BX10')"
"('O60244', 'Q02556')"
"('Q9Y572', 'Q13546')"
"('Q15366', 'P31943')"
"('Q9H171', 'Q9UHX1')"
"('Q9H4P4', 'P04629')"
"('P35579', 'P14316')"
"('Q13535', 'O95347')"
"('O94805', 'Q92922')"
"('O60739', 'P24752')"
"('P36954', 'P24928')"
"('P27694', 'P04083')"
"('O60237', 'P19105')"
"('Q14289', 'P15153')"
"('P16520', 'Q99459')"
"('P10275', 'Q15020')"
"('P10809', 'Q9UM73')"
"('O95863', 'P0CG48')"
"('P12314', 'Q8IYS5')"
"('P62899', 'P62987')"
"('P21453', 'P63096')"
"('Q96EV8', 'P30281')"
"('O14561', 'Q9Y6M9')"
"('P84098', 'P42766')"
"('Q00653', 'P07900')"
"('P05121', 'P00749')"
"('P06733', 'P0DI81')"
"('Q13387', 'Q92918')"
"('Q12983', 'Q15382')"
"('Q07890', 'P17081')"
"('P63215', 'Q92569')"
"('P53778', 'P67775')"
"('P53672', 'Q9P1Z2')"
"('P52272', 'P67809')"
"('P01562', 'P14784')"
"('O75376', 'P25942')"
"('Q96RK0', 'Q9HC77')"
"('Q96QV6', 'Q9NPI1')"
"('P15559', 'P25490')"
"('Q9NPC6', 'P12814')"
"('P30480', 'Q9NR30')"
"('P23229', 'P18564')"
"('Q9UNM6', 'O60739')"
"('Q92994', 'A6H8Y1')"
"('O95267', 'P01111')"
"('P09681', 'Q8TDV5')"
"('P21673', 'Q96F10')"
"('Q13546', 'Q96J02')"
"('Q9UPY3', 'O75569')"
"('P61201', 'Q13616')"
"('P04198', 'Q13287')"
"('Q9NP97', 'P11171')"
"('Q13137', 'Q9UHD2')"
"('Q9NQ66', 'P49716')"
"('P24821', 'Q13797')"
"('Q9Y383', 'P46100')"
"('P05013', 'P78552')"
"('Q14774', 'O15162')"
"('P62899', 'P61927')"
"('P42702', 'Q8WYR1')"
"('Q9Y3C0', 'O60383')"
"('Q99259', 'P00519')"
"('Q16270', 'Q9Y5Y6')"
"('O43395', 'P63162')"
"('P35544', 'O60739')"
"('Q14332', 'Q92997')"
"('P62249', 'Q08AD1')"
"('Q14676', 'O96019')"
"('Q13683', 'O75369')"
"('Q13485', 'P13987')"
"('Q9BZE0', 'Q9HCS7')"
"('Q6WCQ1', 'P05783')"
"('P33076', 'Q499Z4')"
"('P62913', 'Q00987')"
"('P29460', 'P29459')"
"('P12270', 'P25054')"
"('Q13137', 'O00214')"
"('P51991', 'P61978')"
"('Q9Y697', 'Q16762')"
"('P17252', 'Q13393')"
"('P16144', 'P12931')"
"('O14654', 'P48357')"
"('Q9H6E5', 'Q9UKF6')"
"('Q15797', 'O60315')"
"('Q9UBP5', 'Q92922')"
"('Q8N1F7', 'Q9UKX7')"
"('P30153', 'Q15172')"
"('P04908', 'Q96A08')"
"('Q16665', 'P11169')"
"('P49674', 'P56645')"
"('P01106', 'Q86U86')"
"('P12757', 'P78344')"
"('O75643', 'P11171')"
"('P84101', 'Q12873')"
"('P25787', 'P55036')"
"('Q13573', 'P61011')"
"('P18887', 'Q96T60')"
"('Q9P035', 'Q9HC98')"
"('P56705', 'P41221')"
"('Q9NY65', 'P07437')"
"('P17301', 'P08648')"
"('P00519', 'Q9H5I1')"
"('P25789', 'P53350')"
"('Q9Y2Y4', 'Q9BQY4')"
"('O75578', 'P08648')"
"('O95163', 'P40425')"
"('P52597', 'P22626')"
"('P37173', 'O43541')"
"('Q99459', 'O00410')"
"('Q14CB8', 'P54252')"
"('Q5SW24', 'P05771')"
"('P27361', 'P14921')"
"('Q92561', 'Q96G25')"
"('Q13315', 'Q9UIM3')"
"('Q12778', 'Q13541')"
"('Q13535', 'O43865')"
"('406906', 'Q9Y6R0')"
"('Q13546', 'P05141')"
"('P63010', 'O95782')"
"('P51513', 'P57721')"
"('P11142', 'O43353')"
"('Q15654', 'Q9H5Z6')"
"('P35680', 'Q8TCC7')"
"('Q8TAQ2', 'Q99816')"
"('P54753', 'P20936')"
"('P01106', 'O43312')"
"('P35250', 'Q9HCU8')"
"('P12980', 'P78543')"
"('O75955', 'P08575')"
"('Q01844', 'Q8N4F4')"
"('P17612', 'P50993')"
"('P63104', 'P40227')"
"('Q02156', 'Q9BX67')"
"('P32302', 'P14859')"
"('Q15172', 'Q08289')"
"('P30480', 'O15371')"
"('P15692', 'Q02763')"
"('O75970', 'Q9H205')"
"('Q9UH99', 'O15519')"
"('Q99062', 'P52333')"
"('Q9BTC0', 'Q13573')"
"('Q9H171', 'Q9UBD5')"
"('Q8N6Y0', 'Q9UJW9')"
"('Q92905', 'P61201')"
"('A6NMX2', 'P78344')"
"('P52565', 'Q99729')"
"('Q99459', 'P38159')"
"('Q9UKE5', 'Q9UBM7')"
"('P36897', 'O94921')"
"('P62847', 'P43146')"
"('P26373', 'P43146')"
"('Q14157', 'O75051')"
"('O60641', 'Q12933')"
"('Q9BQ67', 'Q13620')"
"('Q9BSQ5', 'O00522')"
"('Q9Y4Z0', 'Q9Y333')"
"('Q15139', 'P16885')"
"('P30048', 'O43283')"
"('Q9Y261', 'P22680')"
"('O15197', 'P00519')"
"('P62993', 'O14776')"
"('Q86Y13', 'P62837')"
"('Q9BV38', 'Q9NXF1')"
"('Q8TAQ2', 'Q9UJX2')"
"('Q92831', 'Q9H3N8')"
"('P61952', 'Q9Y2J4')"
"('P18031', 'P40763')"
"('P62140', 'P24844')"
"('Q9UM73', 'P04637')"
"('Q96N67', 'P38936')"
"('Q6ZVK8', 'Q8TBN0')"
"('P01106', 'Q01850')"
"('P51668', 'Q86YT6')"
"('O43677', 'O95182')"
"('O95897', 'Q15907')"
"('P61981', 'Q8NEM2')"
"('P01241', 'Q9UKK9')"
"('O60508', 'P42566')"
"('O15123', 'P10721')"
"('O15524', 'P58753')"
"('P67870', 'P30305')"
"('Q13363', 'P41970')"
"('P16402', 'Q96EB6')"
"('Q08334', 'P52333')"
"('Q14005', 'P78508')"
"('P43116', 'P63092')"
"('Q8IX12', 'P84103')"
"('P49459', 'Q9NS91')"
"('Q01970', 'P15311')"
"('O14512', 'Q6UXL0')"
"('Q08945', 'Q9NVU0')"
"('O75446', 'Q96ST3')"
"('P19174', 'P31994')"
"('Q9NVA2', 'Q9Y4K3')"
"('P10599', 'Q53HC9')"
"('Q15834', 'P29972')"
"('Q99459', 'P04406')"
"('O95644', 'Q14814')"
"('O75438', 'O95298')"
"('O60264', 'P01106')"
"('406906', 'P98196')"
"('Q16637', 'Q2QGD7')"
"('Q9Y3Q8', 'Q8N5R6')"
"('Q15631', 'P30480')"
"('P28749', 'Q06190')"
"('Q9H2G2', 'Q05655')"
"('Q08209', 'Q9NPC6')"
"('Q16625', 'O95500')"
"('Q14164', 'P62993')"
"('P10398', 'Q9UNS2')"
"('O00755', 'O00144')"
"('Q13765', 'P61011')"
"('P29459', 'Q9HBE5')"
"('Q8IVT5', 'P15056')"
"('P01889', 'Q9NQ50')"
"('P27986', 'Q05193')"
"('P05771', 'Q9H0R8')"
"('O15379', 'Q8WUI4')"
"('P10147', 'P32248')"
"('P21359', 'P14316')"
"('Q14103', 'Q16629')"
"('Q14209', 'Q06609')"
"('Q5VTD9', 'P14373')"
"('Q9NTJ3', 'Q8NEM0')"
"('Q9UKT4', 'Q12834')"
"('Q6ZUM4', 'Q9H4E5')"
"('Q15599', 'P13569')"
"('O95967', 'Q9H5Z6')"
"('Q71UM5', 'Q00005')"
"('Q9UEU0', 'O60499')"
"('Q14831', 'Q9UBI6')"
"('Q86UA6', 'Q13158')"
"('O14641', 'Q15287')"
"('Q5VTD9', 'Q9GZT9')"
"('Q9H0H5', 'Q15149')"
"('Q01844', 'Q6PJW8')"
"('P08754', 'O60262')"
"('P13631', 'O75376')"
"('Q96CV9', 'Q8TF68')"
"('P35754', 'P23511')"
"('P22694', 'Q8TD86')"
"('P36957', 'P55209')"
"('Q86XS8', 'Q9Y4R7')"
"('Q13257', 'Q14164')"
"('P16220', 'P35354')"
"('Q9P2H0', '145781')"
"('Q13555', 'Q14315')"
"('Q13177', 'O00264')"
"('P61978', 'Q9Y490')"
"('Q5EB52', 'Q8WYH8')"
"('Q92985', 'Q9ULE6')"
"('P00533', 'Q14192')"
"('O00411', 'Q9H5Q4')"
"('P50591', 'O14763')"
"('P60891', 'Q9NZD8')"
"('Q9UKE5', 'Q96FW1')"
"('Q92993', 'Q9NXR8')"
"('Q00839', 'Q99459')"
"('Q9NX55', 'O60739')"
"('Q8IZ69', 'Q16637')"
"('P61158', 'Q07890')"
"('Q96GF1', 'Q9Y2X8')"
"('Q93079', 'Q16777')"
"('Q9UER7', 'Q13185')"
"('P10809', 'P55212')"
"('O43676', 'O96000')"
"('Q9Y2W2', 'Q6Y7W6')"
"('Q9H7D0', 'P15153')"
"('P02792', 'O15198')"
"('P23508', 'P26639')"
"('7012', 'O14746')"
"('P49407', 'P25963')"
"('Q7L190', 'Q16659')"
"('P16871', 'Q9NY65')"
"('P62987', 'P47914')"
"('Q9HAU4', 'P27824')"
"('Q16254', 'Q9HB71')"
"('Q9NZM5', 'Q8IY92')"
"('Q9HC24', 'Q96KJ9')"
"('Q5JVF3', 'Q9HAW0')"
"('Q99459', 'O15042')"
"('P24821', 'P26006')"
"('Q08345', 'O95989')"
"('P08588', 'P63092')"
"('Q01628', 'P52630')"
"('P25101', 'P50148')"
"('Q13363', 'O43474')"
"('P35222', 'P22626')"
"('P09619', 'P00533')"
"('P25208', 'P20226')"
"('P29353', 'P07766')"
"('P28070', 'O15162')"
"('O43318', 'P17844')"
"('Q9NWA0', 'P49336')"
"('P51532', 'Q13127')"
"('P61289', 'P11171')"
"('P16333', 'Q13087')"
"('P54277', 'P43246')"
"('Q14690', 'P01106')"
"('P19838', 'P78556')"
"('P84022', 'P04637')"
"('P67870', 'Q9Y5B9')"
"('Q02543', 'P21741')"
"('Q8N158', 'P27487')"
"('P51114', 'Q5T3J3')"
"('Q16778', 'Q8IUE6')"
"('Q9Y5J5', 'Q9Y3T9')"
"('O00463', 'Q7Z434')"
"('P60709', 'P11142')"
"('Q9C035', 'Q13404')"
"('O43586', 'Q96LW2')"
"('P08047', 'Q02742')"
"('P07992', 'P43246')"
"('Q9BTP7', 'Q8NB91')"
"('Q9H6Y7', 'Q96B02')"
"('Q5T5U3', 'P62745')"
"('Q9C086', 'P60033')"
"('P84103', 'Q13243')"
"('O96000', 'O95169')"
"('P04183', 'Q05516')"
"('P07900', 'Q04206')"
"('P14923', 'O95759')"
"('Q9UJ70', 'Q15796')"
"('Q08881', 'P06241')"
"('P05771', 'Q06710')"
"('P28562', 'P04150')"
"('P62993', 'P09211')"
"('Q9P0L1', 'Q9NX65')"
"('Q13573', 'Q96N46')"
"('Q01629', 'Q96EY7')"
"('P56705', 'Q01974')"
"('Q8WTU0', 'P0CG48')"
"('Q9Y620', 'Q9UJX2')"
"('Q13616', 'Q969H0')"
"('P0CG47', 'Q99741')"
"('P09471', 'Q9NPG2')"
"('P04083', 'Q92796')"
"('P36897', 'Q9UNK0')"
"('O15524', 'P48357')"
"('Q15102', 'Q9Y4G2')"
"('P08575', 'P42680')"
"('Q9P2H0', 'P33240')"
"('Q96IZ5', 'P61978')"
"('P01111', 'P19174')"
"('Q9H4I2', 'Q9UKY1')"
"('P61964', 'P06899')"
"('P12757', 'O75925')"
"('P43220', 'P49407')"
"('P29590', 'P46937')"
"('Q9UM47', 'Q8TDB6')"
"('Q99963', 'P04629')"
"('Q12824', 'Q969G3')"
"('Q5SXM2', 'Q676U5')"
"('Q96ST3', 'Q9UBP5')"
"('P57086', 'P17028')"
"('Q9BXT8', 'Q99459')"
"('Q9Y6J8', 'P78330')"
"('P22694', 'P05023')"
"('Q9UJY1', 'Q9UBY9')"
"('Q9BWU1', 'Q15648')"
"('Q8NFD5', 'P55854')"
"('O14920', 'P21333')"
"('P62877', 'Q969H0')"
"('O15259', 'Q9H204')"
"('P52798', 'P29320')"
"('O14974', 'P10916')"
"('Q13573', 'P33981')"
"('P01889', 'P48147')"
"('Q9GZQ8', 'Q9BQD3')"
"('P07288', 'Q92831')"
"('Q9H2G2', 'O15360')"
"('P36578', 'Q13233')"
"('Q9BY27', 'P19012')"
"('Q92985', 'Q8IZI9')"
"('P62158', 'P62258')"
"('P00846', 'P18859')"
"('P36941', 'O00463')"
"('P51784', 'Q15831')"
"('P46778', 'Q02878')"
"('P17612', 'Q16558')"
"('P51693', 'Q13765')"
"('Q9H2G2', 'Q14315')"
"('P13500', 'P32246')"
"('Q9HAV0', 'Q5JWF2')"
"('Q02763', 'Q6S5L8')"
"('P08670', 'P19838')"
"('P07900', 'P50502')"
"('O75581', 'Q9Y4X0')"
"('Q99558', 'P41252')"
"('Q92793', 'Q99814')"
"('Q6ZVD8', 'P31749')"
"('P54619', 'Q9BUM1')"
"('P55060', 'Q13573')"
"('P11229', 'Q96D09')"
"('O60925', 'O00291')"
"('Q96PU5', 'P00533')"
"('P01563', 'P24394')"
"('Q13137', 'Q96S44')"
"('Q13535', 'Q149N8')"
"('P26441', 'P17181')"
"('O14893', 'Q9UL18')"
"('O14544', 'P42226')"
"('P09919', 'P78552')"
"('P17987', 'P62714')"
"('P08754', 'P45984')"
"('Q07889', 'P63000')"
"('P36873', 'Q02045')"
"('P13945', 'P63096')"
"('Q12772', 'Q9UHC9')"
"('P54257', 'P47869')"
"('P11940', 'Q04637')"
"('Q92542', 'Q15363')"
"('P16152', 'Q9UKE5')"
"('O15031', 'P60763')"
"('Q9GZV9', 'P29317')"
"('P61981', 'P25705')"
"('P17947', '407008')"
"('P50914', 'P83731')"
"('P20333', 'Q07021')"
"('Q9ULT8', 'Q9NY93')"
"('Q9HCS4', 'P46937')"
"('P52294', 'Q16778')"
"('P26599', 'P67809')"
"('P54259', 'Q3KQU3')"
"('P13942', 'P16070')"
"('P01574', 'Q04864')"
"('O00330', 'Q01844')"
"('P05106', 'P01111')"
"('Q92698', 'Q06609')"
"('P00533', 'Q00722')"
"('P30480', 'P63173')"
"('P61073', 'P14316')"
"('Q13247', 'Q9BUJ2')"
"('Q93074', 'P28702')"
"('Q13573', 'Q12906')"
"('P54646', 'Q16875')"
"('P14174', 'Q9H8Y8')"
"('O43929', 'Q99741')"
"('P57723', 'Q15365')"
"('Q6PL18', 'P01106')"
"('P20594', 'Q09472')"
"('Q14191', 'P62380')"
"('O15511', 'O15143')"
"('P62241', 'O95793')"
"('Q13573', 'Q9UJX2')"
"('O43586', 'P61254')"
"('P50148', 'Q9UNX9')"
"('P00533', 'Q9UQQ2')"
"('P00533', 'P29317')"
"('Q9NYW8', 'P63165')"
"('Q07021', 'Q08170')"
"('P22090', 'P62841')"
"('Q7Z4H7', 'Q9BT25')"
"('P54136', 'P01889')"
"('P20333', 'P62269')"
"('P02751', 'P98095')"
"('P05556', 'P42336')"
"('Q05D60', 'Q15834')"
"('O95602', 'Q9H9Y6')"
"('Q15637', 'Q9BUJ2')"
"('P40189', 'P08887')"
"('Q14643', 'Q13554')"
"('O14980', 'P35658')"
"('P62136', 'Q02930')"
"('P42224', 'O14625')"
"('P59768', 'P48549')"
"('Q92844', 'Q15046')"
"('P01106', 'P62314')"
"('Q05209', 'P08581')"
"('Q99459', 'P17066')"
"('P13861', 'Q13485')"
"('Q96S59', 'Q15714')"
"('P27540', 'P09601')"
"('Q9GZN7', 'Q7L5N1')"
"('O75964', 'P56385')"
"('Q86YV9', 'Q15397')"
"('Q9NRD5', 'P04049')"
"('Q14005', 'O95967')"
"('Q53ET0', 'O00470')"
"('P09668', 'P41220')"
"('O15198', 'P61968')"
"('Q05513', 'Q04759')"
"('P21580', 'Q13077')"
"('Q9Y3F4', 'Q09472')"
"('Q13315', 'Q8WXF1')"
"('Q8NEM7', 'O94864')"
"('P11387', 'Q15717')"
"('O95210', 'P60520')"
"('Q14232', 'P25786')"
"('O96020', 'Q00526')"
"('Q06124', 'P19174')"
"('P05000', 'P15509')"
"('O60383', 'P38936')"
"('Q9Y624', 'Q9NSI5')"
"('O15379', 'Q9UKV0')"
"('Q712K3', 'Q96AD5')"
"('Q92914', 'Q02763')"
"('Q9UNM6', 'Q00653')"
"('P03901', 'P56556')"
"('P06746', 'Q96FI4')"
"('O15162', 'Q9UBP5')"
"('P29350', 'Q969J5')"
"('Q09472', 'Q15788')"
"('P46934', 'P08581')"
"('Q13237', 'O96001')"
"('P22626', 'Q13573')"
"('Q9UGJ1', 'O95989')"
"('Q06190', 'Q13936')"
"('Q9BRT9', 'Q9BRX5')"
"('Q9BZY9', 'P61077')"
"('O60895', 'O95467')"
"('Q14137', 'P49407')"
"('O75444', 'P48436')"
"('P00533', 'P62993')"
"('Q13617', 'Q16665')"
"('P30304', 'Q9Y468')"
"('O94761', 'Q9UNS1')"
"('P07585', 'P02452')"
"('Q13443', 'P05067')"
"('P05107', 'Q14773')"
"('P33993', 'Q08945')"
"('Q15269', 'Q99442')"
"('Q8N5V2', 'Q9BPX7')"
"('Q99743', 'P10276')"
"('Q969H0', 'Q99466')"
"('406906', 'O75781')"
"('Q15102', 'Q14194')"
"('Q9UNZ2', 'Q13190')"
"('P16220', 'Q9NQV6')"
"('P35568', 'O00459')"
"('P35626', 'Q8NGC6')"
"('P35443', 'P53708')"
"('P30086', 'P27986')"
"('Q9P2H0', 'O95251')"
"('O00442', 'Q9NR30')"
"('P10276', 'P29373')"
"('Q92966', 'P62993')"
"('Q13976', 'Q9Y6F6')"
"('Q9NRI5', 'Q9P2H0')"
"('P61978', 'Q9BUJ2')"
"('P07942', 'P13612')"
"('O15198', 'Q4LDE5')"
"('O75352', 'O95714')"
"('P25445', 'P18146')"
"('P17812', 'P04222')"
"('P51116', 'Q9BXS5')"
"('Q15796', 'P23743')"
"('P42226', 'Q86WV6')"
"('P22415', 'P12956')"
"('O43293', 'Q9UER7')"
"('P68104', 'Q8TDR0')"
"('P10321', 'Q07444')"
"('Q96RT8', 'P68363')"
"('P35626', 'A6NJZ3')"
"('Q9NRG4', 'P06730')"
"('Q8IZP0', 'Q9ULV8')"
"('Q12800', 'Q9BXW4')"
"('Q9NX70', 'Q15528')"
"('Q9Y243', 'Q14653')"
"('Q00987', 'Q92993')"
"('Q12905', 'Q9Y265')"
"('P04439', 'P01732')"
"('P11171', 'P22061')"
"('Q63ZY3', 'P18146')"
"('P63096', 'P61952')"
"('O43920', 'O75306')"
"('P08238', 'P63261')"
"('Q13489', 'Q9BZK7')"
"('P32121', 'Q8NGP2')"
"('Q9NV56', 'Q52LR7')"
"('Q00597', 'P06493')"
"('Q15835', 'P25025')"
"('P00533', 'P31689')"
"('O76038', 'O00161')"
"('Q9UBU8', 'Q9NV56')"
"('P34947', 'P32302')"
"('P15170', 'Q13310')"
"('Q15047', 'O43261')"
"('O43610', 'O43597')"
"('Q07955', 'Q86U42')"
"('P60604', 'Q8WZ73')"
"('Q13569', 'P41208')"
"('P61313', 'P36578')"
"('P01106', 'Q96PK6')"
"('P17693', 'Q07444')"
"('P14136', 'Q96HL8')"
"('O75899', 'P63215')"
"('P54257', 'Q15154')"
"('Q9UBI6', 'Q92806')"
"('Q9HCS4', 'O14627')"
"('P41235', 'P00742')"
"('Q9NRR5', 'P12268')"
"('P36406', 'Q13114')"
"('Q99459', 'P78371')"
"('P62913', 'P63173')"
"('P62847', 'P62273')"
"('O00716', 'P41182')"
"('P26641', 'P04350')"
"('Q9GZT6', 'O60341')"
"('Q9HCK5', 'Q15185')"
"('P84103', 'Q01081')"
"('P06401', 'Q8WYK2')"
"('Q96CS7', 'Q92900')"
"('P23760', 'P16333')"
"('P22612', 'Q02930')"
"('P20333', 'Q02978')"
"('P28288', 'Q15773')"
"('Q9BQY4', 'P54253')"
"('P04637', 'Q9NQ88')"
"('Q02156', 'Q9H0R8')"
"('Q96C24', 'O00194')"
"('P01106', 'Q13564')"
"('P61981', 'Q9UJF2')"
"('O60739', 'P62280')"
"('P52907', 'Q9NR96')"
"('P15884', 'P62158')"
"('P04049', 'Q6VAB6')"
"('Q06190', 'P54284')"
"('Q05397', 'Q9Y2X7')"
"('P01889', 'Q9UGP8')"
"('O00206', 'P04899')"
"('P04908', 'Q96HA7')"
"('Q52M93', 'Q9NPQ8')"
"('Q16828', 'P27361')"
"('Q06609', 'P18146')"
"('P60228', 'Q9GZR7')"
"('Q9BQ66', 'Q96T60')"
"('Q9H2G2', 'O15085')"
"('O75533', 'Q15393')"
"('Q12824', 'Q92925')"
"('P05412', 'P10275')"
"('P10301', 'P46108')"
"('Q04206', '407021')"
"('Q86SQ4', 'P05787')"
"('P49765', 'P08069')"
"('O14512', 'P35568')"
"('P62877', 'O15055')"
"('P17252', 'P01112')"
"('P07359', 'P61981')"
"('Q9BPX5', 'P59998')"
"('Q4FZB7', 'P27348')"
"('P22234', 'Q12873')"
"('Q13418', 'Q5JVF3')"
"('P35527', 'P02768')"
"('Q08945', 'Q9Y5B9')"
"('Q9NZQ3', 'Q8WX93')"
"('Q8N6Y0', 'O43663')"
"('Q9BZ23', 'Q9H2U1')"
"('Q13263', 'P04222')"
"('P42336', 'Q8IUC6')"
"('P63104', 'P00558')"
"('P42574', 'O43521')"
"('P12931', 'P21980')"
"('Q9BY11', 'P42858')"
"('P60002', 'P18146')"
"('P27635', 'P62380')"
"('Q13642', 'Q13485')"
"('Q8WVB3', 'Q9HCC8')"
"('Q16576', 'P17542')"
"('Q13153', 'P78545')"
"('Q13233', 'P62837')"
"('Q03167', 'O14908')"
"('Q13315', 'Q9H0B3')"
"('O60508', 'Q13151')"
"('P61077', 'Q8ND25')"
"('Q13352', 'Q96P50')"
"('Q9UKA9', 'P57721')"
"('O43318', 'Q9NS73')"
"('P25940', 'P53708')"
"('P10275', 'Q9H334')"
"('P54619', 'Q13085')"
"('P58107', 'O75365')"
